gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,0.4993506493506493,0.014206849882647594,0.390625,0.5390625,,10,20.25974025974026,2,4.4480519480519485,6,5.6688311688311686,13.623376623376624,7,0.0,0.028308868408203125,22,baseline_simple,1.0
1,201,0.49158145680147064,0.0166656634359899,0.390625,0.525,0.36875,10,21.176470588235293,2,3.463235294117647,6,5.235294117647059,10.198529411764707,7,0.0010862350463867188,0.052542924880981445,22,baseline_simple,1.0
2,175,0.4897205327181208,0.022468229605252774,0.390625,0.609375,0.36875,10,22.953020134228186,2,3.4932885906040267,6,5.546979865771812,10.37248322147651,7,0.0012218952178955078,0.0517878532409668,22,baseline_simple,1.0
3,145,0.4886184976708074,0.024248824435819775,0.37265625,0.52578125,0.44375,9,25.335403726708076,2,3.130434782608696,5,5.555900621118012,9.440993788819876,6,0.00131988525390625,0.05609726905822754,22,baseline_simple,1.0
4,129,0.4857525887573964,0.03228565023327075,0.37265625,0.609375,0.44375,9,27.98224852071006,2,3.4940828402366866,5,5.976331360946745,10.423076923076923,6,0.0013077259063720703,0.058664560317993164,22,baseline_simple,1.0
5,123,0.47960094752186594,0.03978003050296991,0.37265625,0.62734375,0.44375,9,29.892128279883384,2,3.5306122448979593,5,6.163265306122449,10.53061224489796,6,0.0012269020080566406,0.056633949279785156,22,baseline_simple,1.0
6,88,0.48037135278514587,0.0416941978968833,0.37265625,0.59921875,0.44375,9,29.482758620689655,2,3.5119363395225465,5,6.275862068965517,10.63395225464191,6,0.0013089179992675781,0.05669593811035156,22,baseline_simple,1.0
7,88,0.47637025523560206,0.04877179946826193,0.37265625,0.609375,0.44375,9,29.848167539267017,2,3.1465968586387434,5,6.225130890052356,9.74607329842932,6,0.0013446807861328125,0.05843186378479004,22,baseline_simple,1.0
8,78,0.4696818766066838,0.052317028161789084,0.37265625,0.609375,0.44375,9,31.922879177377894,2,3.0848329048843186,5,6.210796915167095,9.691516709511568,6,0.001226186752319336,0.05631256103515625,22,baseline_simple,1.0
9,52,0.4668244373479319,0.05747051992556248,0.37265625,0.62734375,0.44375,9,34.87591240875913,2,2.8856447688564475,5,5.956204379562044,8.980535279805352,6,0.0013535022735595703,0.05285978317260742,22,baseline_simple,1.0
10,54,0.45970689140811455,0.05795082060148572,0.37265625,0.7265625,0.44375,9,34.124105011933175,2,2.7804295942720763,5,5.83054892601432,8.608591885441527,6,0.0013077259063720703,0.0538485050201416,22,baseline_simple,1.0
11,35,0.45191828051643196,0.06260329790482602,0.37265625,0.62734375,0.44375,9,33.54929577464789,2,2.748826291079812,5,5.713615023474178,8.363849765258216,6,0.0012979507446289062,0.048786163330078125,22,baseline_simple,1.0
12,49,0.4439425355450237,0.06403759704541719,0.37265625,0.62734375,0.44375,9,33.824644549763036,2,2.9123222748815167,5,5.8530805687203795,8.850710900473933,6,0.001355886459350586,0.0551609992980957,22,baseline_simple,1.0
13,40,0.4416173498845265,0.06274577049263769,0.37265625,0.62734375,0.44375,9,35.77829099307159,2,3.2424942263279446,5,6.150115473441109,9.89838337182448,6,0.0012881755828857422,0.05548596382141113,22,baseline_simple,1.0
14,42,0.4425970698614319,0.06609946238044388,0.37265625,0.62734375,0.44375,9,36.4203233256351,2,3.3187066974595845,5,6.168591224018476,10.062355658198614,6,0.0013203620910644531,0.05533909797668457,22,baseline_simple,1.0
15,41,0.43688693576388893,0.06261494533461649,0.37265625,0.62734375,0.44375,9,36.64351851851852,2,3.2268518518518516,5,6.155092592592593,9.810185185185185,6,0.0013537406921386719,0.0585484504699707,22,baseline_simple,1.0
16,55,0.4385779747596154,0.06720935544280217,0.37265625,0.62734375,0.44375,9,37.65625,2,3.512019230769231,5,6.360576923076923,10.682692307692308,6,0.0012938976287841797,0.12748122215270996,22,baseline_simple,1.0
17,39,0.43493822674418603,0.06435911938222105,0.37265625,0.62734375,0.44375,9,38.448837209302326,2,3.7930232558139534,5,6.583720930232558,11.530232558139534,6,0.00138092041015625,0.06437849998474121,22,baseline_simple,1.0
18,43,0.43370665792540786,0.0641761847285563,0.37265625,0.62734375,0.44375,9,38.62937062937063,2,3.8694638694638694,5,6.678321678321678,11.727272727272727,6,0.0013053417205810547,0.05926108360290527,22,baseline_simple,1.0
19,42,0.43076401115023477,0.06496567009425215,0.37265625,0.62734375,0.44375,9,39.39906103286385,2,3.992957746478873,5,6.741784037558685,12.119718309859154,6,0.001379251480102539,0.06506919860839844,22,baseline_simple,1.0
20,33,0.43278024655963304,0.06127361753633059,0.37265625,0.609375,0.44375,9,41.277522935779814,2,4.213302752293578,5,6.915137614678899,12.772935779816514,6,0.0012738704681396484,0.06591176986694336,22,baseline_simple,1.0
21,33,0.4322986577181208,0.06274715435985316,0.37265625,0.61484375,0.44375,9,41.22818791946309,2,4.436241610738255,5,7.078299776286354,13.507829977628635,6,0.0013637542724609375,0.06517362594604492,22,baseline_simple,1.0
22,39,0.4334518720518868,0.06515836623226122,0.37265625,0.62734375,0.44375,9,42.073113207547166,2,4.195754716981132,5,6.837264150943396,12.721698113207546,6,0.0013661384582519531,0.06917285919189453,22,baseline_simple,1.0
23,35,0.4294017650462963,0.06430831064314949,0.37265625,0.62734375,0.44375,9,43.023148148148145,2,4.347222222222222,5,7.030092592592593,13.23611111111111,6,0.0013577938079833984,0.06896376609802246,22,baseline_simple,1.0
24,34,0.43593211206896554,0.06761364309482407,0.37265625,0.7265625,0.44375,9,44.777011494252875,2,4.675862068965517,5,7.179310344827586,14.22528735632184,6,0.0013823509216308594,0.06772017478942871,22,baseline_simple,1.0
25,38,0.4346617647058823,0.06397708548605684,0.37265625,0.62734375,0.44375,9,44.77882352941177,2,4.670588235294118,5,7.2447058823529416,14.218823529411765,6,0.0014147758483886719,0.0730433464050293,22,baseline_simple,1.0
26,37,0.4297275641025642,0.06336967852943028,0.37265625,0.62734375,0.44375,9,46.86013986013986,2,4.923076923076923,5,7.4125874125874125,15.018648018648019,6,0.0013849735260009766,0.07610821723937988,22,baseline_simple,1.0
27,41,0.4354840472027972,0.06442381774271966,0.37265625,0.62734375,0.44375,9,48.61771561771562,2,5.034965034965035,5,7.454545454545454,15.347319347319347,6,0.0013957023620605469,0.07750177383422852,22,baseline_simple,1.0
