gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,0.5517362637362637,0.11575510170017216,0.2637362637362637,0.6285714285714286,,36,22.81,8,4.95,7,5.56,15.3,24,0.0,0.0036253929138183594,4,baseline_simple,1.0
1,41,0.5045632333767928,0.1273582852277762,0.2637362637362637,0.6263736263736264,0.2894736842105263,36,25.71186440677966,8,3.8813559322033897,7,5.6440677966101696,11.64406779661017,24,0.0001251697540283203,0.006676912307739258,4,baseline_simple,1.0
2,36,0.4385302197802198,0.11352901483841005,0.2637362637362637,0.6263736263736264,0.2894736842105263,36,31.59375,8,3.46875,7,6.078125,11.28125,24,0.00011777877807617188,0.00657963752746582,4,baseline_simple,1.0
3,17,0.3955779160598437,0.08869274334447867,0.2153846153846154,0.6263736263736264,0.24561403508771928,36,37.0,8,3.5783132530120483,8,6.457831325301205,11.63855421686747,19,0.00014734268188476562,0.007105827331542969,4,baseline_simple,1.0
4,21,0.41226874391431345,0.11443039922617086,0.12967032967032965,0.6263736263736264,0.1228070175438597,39,43.620253164556964,7,4.784810126582278,7,6.7974683544303796,14.50632911392405,16,0.00016498565673828125,0.008544683456420898,4,baseline_simple,1.0
5,24,0.41234817813765173,0.1254136430589003,0.12747252747252746,0.6285714285714286,0.08771929824561409,47,45.05263157894737,8,4.302631578947368,9,6.342105263157895,12.789473684210526,24,0.00014328956604003906,0.007941722869873047,4,baseline_simple,1.0
6,23,0.405423148280291,0.1252066467241877,0.12747252747252746,0.6285714285714286,0.08771929824561409,47,50.48051948051948,8,5.077922077922078,9,6.701298701298701,14.727272727272727,24,0.0001342296600341797,0.008390665054321289,4,baseline_simple,1.0
7,16,0.4023547880690737,0.14552742679545105,0.12747252747252746,0.8725274725274725,0.08771929824561409,47,49.964285714285715,8,5.642857142857143,9,7.023809523809524,16.107142857142858,24,0.00018548965454101562,0.008725881576538086,4,baseline_simple,1.0
8,21,0.420253164556962,0.151541940399883,0.12747252747252746,0.7252747252747253,0.08771929824561409,47,51.54430379746835,8,5.8354430379746836,9,7.151898734177215,16.556962025316455,24,0.00014829635620117188,0.008777618408203125,4,baseline_simple,1.0
9,13,0.4347101174687381,0.14887813535249877,0.11648351648351651,0.8725274725274725,0.0964912280701754,73,49.701149425287355,7,5.620689655172414,7,7.126436781609195,15.931034482758621,16,0.00016069412231445312,0.00830841064453125,4,baseline_simple,1.0
10,17,0.4362240169469086,0.15728425963688442,0.11648351648351651,0.8505494505494505,0.0964912280701754,73,49.55421686746988,7,5.771084337349397,7,7.240963855421687,16.843373493975903,16,0.00013637542724609375,0.008720159530639648,4,baseline_simple,1.0
