gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,0.49551648351648353,0.11021947125612698,0.38681318681318677,0.6131868131868132,,9,23.38,2,5.04,5,5.86,15.72,6,0.0,0.006713151931762695,3,fec_simple_stratified,0.2
1,25,0.4421978021978022,0.09400634859228987,0.38681318681318677,0.6131868131868132,0.38681318681318677,9,24.84,2,4.24,5,6.16,13.52,6,0.00011777877807617188,0.007252931594848633,3,fec_simple_stratified,0.2
2,22,0.44340659340659344,0.09608160551577036,0.38681318681318677,0.6131868131868132,0.38681318681318677,9,21.428571428571427,2,3.25,5,5.857142857142857,10.25,6,9.632110595703125e-05,0.0059778690338134766,3,fec_simple_stratified,0.2
3,12,0.4165991902834008,0.07652162843276511,0.38681318681318677,0.6131868131868132,0.38681318681318677,9,24.68421052631579,2,2.9210526315789473,5,5.7105263157894735,9.052631578947368,6,0.00010752677917480469,0.005620241165161133,3,fec_simple_stratified,0.2
4,14,0.4559829059829059,0.10427727515464173,0.38681318681318677,0.6131868131868132,0.38681318681318677,9,26.444444444444443,2,3.0555555555555554,5,5.916666666666667,9.666666666666666,6,0.00010991096496582031,0.006044626235961914,3,fec_simple_stratified,0.2
5,11,0.4082840236686391,0.08754425942936551,0.1186813186813187,0.6131868131868132,0.1186813186813187,25,29.846153846153847,5,3.3076923076923075,6,5.948717948717949,10.128205128205128,10,0.00011610984802246094,0.0066471099853515625,3,fec_simple_stratified,0.2
6,10,0.3974725274725274,0.13580883835306823,0.1186813186813187,0.6131868131868132,0.1186813186813187,25,28.875,5,3.1,6,5.75,9.025,10,0.00011467933654785156,0.005847930908203125,3,fec_simple_stratified,0.2
7,5,0.3665445665445665,0.18058088774760586,0.1186813186813187,0.6131868131868132,0.1186813186813187,25,26.8,5,3.888888888888889,6,6.0,10.044444444444444,10,0.00011920928955078125,0.006491899490356445,3,fec_simple_stratified,0.2
8,3,0.3320551788636895,0.18749977930653708,0.1186813186813187,0.6131868131868132,0.1186813186813187,25,30.0,5,4.425531914893617,6,6.0,10.574468085106384,10,0.00011873245239257812,0.00686192512512207,3,fec_simple_stratified,0.2
9,7,0.3172501916687963,0.20108633713225466,0.1186813186813187,0.6131868131868132,0.1186813186813187,25,31.3953488372093,5,5.441860465116279,6,6.604651162790698,12.511627906976743,10,0.00011992454528808594,0.00709080696105957,3,fec_simple_stratified,0.2
10,2,0.2939102564102564,0.22253572072776442,0.1186813186813187,0.8813186813186813,0.1186813186813187,25,36.625,5,6.041666666666667,6,6.645833333333333,13.270833333333334,10,0.00012373924255371094,0.007927656173706055,3,fec_simple_stratified,0.2
