gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,0.5362285714285714,0.12863418669324864,0.09890109890109888,0.9010989010989011,,18,22.779,4,4.901,6,5.735,15.323,12,0.0,0.06572532653808594,7,fec_simple_farthest_point,0.3
1,444,0.46226183888054384,0.12693129105287293,0.09890109890109888,0.8527472527472527,0.09890109890109888,18,27.616906474820144,4,4.325539568345324,6,6.005395683453237,13.381294964028777,12,0.002405405044555664,0.12367773056030273,7,fec_simple_farthest_point,0.3
2,310,0.4177480490523969,0.10584046636691069,0.09890109890109888,0.7934065934065935,0.09890109890109888,18,29.736231884057972,4,3.7376811594202897,6,6.033333333333333,11.585507246376812,12,0.002010822296142578,0.11098718643188477,7,fec_simple_farthest_point,0.3
3,263,0.4077027450161779,0.10030443044976728,0.09890109890109888,0.8989010989010989,0.09890109890109888,18,30.360922659430123,4,3.287652645861601,6,5.78561736770692,10.01899592944369,12,0.003033161163330078,0.12815523147583008,7,fec_simple_farthest_point,0.3
4,201,0.4062963319534033,0.10262270375701087,0.09890109890109888,0.7318681318681319,0.09890109890109888,18,31.188986232790988,4,3.148936170212766,6,5.769712140175219,9.53566958698373,12,0.002997159957885742,0.1289067268371582,7,fec_simple_farthest_point,0.3
5,175,0.4025414585414586,0.10062431366430948,0.09890109890109888,0.9010989010989011,0.09890109890109888,18,31.162424242424244,4,3.0096969696969698,6,5.664242424242424,8.97090909090909,12,0.0031456947326660156,0.12156343460083008,7,fec_simple_farthest_point,0.3
6,160,0.40408125843167564,0.10537390553151256,0.09890109890109888,0.8901098901098901,0.09890109890109888,18,31.638855780691298,4,2.8295589988081047,6,5.605482717520858,8.495828367103694,12,0.0023636817932128906,0.10749244689941406,7,fec_simple_farthest_point,0.3
7,165,0.40084753569783516,0.10253497754311368,0.09890109890109888,0.9010989010989011,0.09890109890109888,18,33.1437125748503,4,2.7233532934131737,6,5.464670658682635,8.106586826347305,12,0.0032787322998046875,0.20316791534423828,7,fec_simple_farthest_point,0.3
8,134,0.40125371164632145,0.10335743800447231,0.09890109890109888,0.9010989010989011,0.09890109890109888,18,33.11662817551963,4,2.648960739030023,6,5.471131639722864,7.882217090069284,12,0.0037622451782226562,0.12894630432128906,7,fec_simple_farthest_point,0.3
9,124,0.4006379905808478,0.102739598399996,0.09890109890109888,0.9076923076923077,0.09890109890109888,18,34.192,4,2.896,6,5.658285714285714,8.619428571428571,12,0.0032567977905273438,0.12445950508117676,7,fec_simple_farthest_point,0.3
10,121,0.4062454629652808,0.10958738232162842,0.09890109890109888,0.8945054945054945,0.09890109890109888,18,34.10364464692483,4,3.0979498861047836,6,5.882687927107061,9.203872437357631,12,0.003083467483520508,0.13329243659973145,7,fec_simple_farthest_point,0.3
11,138,0.4019122408913593,0.11179054406564727,0.09890109890109888,0.9010989010989011,0.09890109890109888,18,35.207656612529,4,3.0800464037122968,6,5.89907192575406,9.109048723897912,12,0.002964019775390625,0.21262359619140625,7,fec_simple_farthest_point,0.3
12,122,0.40539938421487404,0.127337755504949,0.09890109890109888,0.9010989010989011,0.09890109890109888,18,36.374715261959,4,3.3826879271070616,6,6.087699316628702,9.968109339407745,12,0.0038614273071289062,0.1474463939666748,7,fec_simple_farthest_point,0.3
13,105,0.4068564545074613,0.12647586893495444,0.09890109890109888,0.8769230769230769,0.09890109890109888,18,37.82326621923937,4,3.703579418344519,6,6.251677852348993,10.695749440715884,12,0.003567218780517578,0.1413102149963379,7,fec_simple_farthest_point,0.3
14,122,0.4101779769205738,0.13769995254992437,0.09890109890109888,0.9010989010989011,0.09890109890109888,18,38.1503416856492,4,3.7585421412300684,6,6.280182232346242,10.703872437357631,12,0.003462076187133789,0.15155816078186035,7,fec_simple_farthest_point,0.3
15,125,0.4139252948885977,0.14882891101642137,0.0945054945054945,0.8901098901098901,0.0945054945054945,51,40.153669724770644,6,3.86697247706422,6,6.314220183486238,10.825688073394495,13,0.001886606216430664,0.08601856231689453,7,fec_simple_farthest_point,0.3
16,112,0.41239887508207684,0.16086373740411444,0.0945054945054945,0.9010989010989011,0.0945054945054945,51,40.34723788049605,6,4.1228861330326945,6,6.481397970687711,11.235625704622322,13,0.0023584365844726562,0.1096639633178711,7,fec_simple_farthest_point,0.3
17,116,0.39888116418728664,0.17752856267390404,0.09230769230769231,0.9208791208791209,0.09230769230769231,30,42.09297052154195,6,4.429705215419501,7,6.6145124716553285,11.874149659863946,14,0.0018575191497802734,0.09920620918273926,7,fec_simple_farthest_point,0.3
18,96,0.39951702016074936,0.19883404396886914,0.09230769230769231,0.8945054945054945,0.09230769230769231,30,43.294117647058826,6,4.829078801331853,7,6.708102108768036,12.435072142064373,14,0.002183198928833008,0.1185297966003418,7,fec_simple_farthest_point,0.3
