gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,0.5222923076923076,0.12253348531050726,0.10329670329670326,0.8681318681318682,,36,22.651,8,4.88,7,5.748,15.23,24,0.0,0.10562825202941895,3,fec_simple_farthest_point,0.5
1,423,0.4511512750680861,0.1156652881521905,0.10329670329670326,0.6835164835164835,0.10329670329670326,36,27.743500866551127,8,4.452339688041595,7,6.095320623916811,13.859618717504333,24,0.0033864974975585938,0.18924546241760254,3,fec_simple_farthest_point,0.5
2,337,0.4233968143470406,0.10459514568623825,0.07912087912087917,0.8791208791208791,0.07912087912087917,55,30.11764705882353,11,4.051282051282051,8,6.199095022624435,12.687782805429864,28,0.003238677978515625,0.17936372756958008,3,fec_simple_farthest_point,0.5
3,283,0.41595475654053066,0.10257234833549021,0.07912087912087917,0.9010989010989011,0.07912087912087917,55,30.665271966527197,11,3.513249651324965,8,6.03068340306834,10.86750348675035,28,0.0037555694580078125,0.18203186988830566,3,fec_simple_farthest_point,0.5
4,209,0.41032132424537493,0.10032651082256046,0.07912087912087917,0.8637362637362638,0.07912087912087917,55,31.61772151898734,11,3.4531645569620255,8,6.077215189873418,10.59746835443038,28,0.0035712718963623047,0.15778660774230957,3,fec_simple_farthest_point,0.5
5,200,0.4142857142857143,0.10190493307301361,0.07912087912087917,0.6263736263736264,0.07912087912087917,55,32.61375,11,3.31375,8,5.925,9.94375,28,0.0044498443603515625,0.157761812210083,3,fec_simple_farthest_point,0.5
6,158,0.4201042714716912,0.11205072290854493,0.07912087912087917,0.8021978021978022,0.07912087912087917,55,33.3769322235434,11,3.2045184304399523,8,5.961950059453032,9.671819262782401,28,0.0034165382385253906,0.15024733543395996,3,fec_simple_farthest_point,0.5
7,174,0.42046137881488976,0.11414487899679833,0.07912087912087917,0.7450549450549451,0.07912087912087917,55,34.96246973365617,11,3.5617433414043584,8,6.154963680387409,10.654963680387409,28,0.0032880306243896484,0.2173168659210205,3,fec_simple_farthest_point,0.5
8,178,0.42972113045105753,0.12608787874270944,0.07912087912087917,0.9164835164835164,0.07912087912087917,55,37.04014598540146,11,4.260340632603406,8,6.47323600973236,12.319951338199514,28,0.002899169921875,0.1556718349456787,3,fec_simple_farthest_point,0.5
9,154,0.42465960075427533,0.1297171395877421,0.07912087912087917,0.8989010989010989,0.07912087912087917,55,37.9301775147929,11,4.3810650887573965,8,6.540828402366864,12.44852071005917,28,0.0027608871459960938,0.15284371376037598,3,fec_simple_farthest_point,0.5
