gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,0.5269516483516482,0.11184962456205272,0.1384615384615384,0.8989010989010989,,36,22.512,8,4.834,7,5.776,15.14,24,0.0,0.1222524642944336,22,fec_simple_farthest_point,0.1
1,409,0.4665216340343243,0.113793623564725,0.11208791208791213,0.6483516483516483,0.11208791208791213,27,26.766497461928935,7,4.311336717428088,7,6.10321489001692,13.385786802030458,21,0.002808094024658203,0.21170592308044434,22,fec_simple_farthest_point,0.1
2,329,0.43406265376414627,0.10468951999287596,0.08571428571428574,0.8945054945054945,0.08571428571428574,21,30.491044776119402,5,4.197014925373134,7,6.304477611940299,12.894029850746268,15,0.003354787826538086,0.2200312614440918,22,fec_simple_farthest_point,0.1
3,267,0.425196661262235,0.10331273892043474,0.08571428571428574,0.8813186813186813,0.08571428571428574,21,31.864754098360656,5,3.872950819672131,7,6.2349726775956285,11.818306010928962,15,0.003508329391479492,0.17638087272644043,22,fec_simple_farthest_point,0.1
4,244,0.42287751983116223,0.10685063791458467,0.08571428571428574,0.8725274725274725,0.08571428571428574,21,33.091390728476824,5,3.6927152317880796,7,6.227814569536424,11.119205298013245,15,0.003783702850341797,0.23047327995300293,22,fec_simple_farthest_point,0.1
5,217,0.41980832466765966,0.11502045374189174,0.08571428571428574,0.9032967032967033,0.08571428571428574,21,33.35549872122762,5,3.626598465473146,7,6.162404092071611,10.601023017902813,15,0.00632023811340332,0.20313692092895508,22,fec_simple_farthest_point,0.1
6,175,0.4218685324396138,0.13274922635341663,0.08571428571428574,0.8989010989010989,0.08571428571428574,21,35.765492102065615,5,4.110571081409478,7,6.3365735115431345,11.584447144592952,15,0.0031363964080810547,0.27931690216064453,22,fec_simple_farthest_point,0.1
7,184,0.4070113935144609,0.13949527426295996,0.08571428571428574,0.8989010989010989,0.08571428571428574,21,36.92883435582822,5,4.176687116564417,7,6.314110429447853,11.346012269938651,15,0.004840850830078125,0.38470029830932617,22,fec_simple_farthest_point,0.1
8,131,0.3982250468425584,0.16773580700503307,0.08571428571428574,0.8989010989010989,0.08571428571428574,21,38.27188940092166,5,4.514976958525345,7,6.373271889400922,11.72004608294931,15,0.004403829574584961,0.22143054008483887,22,fec_simple_farthest_point,0.1
9,108,0.39188959188959194,0.1835158890785466,0.08571428571428574,0.8813186813186813,0.08571428571428574,21,39.337822671156005,5,4.561167227833894,7,6.270482603815937,11.325476992143658,15,0.004571199417114258,0.2380068302154541,22,fec_simple_farthest_point,0.1
10,92,0.37878611454770394,0.20416590153350145,0.08571428571428574,0.9032967032967033,0.08571428571428574,21,40.941501103752756,5,4.820088300220751,7,6.342163355408388,11.666666666666666,15,0.0044748783111572266,0.2734556198120117,22,fec_simple_farthest_point,0.1
