gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,0.5276153846153845,0.11266995561676477,0.11428571428571432,0.8593406593406594,,19,22.865,4,4.934,7,5.732,15.37,13,0.0,0.2987363338470459,4,fec_simple_kmeans,0.3
1,432,0.45672035195844723,0.11053199534851282,0.11208791208791213,0.676923076923077,0.11208791208791213,25,28.21869488536155,4,4.474426807760141,7,6.109347442680776,13.75485008818342,13,0.005484580993652344,0.2862269878387451,4,fec_simple_kmeans,0.3
2,323,0.42901942961027156,0.10242112655856168,0.11208791208791213,0.8989010989010989,0.11208791208791213,25,30.15214180206795,4,3.9394387001477105,7,6.134416543574594,12.19202363367799,13,0.0033931732177734375,0.4166867733001709,4,fec_simple_kmeans,0.3
3,252,0.4257961877264826,0.09881092315423472,0.11208791208791213,0.8307692307692307,0.11208791208791213,25,31.20643431635389,4,3.53485254691689,7,6.056300268096515,10.768096514745308,13,0.003814220428466797,0.22764968872070312,4,fec_simple_kmeans,0.3
4,217,0.41427308323860046,0.09664796339747375,0.11208791208791213,0.8571428571428572,0.11208791208791213,25,32.69476372924649,4,3.5019157088122603,7,6.071519795657727,10.613026819923371,13,0.0036208629608154297,0.24330425262451172,4,fec_simple_kmeans,0.3
5,195,0.4159743362227834,0.10213833112962611,0.10769230769230764,0.8307692307692307,0.10769230769230764,53,32.98757763975155,6,3.3167701863354035,6,5.9937888198757765,9.919254658385093,13,0.0043828487396240234,0.2532777786254883,4,fec_simple_kmeans,0.3
6,207,0.424411401964996,0.11468480387698614,0.09670329670329669,0.8857142857142857,0.09670329670329669,50,34.73139974779319,7,3.493064312736444,8,6.073139974779319,10.201765447667087,17,0.004042148590087891,0.3622264862060547,4,fec_simple_kmeans,0.3
7,180,0.423111766282498,0.12376322974136983,0.09670329670329669,0.8571428571428572,0.09670329670329669,50,37.93414634146342,7,3.8182926829268293,8,6.251219512195122,10.907317073170733,17,0.004325389862060547,0.2695474624633789,4,fec_simple_kmeans,0.3
8,152,0.41279286750984867,0.13260516854991244,0.08351648351648355,0.9032967032967033,0.08351648351648355,27,39.7122641509434,6,4.214622641509434,6,6.536556603773585,11.870283018867925,13,0.0046842098236083984,0.2954881191253662,4,fec_simple_kmeans,0.3
9,151,0.4132620626127119,0.14998256852424133,0.08351648351648355,0.8923076923076922,0.08351648351648355,27,43.76741440377804,6,4.898465171192444,6,6.785123966942149,13.30814639905549,13,0.004881381988525391,0.2959330081939697,4,fec_simple_kmeans,0.3
10,147,0.40978833593136055,0.16316403221147585,0.08351648351648355,0.8923076923076922,0.08351648351648355,27,46.5662368112544,6,5.6271981242672915,6,7.036342321219227,14.841735052754983,13,0.004615068435668945,0.3373699188232422,4,fec_simple_kmeans,0.3
11,167,0.413792465056003,0.17296252141294752,0.08351648351648355,0.8879120879120879,0.08351648351648355,27,47.7797833935018,6,6.176895306859206,6,7.1732851985559565,15.832731648616125,13,0.0052547454833984375,0.34920525550842285,4,fec_simple_kmeans,0.3
12,157,0.388443898550914,0.18151017233245742,0.08131868131868136,0.9164835164835164,0.08131868131868136,34,50.123662306777646,6,6.322235434007134,6,7.055885850178359,15.760998810939357,13,0.005167722702026367,0.33704662322998047,4,fec_simple_kmeans,0.3
13,112,0.36845507433742725,0.19017565360319705,0.08131868131868136,0.8879120879120879,0.08131868131868136,34,52.18099547511312,6,6.449095022624435,6,6.897058823529412,15.521493212669684,13,0.0060079097747802734,0.32909464836120605,4,fec_simple_kmeans,0.3
14,112,0.3538833626869744,0.19355752272149745,0.08131868131868136,0.9164835164835164,0.08131868131868136,34,55.761851015801355,6,6.686230248306997,6,6.8284424379232505,15.668171557562077,13,0.0048980712890625,0.3362863063812256,4,fec_simple_kmeans,0.3
15,98,0.353992673992674,0.20224854701137174,0.08131868131868136,0.9164835164835164,0.08131868131868136,34,57.40111111111111,6,6.9511111111111115,6,6.861111111111111,16.113333333333333,13,0.005270719528198242,0.3364992141723633,4,fec_simple_kmeans,0.3
16,92,0.3452589399550725,0.20213299021338862,0.08131868131868136,0.9186813186813186,0.08131868131868136,34,58.005524861878456,6,6.9779005524861875,6,6.809944751381216,16.03314917127072,13,0.00479435920715332,0.3316938877105713,4,fec_simple_kmeans,0.3
17,90,0.34973256831663907,0.2049581766676087,0.08131868131868136,0.9164835164835164,0.08131868131868136,34,60.06858407079646,6,7.540929203539823,6,6.977876106194691,17.27433628318584,13,0.004839897155761719,0.3539302349090576,4,fec_simple_kmeans,0.3
18,95,0.3671572330108915,0.2082350300829201,0.08131868131868136,0.9164835164835164,0.08131868131868136,34,60.71507760532151,6,7.5631929046563195,6,6.96230598669623,17.239467849223946,13,0.004686594009399414,0.35601162910461426,4,fec_simple_kmeans,0.3
19,96,0.353505031553812,0.20752153156476413,0.08131868131868136,0.9164835164835164,0.08131868131868136,34,59.62305986696231,6,7.158536585365853,6,6.8137472283813745,16.21729490022173,13,0.004587650299072266,0.3399367332458496,4,fec_simple_kmeans,0.3
20,86,0.348439512294934,0.20770270744563393,0.08131868131868136,0.9164835164835164,0.08131868131868136,34,63.12267250821468,6,7.182913472070099,6,6.779846659364732,16.20591456736035,13,0.005102634429931641,0.334186315536499,4,fec_simple_kmeans,0.3
21,82,0.3554105283362925,0.2115545728562063,0.08131868131868136,0.9186813186813186,0.08131868131868136,34,66.2849344978166,6,7.611353711790393,6,6.935589519650655,17.100436681222707,13,0.004827976226806641,0.3395662307739258,4,fec_simple_kmeans,0.3
22,79,0.3476166534990064,0.20519900113512707,0.08131868131868136,0.9164835164835164,0.08131868131868136,34,69.31481481481481,6,7.771241830065359,6,6.976034858387799,17.434640522875817,13,0.0048444271087646484,0.3554422855377197,4,fec_simple_kmeans,0.3
