gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,0.534621978021978,0.1411416009985136,0.08791208791208793,0.9142857142857143,,30,22.818,6,4.92,7,5.755,15.355,20,0.0,0.06936430931091309,24,fec_simple_farthest_point,0.4
1,434,0.45560128917019366,0.1413229447166251,0.08791208791208793,0.9164835164835164,0.08791208791208793,30,27.353356890459363,6,4.3568904593639575,7,6.0,13.386925795053003,20,0.002218008041381836,0.13334918022155762,24,fec_simple_farthest_point,0.4
2,341,0.408924611049042,0.11936813084298104,0.08791208791208793,0.9120879120879121,0.08791208791208793,30,29.76176024279211,6,3.9863429438543245,7,6.107738998482549,12.283763277693476,20,0.0024213790893554688,0.1281297206878662,24,fec_simple_farthest_point,0.4
3,260,0.4111583011583011,0.12014347007513254,0.08791208791208793,0.8527472527472527,0.08791208791208793,30,30.232432432432432,6,3.622972972972973,7,5.963513513513513,11.091891891891892,20,0.002790212631225586,0.12331485748291016,24,fec_simple_farthest_point,0.4
4,230,0.3984387041529899,0.12267003469442975,0.08791208791208793,0.9120879120879121,0.08791208791208793,30,32.08571428571429,6,3.5246753246753246,7,6.0285714285714285,10.751948051948052,20,0.0025529861450195312,0.11996960639953613,24,fec_simple_farthest_point,0.4
5,179,0.3925167515411417,0.12342585556075905,0.08791208791208793,0.8813186813186813,0.08791208791208793,30,32.88414634146341,6,3.624390243902439,7,6.095121951219512,10.858536585365854,20,0.0029222965240478516,0.12152504920959473,24,fec_simple_farthest_point,0.4
6,204,0.40469379866364785,0.13802546681946576,0.08791208791208793,0.9120879120879121,0.08791208791208793,30,35.5891959798995,6,3.7814070351758793,7,6.314070351758794,11.344221105527637,20,0.0026836395263671875,0.12977051734924316,24,fec_simple_farthest_point,0.4
7,185,0.4000134834490661,0.14406385510724531,0.08791208791208793,0.9120879120879121,0.08791208791208793,30,36.94355828220859,6,4.001226993865031,7,6.375460122699386,11.785276073619633,20,0.003036022186279297,0.22861504554748535,24,fec_simple_farthest_point,0.4
8,155,0.4108303530788737,0.15147533875963484,0.08791208791208793,0.9142857142857143,0.08791208791208793,30,39.35621301775148,6,4.171597633136095,7,6.5325443786982245,12.353846153846154,20,0.0030972957611083984,0.14000868797302246,24,fec_simple_farthest_point,0.4
9,140,0.4100894454382826,0.1532335275208172,0.08791208791208793,0.9120879120879121,0.08791208791208793,30,40.13837209302326,6,4.804651162790698,7,6.930232558139535,14.072093023255814,20,0.003209829330444336,0.15615034103393555,24,fec_simple_farthest_point,0.4
10,185,0.40700330344502117,0.1605873052128095,0.08571428571428574,0.9120879120879121,0.08571428571428574,32,42.9079754601227,5,5.191411042944785,7,7.16441717791411,15.245398773006135,15,0.0032227039337158203,0.1539921760559082,24,fec_simple_farthest_point,0.4
11,179,0.41591465781477954,0.1644177275273583,0.08571428571428574,0.9142857142857143,0.08571428571428574,32,45.51644336175396,5,5.522533495736906,7,7.2582216808769795,16.12545676004872,15,0.0027658939361572266,0.16478896141052246,24,fec_simple_farthest_point,0.4
12,188,0.40209753255375946,0.16489911383944766,0.08571428571428574,0.9120879120879121,0.08571428571428574,32,47.79531442663379,5,6.055487053020962,7,7.5659679408138105,17.456226880394574,15,0.003068685531616211,0.171600341796875,24,fec_simple_farthest_point,0.4
13,158,0.4037788608537716,0.16777610624070385,0.08571428571428574,0.8791208791208791,0.08571428571428574,32,49.55529131985731,5,6.305588585017836,7,7.794292508917954,18.141498216409037,15,0.003122091293334961,0.18507790565490723,24,fec_simple_farthest_point,0.4
14,157,0.4045469969460468,0.18021029413740178,0.07692307692307687,0.9120879120879121,0.07692307692307687,47,51.9061757719715,14,6.932304038004751,10,8.054631828978623,19.622327790973873,37,0.0032193660736083984,0.19198036193847656,24,fec_simple_farthest_point,0.4
15,177,0.39408222397286785,0.17593765489929877,0.07692307692307687,0.9142857142857143,0.07692307692307687,47,56.523693803159176,14,7.698663426488457,10,8.443499392466586,21.515188335358445,37,0.0030112266540527344,0.20630335807800293,24,fec_simple_farthest_point,0.4
16,161,0.4018205870410876,0.19261582684267406,0.07692307692307687,0.9120879120879121,0.07692307692307687,47,61.537544696066746,14,8.6865315852205,10,8.873659117997617,24.222884386174016,37,0.003084897994995117,0.2208569049835205,24,fec_simple_farthest_point,0.4
17,162,0.4064832542159511,0.1917501634462959,0.0703296703296703,0.9120879120879121,0.0703296703296703,42,64.26491646778042,10,9.643198090692124,9,9.274463007159904,26.744630071599044,31,0.0034291744232177734,0.23711442947387695,24,fec_simple_farthest_point,0.4
18,149,0.41242494285972536,0.19493894841434448,0.0703296703296703,0.9186813186813186,0.0703296703296703,42,68.13983548766157,10,10.222091656874266,9,9.479435957696827,28.26674500587544,31,0.003155231475830078,0.24528980255126953,24,fec_simple_farthest_point,0.4
19,154,0.401139215813772,0.19368394193392252,0.0703296703296703,0.9120879120879121,0.0703296703296703,42,72.61775147928994,10,10.125443786982249,9,9.389349112426036,28.275739644970415,31,0.0034842491149902344,0.27667999267578125,24,fec_simple_farthest_point,0.4
20,136,0.40727258852258846,0.19643612768101448,0.0703296703296703,0.9120879120879121,0.0703296703296703,42,76.47916666666667,10,10.563657407407407,9,9.67824074074074,29.65740740740741,31,0.0066111087799072266,0.3332099914550781,24,fec_simple_farthest_point,0.4
21,149,0.3984995028473288,0.19891518984360557,0.0703296703296703,0.9208791208791209,0.0703296703296703,42,80.56639247943596,10,11.576968272620446,9,10.054054054054054,32.413631022326676,31,0.0032858848571777344,0.241898775100708,24,fec_simple_farthest_point,0.4
22,159,0.4033345964380447,0.2059050399985532,0.0703296703296703,0.9186813186813186,0.0703296703296703,42,84.6896551724138,10,11.736028537455411,9,10.02972651605232,32.829964328180736,31,0.002182483673095703,0.23470807075500488,24,fec_simple_farthest_point,0.4
23,169,0.4094365321802144,0.20983112197606513,0.0703296703296703,0.9120879120879121,0.0703296703296703,42,89.31167268351383,10,12.409145607701564,9,10.127557160048134,34.56317689530686,31,0.002341032028198242,0.3052334785461426,24,fec_simple_farthest_point,0.4
24,167,0.4088413387332955,0.21221676331143688,0.0703296703296703,0.9120879120879121,0.0703296703296703,42,94.50540216086435,10,12.398559423769507,9,10.117647058823529,34.81272509003601,31,0.002668142318725586,0.29279661178588867,24,fec_simple_farthest_point,0.4
25,163,0.41643493901558415,0.21793189788174303,0.0703296703296703,0.9120879120879121,0.0703296703296703,42,98.89008363201911,10,13.376344086021506,9,10.350059737156512,37.23178016726404,31,0.0024797916412353516,0.34078478813171387,24,fec_simple_farthest_point,0.4
26,160,0.41130859605233855,0.2196933941558929,0.0703296703296703,0.9120879120879121,0.0703296703296703,42,103.93563766388557,10,13.864123957091776,9,10.524433849821216,38.71275327771156,31,0.003731250762939453,0.307741641998291,24,fec_simple_farthest_point,0.4
27,155,0.40390662591846016,0.22287422501180496,0.0703296703296703,0.9120879120879121,0.0703296703296703,42,108.46863905325444,10,14.989349112426035,9,11.022485207100592,41.72544378698225,31,0.003829479217529297,0.3066840171813965,24,fec_simple_farthest_point,0.4
28,167,0.4173053836919382,0.2304443354889006,0.0703296703296703,0.9120879120879121,0.0703296703296703,42,117.05402160864345,10,15.699879951980792,9,11.0984393757503,43.36374549819928,31,0.003409147262573242,0.4168870449066162,24,fec_simple_farthest_point,0.4
29,179,0.4252384977659702,0.22736227912710566,0.0703296703296703,0.9120879120879121,0.0703296703296703,42,120.14896214896216,10,15.623931623931623,9,10.94993894993895,43.35775335775336,31,0.007111072540283203,0.4750993251800537,24,fec_simple_farthest_point,0.4
30,145,0.4350311676627465,0.22735068762922506,0.0703296703296703,0.9120879120879121,0.0703296703296703,42,122.0093567251462,10,15.32046783625731,9,10.95204678362573,42.994152046783626,31,0.002496957778930664,0.38825082778930664,24,fec_simple_farthest_point,0.4
31,154,0.41772270282908575,0.22701223858050945,0.0703296703296703,0.9120879120879121,0.0703296703296703,42,124.83687943262412,10,15.522458628841608,9,10.976359338061465,43.50709219858156,31,0.0026073455810546875,0.34487152099609375,24,fec_simple_farthest_point,0.4
32,160,0.41766875981161683,0.2325280178669076,0.0703296703296703,0.9120879120879121,0.0703296703296703,42,136.64642857142857,10,15.019047619047619,9,10.744047619047619,42.16309523809524,31,0.002844095230102539,0.3379228115081787,24,fec_simple_farthest_point,0.4
33,159,0.4318812140240711,0.23162431560428168,0.0703296703296703,0.9142857142857143,0.0703296703296703,42,138.82619047619048,10,16.288095238095238,9,11.023809523809524,45.29761904761905,31,0.0022487640380859375,0.5108129978179932,24,fec_simple_farthest_point,0.4
34,151,0.4169663081323858,0.230791791765902,0.0703296703296703,0.9120879120879121,0.0703296703296703,42,142.06949352179035,10,15.663133097762072,9,10.8150765606596,44.03651354534747,31,0.003942012786865234,0.6062893867492676,24,fec_simple_farthest_point,0.4
35,152,0.42828859452236073,0.23017150226206176,0.0703296703296703,0.9120879120879121,0.0703296703296703,42,157.04368358913814,10,17.388429752066116,9,11.336481700118064,48.553719008264466,31,0.0032012462615966797,0.48557448387145996,24,fec_simple_farthest_point,0.4
36,158,0.4209522069379551,0.23118901386597368,0.0703296703296703,0.9142857142857143,0.0703296703296703,42,167.8040380047506,10,18.612826603325416,9,11.633016627078385,51.60332541567696,31,0.00327301025390625,0.6131393909454346,24,fec_simple_farthest_point,0.4
37,129,0.42676473927909053,0.23165118923760358,0.0703296703296703,0.9120879120879121,0.0703296703296703,42,185.40642939150402,10,18.544202066590127,9,11.475315729047072,51.35132032146957,31,0.004499673843383789,0.7509903907775879,24,fec_simple_farthest_point,0.4
38,170,0.41833443664768954,0.23164264898083117,0.0703296703296703,0.9120879120879121,0.0703296703296703,42,187.1843373493976,10,18.63012048192771,9,11.495180722891567,51.59879518072289,31,0.003477334976196289,0.7441191673278809,24,fec_simple_farthest_point,0.4
39,141,0.43130141104529923,0.23612866386333609,0.0703296703296703,0.9230769230769231,0.0703296703296703,42,199.13504074505238,10,18.443538998835855,9,11.50058207217695,50.80675203725262,31,0.0024313926696777344,0.718315839767456,24,fec_simple_farthest_point,0.4
40,149,0.4254464689247297,0.2355248767073705,0.0703296703296703,0.9120879120879121,0.0703296703296703,42,217.62984723854288,10,18.955346650998823,9,11.506462984723854,52.350176263219744,31,0.004237174987792969,0.6711709499359131,24,fec_simple_farthest_point,0.4
41,115,0.4235922269820574,0.2405509467786835,0.0703296703296703,0.9208791208791209,0.0703296703296703,42,218.36497175141244,10,17.57175141242938,9,11.169491525423728,48.76497175141243,31,0.0026464462280273438,0.7991080284118652,24,fec_simple_farthest_point,0.4
42,105,0.45062557554177657,0.2312301618745633,0.0703296703296703,0.9120879120879121,0.0703296703296703,42,228.72067039106145,10,18.120670391061452,9,11.188826815642457,49.78212290502793,31,0.003326416015625,0.8108720779418945,24,fec_simple_farthest_point,0.4
43,95,0.44724424746524183,0.22549806108622206,0.0703296703296703,0.9142857142857143,0.0703296703296703,42,234.1657458563536,10,16.650828729281766,9,10.787845303867403,46.424309392265194,31,0.002635478973388672,0.7444865703582764,24,fec_simple_farthest_point,0.4
44,108,0.4547553343517468,0.21886492443293776,0.0703296703296703,0.9164835164835164,0.0703296703296703,42,235.24663677130044,10,16.09641255605381,9,10.612107623318385,44.78363228699551,31,0.0029296875,0.703650712966919,24,fec_simple_farthest_point,0.4
45,93,0.4450561566327828,0.21637396704547132,0.0703296703296703,0.9120879120879121,0.0703296703296703,42,236.01433296582138,10,14.30981256890849,9,10.105843439911798,39.794928335170894,31,0.0028028488159179688,0.8252902030944824,24,fec_simple_farthest_point,0.4
46,96,0.44802343674025075,0.21550734148094344,0.0703296703296703,0.9120879120879121,0.0703296703296703,42,244.73893805309734,10,14.849557522123893,9,10.27212389380531,41.27654867256637,31,0.0036263465881347656,0.846268892288208,24,fec_simple_farthest_point,0.4
47,98,0.45229648400380096,0.2063272979357567,0.0703296703296703,0.9120879120879121,0.0703296703296703,42,252.49667405764967,10,13.28159645232816,9,9.70509977827051,37.08869179600887,31,0.003445863723754883,0.893592119216919,24,fec_simple_farthest_point,0.4
48,85,0.4330991412958625,0.2070547556519829,0.0703296703296703,0.9120879120879121,0.0703296703296703,42,251.27540983606556,10,11.869945355191257,9,9.485245901639344,33.566120218579236,31,0.002489328384399414,0.9052469730377197,24,fec_simple_farthest_point,0.4
49,82,0.4277717924776747,0.20461608535464193,0.0703296703296703,0.9120879120879121,0.0703296703296703,42,258.6862745098039,10,11.59368191721133,9,9.502178649237473,32.967320261437905,31,0.0034639835357666016,0.784588098526001,24,fec_simple_farthest_point,0.4
50,71,0.43560960030281876,0.20453031939611888,0.0703296703296703,0.9120879120879121,0.0703296703296703,42,269.58342303552206,10,10.398277717976319,9,9.010764262648008,29.828848223896664,31,0.002498149871826172,0.6829590797424316,24,fec_simple_farthest_point,0.4
