gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,0.5219956043956044,0.10434774926290818,0.10989010989010994,0.8747252747252747,,36,22.353,8,4.82,7,5.765,15.042,24,0.0,0.05151081085205078,16,fec_simple_farthest_point,0.4
1,430,0.4642799305957201,0.10191829457964958,0.0945054945054945,0.7450549450549451,0.0945054945054945,21,29.294736842105262,5,4.891228070175439,7,6.268421052631579,15.242105263157894,15,0.0019032955169677734,0.22109580039978027,16,fec_simple_farthest_point,0.4
2,362,0.4416824554755589,0.10143224708174954,0.08131868131868136,0.8879120879120879,0.08131868131868136,47,30.91849529780564,12,4.54858934169279,8,6.308777429467084,13.918495297805643,34,0.0018699169158935547,0.18123650550842285,16,fec_simple_farthest_point,0.4
3,282,0.43122532064036245,0.09362243588961625,0.08131868131868136,0.7406593406593407,0.08131868131868136,47,32.22284122562674,12,4.149025069637883,8,6.218662952646239,12.525069637883009,34,0.005545139312744141,0.16492104530334473,16,fec_simple_farthest_point,0.4
4,253,0.4277770422348735,0.09520415496282199,0.08131868131868136,0.8989010989010989,0.08131868131868136,47,34.91967871485944,12,4.156626506024097,8,6.353413654618474,12.551539491298527,34,0.0028769969940185547,0.1410069465637207,16,fec_simple_farthest_point,0.4
5,220,0.43545787545787545,0.0986466195787621,0.08131868131868136,0.8461538461538461,0.08131868131868136,47,36.14358974358974,12,4.164102564102564,8,6.401282051282052,12.557692307692308,34,0.0028727054595947266,0.1410207748413086,16,fec_simple_farthest_point,0.4
6,200,0.436034053555956,0.09656500759698217,0.08131868131868136,0.6989010989010989,0.08131868131868136,47,39.45181476846057,12,4.351689612015019,8,6.546933667083855,13.14017521902378,34,0.0029745101928710938,0.11542677879333496,16,fec_simple_farthest_point,0.4
7,195,0.4450617705276091,0.10433690297314131,0.08131868131868136,0.8351648351648352,0.08131868131868136,47,42.76645962732919,12,4.874534161490684,8,6.829813664596274,14.68695652173913,34,0.0027227401733398438,0.19212698936462402,16,fec_simple_farthest_point,0.4
8,206,0.44774545353890455,0.11276971662208443,0.07252747252747249,0.7736263736263737,0.07252747252747249,47,46.515113350125944,12,5.238035264483627,8,7.1183879093199,15.913098236775818,34,0.002347707748413086,0.20081543922424316,16,fec_simple_farthest_point,0.4
9,239,0.45025486996577674,0.11850941778198161,0.07252747252747249,0.8923076923076922,0.07252747252747249,47,50.2431011826544,12,5.844940867279895,8,7.494086727989488,17.64651773981603,34,0.0033271312713623047,0.149169921875,16,fec_simple_farthest_point,0.4
10,222,0.4556795389700275,0.12058983771544972,0.07252747252747249,0.8923076923076922,0.07252747252747249,47,52.440874035989715,12,6.643958868894601,8,7.997429305912596,19.853470437017997,34,0.0023131370544433594,0.145233154296875,16,fec_simple_farthest_point,0.4
11,210,0.4665433300876339,0.13029141041707373,0.07252747252747249,0.8989010989010989,0.07252747252747249,47,54.630379746835445,12,7.026582278481013,8,8.169620253164556,20.930379746835442,34,0.002065420150756836,0.1516094207763672,16,fec_simple_farthest_point,0.4
12,208,0.457914307914308,0.12149828859548188,0.07252747252747249,0.9208791208791209,0.07252747252747249,47,57.061868686868685,12,7.179292929292929,8,8.285353535353535,21.31313131313131,34,0.0029494762420654297,0.17504286766052246,16,fec_simple_farthest_point,0.4
13,194,0.46282165039929013,0.12241060087660201,0.07252747252747249,0.9098901098901099,0.07252747252747249,47,58.414906832298136,12,7.361490683229814,8,8.479503105590062,21.97888198757764,34,0.0022115707397460938,0.15753936767578125,16,fec_simple_farthest_point,0.4
14,209,0.4605215265139412,0.12646161172000586,0.0703296703296703,0.8747252747252747,0.0703296703296703,101,58.740834386852086,29,7.883691529709229,11,8.748419721871048,23.413400758533502,82,0.0025212764739990234,0.18333649635314941,16,fec_simple_farthest_point,0.4
15,215,0.4613562457950214,0.12892176415849338,0.0703296703296703,0.8087912087912088,0.0703296703296703,101,62.21938775510204,29,8.357142857142858,11,8.880102040816327,24.642857142857142,82,0.0024216175079345703,0.21729731559753418,16,fec_simple_farthest_point,0.4
