gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,0.5306087912087912,0.11814360628622976,0.1428571428571429,0.8637362637362638,,36,22.643,8,4.878,7,5.734,15.231,24,0.0,0.10216236114501953,3,fec_simple_kmeans,0.5
1,437,0.4567915210899225,0.11589790636426789,0.1428571428571429,0.8351648351648352,0.1428571428571429,36,26.888099467140318,8,4.378330373001776,7,6.037300177619893,13.650088809946714,24,0.003046274185180664,0.19093585014343262,3,fec_simple_kmeans,0.5
2,369,0.42551892551892556,0.10266675442451016,0.1428571428571429,0.8945054945054945,0.1428571428571429,36,28.796825396825398,8,3.895238095238095,7,6.092063492063492,12.134920634920634,24,0.0035467147827148438,0.1812891960144043,3,fec_simple_kmeans,0.5
3,260,0.4244371844371845,0.10098583362193624,0.10329670329670326,0.7076923076923076,0.10329670329670326,29,30.372972972972974,6,3.747297297297297,6,6.147297297297297,11.494594594594595,13,0.004278421401977539,0.2006685733795166,3,fec_simple_kmeans,0.5
4,200,0.4187472527472528,0.09808685824028285,0.10329670329670326,0.8967032967032967,0.10329670329670326,29,31.69125,6,3.78625,6,6.1825,11.4,13,0.004250764846801758,0.27593564987182617,3,fec_simple_kmeans,0.5
5,213,0.42330452266919866,0.0993785821766138,0.10329670329670326,0.7956043956043957,0.10329670329670326,29,32.31257941550191,6,3.733163913595934,6,6.171537484116899,11.119440914866582,13,0.007372140884399414,0.2834320068359375,3,fec_simple_kmeans,0.5
6,198,0.4247273325925011,0.10595823733260999,0.10329670329670326,0.8461538461538461,0.10329670329670326,29,33.655430711610485,6,3.6429463171036205,6,6.138576779026217,10.895131086142323,13,0.009531021118164062,0.48218536376953125,3,fec_simple_kmeans,0.5
7,167,0.4285237653912354,0.11265732346508041,0.10329670329670326,0.8923076923076922,0.10329670329670326,29,36.00843373493976,6,4.178313253012048,6,6.420481927710844,12.214457831325301,13,0.003754854202270508,0.3375077247619629,3,fec_simple_kmeans,0.5
8,170,0.43153899240855775,0.1173216406173971,0.10329670329670326,0.8725274725274725,0.10329670329670326,29,38.69202898550725,6,4.414251207729468,6,6.543478260869565,12.900966183574878,13,0.0037941932678222656,0.25338172912597656,3,fec_simple_kmeans,0.5
9,188,0.42598386834840035,0.11927899809535589,0.08571428571428574,0.8527472527472527,0.08571428571428574,37,40.1871921182266,11,4.758620689655173,8,6.682266009852217,13.687192118226601,23,0.0044057369232177734,0.23823761940002441,3,fec_simple_kmeans,0.5
10,192,0.4366989446197367,0.12664912321640925,0.08571428571428574,0.8351648351648352,0.08571428571428574,37,42.899752475247524,11,5.435643564356436,8,7.086633663366337,15.56559405940594,23,0.005843639373779297,0.2644670009613037,3,fec_simple_kmeans,0.5
11,179,0.4366362905387296,0.13679954136989217,0.07912087912087917,0.9208791208791209,0.07912087912087917,33,45.801219512195125,6,6.325609756097561,6,7.439024390243903,17.83780487804878,13,0.0047647953033447266,0.29985690116882324,3,fec_simple_kmeans,0.5
12,184,0.43444481898469633,0.13752537311115698,0.07912087912087917,0.8747252747252747,0.07912087912087917,33,48.755828220858895,6,6.720245398773006,6,7.543558282208589,18.499386503067484,13,0.004830837249755859,0.295229434967041,3,fec_simple_kmeans,0.5
13,155,0.4227403109405493,0.14803872491631118,0.07912087912087917,0.7912087912087912,0.07912087912087917,33,50.7580452920143,6,6.99880810488677,6,7.7353992848629325,19.228843861740167,13,0.00509190559387207,0.31162142753601074,3,fec_simple_kmeans,0.5
14,146,0.41674368034792064,0.16837506517744671,0.07912087912087917,0.9208791208791209,0.07912087912087917,33,53.177856301531214,6,7.226148409893993,6,7.772673733804476,19.319199057714957,13,0.005156040191650391,0.30724430084228516,3,fec_simple_kmeans,0.5
