gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,0.534186813186813,0.12217550541699461,0.09230769230769231,0.9010989010989011,,36,22.644,8,4.883,7,5.74,15.224,24,0.0,0.2914590835571289,6,fec_simple_farthest_point,0.3
1,399,0.4649978972774315,0.11905066585381556,0.09230769230769231,0.8791208791208791,0.09230769230769231,36,27.532445923460898,8,4.381031613976705,7,6.026622296173045,13.559068219633943,24,0.005738496780395508,0.2993590831756592,6,fec_simple_farthest_point,0.3
2,334,0.42712932712932716,0.10414330988372293,0.09230769230769231,0.8461538461538461,0.09230769230769231,36,29.15915915915916,8,3.936936936936937,7,6.07057057057057,12.11111111111111,24,0.004435062408447266,0.2690310478210449,6,fec_simple_farthest_point,0.3
3,279,0.4157626007834052,0.09365551777469709,0.09230769230769231,0.8725274725274725,0.09230769230769231,36,29.704576976421638,8,3.3398058252427183,7,5.836338418862691,10.277392510402219,24,0.004789113998413086,0.2664070129394531,6,fec_simple_farthest_point,0.3
4,196,0.408654529550052,0.0880122471693875,0.09230769230769231,0.8725274725274725,0.09230769230769231,36,29.011194029850746,8,2.7139303482587063,7,5.447761194029851,8.267412935323383,24,0.004719972610473633,0.2635476589202881,6,fec_simple_farthest_point,0.3
5,161,0.4067558186747699,0.08470751771478947,0.09230769230769231,0.7824175824175824,0.09230769230769231,36,29.30512514898689,8,2.32419547079857,7,5.224076281287247,7.148986889153755,24,0.004763126373291016,0.23937416076660156,6,fec_simple_farthest_point,0.3
6,125,0.40353406593406593,0.08152145938924676,0.09230769230769231,0.8725274725274725,0.09230769230769231,36,30.110857142857142,8,2.3737142857142857,7,5.234285714285714,7.230857142857142,24,0.00458073616027832,0.2398841381072998,6,fec_simple_farthest_point,0.3
7,91,0.39749271630459754,0.08005675011120382,0.09230769230769231,0.6241758241758242,0.09230769230769231,36,29.374037403740374,8,2.0858085808580857,7,5.0495049504950495,6.372937293729373,24,0.005102396011352539,0.3402848243713379,6,fec_simple_farthest_point,0.3
8,90,0.4009032725516242,0.09078520543494369,0.09230769230769231,0.8879120879120879,0.09230769230769231,36,30.485714285714284,8,2.024175824175824,7,5.007692307692308,6.115384615384615,24,0.004452705383300781,0.22053217887878418,6,fec_simple_farthest_point,0.3
9,74,0.4007025372036172,0.09551743596343021,0.09230769230769231,0.8703296703296703,0.09230769230769231,36,31.06155507559395,8,2.1079913606911447,7,5.0626349892008635,6.26889848812095,24,0.004565000534057617,0.22993206977844238,6,fec_simple_farthest_point,0.3
10,73,0.40100999324300307,0.10247409423809684,0.09230769230769231,0.8879120879120879,0.09230769230769231,36,32.30960086299892,8,2.220064724919094,7,5.188781014023732,6.566343042071197,24,0.004301786422729492,0.2360379695892334,6,fec_simple_farthest_point,0.3
11,76,0.3958945816088674,0.1067969577304932,0.09230769230769231,0.8879120879120879,0.09230769230769231,36,33.391774891774894,8,2.3376623376623376,7,5.215367965367966,6.71969696969697,24,0.004736661911010742,0.23804306983947754,6,fec_simple_farthest_point,0.3
12,96,0.396665571416402,0.12334825223369728,0.09230769230769231,0.8879120879120879,0.09230769230769231,36,35.08527131782946,8,2.565891472868217,7,5.470653377630121,7.258028792912514,24,0.005070209503173828,0.30692386627197266,6,fec_simple_farthest_point,0.3
13,79,0.39328953655040616,0.14334307428264448,0.09230769230769231,0.8879120879120879,0.09230769230769231,36,36.47717391304348,8,2.825,7,5.8130434782608695,7.916304347826087,24,0.005334377288818359,0.341275691986084,6,fec_simple_farthest_point,0.3
14,92,0.38415307159800555,0.16216682656186576,0.09230769230769231,0.8901098901098901,0.09230769230769231,36,38.52312775330397,8,3.2059471365638768,7,6.154185022026431,8.758810572687224,24,0.006670713424682617,0.283419132232666,6,fec_simple_farthest_point,0.3
15,79,0.3862637362637363,0.1835805939554547,0.09230769230769231,0.8901098901098901,0.09230769230769231,36,40.19456521739131,8,3.6456521739130436,7,6.613043478260869,9.844565217391304,24,0.004910945892333984,0.2853519916534424,6,fec_simple_farthest_point,0.3
16,78,0.38999629315189704,0.20198595500134914,0.09230769230769231,0.8879120879120879,0.09230769230769231,36,41.46028291621327,8,4.2491838955386285,7,7.097932535364527,11.261153427638737,24,0.004942178726196289,0.28398895263671875,6,fec_simple_farthest_point,0.3
17,93,0.3744140814937275,0.20606876412105546,0.09230769230769231,0.9076923076923077,0.09230769230769231,36,43.49225663716814,8,4.628318584070796,7,7.372787610619469,12.100663716814159,24,0.004656553268432617,0.295133113861084,6,fec_simple_farthest_point,0.3
18,85,0.3759108361518,0.21340704275394887,0.09230769230769231,0.8879120879120879,0.09230769230769231,36,45.89047097480832,8,4.897042716319825,7,7.585980284775466,12.664841182913472,24,0.00489044189453125,0.3071572780609131,6,fec_simple_farthest_point,0.3
19,77,0.38019105077928605,0.21763931091877117,0.09230769230769231,0.8901098901098901,0.09230769230769231,36,46.92047930283224,8,5.0,7,7.69281045751634,12.84967320261438,24,0.004861354827880859,0.3114926815032959,6,fec_simple_farthest_point,0.3
20,96,0.36940903540903536,0.22311098916330688,0.09230769230769231,0.8879120879120879,0.09230769230769231,36,49.19111111111111,8,5.233333333333333,7,7.835555555555556,13.28111111111111,24,0.005076169967651367,0.310896635055542,6,fec_simple_farthest_point,0.3
21,92,0.37623899279528417,0.22673646500866693,0.09230769230769231,0.8901098901098901,0.09230769230769231,36,50.55077262693157,8,5.309050772626931,7,7.833333333333333,13.444812362030905,24,0.004737138748168945,0.312619686126709,6,fec_simple_farthest_point,0.3
22,76,0.36130092614808773,0.21761397398548393,0.09230769230769231,0.8879120879120879,0.09230769230769231,36,52.262008733624455,8,5.47707423580786,7,7.883187772925764,13.662663755458516,24,0.005310773849487305,0.3176417350769043,6,fec_simple_farthest_point,0.3
23,71,0.3679691119691119,0.22438311813591394,0.09230769230769231,0.8901098901098901,0.09230769230769231,36,53.34486486486487,8,5.473513513513513,7,7.862702702702703,13.646486486486486,24,0.005137205123901367,0.3188016414642334,6,fec_simple_farthest_point,0.3
24,74,0.3761497761497761,0.22890302518671357,0.09230769230769231,0.8989010989010989,0.09230769230769231,36,55.619825708061,8,5.555555555555555,7,7.873638344226579,13.81045751633987,24,0.005119800567626953,0.32006382942199707,6,fec_simple_farthest_point,0.3
25,73,0.3846272903694355,0.2288680210965099,0.09230769230769231,0.9098901098901099,0.09230769230769231,36,56.934994582881906,8,6.0823401950162514,7,8.008667388949078,14.945828819068256,24,0.00555109977722168,0.3261878490447998,6,fec_simple_farthest_point,0.3
26,73,0.3852661438344735,0.2239122218524976,0.09230769230769231,0.8901098901098901,0.09230769230769231,36,58.211496746203906,8,5.912147505422993,7,7.938177874186551,14.550976138828634,24,0.005369663238525391,0.35654354095458984,6,fec_simple_farthest_point,0.3
27,67,0.3780505209076637,0.22866380656587185,0.09230769230769231,0.8879120879120879,0.09230769230769231,36,58.65584415584416,8,6.286796536796537,7,8.043290043290042,15.318181818181818,24,0.00512385368347168,0.3577859401702881,6,fec_simple_farthest_point,0.3
28,66,0.3803670923670923,0.22565586822345185,0.09230769230769231,0.8879120879120879,0.09230769230769231,36,59.65837837837838,8,5.710270270270271,7,7.907027027027027,14.08,24,0.00492095947265625,0.3361542224884033,6,fec_simple_farthest_point,0.3
29,64,0.38850977716074075,0.22944376709393638,0.09230769230769231,0.9010989010989011,0.09230769230769231,36,60.99250535331906,8,6.124197002141328,7,7.985010706638116,14.948608137044967,24,0.005090475082397461,0.34226489067077637,6,fec_simple_farthest_point,0.3
30,65,0.38667848280751504,0.22315922514407907,0.09230769230769231,0.8879120879120879,0.09230769230769231,36,62.50215053763441,8,6.335483870967742,7,8.130107526881721,15.495698924731183,24,0.005079507827758789,0.35326433181762695,6,fec_simple_farthest_point,0.3
31,60,0.3691200546506012,0.2236672237995775,0.09230769230769231,0.8901098901098901,0.09230769230769231,36,63.67738478027867,8,6.37620578778135,7,8.058949624866024,15.57449088960343,24,0.005162715911865234,0.35099339485168457,6,fec_simple_farthest_point,0.3
32,47,0.3680401963400908,0.21684467589492962,0.09230769230769231,0.8901098901098901,0.09230769230769231,36,64.87328405491024,8,6.478352692713833,7,8.13727560718057,15.729672650475186,24,0.005372285842895508,0.3450586795806885,6,fec_simple_farthest_point,0.3
33,49,0.3802174545031688,0.22549791469434632,0.09230769230769231,0.8879120879120879,0.09230769230769231,36,66.23174603174603,8,6.515343915343915,7,8.12910052910053,15.733333333333333,24,0.005074977874755859,0.35208678245544434,6,fec_simple_farthest_point,0.3
34,52,0.38432607731970786,0.22867560657557032,0.09230769230769231,0.8901098901098901,0.09230769230769231,36,67.27494692144374,8,6.721868365180467,7,8.14968152866242,16.121019108280255,24,0.0058498382568359375,0.3638286590576172,6,fec_simple_farthest_point,0.3
35,52,0.3744511352187258,0.22235028050878783,0.09230769230769231,0.8901098901098901,0.09230769230769231,36,66.99360341151386,8,6.832622601279318,7,8.204690831556503,16.425373134328357,24,0.005331754684448242,0.35647010803222656,6,fec_simple_farthest_point,0.3
36,53,0.3789722524546805,0.22398597867343295,0.09230769230769231,0.8879120879120879,0.09230769230769231,36,67.30564430244941,8,6.613418530351438,7,8.09052183173589,15.952076677316294,24,0.005465030670166016,0.3579075336456299,6,fec_simple_farthest_point,0.3
37,43,0.3720820977963835,0.22267474078395433,0.09230769230769231,0.8901098901098901,0.09230769230769231,36,68.0,8,6.548148148148148,7,8.131216931216931,15.893121693121692,24,0.005326747894287109,0.3481724262237549,6,fec_simple_farthest_point,0.3
38,37,0.40152049208652985,0.2314334232678559,0.09230769230769231,0.8901098901098901,0.09230769230769231,36,69.12159329140461,8,6.59433962264151,7,8.026205450733753,15.79035639412998,24,0.005334615707397461,0.36155080795288086,6,fec_simple_farthest_point,0.3
39,48,0.3740617433414043,0.22231484494905554,0.09230769230769231,0.8901098901098901,0.09230769230769231,36,68.76694915254237,8,6.213983050847458,7,7.958686440677966,15.008474576271187,24,0.005404233932495117,0.36407947540283203,6,fec_simple_farthest_point,0.3
40,48,0.36656549799406934,0.2214451299708008,0.09230769230769231,0.8901098901098901,0.09230769230769231,36,70.61693121693122,8,6.772486772486772,7,8.065608465608465,16.136507936507936,24,0.005890369415283203,0.3840973377227783,6,fec_simple_farthest_point,0.3
41,39,0.3823366107576634,0.2260748527889764,0.09230769230769231,0.8901098901098901,0.09230769230769231,36,71.9178947368421,8,6.646315789473684,7,8.01157894736842,15.9,24,0.005401611328125,0.3798828125,6,fec_simple_farthest_point,0.3
42,46,0.37427593592847824,0.22121535698820732,0.09230769230769231,0.8901098901098901,0.09230769230769231,36,72.38241525423729,8,7.0190677966101696,7,7.9809322033898304,16.5635593220339,24,0.005379915237426758,0.3967924118041992,6,fec_simple_farthest_point,0.3
43,47,0.3780800594754083,0.22491606687756513,0.09230769230769231,0.9164835164835164,0.09230769230769231,36,75.55285412262157,8,7.6553911205073994,7,8.068710359408033,17.763213530655392,24,0.006243228912353516,0.4228496551513672,6,fec_simple_farthest_point,0.3
44,36,0.37801738491393666,0.2197564491126342,0.09230769230769231,0.8989010989010989,0.09230769230769231,36,76.73772204806687,8,7.74294670846395,7,8.16405433646813,17.96342737722048,24,0.00532078742980957,0.3938605785369873,6,fec_simple_farthest_point,0.3
45,45,0.3614166192835675,0.22598153088372522,0.09230769230769231,0.8879120879120879,0.09230769230769231,36,76.2544878563886,8,7.37909186906019,7,7.794086589229145,16.94508975712777,24,0.005677461624145508,0.3647763729095459,6,fec_simple_farthest_point,0.3
46,39,0.36574588202495173,0.22434273556285877,0.09230769230769231,0.8901098901098901,0.09230769230769231,36,76.38900634249471,8,6.7283298097251585,7,7.569767441860465,15.576109936575053,24,0.00529932975769043,0.3610389232635498,6,fec_simple_farthest_point,0.3
