gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,0.5326609262481006,0.12524868515090998,0.20439560439560445,0.8791208791208791,,19,22.521042084168336,4,4.871743486973948,7,5.751503006012024,15.144288577154308,13,0.0,0.09130215644836426,4,fec_simple_farthest_point,0.3
1,248,0.4513343799058085,0.11807783211933245,0.20439560439560445,0.6329670329670329,0.20439560439560445,19,25.892857142857142,4,4.051587301587301,7,5.976190476190476,12.76984126984127,13,0.002552032470703125,0.11434006690979004,4,fec_simple_farthest_point,0.3
2,167,0.4283008283008283,0.10740833180292832,0.20439560439560445,0.6329670329670329,0.20439560439560445,19,27.81081081081081,4,3.5585585585585586,7,6.087087087087087,11.168168168168169,13,0.0015091896057128906,0.13398098945617676,4,fec_simple_farthest_point,0.3
3,139,0.4130041703448906,0.09791180806603914,0.20439560439560445,0.7450549450549451,0.20439560439560445,19,28.825484764542935,4,3.041551246537396,7,5.861495844875346,9.57617728531856,13,0.002235889434814453,0.0953989028930664,4,fec_simple_farthest_point,0.3
4,103,0.40969358097821573,0.09420343198213034,0.20439560439560445,0.8461538461538461,0.20439560439560445,19,29.964735516372794,4,2.6171284634760705,7,5.576826196473552,8.20654911838791,13,0.0014562606811523438,0.10477399826049805,4,fec_simple_farthest_point,0.3
5,61,0.3980074595108764,0.08477332324541291,0.20439560439560445,0.6329670329670329,0.20439560439560445,19,30.15489749430524,4,2.419134396355353,7,5.407744874715262,7.526195899772209,13,0.0023293495178222656,0.12022566795349121,4,fec_simple_farthest_point,0.3
6,68,0.4017908017908018,0.08549087387941898,0.20439560439560445,0.6285714285714286,0.20439560439560445,19,31.23148148148148,4,2.4375,7,5.405092592592593,7.488425925925926,13,0.002178192138671875,0.1375420093536377,4,fec_simple_farthest_point,0.3
7,66,0.4080670481592141,0.08982844974784102,0.20439560439560445,0.6329670329670329,0.20439560439560445,19,31.986175115207374,4,2.347926267281106,7,5.338709677419355,7.179723502304148,13,0.0029485225677490234,0.12857723236083984,4,fec_simple_farthest_point,0.3
8,51,0.397293130032551,0.0765769229298968,0.20439560439560445,0.6285714285714286,0.20439560439560445,19,31.420935412026726,4,2.10467706013363,7,5.149220489977728,6.481069042316259,13,0.0023179054260253906,0.12297892570495605,4,fec_simple_farthest_point,0.3
9,52,0.40018642072213506,0.0840221087569701,0.12527472527472527,0.6285714285714286,0.12527472527472527,22,32.34375,7,2.0111607142857144,7,5.058035714285714,6.189732142857143,16,0.0021784305572509766,0.12000870704650879,4,fec_simple_farthest_point,0.3
10,48,0.3974951877390902,0.08586342505578551,0.12527472527472527,0.8747252747252747,0.12527472527472527,22,32.74279379157428,7,2.0421286031042127,7,5.095343680709535,6.237250554323725,16,0.002332925796508789,0.11394214630126953,4,fec_simple_farthest_point,0.3
