gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,0.5293402197802197,0.13155290601532585,0.0945054945054945,0.9054945054945055,,37,22.6608,8,4.887,7,5.763,15.2472,25,0.0,0.3872847557067871,5,fec_simple_kmeans,0.3
1,2172,0.4579952248742058,0.12955532912306586,0.0945054945054945,0.9054945054945055,0.0945054945054945,37,27.527954706298654,8,4.389242745930644,7,6.017338995046002,13.516631280962491,25,0.013045310974121094,0.58355712890625,5,fec_simple_kmeans,0.3
2,1640,0.41962912087912096,0.11247858727291304,0.08351648351648355,0.9164835164835164,0.08351648351648355,35,29.507738095238096,6,3.950595238095238,8,6.080059523809524,12.125595238095238,18,0.012182474136352539,0.6497931480407715,5,fec_simple_kmeans,0.3
3,1287,0.4156462444100473,0.11036962874079541,0.07472527472527468,0.8989010989010989,0.07472527472527468,38,30.60328575276057,10,3.5130622138432535,9,5.946135200646378,10.714247239429033,27,0.012337923049926758,0.6357970237731934,5,fec_simple_kmeans,0.3
4,1057,0.41063395138972114,0.10754998215420095,0.07472527472527468,0.9120879120879121,0.07472527472527468,38,31.284047679431904,10,3.2475272635049457,9,5.831346690337306,9.899822470200355,27,0.013683557510375977,0.6014420986175537,5,fec_simple_kmeans,0.3
5,952,0.4086429874473353,0.10829435004831989,0.07472527472527468,0.9098901098901099,0.07472527472527468,38,32.56941699604743,10,3.220602766798419,9,5.841156126482214,9.75,27,0.011589288711547852,0.5788860321044922,5,fec_simple_kmeans,0.3
6,954,0.4104147027261984,0.11571753528681784,0.07472527472527468,0.9054945054945055,0.07472527472527468,38,34.60098887515451,10,3.4108776266996292,9,5.982447466007416,10.198516687268233,27,0.016909360885620117,0.5900413990020752,5,fec_simple_kmeans,0.3
7,919,0.4107875457875458,0.12177961639760788,0.07472527472527468,0.9164835164835164,0.07472527472527468,38,37.00588235294118,10,3.780392156862745,9,6.21078431372549,11.165441176470589,27,0.012613534927368164,0.6279575824737549,5,fec_simple_kmeans,0.3
8,935,0.4147165657379785,0.13211785779645882,0.07472527472527468,0.9164835164835164,0.07472527472527468,38,39.294117647058826,10,4.315776519812946,9,6.547624907703668,12.587004676347526,27,0.013611793518066406,0.6935019493103027,5,fec_simple_kmeans,0.3
9,930,0.4178421578421579,0.1410008567460486,0.07472527472527468,0.9076923076923077,0.07472527472527468,38,42.233906633906635,10,4.817936117936118,9,6.854054054054054,13.92850122850123,27,0.01251363754272461,0.8023297786712646,5,fec_simple_kmeans,0.3
