gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,0.5325409284592958,0.12297060872065384,0.09010989010989012,0.9098901098901099,,19,22.51500600240096,4,4.8609443777511006,7,5.737895158063226,15.146658663465386,13,0.0,0.520768404006958,6,fec_simple_kmeans,0.4
1,2085,0.4583476900458033,0.12008113115575864,0.09010989010989012,0.9274725274725275,0.09010989010989012,19,27.05763293310463,4,4.312864493996569,7,5.9879931389365355,13.304974271012007,13,0.009354829788208008,0.3920893669128418,6,fec_simple_kmeans,0.4
2,1734,0.42654657039225313,0.10661580029235984,0.09010989010989012,0.8857142857142857,0.09010989010989012,19,29.0257195345989,4,4.056338028169014,7,6.189222290263319,12.432026944274341,13,0.007611513137817383,0.42742252349853516,6,fec_simple_kmeans,0.4
3,1337,0.41784596174107236,0.1033209777137705,0.08351648351648355,0.8945054945054945,0.08351648351648355,36,29.736683966129473,8,3.5908221797323137,7,5.9822452881726305,10.925430210325048,19,0.008318901062011719,0.3974268436431885,6,fec_simple_kmeans,0.4
4,1142,0.4157823509132817,0.10401682816496978,0.08351648351648355,0.9032967032967033,0.08351648351648355,36,30.842105263157894,8,3.4498314752398236,7,5.938812548612912,10.39201451905626,19,0.00856328010559082,0.5566308498382568,6,fec_simple_kmeans,0.4
5,1042,0.41324573251735625,0.10414286779795014,0.07692307692307687,0.9164835164835164,0.07692307692307687,57,32.58143651997977,15,3.4618108244815375,9,5.9850784016186145,10.44916540212443,45,0.01491093635559082,0.5293896198272705,6,fec_simple_kmeans,0.4
6,1047,0.41523442389046034,0.11059874009886332,0.07252747252747249,0.9098901098901099,0.07252747252747249,52,34.65375854214123,8,3.641862819539357,7,6.072892938496583,10.82282966337636,19,0.014050483703613281,0.6547863483428955,6,fec_simple_kmeans,0.4
7,986,0.42074843630565395,0.11868276244553116,0.07252747252747249,0.9098901098901099,0.07252747252747249,52,37.75517327349788,8,4.088007978060334,7,6.37820992271254,12.083021690351533,19,0.013092041015625,0.6730127334594727,6,fec_simple_kmeans,0.4
8,963,0.4195918056175737,0.12146149663303897,0.07252747252747249,0.9142857142857143,0.07252747252747249,52,40.9816650148662,8,4.539395441030724,7,6.654608523290387,13.30822596630327,19,0.013261556625366211,0.7897558212280273,6,fec_simple_kmeans,0.4
9,978,0.42257886392214755,0.13089470208283452,0.07252747252747249,0.9230769230769231,0.07252747252747249,52,43.87636815920398,8,5.038308457711443,7,6.954228855721393,14.645273631840796,19,0.012858390808105469,0.6049990653991699,6,fec_simple_kmeans,0.4
10,1000,0.4236267858173335,0.13835267043242006,0.0703296703296703,0.9076923076923077,0.0703296703296703,57,46.73818454613654,8,5.638909727431858,7,7.283570892723181,16.16479119779945,19,0.010582685470581055,0.6427531242370605,6,fec_simple_kmeans,0.4
11,937,0.42155178483419,0.14408103614044174,0.0703296703296703,0.9208791208791209,0.0703296703296703,57,50.13134549038936,8,6.23656973878758,7,7.590192212912765,17.617792015771315,19,0.018328189849853516,0.710906982421875,6,fec_simple_kmeans,0.4
12,881,0.4234555046508399,0.1529919045006172,0.0703296703296703,0.9032967032967033,0.0703296703296703,57,53.2368804664723,8,6.787900874635569,7,7.837706511175899,18.975461613216716,19,0.01159358024597168,0.717200756072998,6,fec_simple_kmeans,0.4
13,857,0.41801624323972714,0.16192787133281633,0.0703296703296703,0.9076923076923077,0.0703296703296703,57,56.174679874365786,8,7.352983812515101,7,8.097608117902874,20.328340178787148,19,0.011146783828735352,0.751457929611206,6,fec_simple_kmeans,0.4
14,777,0.4118262689691261,0.1702152031783112,0.0703296703296703,0.9186813186813186,0.0703296703296703,57,58.775645581615734,8,7.862591802890311,7,8.28002842928216,21.340203743188816,19,0.011960268020629883,0.9833662509918213,6,fec_simple_kmeans,0.4
15,794,0.41230842473403767,0.17988154490969732,0.06593406593406592,0.9252747252747253,0.06593406593406592,75,61.30278505117829,26,8.21970959295406,10,8.391573434896452,21.99166865032135,63,0.03809523582458496,1.3560051918029785,6,fec_simple_kmeans,0.4
16,702,0.4049073161995164,0.18718413518406987,0.06593406593406592,0.9208791208791209,0.06593406593406592,75,63.28405122235157,26,8.419324796274738,10,8.449592549476135,22.160651920838184,63,0.03379631042480469,1.0551671981811523,6,fec_simple_kmeans,0.4
17,613,0.3995334498872504,0.1940462171883407,0.06593406593406592,0.9208791208791209,0.06593406593406592,75,65.69481853458115,26,8.509472723122574,10,8.450582058890664,22.10591189226204,63,0.016444921493530273,0.9955577850341797,6,fec_simple_kmeans,0.4
18,583,0.39825291409247904,0.199411356596037,0.06593406593406592,0.9208791208791209,0.06593406593406592,75,67.40154090188081,26,8.75594833446635,10,8.50600498527079,22.450487196918196,63,0.014194250106811523,1.7070822715759277,6,fec_simple_kmeans,0.4
19,589,0.3930780714061042,0.20513672790566387,0.06593406593406592,0.9098901098901099,0.06593406593406592,75,70.44048159927306,26,8.867560199909132,10,8.51385733757383,22.56338028169014,63,0.03456568717956543,1.5480890274047852,6,fec_simple_kmeans,0.4
20,489,0.3877798874463318,0.2097383905626958,0.06593406593406592,0.9186813186813186,0.06593406593406592,75,73.07204803202134,26,8.85412497220369,10,8.492995330220147,22.391594396264175,63,0.017647504806518555,1.1213405132293701,6,fec_simple_kmeans,0.4
21,504,0.3857948603658432,0.214072334760629,0.06593406593406592,0.9208791208791209,0.06593406593406592,75,76.40160463561399,26,9.507243146868731,10,8.66391798529084,23.776911076443056,63,0.01444101333618164,0.9296619892120361,6,fec_simple_kmeans,0.4
22,522,0.3845529274931826,0.2190639761617107,0.06593406593406592,0.9340659340659341,0.06593406593406592,75,80.17811590959947,26,9.705750727232044,10,8.658312821660326,24.020138733497426,63,0.015041589736938477,0.9839587211608887,6,fec_simple_kmeans,0.4
23,440,0.38161302551546455,0.22278233886832827,0.06593406593406592,0.9142857142857143,0.06593406593406592,75,82.60887716985278,26,10.104812129202372,10,8.756976488683806,24.78905735003296,63,0.015312910079956055,1.3791980743408203,6,fec_simple_kmeans,0.4
24,428,0.37936400737103104,0.22690162265069969,0.06593406593406592,0.9142857142857143,0.06593406593406592,75,86.4161545215101,26,10.521949078138718,10,8.867208077260756,25.819578577699737,63,0.02160501480102539,1.7469522953033447,6,fec_simple_kmeans,0.4
25,419,0.36687752798985557,0.226054475831145,0.06593406593406592,0.9208791208791209,0.06593406593406592,75,88.73812130501423,26,10.517407488504489,10,8.849354061747318,25.61243704839063,63,0.019441604614257812,1.7795186042785645,6,fec_simple_kmeans,0.4
26,403,0.37386956324007076,0.22853032354098432,0.06593406593406592,0.9296703296703297,0.06593406593406592,75,91.99912873012416,26,10.626225223262905,10,8.802875190590285,25.677412328468744,63,0.02303481101989746,1.6941730976104736,6,fec_simple_kmeans,0.4
27,372,0.36919078322587096,0.22984498502418826,0.06593406593406592,0.9098901098901099,0.06593406593406592,75,94.7353259692441,26,11.360407190816547,10,8.990686593025774,27.282217890405025,63,0.02285933494567871,1.4248769283294678,6,fec_simple_kmeans,0.4
28,410,0.3712070129739056,0.23042714309044376,0.06593406593406592,0.9340659340659341,0.06593406593406592,75,96.61797507106932,26,11.518696698010059,10,9.034769298053794,27.677235950142137,63,0.019476652145385742,1.3696470260620117,6,fec_simple_kmeans,0.4
29,381,0.36006968059085326,0.22534452850139053,0.06593406593406592,0.9340659340659341,0.06593406593406592,75,99.63539630836048,26,11.772638436482085,10,9.067535287730728,28.20304017372421,63,0.016174793243408203,1.06062912940979,6,fec_simple_kmeans,0.4
30,354,0.36481097145893177,0.23089373645737052,0.06593406593406592,0.9208791208791209,0.06593406593406592,75,102.33304554284481,26,12.385495359378373,10,9.254694582344053,29.691560543924023,63,0.014502763748168945,0.9688928127288818,6,fec_simple_kmeans,0.4
31,380,0.3596964667277167,0.22726026756180692,0.06593406593406592,0.9230769230769231,0.06593406593406592,75,106.53819444444444,26,13.12087673611111,10,9.475911458333334,31.473741319444443,63,0.013370037078857422,1.0810775756835938,6,fec_simple_kmeans,0.4
32,393,0.35897006079535415,0.23087181766460002,0.06593406593406592,0.9208791208791209,0.06593406593406592,75,109.78161668839635,26,13.951760104302478,10,9.751195132551064,33.58409387222947,63,0.034949541091918945,1.4211101531982422,6,fec_simple_kmeans,0.4
33,437,0.36298451109523167,0.2319350339886343,0.06593406593406592,0.9340659340659341,0.06593406593406592,75,113.99165202108964,26,14.42311072056239,10,9.918936731107205,34.995166959578206,63,0.01899099349975586,1.6018662452697754,6,fec_simple_kmeans,0.4
34,465,0.3553752496123881,0.22578863394671372,0.06593406593406592,0.9340659340659341,0.06593406593406592,75,118.89202914550674,26,15.359240450430558,10,10.250165599470082,37.59174210642526,63,0.013079404830932617,1.4165375232696533,6,fec_simple_kmeans,0.4
35,493,0.35978134285177166,0.22792958852601372,0.06593406593406592,0.9252747252747253,0.06593406593406592,75,125.95756498555876,26,16.642523883581426,10,10.665407687180627,40.976671850699844,63,0.015364885330200195,1.3780665397644043,6,fec_simple_kmeans,0.4
36,464,0.35613074329156397,0.2240025533192699,0.06593406593406592,0.9142857142857143,0.06593406593406592,75,129.30465475402602,26,17.177145378336643,10,10.841826604897419,42.628502095742334,63,0.01394343376159668,1.4018230438232422,6,fec_simple_kmeans,0.4
37,509,0.3550623134940355,0.22684324882680157,0.06593406593406592,0.9274725274725275,0.06593406593406592,75,135.75718422811318,26,17.44419692581867,10,11.020271775451103,43.75250612608599,63,0.015260696411132812,1.90604829788208,6,fec_simple_kmeans,0.4
38,514,0.3630382103960699,0.22684713623672123,0.06593406593406592,0.9252747252747253,0.06593406593406592,75,142.99888517279823,26,18.247491638795985,10,11.19933110367893,45.98684503901895,63,0.025204181671142578,2.3270938396453857,6,fec_simple_kmeans,0.4
39,492,0.3590278370398184,0.2205310164162089,0.06593406593406592,0.9252747252747253,0.06593406593406592,75,149.9893499001553,26,18.63834035944087,10,11.390947415132016,47.33791879298868,63,0.01882338523864746,2.6194212436676025,6,fec_simple_kmeans,0.4
40,525,0.3660924550310026,0.22255127662989246,0.06593406593406592,0.9274725274725275,0.06593406593406592,75,154.3691620111732,26,18.838659217877094,10,11.46435754189944,48.020558659217876,63,0.019982337951660156,2.8468410968780518,6,fec_simple_kmeans,0.4
41,528,0.36011561688144106,0.21811355905329813,0.06593406593406592,0.9274725274725275,0.06593406593406592,75,160.03623350480876,26,20.20890181167524,10,11.751733392976963,51.50950570342205,63,0.044155120849609375,3.2187650203704834,6,fec_simple_kmeans,0.4
42,548,0.36389867993641584,0.21826750692950053,0.06593406593406592,0.9274725274725275,0.06593406593406592,75,166.98292902066487,26,19.504716981132077,10,11.650494159928122,50.16644204851752,63,0.026128292083740234,3.9624412059783936,6,fec_simple_kmeans,0.4
43,502,0.3618387838534603,0.21811040920474614,0.06593406593406592,0.9274725274725275,0.06593406593406592,75,171.59550811652213,26,19.37402712919724,10,11.551923504558594,49.70736046253057,63,0.026453733444213867,4.555612325668335,6,fec_simple_kmeans,0.4
44,489,0.3608921780945723,0.21975433203551376,0.06593406593406592,0.9208791208791209,0.06593406593406592,75,170.22500554200843,26,18.73309687430725,10,11.340279317224562,48.20837951673686,63,0.03262138366699219,4.337852239608765,6,fec_simple_kmeans,0.4
45,422,0.3667607027012751,0.21855464494650761,0.06593406593406592,0.9274725274725275,0.06593406593406592,75,174.97203408346078,26,18.878523050032772,10,11.358531789381692,48.586410312431724,63,0.031917572021484375,4.308636426925659,6,fec_simple_kmeans,0.4
46,429,0.36922692271631236,0.21715738753177133,0.06593406593406592,0.9230769230769231,0.06593406593406592,75,178.48785823670968,26,18.590899146795014,10,11.2052067381317,47.75738350470357,63,0.028792142868041992,4.712521076202393,6,fec_simple_kmeans,0.4
47,413,0.37232399007753425,0.21594010435601052,0.06593406593406592,0.9230769230769231,0.06593406593406592,75,183.041439476554,26,18.27480916030534,10,11.113413304253,46.82726281352235,63,0.03206801414489746,4.659975051879883,6,fec_simple_kmeans,0.4
48,428,0.3798794381471547,0.21535864169758606,0.06593406593406592,0.9230769230769231,0.06593406593406592,75,189.2755905511811,26,17.923665791776028,10,10.933727034120736,45.88670166229221,63,0.03197050094604492,4.761734962463379,6,fec_simple_kmeans,0.4
49,362,0.3739582246916156,0.21534612570068956,0.06593406593406592,0.9274725274725275,0.06593406593406592,75,188.83714408973253,26,18.03149266609146,10,10.840811044003452,45.84167385677308,63,0.035974979400634766,5.1539306640625,6,fec_simple_kmeans,0.4
50,392,0.37543767565478375,0.21625899417355632,0.06593406593406592,0.9340659340659341,0.06593406593406592,75,194.48002605297438,26,18.02475032566218,10,10.795918367346939,45.7405557967868,63,0.029642581939697266,5.146985292434692,6,fec_simple_kmeans,0.4
