gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,0.499215411558669,0.026269777933341145,0.13309982486865146,0.7968476357267951,,36,22.583,8,4.859,7,5.737,15.188,24,0.0,0.1326911449432373,9,fec_simple_kmeans,0.2
1,410,0.493169877408056,0.03777702283307167,0.07880910683012254,0.5131348511383538,0.07880910683012254,51,25.023728813559323,9,3.911864406779661,7,5.535593220338983,11.764406779661018,22,0.7313570976257324,1.7664341926574707,9,fec_simple_kmeans,0.2
2,269,0.4908062031475727,0.038832788927401315,0.07880910683012254,0.6077057793345009,0.07880910683012254,51,23.971272229822162,9,2.7482900136798905,7,4.673050615595075,7.830369357045144,22,0.005100250244140625,1.289257287979126,9,fec_simple_kmeans,0.2
3,160,0.48779918272037365,0.04079385669755399,0.07880910683012254,0.5131348511383538,0.07880910683012254,51,21.998809523809523,9,1.944047619047619,7,3.8726190476190476,5.042857142857143,22,0.03830885887145996,0.9107189178466797,9,fec_simple_kmeans,0.2
4,120,0.48406901767234534,0.04825726713641674,0.07880910683012254,0.5131348511383538,0.07880910683012254,51,21.847727272727273,9,1.518181818181818,7,3.480681818181818,3.5954545454545452,22,0.02569437026977539,0.8226127624511719,9,fec_simple_kmeans,0.2
5,96,0.4825449839592085,0.051255334823152365,0.07880910683012254,0.5131348511383538,0.07880910683012254,51,21.963495575221238,9,1.459070796460177,7,3.3738938053097347,3.325221238938053,22,0.03529477119445801,0.784705638885498,9,fec_simple_kmeans,0.2
6,91,0.4836245445910617,0.05730826778625863,0.07880910683012254,0.8949211908931699,0.07880910683012254,51,22.434543454345434,9,1.5203520352035202,7,3.419141914191419,3.441144114411441,22,0.05080771446228027,0.7957487106323242,9,fec_simple_kmeans,0.2
7,92,0.47860813010639053,0.06312447222901092,0.07880910683012254,0.5131348511383538,0.07880910683012254,51,22.85022026431718,9,1.4834801762114538,7,3.3656387665198237,3.2775330396475773,22,0.011318206787109375,0.2597062587738037,9,fec_simple_kmeans,0.2
8,97,0.4766210316652219,0.06902410630308754,0.07880910683012254,0.7845884413309983,0.07880910683012254,51,23.358803986710964,9,1.6301218161683277,7,3.477297895902547,3.6511627906976742,22,0.04391622543334961,0.8874242305755615,9,fec_simple_kmeans,0.2
9,107,0.47105625971998605,0.08068386489801901,0.07880910683012254,0.8704028021015762,0.07880910683012254,51,24.717805151175813,9,1.862262038073908,7,3.6405375139977605,4.215005599104144,22,0.01095271110534668,0.35074806213378906,9,fec_simple_kmeans,0.2
