gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,0.49605078809106834,0.03751315835732272,0.16462346760070057,0.8598949211908932,,36,22.964,8,4.953,7,5.754,15.44,24,0.0,0.09997677803039551,24,fec_simple_stratified,0.3
1,361,0.4819702413743015,0.03432084312020391,0.16462346760070057,0.7880910683012259,0.16462346760070057,36,19.375586854460092,8,2.964006259780908,7,4.693270735524257,8.544600938967136,24,0.0033721923828125,0.1224663257598877,24,fec_simple_stratified,0.3
2,216,0.4761137817648951,0.03108863612170672,0.16462346760070057,0.5359019264448337,0.16462346760070057,36,19.60841836734694,8,2.065051020408163,7,4.025510204081633,5.396683673469388,24,0.0035796165466308594,0.10796022415161133,24,fec_simple_stratified,0.3
3,132,0.4709741983907285,0.02681481456019241,0.16462346760070057,0.5359019264448337,0.16462346760070057,36,18.75,8,1.5472350230414746,7,3.5506912442396312,3.7557603686635943,24,0.003822803497314453,0.09408831596374512,24,fec_simple_stratified,0.3
4,81,0.4671509616978784,0.025294733011213523,0.16462346760070057,0.5359019264448337,0.16462346760070057,36,18.42328618063112,8,1.3003264417845484,7,3.3035908596300327,2.955386289445049,24,0.0036461353302001953,0.08507442474365234,24,fec_simple_stratified,0.3
5,75,0.46637762105362807,0.02924917974236664,0.16462346760070057,0.8546409807355517,0.16462346760070057,36,18.375135135135135,8,1.2594594594594595,7,3.2356756756756755,2.803243243243243,24,0.003775358200073242,0.08294796943664551,24,fec_simple_stratified,0.3
6,74,0.46641109341725523,0.02906127361985876,0.12784588441331002,0.8931698774080561,0.12784588441331002,14,18.599352051835854,6,1.1652267818574513,7,3.137149028077754,2.4892008639308854,13,0.0037641525268554688,0.08201909065246582,24,fec_simple_stratified,0.3
7,59,0.46661989052894876,0.01772990328641279,0.12784588441331002,0.5359019264448337,0.12784588441331002,14,18.458023379383633,6,1.1222104144527099,7,3.1052072263549415,2.3740701381509033,13,0.0038695335388183594,0.07953405380249023,24,fec_simple_stratified,0.3
8,38,0.46606420511849583,0.020148099884224124,0.12784588441331002,0.5359019264448337,0.12784588441331002,14,18.356548856548855,6,1.1091476091476091,7,3.084199584199584,2.2952182952182953,13,0.003767728805541992,0.08115911483764648,24,fec_simple_stratified,0.3
9,41,0.4658566917889147,0.023480812533495543,0.12784588441331002,0.8388791593695272,0.12784588441331002,14,17.94994786235662,6,1.0615224191866528,7,3.057351407716371,2.1689259645464025,13,0.003937244415283203,0.07864689826965332,24,fec_simple_stratified,0.3
10,55,0.4658586532491961,0.019011758835147163,0.12784588441331002,0.5148861646234676,0.12784588441331002,14,18.158730158730158,6,1.1121693121693121,7,3.094179894179894,2.3015873015873014,13,0.0038614273071289062,0.12500238418579102,24,fec_simple_stratified,0.3
11,38,0.4657073886495953,0.018848330632803667,0.12784588441331002,0.5148861646234676,0.12784588441331002,14,18.267151767151766,6,1.0821205821205822,7,3.0644490644490645,2.212058212058212,13,0.003769397735595703,0.08232903480529785,24,fec_simple_stratified,0.3
12,41,0.4658219656391563,0.02330223627368029,0.12784588441331002,0.87215411558669,0.12784588441331002,14,18.032359081419624,6,1.0490605427974948,7,3.037578288100209,2.113778705636743,13,0.003920555114746094,0.07982373237609863,24,fec_simple_stratified,0.3
13,35,0.4644937070678657,0.019793046372567836,0.12784588441331002,0.5359019264448337,0.12784588441331002,14,18.54300518134715,6,1.0549222797927462,7,3.043523316062176,2.138860103626943,13,0.003988504409790039,0.07825231552124023,24,fec_simple_stratified,0.3
14,48,0.46607565968594095,0.019720223845694548,0.12784588441331002,0.8476357267950964,0.12784588441331002,14,18.459033613445378,6,1.0735294117647058,7,3.0577731092436973,2.1838235294117645,13,0.0038323402404785156,0.07992672920227051,24,fec_simple_stratified,0.3
15,51,0.4658272418750311,0.018109201077944004,0.12784588441331002,0.7723292469352014,0.12784588441331002,14,18.582718651211803,6,1.0748155953635405,7,3.0621707060063224,2.1865121180189675,13,0.004010677337646484,0.07935190200805664,24,fec_simple_stratified,0.3
16,34,0.46496285257421327,0.01654350808490131,0.12784588441331002,0.521891418563923,0.12784588441331002,14,19.273291925465838,6,1.0393374741200827,7,3.0269151138716355,2.098343685300207,13,0.0037987232208251953,0.07983517646789551,24,fec_simple_stratified,0.3
17,33,0.4650416457637954,0.016788215367274286,0.12784588441331002,0.5359019264448337,0.12784588441331002,14,19.648397104446744,6,1.063081695966908,7,3.044467425025853,2.169596690796277,13,0.0038843154907226562,0.07997965812683105,24,fec_simple_stratified,0.3
18,52,0.4646504393062729,0.020209518738025904,0.12784588441331002,0.5148861646234676,0.12784588441331002,14,20.195147679324894,6,1.0622362869198312,7,3.04957805907173,2.160337552742616,13,0.003953218460083008,0.08141469955444336,24,fec_simple_stratified,0.3
19,36,0.4641398580055373,0.027600380341587256,0.12784588441331002,0.5359019264448337,0.12784588441331002,14,20.816390041493776,6,1.1182572614107884,7,3.091286307053942,2.296680497925311,13,0.003908634185791016,0.08203530311584473,24,fec_simple_stratified,0.3
20,50,0.46226749009125273,0.03794652220206941,0.12784588441331002,0.7653239929947461,0.12784588441331002,14,20.85578947368421,6,1.1010526315789473,7,3.08,2.2294736842105265,13,0.003767251968383789,0.08022713661193848,24,fec_simple_stratified,0.3
21,53,0.4626371045443533,0.03431647053921735,0.12784588441331002,0.5359019264448337,0.12784588441331002,14,21.06652587117212,6,1.1045406546990497,7,3.078141499472017,2.2365364308342133,13,0.003926277160644531,0.08357357978820801,24,fec_simple_stratified,0.3
22,57,0.4625157627499521,0.0378756368116652,0.12784588441331002,0.8476357267950964,0.12784588441331002,14,21.551431601272533,6,1.1113467656415694,7,3.092258748674443,2.260869565217391,13,0.003906726837158203,0.08331608772277832,24,fec_simple_stratified,0.3
23,68,0.46261171200288626,0.04128219858764881,0.12784588441331002,0.8704028021015762,0.12784588441331002,14,20.96244635193133,6,1.1770386266094421,7,3.1362660944206007,2.434549356223176,13,0.003972053527832031,0.08577132225036621,24,fec_simple_stratified,0.3
24,76,0.4633948946558404,0.03695648700438933,0.12784588441331002,0.7758318739054291,0.12784588441331002,14,21.593073593073594,6,1.1428571428571428,7,3.1103896103896105,2.329004329004329,13,0.003885507583618164,0.08569931983947754,24,fec_simple_stratified,0.3
25,76,0.4631371255714513,0.03287920612342377,0.12784588441331002,0.5359019264448337,0.12784588441331002,14,20.700216450216452,6,1.1417748917748918,7,3.1006493506493507,2.338744588744589,13,0.0040454864501953125,0.1466383934020996,24,fec_simple_stratified,0.3
26,72,0.4617466332508002,0.03886026204464068,0.1155866900175131,0.5148861646234676,0.1155866900175131,27,20.439655172413794,6,1.15625,7,3.1196120689655173,2.3545258620689653,13,0.0038497447967529297,0.08486676216125488,24,fec_simple_stratified,0.3
27,64,0.4646724894097924,0.03492632031301032,0.1155866900175131,0.87215411558669,0.1155866900175131,27,20.379273504273506,6,1.1314102564102564,7,3.1121794871794872,2.3215811965811968,13,0.0038809776306152344,0.08409690856933594,24,fec_simple_stratified,0.3
28,71,0.46244489401533906,0.035757800323123506,0.1155866900175131,0.5359019264448337,0.1155866900175131,27,20.786637931034484,6,1.165948275862069,7,3.1282327586206895,2.4019396551724137,13,0.003735780715942383,0.08407711982727051,24,fec_simple_stratified,0.3
29,61,0.46278505471222686,0.03659145589577092,0.1155866900175131,0.8476357267950964,0.1155866900175131,27,21.3482428115016,6,1.182108626198083,7,3.1533546325878596,2.4440894568690097,13,0.004014253616333008,0.08512663841247559,24,fec_simple_stratified,0.3
30,68,0.4610332749562171,0.041722401830313914,0.1155866900175131,0.7723292469352014,0.1155866900175131,27,21.053648068669528,6,1.2156652360515021,7,3.162017167381974,2.5107296137339055,13,0.0038909912109375,0.08584070205688477,24,fec_simple_stratified,0.3
31,63,0.4636625815145778,0.03381690296603101,0.1155866900175131,0.8546409807355517,0.1155866900175131,27,20.69050160085379,6,1.1814300960512274,7,3.146211312700107,2.432230522945571,13,0.0038526058197021484,0.08655095100402832,24,fec_simple_stratified,0.3
32,61,0.46323080968873614,0.031868800042249665,0.1155866900175131,0.7723292469352014,0.1155866900175131,27,20.69329073482428,6,1.1810436634717785,7,3.1458998935037275,2.422790202342918,13,0.0038416385650634766,0.08334970474243164,24,fec_simple_stratified,0.3
33,72,0.46265059786218976,0.03494432011739724,0.1155866900175131,0.6024518388791593,0.1155866900175131,27,21.188577586206897,6,1.2058189655172413,7,3.158405172413793,2.507543103448276,13,0.003858804702758789,0.08639907836914062,24,fec_simple_stratified,0.3
34,77,0.4626161929139162,0.03902260396963057,0.1155866900175131,0.7950963222416813,0.1155866900175131,27,22.458288190682556,6,1.1939328277356447,7,3.14626218851571,2.4810400866738895,13,0.003977060317993164,0.0898592472076416,24,fec_simple_stratified,0.3
35,79,0.4629438419748579,0.03957080657903188,0.1155866900175131,0.7723292469352014,0.1155866900175131,27,22.219326818675352,6,1.1769815418023888,7,3.1465798045602607,2.423452768729642,13,0.004024505615234375,0.09163141250610352,24,fec_simple_stratified,0.3
36,71,0.4626521559630433,0.037725836293400955,0.1155866900175131,0.7968476357267951,0.1155866900175131,27,22.882669537136707,6,1.1679224973089344,7,3.122712594187298,2.3993541442411197,13,0.0038940906524658203,0.08517837524414062,24,fec_simple_stratified,0.3
37,59,0.4647252708394207,0.025215072122731365,0.1155866900175131,0.5359019264448337,0.1155866900175131,27,22.93836344314559,6,1.1402763018065887,7,3.1073326248671624,2.354941551540914,13,0.004121065139770508,0.08710956573486328,24,fec_simple_stratified,0.3
38,64,0.46400452048438035,0.025710370586436684,0.1155866900175131,0.5359019264448337,0.1155866900175131,27,23.182692307692307,6,1.0972222222222223,7,3.074786324786325,2.236111111111111,13,0.00395655632019043,0.08658409118652344,24,fec_simple_stratified,0.3
39,51,0.46402056547679466,0.029083791187578707,0.1155866900175131,0.6182136602451839,0.1155866900175131,27,23.50895679662803,6,1.1085353003161222,7,3.0800842992623814,2.285563751317176,13,0.003926277160644531,0.08506941795349121,24,fec_simple_stratified,0.3
40,57,0.463810211847645,0.025609953998915146,0.1155866900175131,0.5359019264448337,0.1155866900175131,27,23.304347826086957,6,1.039236479321315,7,3.027571580063627,2.092258748674443,13,0.0039882659912109375,0.08204293251037598,24,fec_simple_stratified,0.3
41,48,0.4637963766942854,0.02677946512917273,0.1155866900175131,0.5359019264448337,0.1155866900175131,27,23.909663865546218,6,1.0661764705882353,7,3.047268907563025,2.1596638655462184,13,0.0038864612579345703,0.08160185813903809,24,fec_simple_stratified,0.3
42,55,0.4634661181070988,0.030401824187099497,0.1155866900175131,0.5359019264448337,0.1155866900175131,27,23.288888888888888,6,1.0518518518518518,7,3.0476190476190474,2.126984126984127,13,0.003930807113647461,0.08306455612182617,24,fec_simple_stratified,0.3
43,54,0.46404068378979796,0.027693623601819442,0.1155866900175131,0.6182136602451839,0.1155866900175131,27,23.38477801268499,6,1.1226215644820297,7,3.0866807610993656,2.29492600422833,13,0.0039446353912353516,0.08674788475036621,24,fec_simple_stratified,0.3
44,55,0.4634846505249307,0.03205875785698693,0.1155866900175131,0.861646234676007,0.1155866900175131,27,23.8,6,1.1248677248677248,7,3.093121693121693,2.303703703703704,13,0.0038547515869140625,0.08538579940795898,24,fec_simple_stratified,0.3
45,53,0.46298107952664597,0.03204701238841084,0.1155866900175131,0.5359019264448337,0.1155866900175131,27,23.59662090813094,6,1.1013727560718056,7,3.0770855332629354,2.235480464625132,13,0.0039615631103515625,0.0847780704498291,24,fec_simple_stratified,0.3
46,67,0.4634786379173447,0.02819173678372916,0.1155866900175131,0.5359019264448337,0.1155866900175131,27,23.465166130760988,6,1.0964630225080385,7,3.0782422293676315,2.234726688102894,13,0.00405120849609375,0.08747386932373047,24,fec_simple_stratified,0.3
47,66,0.4641280746427058,0.034851062310256704,0.1155866900175131,0.8353765323992994,0.1155866900175131,27,23.258029978586723,6,1.1038543897216273,7,3.0802997858672376,2.240899357601713,13,0.004109382629394531,0.08558225631713867,24,fec_simple_stratified,0.3
48,80,0.46376267510752756,0.03273066221467459,0.1155866900175131,0.8178633975481611,0.1155866900175131,27,24.058759521218715,6,1.190424374319913,7,3.133841131664853,2.445048966267682,13,0.004138469696044922,0.0943753719329834,24,fec_simple_stratified,0.3
49,68,0.4630006839893869,0.031563811959444944,0.09281961471103328,0.5359019264448337,0.09281961471103328,30,24.23175965665236,7,1.145922746781116,7,3.1083690987124464,2.3444206008583692,16,0.004101276397705078,0.09368896484375,24,fec_simple_stratified,0.3
50,65,0.46343126328703743,0.037226318499336004,0.09281961471103328,0.8353765323992994,0.09281961471103328,30,24.82994652406417,7,1.2064171122994651,7,3.1636363636363636,2.5219251336898396,16,0.004390716552734375,0.09875965118408203,24,fec_simple_stratified,0.3
