gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,0.55625,0.1643854295381572,0.30208333333333337,0.6979166666666667,,4,7.266666666666667,1,1.7333333333333334,4,4.4,4.933333333333334,3,0.0,0.01381826400756836,8,fec_simple_farthest_point,0.2
1,150,0.3613056752873564,0.116313250292498,0.30208333333333337,0.6979166666666667,0.30208333333333337,4,6.991379310344827,1,1.353448275862069,4,4.357758620689655,4.068965517241379,3,0.0007662773132324219,0.021593332290649414,8,fec_simple_farthest_point,0.2
2,104,0.3043940727699532,0.02586519319425094,0.30208333333333337,0.6979166666666667,0.30208333333333337,4,6.0,1,1.017605633802817,4,4.024647887323944,3.0598591549295775,3,0.0008144378662109375,0.02069687843322754,8,fec_simple_farthest_point,0.2
3,84,0.30817926045016086,0.04775888251125893,0.30208333333333337,0.6979166666666667,0.30208333333333337,4,6.363344051446945,1,1.0128617363344052,4,4.009646302250804,3.035369774919614,3,0.0010106563568115234,0.02436518669128418,8,fec_simple_farthest_point,0.2
4,86,0.31361024033437834,0.06346771335709898,0.30208333333333337,0.6979166666666667,0.30208333333333337,4,6.38871473354232,1,1.0407523510971788,4,4.0501567398119125,3.1316614420062696,3,0.0009932518005371094,0.021483898162841797,8,fec_simple_farthest_point,0.2
5,99,0.3082489615784009,0.04806872818777018,0.30208333333333337,0.6979166666666667,0.30208333333333337,4,6.479750778816199,1,1.0155763239875388,4,4.018691588785047,3.0498442367601246,3,0.0010364055633544922,0.021684646606445312,8,fec_simple_farthest_point,0.2
6,99,0.3129992012779554,0.06273330487217785,0.30208333333333337,0.6979166666666667,0.30208333333333337,4,6.878594249201278,1,1.0415335463258786,4,4.038338658146965,3.121405750798722,3,0.0010144710540771484,0.02245497703552246,8,fec_simple_farthest_point,0.2
7,101,0.3112207602339182,0.05767400253179961,0.30208333333333337,0.6979166666666667,0.30208333333333337,4,6.88421052631579,1,1.024561403508772,4,4.035087719298246,3.0842105263157893,3,0.001035451889038086,0.023108243942260742,8,fec_simple_farthest_point,0.2
8,84,0.3122459349593497,0.06076033305460346,0.30208333333333337,0.6979166666666667,0.30208333333333337,4,6.908536585365853,1,1.0274390243902438,4,4.030487804878049,3.0853658536585367,3,0.0010600090026855469,0.02254509925842285,8,fec_simple_farthest_point,0.2
9,101,0.3059263754045308,0.03881282237639149,0.30208333333333337,0.6979166666666667,0.30208333333333337,4,7.592233009708738,1,1.0097087378640777,4,4.0,3.0194174757281553,3,0.0010464191436767578,0.02260112762451172,8,fec_simple_farthest_point,0.2
10,83,0.31433457711442797,0.06669340491868023,0.30208333333333337,0.6979166666666667,0.30208333333333337,4,8.06268656716418,1,1.0388059701492538,4,4.020895522388059,3.098507462686567,3,0.001077890396118164,0.022876977920532227,8,fec_simple_farthest_point,0.2
11,88,0.3068097014925374,0.04195729193095701,0.30208333333333337,0.6979166666666667,0.30208333333333337,4,8.15223880597015,1,1.0208955223880598,4,4.020895522388059,3.062686567164179,3,0.0010819435119628906,0.02320551872253418,8,fec_simple_farthest_point,0.2
12,88,0.311717967967968,0.05853475855934867,0.30208333333333337,0.6979166666666667,0.30208333333333337,4,8.063063063063064,1,1.0360360360360361,4,4.039039039039039,3.111111111111111,3,0.0010650157928466797,0.023619651794433594,8,fec_simple_farthest_point,0.2
13,92,0.31900252525252537,0.07819001095720872,0.30208333333333337,0.6979166666666667,0.30208333333333337,4,8.366666666666667,1,1.0424242424242425,4,4.039393939393939,3.124242424242424,3,0.0010488033294677734,0.023026704788208008,8,fec_simple_farthest_point,0.2
14,72,0.30922011661807586,0.04855321138885046,0.30208333333333337,0.6979166666666667,0.30208333333333337,4,8.612244897959183,1,1.0262390670553936,4,4.037900874635569,3.0903790087463556,3,0.0010950565338134766,0.023421049118041992,8,fec_simple_farthest_point,0.2
