gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,0.5021645021645021,0.08313491867814927,0.4,0.6,,4,7.0,1,1.6363636363636365,4,4.454545454545454,4.7272727272727275,3,0.0,0.015120983123779297,4,baseline_simple,1.0
1,184,0.4342857142857143,0.04836012491943415,0.4,0.6,0.5555555555555556,4,9.288372093023256,1,1.916279069767442,4,4.925581395348837,5.748837209302326,3,0.0011680126190185547,0.030199050903320312,4,baseline_simple,1.0
2,160,0.40814536340852126,0.024068959853397163,0.4,0.5904761904761905,0.5555555555555556,4,8.93421052631579,1,1.618421052631579,4,4.62719298245614,4.868421052631579,3,0.0010738372802734375,0.029133081436157227,4,baseline_simple,1.0
3,127,0.4087709392057219,0.03220186619660516,0.4,0.6,0.5555555555555556,4,8.798418972332016,1,1.434782608695652,4,4.454545454545454,4.33201581027668,3,0.0011386871337890625,0.029903173446655273,4,baseline_simple,1.0
4,114,0.4061938061938062,0.029419293185743902,0.4,0.6,0.5555555555555556,4,8.62937062937063,1,1.2797202797202798,4,4.293706293706293,3.8566433566433567,3,0.0010840892791748047,0.026546716690063477,4,baseline_simple,1.0
5,118,0.40644155844155844,0.032397227199309916,0.4,0.6,0.5555555555555556,4,9.003636363636364,1,1.1781818181818182,4,4.196363636363636,3.5527272727272727,3,0.0013568401336669922,0.02841925621032715,4,baseline_simple,1.0
6,101,0.4023157208088715,0.01802313631081272,0.4,0.6,0.5555555555555556,4,8.770547945205479,1,1.0856164383561644,4,4.095890410958904,3.267123287671233,3,0.0012378692626953125,0.0263211727142334,4,baseline_simple,1.0
7,71,0.40256078262120554,0.020919852114245116,0.4,0.6,0.5555555555555556,4,8.842900302114804,1,1.0302114803625377,4,4.039274924471299,3.099697885196375,3,0.001331329345703125,0.024787187576293945,4,baseline_simple,1.0
8,78,0.4054421768707483,0.030676917455338727,0.4,0.6,0.5555555555555556,4,9.164596273291925,1,1.0434782608695652,4,4.059006211180124,3.1459627329192545,3,0.001348733901977539,0.027578353881835938,4,baseline_simple,1.0
9,75,0.40403361344537814,0.0260872003237193,0.4,0.6,0.5555555555555556,4,8.844117647058823,1,1.0323529411764707,4,4.041176470588235,3.1058823529411765,3,0.0012080669403076172,0.025724172592163086,4,baseline_simple,1.0
