gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,0.47369791666666666,0.2045739917992014,0.25,0.775,,18,18.479166666666668,4,4.041666666666667,6,6.083333333333333,12.458333333333334,12,0.0,0.0209963321685791,9,fec_simple_stratified,0.1
1,210,0.349614537444934,0.16631779227295004,0.03749999999999998,0.975,0.03749999999999998,14,21.449339207048457,4,3.828193832599119,7,6.149779735682819,11.647577092511014,13,0.0008761882781982422,0.05328488349914551,9,fec_simple_stratified,0.1
2,151,0.3933429118773946,0.23112534589458728,0.03749999999999998,0.975,0.03749999999999998,14,25.7816091954023,4,4.35632183908046,7,6.597701149425287,13.114942528735632,13,0.0008733272552490234,0.06500530242919922,9,fec_simple_stratified,0.1
3,126,0.3887068965517242,0.24939938256018818,0.03749999999999998,0.975,0.03749999999999998,14,28.282758620689656,4,4.755172413793104,7,6.9862068965517246,14.293103448275861,13,0.0011813640594482422,0.07792305946350098,9,fec_simple_stratified,0.1
4,131,0.37929166666666664,0.2701250064270656,0.03749999999999998,0.975,0.03749999999999998,14,30.586666666666666,4,4.976666666666667,7,7.283333333333333,14.803333333333333,13,0.0011725425720214844,0.0754845142364502,9,fec_simple_stratified,0.1
5,114,0.35984375,0.27616368667139696,0.03749999999999998,0.975,0.03749999999999998,14,31.05,4,5.146875,7,7.503125,15.171875,13,0.0012378692626953125,0.08068037033081055,9,fec_simple_stratified,0.1
6,90,0.35945216049382717,0.2969038222317559,0.03749999999999998,0.975,0.03749999999999998,14,32.92901234567901,4,5.0092592592592595,7,7.503086419753086,14.808641975308642,13,0.0012395381927490234,0.08082199096679688,9,fec_simple_stratified,0.1
7,88,0.3518072289156627,0.31080039338143706,0.03749999999999998,0.975,0.03749999999999998,14,33.13855421686747,4,4.849397590361446,7,7.575301204819277,14.674698795180722,13,0.0012598037719726562,0.0799102783203125,9,fec_simple_stratified,0.1
8,93,0.3226319875776398,0.3048452572555539,0.03749999999999998,0.975,0.03749999999999998,14,31.574534161490682,4,4.419254658385094,7,7.369565217391305,13.537267080745341,13,0.0012159347534179688,0.07584333419799805,9,fec_simple_stratified,0.1
9,60,0.3432348901098901,0.3116130144717559,0.03749999999999998,0.975,0.03749999999999998,14,33.27472527472528,4,4.684065934065934,7,7.582417582417582,14.10989010989011,13,0.0012793540954589844,0.08257913589477539,9,fec_simple_stratified,0.1
10,77,0.28765337423312887,0.29170040323823815,0.03749999999999998,0.975,0.03749999999999998,14,34.12883435582822,4,4.346625766871166,7,7.49079754601227,13.441717791411042,13,0.0012636184692382812,0.07707500457763672,9,fec_simple_stratified,0.1
11,59,0.3389727011494253,0.3106946194012502,0.03749999999999998,0.975,0.03749999999999998,14,34.62068965517241,4,4.362068965517241,7,7.537356321839081,13.479885057471265,13,0.0012633800506591797,0.07852363586425781,9,fec_simple_stratified,0.1
12,75,0.3349063400576369,0.307579460486421,0.03749999999999998,0.975,0.03749999999999998,14,36.461095100864554,4,4.68299711815562,7,7.677233429394812,14.293948126801153,13,0.0013179779052734375,0.08460140228271484,9,fec_simple_stratified,0.1
13,58,0.3195991847826087,0.29652246060977333,0.03749999999999998,0.975,0.03749999999999998,14,38.14945652173913,4,5.404891304347826,7,8.108695652173912,16.296195652173914,13,0.0012755393981933594,0.0920572280883789,9,fec_simple_stratified,0.1
14,61,0.32186567164179103,0.30664966862745024,0.03749999999999998,0.975,0.03749999999999998,14,39.33432835820896,4,5.53134328358209,7,8.131343283582089,16.53731343283582,13,0.0014104843139648438,0.09319949150085449,9,fec_simple_stratified,0.1
15,57,0.3140750670241287,0.30482126085192085,0.03749999999999998,0.975,0.03749999999999998,14,39.61394101876676,4,5.439678284182306,7,8.134048257372655,16.39142091152815,13,0.001272439956665039,0.09491682052612305,9,fec_simple_stratified,0.1
16,70,0.3396438953488372,0.31339180946828044,0.03749999999999998,0.975,0.03749999999999998,14,40.174418604651166,4,5.459302325581396,7,8.273255813953488,16.584302325581394,13,0.0012798309326171875,0.1855602264404297,9,fec_simple_stratified,0.1
17,78,0.29926035502958576,0.30163571620778207,0.03749999999999998,0.975,0.03749999999999998,14,40.36094674556213,4,5.71301775147929,7,8.334319526627219,17.236686390532544,13,0.001300811767578125,0.08818769454956055,9,fec_simple_stratified,0.1
18,63,0.3268150684931507,0.305644182809471,0.03749999999999998,0.975,0.03749999999999998,14,39.61369863013699,4,5.695890410958904,7,8.33972602739726,17.221917808219178,13,0.0014204978942871094,0.09561824798583984,9,fec_simple_stratified,0.1
19,64,0.29735169491525426,0.3069055089497107,0.03749999999999998,0.975,0.03749999999999998,14,40.68361581920904,4,5.8841807909604515,7,8.392655367231638,17.646892655367232,13,0.0012562274932861328,0.09618997573852539,9,fec_simple_stratified,0.1
20,72,0.32206491712707186,0.29942469111221454,0.03749999999999998,0.975,0.03749999999999998,14,43.03867403314917,4,6.030386740331492,7,8.544198895027625,18.15745856353591,13,0.0013227462768554688,0.09927868843078613,9,fec_simple_stratified,0.1
21,68,0.3100476839237057,0.3018941922463473,0.03749999999999998,0.975,0.03749999999999998,14,45.87193460490463,4,6.514986376021798,7,8.771117166212534,19.49591280653951,13,0.0013058185577392578,0.10469770431518555,9,fec_simple_stratified,0.1
22,60,0.34197916666666667,0.3058335994265418,0.03749999999999998,0.975,0.03749999999999998,14,47.81944444444444,4,6.986111111111111,7,8.922222222222222,20.747222222222224,13,0.0014200210571289062,0.11213803291320801,9,fec_simple_stratified,0.1
23,76,0.3609104046242775,0.3094959692442682,0.03749999999999998,0.975,0.03749999999999998,14,49.80057803468208,4,7.606936416184971,7,9.27456647398844,22.393063583815028,13,0.0013041496276855469,0.12594079971313477,9,fec_simple_stratified,0.1
24,89,0.2973520249221184,0.296001056247504,0.03749999999999998,0.975,0.03749999999999998,14,49.22741433021807,4,7.451713395638629,7,9.33956386292835,22.342679127725855,13,0.0013782978057861328,0.10990095138549805,9,fec_simple_stratified,0.1
