gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,0.6857142857142857,0.1795896893982804,0.2142857142857143,0.7857142857142857,,36,17.733333333333334,8,4.066666666666666,7,4.933333333333334,11.866666666666667,24,0.0,0.004735469818115234,3,fec_simple_stratified,0.1
1,46,0.5223922902494331,0.2535010545696231,0.2142857142857143,0.7738095238095238,0.2142857142857143,36,29.452380952380953,8,5.214285714285714,7,6.428571428571429,15.166666666666666,24,0.0001690387725830078,0.010489940643310547,3,fec_simple_stratified,0.1
2,31,0.3271683673469389,0.20428514778085463,0.2142857142857143,0.7738095238095238,0.2142857142857143,36,32.82142857142857,8,6.107142857142857,7,7.107142857142857,17.178571428571427,24,0.00017642974853515625,0.01244974136352539,3,fec_simple_stratified,0.1
3,31,0.3528493364558939,0.2252077421656675,0.2142857142857143,0.7738095238095238,0.2142857142857143,36,35.967213114754095,8,6.672131147540983,7,7.442622950819672,18.37704918032787,24,0.00022268295288085938,0.013371944427490234,3,fec_simple_stratified,0.1
4,26,0.3265567765567766,0.21491532687795734,0.2142857142857143,0.7857142857142857,0.2142857142857143,36,37.23076923076923,8,6.7846153846153845,7,7.569230769230769,18.184615384615384,24,0.0002143383026123047,0.01256251335144043,3,fec_simple_stratified,0.1
5,25,0.36799719887955196,0.2406180705624081,0.2142857142857143,0.8214285714285714,0.2142857142857143,36,35.19117647058823,8,6.926470588235294,7,7.485294117647059,18.147058823529413,24,0.0002257823944091797,0.013682365417480469,3,fec_simple_stratified,0.1
6,24,0.36551339285714296,0.23935381352526935,0.2142857142857143,0.7738095238095238,0.2142857142857143,36,37.640625,8,7.140625,7,7.4375,18.03125,24,0.0002467632293701172,0.01275324821472168,3,fec_simple_stratified,0.1
7,21,0.34081632653061233,0.22682663341250014,0.16666666666666663,0.7738095238095238,0.16666666666666663,31,40.05714285714286,8,7.257142857142857,7,7.557142857142857,18.34285714285714,19,0.0002257823944091797,0.012938737869262695,3,fec_simple_stratified,0.1
8,20,0.34081632653061233,0.21816380621405107,0.16666666666666663,0.7738095238095238,0.16666666666666663,31,41.58571428571429,8,8.085714285714285,7,7.928571428571429,20.32857142857143,19,0.00024175643920898438,0.013785362243652344,3,fec_simple_stratified,0.1
9,14,0.3243284493284494,0.2121226628756492,0.16666666666666663,0.7738095238095238,0.16666666666666663,31,42.97435897435897,8,8.435897435897436,7,8.0,20.897435897435898,19,0.00022721290588378906,0.014204978942871094,3,fec_simple_stratified,0.1
10,24,0.30659340659340667,0.19580493485966258,0.16666666666666663,0.7738095238095238,0.16666666666666663,31,43.55384615384615,8,8.215384615384615,7,7.676923076923077,19.476923076923075,19,0.00021457672119140625,0.013032197952270508,3,fec_simple_stratified,0.1
11,17,0.341904761904762,0.22917875663841766,0.16666666666666663,0.7738095238095238,0.16666666666666663,31,45.333333333333336,8,8.04,7,7.52,18.733333333333334,19,0.0002486705780029297,0.013057947158813477,3,fec_simple_stratified,0.1
12,15,0.3490990990990992,0.2288597169465669,0.16666666666666663,0.7738095238095238,0.16666666666666663,31,51.41891891891892,8,7.648648648648648,7,7.148648648648648,17.635135135135137,19,0.00022864341735839844,0.012972831726074219,3,fec_simple_stratified,0.1
13,12,0.33843537414965996,0.22465829758054337,0.16666666666666663,0.7738095238095238,0.16666666666666663,31,50.285714285714285,8,8.011904761904763,7,7.440476190476191,18.333333333333332,19,0.00023031234741210938,0.012836217880249023,3,fec_simple_stratified,0.1
14,12,0.3256578947368422,0.21405675553060166,0.16666666666666663,0.8214285714285714,0.16666666666666663,31,55.53947368421053,8,8.75,7,7.894736842105263,20.210526315789473,19,0.0002224445343017578,0.014404773712158203,3,fec_simple_stratified,0.1
15,16,0.31965894465894473,0.21350388648418472,0.16666666666666663,0.7976190476190477,0.16666666666666663,31,55.5,8,9.22972972972973,7,8.094594594594595,21.216216216216218,19,0.0002512931823730469,0.014398336410522461,3,fec_simple_stratified,0.1
16,12,0.33114035087719307,0.2166459281014791,0.16666666666666663,0.7738095238095238,0.16666666666666663,31,55.10526315789474,8,9.93421052631579,7,8.223684210526315,22.56578947368421,19,0.00024366378784179688,0.01484990119934082,3,fec_simple_stratified,0.1
17,25,0.32828894269572245,0.22298936356660262,0.16666666666666663,0.7738095238095238,0.16666666666666663,31,45.13559322033898,8,9.474576271186441,7,7.711864406779661,21.220338983050848,19,0.0002384185791015625,0.01385498046875,3,fec_simple_stratified,0.1
18,16,0.34784735812133083,0.23674803608136397,0.16666666666666663,0.7738095238095238,0.16666666666666663,31,47.0,8,9.986301369863014,7,7.7534246575342465,22.095890410958905,19,0.00023508071899414062,0.013695240020751953,3,fec_simple_stratified,0.1
19,18,0.3597046413502111,0.23873986639931158,0.16666666666666663,0.7738095238095238,0.16666666666666663,31,46.46835443037975,8,9.544303797468354,7,7.962025316455696,21.20253164556962,19,0.00023102760314941406,0.014399051666259766,3,fec_simple_stratified,0.1
20,28,0.3654401154401155,0.25257188808706726,0.16666666666666663,0.8214285714285714,0.16666666666666663,31,45.24242424242424,8,9.727272727272727,7,8.015151515151516,22.075757575757574,19,0.00025081634521484375,0.01364588737487793,3,fec_simple_stratified,0.1
