gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,0.542906746031746,0.2815895592706575,0.15476190476190477,0.8333333333333334,,19,18.9375,4,4.208333333333333,7,5.770833333333333,12.729166666666666,13,0.0,0.016690492630004883,10,fec_simple_farthest_point,0.4
1,211,0.3920926168632591,0.2615161302509769,0.13095238095238093,0.8333333333333334,0.13095238095238093,19,23.440366972477065,5,4.513761467889908,7,6.330275229357798,13.105504587155963,15,0.0008077621459960938,0.0430760383605957,10,fec_simple_farthest_point,0.4
2,185,0.3129711343997058,0.2412632611087754,0.13095238095238093,0.8452380952380952,0.13095238095238093,19,27.563706563706564,5,5.274131274131274,7,6.7915057915057915,14.32046332046332,15,0.0008244514465332031,0.0453343391418457,10,fec_simple_farthest_point,0.4
3,163,0.30534447821681865,0.23787164936605976,0.13095238095238093,0.8571428571428572,0.13095238095238093,19,30.95744680851064,5,5.702127659574468,7,7.205673758865248,15.358156028368795,15,0.0010263919830322266,0.05112171173095703,10,fec_simple_farthest_point,0.4
4,142,0.30876312186216337,0.25588910518556707,0.13095238095238093,0.8571428571428572,0.13095238095238093,19,31.223642172523963,5,6.146964856230032,7,7.396166134185304,16.396166134185304,15,0.0010726451873779297,0.05097150802612305,10,fec_simple_farthest_point,0.4
5,142,0.29185623293903545,0.2352004226231837,0.13095238095238093,0.8452380952380952,0.13095238095238093,19,31.363057324840764,5,5.748407643312102,7,7.305732484076433,15.914012738853502,15,0.001127481460571289,0.05028820037841797,10,fec_simple_farthest_point,0.4
6,109,0.2857845202977946,0.2371028519651939,0.11904761904761907,0.8809523809523809,0.11904761904761907,46,33.07964601769911,6,5.967551622418879,8,7.392330383480826,16.58407079646018,18,0.0011057853698730469,0.053510427474975586,10,fec_simple_farthest_point,0.4
7,96,0.2733065057008719,0.22162191118405306,0.09523809523809523,0.8571428571428572,0.09523809523809523,42,35.74366197183099,16,6.149295774647888,9,7.509859154929577,17.239436619718308,38,0.001071929931640625,0.0561680793762207,10,fec_simple_farthest_point,0.4
8,90,0.2985588972431078,0.24064861400471552,0.09523809523809523,0.8571428571428572,0.09523809523809523,42,39.01578947368421,16,6.628947368421053,9,7.739473684210527,18.492105263157896,38,0.0011281967163085938,0.05971503257751465,10,fec_simple_farthest_point,0.4
9,90,0.2980898574118913,0.2437020151170935,0.09523809523809523,0.8571428571428572,0.09523809523809523,42,40.29943502824859,16,7.296610169491525,9,7.963276836158192,20.316384180790962,38,0.0011594295501708984,0.06259393692016602,10,fec_simple_farthest_point,0.4
10,104,0.2998173701298701,0.24225349287175435,0.09523809523809523,0.8571428571428572,0.09523809523809523,42,40.36647727272727,16,7.28125,9,7.8835227272727275,20.05965909090909,38,0.0011289119720458984,0.06246328353881836,10,fec_simple_farthest_point,0.4
11,94,0.29931497738760304,0.2426373538560991,0.09523809523809523,0.8690476190476191,0.09523809523809523,42,44.1927374301676,16,7.941340782122905,9,8.226256983240223,21.891061452513966,38,0.0011417865753173828,0.0655508041381836,10,fec_simple_farthest_point,0.4
12,96,0.2959183673469387,0.2322598722149297,0.09523809523809523,0.8690476190476191,0.09523809523809523,42,45.14010989010989,16,7.865384615384615,9,8.167582417582418,21.63186813186813,38,0.0012047290802001953,0.07102632522583008,10,fec_simple_farthest_point,0.4
13,95,0.3112619703528794,0.25272456191599524,0.09523809523809523,0.8571428571428572,0.09523809523809523,42,47.11019283746556,16,7.925619834710743,9,8.206611570247935,21.983471074380166,38,0.0012750625610351562,0.07120466232299805,10,fec_simple_farthest_point,0.4
14,91,0.3097791395378527,0.24401381538612824,0.09523809523809523,0.8571428571428572,0.09523809523809523,42,46.88739946380697,16,7.6756032171581765,9,8.09651474530831,21.319034852546917,38,0.0011334419250488281,0.06704831123352051,10,fec_simple_farthest_point,0.4
15,57,0.2920875420875421,0.23486757139356107,0.09523809523809523,0.8571428571428572,0.09523809523809523,42,45.27020202020202,16,7.835858585858586,9,8.146464646464647,21.724747474747474,38,0.0011246204376220703,0.06916999816894531,10,fec_simple_farthest_point,0.4
16,71,0.2841413767579571,0.22730311038638026,0.09523809523809523,0.8571428571428572,0.09523809523809523,42,47.36010362694301,16,8.367875647668393,9,8.487046632124352,23.21761658031088,38,0.0011730194091796875,0.12389874458312988,10,fec_simple_farthest_point,0.4
17,70,0.3188138304417374,0.26267011980003685,0.09523809523809523,0.8690476190476191,0.09523809523809523,42,49.55555555555556,16,8.37984496124031,9,8.387596899224807,22.92248062015504,38,0.0011751651763916016,0.07099318504333496,10,fec_simple_farthest_point,0.4
18,55,0.3133680555555555,0.2520787934111875,0.09523809523809523,0.8571428571428572,0.09523809523809523,42,52.869791666666664,16,9.114583333333334,9,8.838541666666666,25.0859375,38,0.0012178421020507812,0.07880592346191406,10,fec_simple_farthest_point,0.4
