gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,0.6007326007326007,0.2484741234738405,0.2142857142857143,0.7857142857142857,,4,18.673076923076923,1,4.153846153846154,4,5.5,12.538461538461538,3,0.0,0.019978046417236328,8,fec_simple_stratified,0.4
1,217,0.3987830687830688,0.24728336130151177,0.11904761904761907,0.8333333333333334,0.11904761904761907,21,25.07111111111111,5,4.648888888888889,7,6.262222222222222,13.955555555555556,15,0.0008361339569091797,0.05726957321166992,8,fec_simple_stratified,0.4
2,176,0.314993564993565,0.2045209370329928,0.11904761904761907,0.8571428571428572,0.11904761904761907,21,27.386100386100384,5,4.8108108108108105,7,6.552123552123552,14.0,15,0.0008521080017089844,0.06446623802185059,8,fec_simple_stratified,0.4
3,153,0.32563025210084034,0.21619935457039238,0.11904761904761907,0.8452380952380952,0.11904761904761907,21,26.70980392156863,5,4.454901960784314,7,6.345098039215686,12.749019607843136,15,0.0010533332824707031,0.06249499320983887,8,fec_simple_stratified,0.4
4,140,0.2888162307176391,0.18728558678036866,0.11904761904761907,0.8452380952380952,0.11904761904761907,21,28.507042253521128,5,4.23943661971831,7,6.161971830985915,11.954225352112676,15,0.0009143352508544922,0.06182742118835449,8,fec_simple_stratified,0.4
5,110,0.28789751194595486,0.18543184680602434,0.11904761904761907,0.7976190476190477,0.11904761904761907,21,30.792387543252595,5,4.588235294117647,7,6.422145328719723,12.788927335640139,15,0.0010786056518554688,0.06523299217224121,8,fec_simple_stratified,0.4
6,144,0.3291834339369551,0.22512732584837203,0.11904761904761907,0.8809523809523809,0.11904761904761907,21,32.017605633802816,5,4.880281690140845,7,6.559859154929577,13.411971830985916,15,0.0011768341064453125,0.06547355651855469,8,fec_simple_stratified,0.4
7,103,0.3388704318936877,0.2314477866180444,0.11904761904761907,0.8214285714285714,0.11904761904761907,21,35.1328903654485,5,5.6245847176079735,7,6.906976744186046,15.259136212624584,15,0.0011196136474609375,0.07326221466064453,8,fec_simple_stratified,0.4
8,109,0.33705133705133705,0.2307935146283134,0.11904761904761907,0.8214285714285714,0.11904761904761907,21,37.44444444444444,5,6.318318318318318,7,7.354354354354355,17.126126126126128,15,0.0011942386627197266,0.0821080207824707,8,fec_simple_stratified,0.4
9,105,0.31188264779596053,0.20888500165593196,0.11904761904761907,0.8214285714285714,0.11904761904761907,21,37.36842105263158,5,6.247678018575852,7,7.38390092879257,17.095975232198143,15,0.0012054443359375,0.08239984512329102,8,fec_simple_stratified,0.4
10,107,0.3049956178790535,0.21515311423042133,0.11904761904761907,0.8333333333333334,0.11904761904761907,21,38.65950920245399,5,6.404907975460123,7,7.558282208588957,17.53680981595092,15,0.0012156963348388672,0.08111715316772461,8,fec_simple_stratified,0.4
11,99,0.3362140774677218,0.23483196478145335,0.11904761904761907,0.8571428571428572,0.11904761904761907,21,40.71137026239067,5,6.73469387755102,7,7.775510204081633,18.542274052478135,15,0.0011632442474365234,0.08666872978210449,8,fec_simple_stratified,0.4
12,101,0.31924198250728864,0.22455368066040304,0.11904761904761907,0.8452380952380952,0.11904761904761907,21,41.74052478134111,5,6.705539358600583,7,7.85131195335277,18.793002915451893,15,0.0012214183807373047,0.09036016464233398,8,fec_simple_stratified,0.4
13,106,0.327935077935078,0.23734915327331543,0.1071428571428571,0.8452380952380952,0.1071428571428571,62,42.5945945945946,11,6.807807807807808,9,8.015015015015015,19.444444444444443,33,0.0011851787567138672,0.08780574798583984,8,fec_simple_stratified,0.4
14,100,0.3360373647984268,0.2407333048532766,0.1071428571428571,0.8452380952380952,0.1071428571428571,62,43.10914454277286,11,6.595870206489676,9,7.8613569321533925,18.98230088495575,33,0.0011782646179199219,0.08634328842163086,8,fec_simple_stratified,0.4
15,91,0.29294217687074836,0.20928893130976756,0.1071428571428571,0.8333333333333334,0.1071428571428571,62,44.413690476190474,11,6.872023809523809,9,8.041666666666666,19.81845238095238,33,0.0013244152069091797,0.09423422813415527,8,fec_simple_stratified,0.4
16,86,0.3456815390912812,0.2511049622964805,0.1071428571428571,0.8452380952380952,0.1071428571428571,62,45.79942693409742,11,6.553008595988539,9,7.873925501432665,19.154727793696274,33,0.0011720657348632812,0.14550042152404785,8,fec_simple_stratified,0.4
17,83,0.31549374912206773,0.22867363843110744,0.1071428571428571,0.8809523809523809,0.1071428571428571,62,48.389380530973455,11,6.911504424778761,9,8.053097345132743,20.424778761061948,33,0.0011615753173828125,0.09653067588806152,8,fec_simple_stratified,0.4
18,71,0.33000548922739126,0.23491936794187762,0.1071428571428571,0.8571428571428572,0.1071428571428571,62,50.99135446685879,11,7.527377521613833,9,8.317002881844381,22.014409221902017,33,0.0012290477752685547,0.10405969619750977,8,fec_simple_stratified,0.4
19,68,0.3178334011667345,0.23026570833887477,0.1071428571428571,0.8571428571428572,0.1071428571428571,62,51.002849002849004,11,7.321937321937322,9,8.25925925925926,21.40740740740741,33,0.0012257099151611328,0.1047971248626709,8,fec_simple_stratified,0.4
20,55,0.30883887801696025,0.2220960065831063,0.1071428571428571,0.8690476190476191,0.1071428571428571,62,53.367123287671234,11,7.695890410958904,9,8.487671232876712,22.52054794520548,33,0.0012655258178710938,0.10415315628051758,8,fec_simple_stratified,0.4
21,63,0.3126917433640123,0.2276640917672706,0.1071428571428571,0.8333333333333334,0.1071428571428571,62,55.21848739495798,11,7.96078431372549,9,8.683473389355742,23.425770308123248,33,0.0011751651763916016,0.10891079902648926,8,fec_simple_stratified,0.4
22,65,0.31386554621848745,0.2256487472576216,0.09523809523809523,0.8809523809523809,0.09523809523809523,51,61.56764705882353,8,8.905882352941177,10,9.070588235294117,26.147058823529413,25,0.0012011528015136719,0.11524796485900879,8,fec_simple_stratified,0.4
23,56,0.3229976804475372,0.23598802910993216,0.09523809523809523,0.8809523809523809,0.09523809523809523,51,62.3323782234957,8,8.426934097421203,10,8.7621776504298,24.50429799426934,25,0.0012869834899902344,0.11409831047058105,8,fec_simple_stratified,0.4
24,39,0.32398404387933183,0.24244683135594008,0.09523809523809523,0.8452380952380952,0.09523809523809523,51,64.22251308900523,8,8.955497382198953,10,9.018324607329843,26.31151832460733,25,0.0012292861938476562,0.11712241172790527,8,fec_simple_stratified,0.4
25,64,0.3103859928372464,0.23034723678308555,0.09523809523809523,0.8809523809523809,0.09523809523809523,51,64.87186629526462,8,9.356545961002785,10,9.18941504178273,27.39275766016713,25,0.0012722015380859375,0.12181210517883301,8,fec_simple_stratified,0.4
