gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,0.5362263736263735,0.12446541571930707,0.10109890109890107,0.7538461538461538,,36,22.716,8,4.907,7,5.77,15.271,24,0.0,0.06650114059448242,16,fec_simple_farthest_point,0.2
1,428,0.4671174978867287,0.12845982679225132,0.10109890109890107,0.8923076923076922,0.10109890109890107,36,28.162587412587413,8,4.571678321678322,7,6.0227272727272725,13.937062937062937,24,0.003049612045288086,0.17960715293884277,16,fec_simple_farthest_point,0.2
2,343,0.42707277501798047,0.11728962126766664,0.10109890109890107,0.8681318681318682,0.10109890109890107,36,32.19025875190259,8,4.403348554033485,7,6.290715372907154,13.41248097412481,24,0.004186868667602539,0.21585917472839355,16,fec_simple_farthest_point,0.2
3,266,0.42266371230948885,0.11704130797287364,0.0945054945054945,0.8549450549450549,0.0945054945054945,51,34.16076294277929,7,4.2425068119891005,7,6.205722070844686,12.839237057220709,21,0.004410505294799805,0.2092423439025879,16,fec_simple_farthest_point,0.2
4,230,0.4144027401170259,0.12163842419479202,0.08131868131868136,0.9054945054945055,0.08131868131868136,43,35.0025974025974,5,3.9103896103896103,7,6.0636363636363635,11.768831168831168,15,0.004406452178955078,0.22342872619628906,16,fec_simple_farthest_point,0.2
5,222,0.40719511850617257,0.12055996133712356,0.08131868131868136,0.9054945054945055,0.08131868131868136,43,38.14781491002571,5,4.406169665809768,7,6.258354755784062,12.926735218508998,15,0.0045397281646728516,0.23716163635253906,16,fec_simple_farthest_point,0.2
6,215,0.39823615874571294,0.1280189098556142,0.08131868131868136,0.9054945054945055,0.08131868131868136,43,40.8624203821656,5,4.899363057324841,7,6.478980891719745,14.2828025477707,15,0.004732370376586914,0.26614975929260254,16,fec_simple_farthest_point,0.2
7,232,0.4035885989010988,0.13819892981357493,0.08131868131868136,0.9054945054945055,0.08131868131868136,43,45.197916666666664,5,5.790364583333333,7,6.9453125,16.604166666666668,15,0.004841327667236328,0.40291476249694824,16,fec_simple_farthest_point,0.2
8,221,0.41629307791053627,0.15681176673288183,0.07692307692307687,0.9054945054945055,0.07692307692307687,48,48.51219512195122,14,6.684210526315789,11,7.360718870346598,18.975609756097562,37,0.004715442657470703,0.3077411651611328,16,fec_simple_farthest_point,0.2
9,223,0.40400243257386115,0.15605871838879565,0.07692307692307687,0.9296703296703297,0.07692307692307687,48,51.95366795366795,14,7.441441441441442,11,7.764478764478764,20.967824967824967,37,0.0055999755859375,0.3635568618774414,16,fec_simple_farthest_point,0.2
10,237,0.40234470640761594,0.17201090784707274,0.07692307692307687,0.9164835164835164,0.07692307692307687,48,56.92005242463958,14,8.832241153342071,11,8.441677588466579,24.579292267365663,37,0.01145315170288086,0.35059499740600586,16,fec_simple_farthest_point,0.2
11,206,0.3983696404351316,0.18162571393423418,0.07692307692307687,0.9142857142857143,0.07692307692307687,48,61.151133501259444,14,9.462216624685139,11,8.613350125944585,26.418136020151135,37,0.005026578903198242,0.3747830390930176,16,fec_simple_farthest_point,0.2
12,194,0.4055490415291904,0.18533022441967695,0.07692307692307687,0.9208791208791209,0.07692307692307687,48,63.421836228287845,14,10.222084367245657,11,8.96650124069479,28.636476426799007,37,0.0047495365142822266,0.3899261951446533,16,fec_simple_farthest_point,0.2
13,183,0.4001775458323806,0.18373462825015988,0.07692307692307687,0.9142857142857143,0.07692307692307687,48,66.04161566707467,14,10.834761321909424,11,9.223990208078336,30.08323133414933,37,0.005165576934814453,0.3973097801208496,16,fec_simple_farthest_point,0.2
14,189,0.4018156935542879,0.1956712430825847,0.07692307692307687,0.9296703296703297,0.07692307692307687,48,68.97410604192355,14,11.469790382244144,11,9.469790382244144,31.721331689272503,37,0.004853725433349609,0.41454458236694336,16,fec_simple_farthest_point,0.2
15,203,0.3873426448081404,0.20206584044673864,0.07692307692307687,0.9208791208791209,0.07692307692307687,48,74.09159347553324,14,11.560853199498117,11,9.584692597239648,32.09410288582183,37,0.005124330520629883,0.4404327869415283,16,fec_simple_farthest_point,0.2
16,180,0.3965076387027607,0.2002503506617136,0.07692307692307687,0.9208791208791209,0.07692307692307687,48,77.48048780487805,14,12.604878048780488,11,9.896341463414634,34.5609756097561,37,0.005683422088623047,0.3462104797363281,16,fec_simple_farthest_point,0.2
17,180,0.3930367193781828,0.2000687140716563,0.07692307692307687,0.9142857142857143,0.07692307692307687,48,83.16341463414633,14,12.86951219512195,11,9.891463414634146,35.44390243902439,37,0.004019260406494141,0.3369119167327881,16,fec_simple_farthest_point,0.2
18,162,0.3869653020011015,0.20657577233238236,0.07472527472527468,0.9208791208791209,0.07472527472527468,64,86.61575178997613,17,12.568019093078759,10,9.816229116945108,34.59427207637231,41,0.003839731216430664,0.3578217029571533,16,fec_simple_farthest_point,0.2
19,159,0.3919875605963597,0.20454281627818563,0.07472527472527468,0.9098901098901099,0.07472527472527468,64,90.56718192627824,17,13.34601664684899,10,10.109393579072533,36.76218787158145,41,0.003720998764038086,0.3720684051513672,16,fec_simple_farthest_point,0.2
