gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,0.5307912087912088,0.12895661096341723,0.14065934065934071,0.8593406593406594,,36,22.631,8,4.884,7,5.766,15.223,24,0.0,0.11080527305603027,16,fec_simple_kmeans,0.4
1,451,0.46185472087111434,0.12726175404550868,0.14065934065934071,0.8703296703296703,0.14065934065934071,36,28.12568306010929,8,4.426229508196721,7,6.041894353369763,13.517304189435338,24,0.003570556640625,0.20267868041992188,16,fec_simple_kmeans,0.4
2,327,0.4243717649364009,0.11135920667456263,0.14065934065934071,0.8131868131868132,0.14065934065934071,36,29.444279346210994,8,3.9212481426448735,7,6.0594353640416045,11.836552748885588,24,0.003953456878662109,0.20110750198364258,16,fec_simple_kmeans,0.4
3,259,0.40933695184707336,0.10041058492810273,0.08571428571428574,0.8791208791208791,0.08571428571428574,38,29.318488529014846,4,3.2860998650472335,7,5.743589743589744,9.788124156545209,12,0.004881620407104492,0.22181105613708496,16,fec_simple_kmeans,0.4
4,191,0.40986430133525315,0.10254744934488969,0.08571428571428574,0.6901098901098901,0.08571428571428574,38,30.34487021013597,4,3.025957972805933,7,5.6093943139678615,9.053152039555005,12,0.015778541564941406,0.20546817779541016,16,fec_simple_kmeans,0.4
5,169,0.40746193565470684,0.10334870225192226,0.08571428571428574,0.8747252747252747,0.08571428571428574,38,30.92168674698795,4,2.9132530120481928,7,5.56144578313253,8.7,12,0.004685640335083008,0.1855471134185791,16,fec_simple_kmeans,0.4
6,161,0.41006582915890794,0.10760781752027697,0.08571428571428574,0.9142857142857143,0.08571428571428574,38,32.89140811455847,4,3.0656324582338903,7,5.667064439140812,8.933174224343675,12,0.004495143890380859,0.29293274879455566,16,fec_simple_kmeans,0.4
7,158,0.4091238916030335,0.10867837802943436,0.08571428571428574,0.8791208791208791,0.08571428571428574,38,35.13230035756853,4,3.4517282479141835,7,5.9439809296781885,9.96543504171633,12,0.004797220230102539,0.20708656311035156,16,fec_simple_kmeans,0.4
8,176,0.4127242587096603,0.1140679733434387,0.08571428571428574,0.9142857142857143,0.08571428571428574,38,37.03284671532847,4,3.448905109489051,7,5.972019464720194,9.934306569343066,12,0.004950284957885742,0.22788238525390625,16,fec_simple_kmeans,0.4
9,150,0.4182536802819822,0.12020323299883899,0.08571428571428574,0.8527472527472527,0.08571428571428574,38,38.303066037735846,4,3.88561320754717,7,6.216981132075472,11.004716981132075,12,0.004518747329711914,0.2138669490814209,16,fec_simple_kmeans,0.4
10,154,0.40966616322066574,0.11350550337636385,0.08571428571428574,0.7494505494505495,0.08571428571428574,38,39.25473933649289,4,3.976303317535545,7,6.289099526066351,11.196682464454977,12,0.004912853240966797,0.22888541221618652,16,fec_simple_kmeans,0.4
11,142,0.42592378381852064,0.12759176156190585,0.08571428571428574,0.8945054945054945,0.08571428571428574,38,40.058479532163744,4,4.297076023391813,7,6.417543859649123,11.92280701754386,12,0.004796743392944336,0.24297261238098145,16,fec_simple_kmeans,0.4
12,172,0.4177394034536892,0.13176194151215137,0.08571428571428574,0.8967032967032967,0.08571428571428574,38,42.29176755447942,4,4.796610169491525,7,6.797820823244552,13.315980629539952,12,0.004826784133911133,0.23587942123413086,16,fec_simple_kmeans,0.4
13,151,0.413072506689528,0.14109995868869038,0.08571428571428574,0.9142857142857143,0.08571428571428574,38,44.452718676122934,4,5.426713947990543,7,7.061465721040189,14.689125295508275,12,0.004652500152587891,0.2860403060913086,16,fec_simple_kmeans,0.4
14,154,0.4203434229655923,0.15055526611754755,0.08571428571428574,0.9142857142857143,0.08571428571428574,38,45.85578069129917,4,5.918951132300357,7,7.33373063170441,15.723480333730631,12,0.004624128341674805,0.26145315170288086,16,fec_simple_kmeans,0.4
15,133,0.4243011935677827,0.16183257523747038,0.08571428571428574,0.9076923076923077,0.08571428571428574,38,48.54831199068685,4,6.784633294528522,7,7.668218859138533,17.575087310826543,12,0.005726814270019531,0.32425475120544434,16,fec_simple_kmeans,0.4
