gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,0.5360945054945054,0.12835528127855733,0.1186813186813187,0.9142857142857143,,36,21.917,8,4.736,7,5.701,14.744,24,0.0,0.1073155403137207,24,fec_simple_kmeans,0.5
1,430,0.4566454598033546,0.12621961278381294,0.1186813186813187,0.9010989010989011,0.1186813186813187,36,27.217543859649123,8,4.347368421052631,7,6.133333333333334,13.566666666666666,24,0.0034475326538085938,0.20116662979125977,24,fec_simple_kmeans,0.5
2,325,0.4216817256817258,0.10962255525803806,0.1186813186813187,0.7296703296703297,0.1186813186813187,36,28.86074074074074,8,4.075555555555556,7,6.245925925925926,12.608888888888888,24,0.00411534309387207,0.20174384117126465,24,fec_simple_kmeans,0.5
3,273,0.41919373611258076,0.110629140653725,0.09230769230769231,0.8725274725274725,0.09230769230769231,26,30.48968363136176,8,3.792297111416781,10,6.21595598349381,11.764786795048144,24,0.004136085510253906,0.21079587936401367,24,fec_simple_kmeans,0.5
4,219,0.4162288415809543,0.11232370979649917,0.09230769230769231,0.8747252747252747,0.09230769230769231,26,31.206145966709347,8,3.5428937259923177,10,6.11651728553137,10.874519846350832,24,0.004707813262939453,0.20081400871276855,24,fec_simple_kmeans,0.5
5,211,0.41462973021908384,0.11272168869458421,0.09230769230769231,0.8791208791208791,0.09230769230769231,26,32.39543726235741,8,3.453738910012674,10,6.0418250950570345,10.505703422053232,24,0.004373073577880859,0.20520329475402832,24,fec_simple_kmeans,0.5
6,168,0.40511675824175836,0.105420719417771,0.09230769230769231,0.8703296703296703,0.09230769230769231,26,33.55288461538461,8,3.2103365384615383,10,5.849759615384615,9.745192307692308,24,0.004649639129638672,0.29698944091796875,24,fec_simple_kmeans,0.5
7,141,0.4174007598920288,0.1149725701415701,0.09230769230769231,0.9010989010989011,0.09230769230769231,26,36.47729918509895,8,3.486612339930151,10,6.040745052386496,10.575087310826543,24,0.004440784454345703,0.20490550994873047,24,fec_simple_kmeans,0.5
8,150,0.41467097608274084,0.11377670900060355,0.09230769230769231,0.8725274725274725,0.09230769230769231,26,40.054117647058824,8,3.815294117647059,10,6.238823529411765,11.309411764705882,24,0.004703044891357422,0.21154356002807617,24,fec_simple_kmeans,0.5
9,142,0.4058531212377367,0.10888569008167867,0.09230769230769231,0.9076923076923077,0.09230769230769231,26,41.88228438228438,8,3.836829836829837,10,6.224941724941725,11.235431235431236,24,0.004560232162475586,0.25719499588012695,24,fec_simple_kmeans,0.5
10,155,0.42145263021002677,0.12239931513472424,0.09230769230769231,0.8769230769230769,0.09230769230769231,26,43.0414201183432,8,4.123076923076923,10,6.4532544378698224,12.016568047337278,24,0.004339694976806641,0.22716093063354492,24,fec_simple_kmeans,0.5
11,130,0.4196867500315776,0.12332814691191445,0.09230769230769231,0.7098901098901098,0.09230769230769231,26,44.729885057471265,8,4.287356321839081,10,6.536781609195402,12.444827586206896,24,0.004564762115478516,0.22696852684020996,24,fec_simple_kmeans,0.5
12,151,0.42165961247233336,0.12968345194046776,0.08351648351648355,0.8879120879120879,0.08351648351648355,74,46.419316843345115,13,4.71849234393404,11,6.797408716136632,13.541813898704358,34,0.00423741340637207,0.2281179428100586,24,fec_simple_kmeans,0.5
13,134,0.41925234119229504,0.13943439882415262,0.07912087912087917,0.8967032967032967,0.07912087912087917,56,47.67782909930716,7,4.937644341801386,8,6.901847575057737,13.994226327944572,17,0.004823446273803711,0.32205963134765625,24,fec_simple_kmeans,0.5
14,141,0.41942202151748137,0.14287564560589586,0.07912087912087917,0.8791208791208791,0.07912087912087917,56,51.176949941792785,7,5.428405122235157,8,7.104772991850989,15.048894062863795,17,0.0046389102935791016,0.20598196983337402,24,fec_simple_kmeans,0.5
15,142,0.4240964164041087,0.15349250868167894,0.07912087912087917,0.9010989010989011,0.07912087912087917,56,55.078088578088575,7,6.173659673659674,8,7.582750582750583,16.984848484848484,17,0.00564122200012207,0.22938132286071777,24,fec_simple_kmeans,0.5
16,118,0.42373227679350134,0.16180856767857021,0.07912087912087917,0.9010989010989011,0.07912087912087917,56,58.57596371882086,7,6.942176870748299,8,7.928571428571429,18.828798185941043,17,0.0030066967010498047,0.2602379322052002,24,fec_simple_kmeans,0.5
17,127,0.4181337562780862,0.1680185874642385,0.07692307692307687,0.9186813186813186,0.07692307692307687,63,60.95418098510882,7,7.135166093928981,8,8.005727376861397,19.213058419243985,17,0.004296302795410156,0.33942699432373047,24,fec_simple_kmeans,0.5
18,109,0.41778985059883933,0.17661041751438541,0.07692307692307687,0.8747252747252747,0.07692307692307687,63,64.28314606741573,7,7.821348314606742,8,8.278651685393259,20.608988764044945,17,0.011021137237548828,0.34055399894714355,24,fec_simple_kmeans,0.5
19,105,0.40933697175307915,0.1786025301533612,0.07692307692307687,0.9010989010989011,0.07692307692307687,63,65.20581655480984,7,7.774049217002237,8,8.322147651006711,20.399328859060404,17,0.004522562026977539,0.31621623039245605,24,fec_simple_kmeans,0.5
20,129,0.42174028503142424,0.18368463939506136,0.07692307692307687,0.9186813186813186,0.07692307692307687,63,66.6547756041427,7,8.155350978135788,8,8.33716915995397,21.095512082853855,17,0.004766941070556641,0.3162810802459717,24,fec_simple_kmeans,0.5
21,117,0.41156213401111363,0.19419357476001778,0.07472527472527468,0.9076923076923077,0.07472527472527468,75,68.10430839002268,6,8.192743764172336,10,8.422902494331066,21.165532879818596,19,0.004514217376708984,0.29578542709350586,24,fec_simple_kmeans,0.5
22,102,0.4025061797890306,0.19289964689004235,0.07472527472527468,0.9054945054945055,0.07472527472527468,75,72.71603563474387,6,8.46325167037862,10,8.443207126948774,21.766146993318486,19,0.004838466644287109,0.3037598133087158,24,fec_simple_kmeans,0.5
23,80,0.4126415477884466,0.20650866132656792,0.07472527472527468,0.9208791208791209,0.07472527472527468,75,76.53427638737759,6,9.38955386289445,10,8.817192600652884,24.03373231773667,19,0.004828214645385742,0.35253214836120605,24,fec_simple_kmeans,0.5
24,91,0.40076487389262727,0.20691266453625437,0.07472527472527468,0.9252747252747253,0.07472527472527468,75,78.15198237885463,6,9.140969162995594,10,8.67180616740088,23.08920704845815,19,0.004638195037841797,0.39275097846984863,24,fec_simple_kmeans,0.5
25,86,0.3969023292843271,0.195368630370538,0.07472527472527468,0.8923076923076922,0.07472527472527468,75,79.31174533479692,6,9.26893523600439,10,8.854006586169046,23.54994511525796,19,0.005872488021850586,0.3673267364501953,24,fec_simple_kmeans,0.5
26,84,0.4097541013203664,0.1991353335893703,0.07472527472527468,0.9252747252747253,0.07472527472527468,75,78.65060240963855,6,9.227820372398686,10,8.754654983570646,23.243154435925522,19,0.005760669708251953,0.34557151794433594,24,fec_simple_kmeans,0.5
27,43,0.39159271690652436,0.19898040124204883,0.07472527472527468,0.9208791208791209,0.07472527472527468,75,76.32426778242677,6,9.387029288702928,10,8.784518828451883,23.752092050209207,19,0.005528688430786133,0.33383750915527344,24,fec_simple_kmeans,0.5
28,66,0.39012165564628093,0.20227318315178364,0.07472527472527468,0.9252747252747253,0.07472527472527468,75,81.78907922912205,6,9.8779443254818,10,8.867237687366167,24.667023554603855,19,0.0047266483306884766,0.3176302909851074,24,fec_simple_kmeans,0.5
29,59,0.39406523338510585,0.2053859429799763,0.07472527472527468,0.9230769230769231,0.07472527472527468,75,85.38257173219979,6,10.476089266737514,10,8.987247608926674,25.781083953241232,19,0.00491023063659668,0.3339381217956543,24,fec_simple_kmeans,0.5
30,67,0.39735554767812836,0.19946262518513397,0.07472527472527468,0.9054945054945055,0.07472527472527468,75,85.38709677419355,6,9.376344086021506,10,8.658064516129032,23.18709677419355,19,0.004407405853271484,0.3161280155181885,24,fec_simple_kmeans,0.5
31,56,0.38749373638026874,0.2115942280722384,0.07472527472527468,0.9252747252747253,0.07472527472527468,75,88.62248144220572,6,9.693531283138919,10,8.78048780487805,24.089077412513255,19,0.004526853561401367,0.3120119571685791,24,fec_simple_kmeans,0.5
32,49,0.36893726672906485,0.2092179877021668,0.07472527472527468,0.9252747252747253,0.07472527472527468,75,90.92323869610937,6,10.349106203995794,10,8.997896950578339,25.49106203995794,19,0.004142045974731445,0.32757568359375,24,fec_simple_kmeans,0.5
33,57,0.38938428874734604,0.20695674189521066,0.07472527472527468,0.9252747252747253,0.07472527472527468,75,94.09660297239915,6,10.32271762208068,10,9.070063694267516,25.546709129511676,19,0.004415750503540039,0.33240556716918945,24,fec_simple_kmeans,0.5
34,66,0.3895598506530982,0.2111659624858318,0.07472527472527468,0.9208791208791209,0.07472527472527468,75,97.65058949624866,6,10.747052518756698,10,9.112540192926046,26.564844587352624,19,0.00447535514831543,0.3416147232055664,24,fec_simple_kmeans,0.5
35,61,0.38897115677499466,0.21071492155846708,0.07472527472527468,0.9252747252747253,0.07472527472527468,75,100.87100213219617,6,10.525586353944563,10,9.039445628997868,25.946695095948826,19,0.005045175552368164,0.37946033477783203,24,fec_simple_kmeans,0.5
36,73,0.3850601779173208,0.21481668787254005,0.07472527472527468,0.9252747252747253,0.07472527472527468,75,99.80086580086581,6,11.146103896103897,10,9.271645021645021,27.444805194805195,19,0.004212617874145508,0.3473179340362549,24,fec_simple_kmeans,0.5
37,81,0.3764096165842891,0.2095397640720903,0.07472527472527468,0.9252747252747253,0.07472527472527468,75,105.42030567685589,6,11.360262008733624,10,9.36353711790393,27.888646288209607,19,0.004651308059692383,0.395249605178833,24,fec_simple_kmeans,0.5
38,67,0.3873537847759115,0.21394162380085877,0.07472527472527468,0.9252747252747253,0.07472527472527468,75,107.9001074113856,6,11.687432867883995,10,9.508055853920515,28.58861439312567,19,0.0046656131744384766,0.42073726654052734,24,fec_simple_kmeans,0.5
39,94,0.3774203721223589,0.21266519818640495,0.07472527472527468,0.9252747252747253,0.07472527472527468,75,112.76710816777042,6,12.885209713024283,10,9.948123620309051,31.43708609271523,19,0.004742860794067383,0.4063558578491211,24,fec_simple_kmeans,0.5
40,78,0.35209459378840485,0.21077118437731987,0.07472527472527468,0.9252747252747253,0.07472527472527468,75,117.20738327904452,6,14.19543973941368,10,10.289902280130294,34.588490770901196,19,0.004224061965942383,0.4170546531677246,24,fec_simple_kmeans,0.5
41,99,0.35759534583063995,0.21520262528679543,0.07472527472527468,0.9252747252747253,0.07472527472527468,75,120.77025527192009,6,15.711431742508324,10,10.706992230854606,38.18978912319645,19,0.005026578903198242,0.5052103996276855,24,fec_simple_kmeans,0.5
42,96,0.36535057862491493,0.21844755793594473,0.07472527472527468,0.9252747252747253,0.07472527472527468,75,123.21792035398231,6,16.672566371681416,10,10.861725663716815,40.131637168141594,19,0.005002737045288086,0.4938540458679199,24,fec_simple_kmeans,0.5
43,89,0.354872599927545,0.21762311191866926,0.07472527472527468,0.9252747252747253,0.07472527472527468,75,128.14065934065934,6,17.849450549450548,10,11.235164835164834,42.84505494505495,19,0.005114555358886719,0.5618598461151123,24,fec_simple_kmeans,0.5
