gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,0.5320769230769229,0.14323975769667377,0.10989010989010994,0.9032967032967033,,36,22.258,8,4.777,7,5.749,14.978,24,0.0,0.1687781810760498,1,fec_simple_kmeans,0.4
1,415,0.449884474499859,0.1412699671459422,0.10989010989010994,0.8813186813186813,0.10989010989010994,36,26.76752136752137,8,4.3418803418803416,7,5.988034188034188,13.41025641025641,24,0.0031621456146240234,0.30932021141052246,1,fec_simple_kmeans,0.4
2,339,0.4100066600066599,0.1187918709067526,0.10989010989010994,0.8813186813186813,0.10989010989010994,36,28.01212121212121,8,3.889393939393939,7,6.039393939393939,11.992424242424242,24,0.004244089126586914,0.22316503524780273,1,fec_simple_kmeans,0.4
3,276,0.3994292999817861,0.11135958726575027,0.10989010989010994,0.8703296703296703,0.10989010989010994,36,28.87845303867403,8,3.3121546961325965,7,5.808011049723757,10.145027624309392,24,0.004320383071899414,0.24739956855773926,1,fec_simple_kmeans,0.4
4,217,0.40317460317460313,0.11883376362589339,0.10989010989010994,0.843956043956044,0.10989010989010994,36,28.162196679438058,8,2.9642401021711366,7,5.63346104725415,9.075351213282248,24,0.0042667388916015625,0.2582859992980957,1,fec_simple_kmeans,0.4
5,209,0.40847723704866556,0.12889601219848582,0.10989010989010994,0.8923076923076922,0.10989010989010994,36,29.508217446270542,8,3.446270543615676,7,5.932996207332491,10.247787610619469,24,0.004436492919921875,0.27572178840637207,1,fec_simple_kmeans,0.4
6,186,0.4027405027405027,0.12426233432030004,0.08571428571428574,0.8747252747252747,0.08571428571428574,39,30.18058968058968,10,3.531941031941032,9,5.872235872235872,10.285012285012286,30,0.0046122074127197266,0.391162633895874,1,fec_simple_kmeans,0.4
7,180,0.39768412295884814,0.12201362505408939,0.08571428571428574,0.8417582417582418,0.08571428571428574,39,32.085470085470085,10,3.7667887667887667,9,6.070818070818071,10.866910866910867,30,0.005062580108642578,0.2886030673980713,1,fec_simple_kmeans,0.4
8,173,0.413077853222956,0.1409053436510717,0.08571428571428574,0.8945054945054945,0.08571428571428574,39,35.12938331318017,10,4.26360338573156,9,6.3240628778718255,12.169286577992745,30,0.004610538482666016,0.30555009841918945,1,fec_simple_kmeans,0.4
9,159,0.410340907606068,0.1451471910268385,0.08571428571428574,0.9142857142857143,0.08571428571428574,39,37.07253269916766,10,4.673008323424495,9,6.543400713436386,13.161712247324614,30,0.00460052490234375,0.33229994773864746,1,fec_simple_kmeans,0.4
