gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,0.5317476441125901,0.13333678224272552,0.07912087912087917,0.8901098901098901,,28,22.74049619847939,8,4.908563425370148,7,5.743297318927571,15.290916366546618,19,0.0,0.42170190811157227,14,fec_simple_farthest_point,0.3
1,2225,0.45345397212736793,0.1307207769530736,0.07912087912087917,0.8901098901098901,0.07912087912087917,28,27.81326604181687,8,4.505767844268205,7,6.134823359769286,13.89293439077145,19,0.01380014419555664,0.6291308403015137,14,fec_simple_farthest_point,0.3
2,1712,0.42046690759803024,0.11947825652259564,0.07912087912087917,0.9076923076923077,0.07912087912087917,28,29.589595375722542,8,4.216002433830241,7,6.309704898083359,12.814420444174019,19,0.013438701629638672,0.667931079864502,14,fec_simple_farthest_point,0.3
3,1442,0.4138967391640437,0.11485676873173803,0.07912087912087917,0.9098901098901099,0.07912087912087917,28,31.152504220596512,8,3.7867191896454697,7,6.14153066966798,11.409960607765898,19,0.014213085174560547,0.6666831970214844,14,fec_simple_farthest_point,0.3
4,1103,0.410204484780756,0.11649022435898046,0.07912087912087917,0.9142857142857143,0.07912087912087917,28,31.97868515665126,8,3.606060606060606,7,6.054185927067283,10.679506933744221,19,0.014736652374267578,0.6198990345001221,14,fec_simple_farthest_point,0.3
5,1040,0.40937425384115633,0.12088848684588825,0.07912087912087917,0.8945054945054945,0.07912087912087917,28,33.1899949469429,8,3.6839312784234464,7,6.088681152097019,10.79156139464376,19,0.014656782150268555,0.6279635429382324,14,fec_simple_farthest_point,0.3
6,901,0.4106137633739002,0.12640025130198992,0.07252747252747249,0.9076923076923077,0.07252747252747249,60,34.59550561797753,8,3.702979970688813,7,6.10552027357108,10.77503663898388,19,0.013977289199829102,0.6550052165985107,14,fec_simple_farthest_point,0.3
7,867,0.40884394325984247,0.13368606673232913,0.07252747252747249,0.9076923076923077,0.07252747252747249,60,36.30780416868638,8,3.961221522055259,7,6.229762481822588,11.303926320891906,19,0.014589309692382812,0.6856503486633301,14,fec_simple_farthest_point,0.3
8,863,0.4102929516004577,0.1429536749627777,0.07252747252747249,0.9230769230769231,0.07252747252747249,60,38.80677966101695,8,4.454963680387409,7,6.460532687651332,12.444309927360775,19,0.018492698669433594,0.7706940174102783,14,fec_simple_farthest_point,0.3
9,805,0.41127043047731054,0.1584015998229569,0.07252747252747249,0.8923076923076922,0.07252747252747249,60,41.89417104634496,8,4.858098423315814,7,6.593406593406593,13.188963210702342,19,0.020478248596191406,0.9078769683837891,14,fec_simple_farthest_point,0.3
10,755,0.4008098530391524,0.17427497615872947,0.07252747252747249,0.9098901098901099,0.07252747252747249,60,44.63057324840764,8,5.308563340410474,7,6.704411417787214,13.90068412361406,19,0.016576528549194336,0.7519321441650391,14,fec_simple_farthest_point,0.3
11,678,0.388531811099003,0.1937335611366394,0.07252747252747249,0.9164835164835164,0.07252747252747249,60,46.12998146431882,8,5.686515291936979,7,6.758341056533828,14.462928637627433,19,0.015386581420898438,0.7736845016479492,14,fec_simple_farthest_point,0.3
12,621,0.3815390653302741,0.21199480468020918,0.07252747252747249,0.9164835164835164,0.07252747252747249,60,48.15682234432234,8,6.024954212454213,7,6.821428571428571,14.875915750915752,19,0.018212080001831055,0.7975084781646729,14,fec_simple_farthest_point,0.3
13,507,0.361369343187525,0.21960339847476765,0.07252747252747249,0.9230769230769231,0.07252747252747249,60,50.68528032164396,8,6.263122626758991,7,6.8213089122180035,15.088675452311817,19,0.015303611755371094,0.8239059448242188,14,fec_simple_farthest_point,0.3
14,483,0.36048249198082716,0.2314588343495394,0.07252747252747249,0.9230769230769231,0.07252747252747249,60,52.78956714761376,8,6.426637069922308,7,6.838845726970034,15.251276359600444,19,0.01814889907836914,0.8077268600463867,14,fec_simple_farthest_point,0.3
15,391,0.36420502909702124,0.233727090100225,0.07252747252747249,0.9098901098901099,0.07252747252747249,60,54.30373118044949,8,6.48985380754964,7,6.823259873445341,15.281911411739035,19,0.019130229949951172,0.84255051612854,14,fec_simple_farthest_point,0.3
16,432,0.35638831214868083,0.23174768515824531,0.07252747252747249,0.9098901098901099,0.07252747252747249,60,56.754004827737546,8,6.858898398068905,7,6.938336624972569,16.11037963572526,19,0.016659975051879883,0.8148729801177979,14,fec_simple_farthest_point,0.3
17,400,0.3597599515868747,0.23378955616435235,0.06813186813186811,0.9230769230769231,0.06813186813186811,100,59.39423076923077,23,6.980550699300699,15,6.993006993006993,16.51333041958042,59,0.015584707260131836,0.9061055183410645,14,fec_simple_farthest_point,0.3
