gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,0.5303410989010988,0.12332231527603943,0.07472527472527468,0.9186813186813186,,33,22.8404,9,4.9244,7,5.7476,15.3632,22,0.0,0.4518251419067383,19,fec_simple_kmeans,0.3
1,2226,0.45934858220366503,0.12147549431233272,0.07472527472527468,0.9230769230769231,0.07472527472527468,33,27.41744772891132,9,4.341384282624369,7,6.037490987743331,13.3943763518385,22,0.015742778778076172,0.6498620510101318,19,fec_simple_kmeans,0.3
2,1652,0.4235323087429451,0.10439104443598886,0.07472527472527468,0.9054945054945055,0.07472527472527468,33,29.29309829698237,9,3.912757693456827,7,6.147296086047207,12.086943531520765,22,0.014120101928710938,0.6773614883422852,19,fec_simple_kmeans,0.3
3,1329,0.4172435573143827,0.10173361053187215,0.07472527472527468,0.9230769230769231,0.07472527472527468,33,30.252792154726233,9,3.584309452465268,7,6.019613184418414,10.904930536638519,22,0.014949321746826172,0.6715989112854004,19,fec_simple_kmeans,0.3
4,1085,0.41535146009704943,0.1033690570969815,0.07472527472527468,0.9230769230769231,0.07472527472527468,33,31.533111736128866,9,3.412426489388903,7,5.919457939145999,10.24392738430069,22,0.013875007629394531,0.7245228290557861,19,fec_simple_kmeans,0.3
5,933,0.40926699376883874,0.10242093596742971,0.07252747252747249,0.9032967032967033,0.07252747252747249,68,32.73382533825338,12,3.337023370233702,12,5.865682656826568,9.896432964329643,32,0.015656709671020508,0.6891834735870361,19,fec_simple_kmeans,0.3
6,866,0.40845026222567365,0.10763664789195944,0.07252747252747249,0.9230769230769231,0.07252747252747249,68,33.86979670861568,12,3.3363988383349468,12,5.8785091965150045,9.898596321393999,32,0.01512002944946289,0.6941423416137695,19,fec_simple_kmeans,0.3
7,807,0.4121868105635115,0.11543745665775425,0.07252747252747249,0.9054945054945055,0.07252747252747249,68,35.51181666268799,12,3.4769634757698733,12,5.951062306039628,10.145858200047744,32,0.016064167022705078,0.720120906829834,19,fec_simple_kmeans,0.3
8,821,0.4109532315900523,0.1205051638038639,0.07252747252747249,0.9120879120879121,0.07252747252747249,68,36.72444338041657,12,3.7129518793392386,12,6.066076131194637,10.686856595642805,32,0.015768766403198242,0.7634382247924805,19,fec_simple_kmeans,0.3
9,776,0.409476461038961,0.1323857482708616,0.07252747252747249,0.9230769230769231,0.07252747252747249,68,38.625,12,4.075757575757576,12,6.254498106060606,11.532433712121213,32,0.01822352409362793,0.8811266422271729,19,fec_simple_kmeans,0.3
10,807,0.40663588380123816,0.14639643357431809,0.07252747252747249,0.9274725274725275,0.07252747252747249,68,41.476258649486994,12,4.6506800286327845,12,6.6187067525650205,12.980195657361012,32,0.01734018325805664,0.840160608291626,19,fec_simple_kmeans,0.3
11,778,0.4045820972106822,0.16058028040166877,0.07252747252747249,0.9120879120879121,0.07252747252747249,68,43.991467172315716,12,5.213320692107135,12,6.87224460772695,14.135814173974875,32,0.01807379722595215,1.0210084915161133,19,fec_simple_kmeans,0.3
12,788,0.39842633602139305,0.1776889980732145,0.07252747252747249,0.9318681318681319,0.07252747252747249,68,46.17229087452471,12,5.698906844106464,12,7.109790874524715,15.199144486692015,32,0.021302461624145508,1.0941557884216309,19,fec_simple_kmeans,0.3
13,720,0.3843729004656622,0.18794003644980994,0.07252747252747249,0.9318681318681319,0.07252747252747249,68,48.518388381353944,12,6.124150855001171,12,7.253220894823143,15.919184820801124,32,0.019908428192138672,1.1220097541809082,19,fec_simple_kmeans,0.3
14,659,0.3732426706135193,0.1988494494869722,0.07252747252747249,0.9252747252747253,0.07252747252747249,68,50.47209409594096,12,6.2843634686346865,12,7.211946494464945,15.878228782287822,32,0.020859956741333008,1.065920114517212,19,fec_simple_kmeans,0.3
15,550,0.3719580015126574,0.2109040021635345,0.07252747252747249,0.9318681318681319,0.07252747252747249,68,52.27372919478183,12,6.586369770580297,12,7.222222222222222,16.22222222222222,32,0.021266698837280273,1.1583983898162842,19,fec_simple_kmeans,0.3
16,543,0.36476940382452194,0.21351545164073232,0.07252747252747249,0.9318681318681319,0.07252747252747249,68,53.8636670416198,12,6.90326209223847,12,7.267491563554556,16.739932508436446,32,0.025676488876342773,1.4318444728851318,19,fec_simple_kmeans,0.3
17,557,0.36549217321400657,0.21483206913156394,0.07252747252747249,0.9318681318681319,0.07252747252747249,68,55.957778279521335,12,6.829081056671935,12,7.146985775570106,16.405509144276362,32,0.026669740676879883,1.469050645828247,19,fec_simple_kmeans,0.3
18,495,0.3650155449532674,0.2176444777301568,0.07252747252747249,0.9318681318681319,0.07252747252747249,68,58.281361209964416,12,7.025578291814947,12,7.15903024911032,16.664813167259787,32,0.0236208438873291,1.4192447662353516,19,fec_simple_kmeans,0.3
19,430,0.35620756055538666,0.2194393002837728,0.06813186813186811,0.9318681318681319,0.06813186813186811,52,61.12165129556434,6,7.131971892841458,6,7.118137900746596,16.75911286780852,13,0.024518728256225586,1.475057601928711,19,fec_simple_kmeans,0.3
20,364,0.35374875880712453,0.22212467505349462,0.06813186813186811,0.9318681318681319,0.06813186813186811,52,63.41137051448335,6,7.349329874621703,6,7.137916126242975,17.107868568958065,13,0.029186010360717773,1.5570001602172852,19,fec_simple_kmeans,0.3
21,383,0.35976654011787385,0.22156375474848092,0.06813186813186811,0.9318681318681319,0.06813186813186811,52,65.01279548904793,6,7.512470180004337,6,7.13142485361093,17.376924745174584,13,0.02982926368713379,1.4579110145568848,19,fec_simple_kmeans,0.3
22,401,0.3556600834838951,0.22040979660581042,0.06813186813186811,0.9318681318681319,0.06813186813186811,52,66.2895769733973,6,7.7337549062363715,6,7.1982119494112515,17.860880941997383,13,0.024420738220214844,1.678351879119873,19,fec_simple_kmeans,0.3
23,414,0.3563748751248751,0.2221881826679267,0.06813186813186811,0.9318681318681319,0.06813186813186811,52,67.54152097902097,6,7.848339160839161,6,7.22770979020979,18.149912587412587,13,0.0351254940032959,1.8765869140625,19,fec_simple_kmeans,0.3
