gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,0.5319798025539173,0.1404354332717669,0.09890109890109888,0.9010989010989011,,36,22.510702140428087,7,4.840368073614723,7,5.751150230046009,15.14122824564913,24,0.0,0.5318026542663574,18,baseline_simple,1.0
1,2097,0.45173503726724534,0.13662793746349586,0.09890109890109888,0.865934065934066,0.08771929824561409,36,26.73475714777816,7,4.242507750602825,7,6.015156734412677,13.196348604891492,24,0.023813724517822266,0.5547280311584473,18,baseline_simple,1.0
2,1662,0.41532667452379846,0.1201959162460301,0.08791208791208793,0.9054945054945055,0.06140350877192979,35,28.25584182144997,8,3.853205512282804,7,6.132115038945476,11.88136608747753,24,0.009895086288452148,0.5099594593048096,18,baseline_simple,1.0
3,1362,0.4076953283110512,0.11476877943357638,0.08791208791208793,0.9010989010989011,0.06140350877192979,35,28.81280923584387,8,3.478284771852666,7,5.9711379879054425,10.599230346344145,24,0.04968571662902832,0.8595633506774902,18,baseline_simple,1.0
4,1105,0.4032523859392598,0.1131674655697977,0.08791208791208793,0.9010989010989011,0.06140350877192979,35,29.99640380169535,8,3.2483945543282817,7,5.838171076290778,9.795787310557412,24,0.019806623458862305,0.6267595291137695,18,baseline_simple,1.0
5,944,0.4066102209734984,0.11805944956024758,0.08571428571428574,0.9032967032967033,0.07894736842105265,43,31.250740375123396,8,3.2226061204343535,8,5.838598223099704,9.623395853899309,19,0.016615629196166992,0.7416069507598877,18,baseline_simple,1.0
6,864,0.4115892332147775,0.12497945980999761,0.08571428571428574,0.8879120879120879,0.07894736842105265,43,33.05418480890179,8,3.3333333333333335,8,5.9073536526366714,9.746492501209483,19,0.013799905776977539,0.6789157390594482,18,baseline_simple,1.0
7,862,0.4117965730447588,0.12971056977943968,0.07472527472527468,0.9010989010989011,0.07894736842105265,43,35.15094339622642,8,3.500967585873246,8,5.962264150943396,10.02951136913401,19,0.017928361892700195,0.4809253215789795,18,baseline_simple,1.0
8,825,0.4161105385379792,0.13615938400368932,0.07472527472527468,0.9164835164835164,0.07894736842105265,43,36.64403933797074,8,3.8272967138402496,8,6.14319980810746,10.793715519309186,19,0.021511316299438477,0.4930534362792969,18,baseline_simple,1.0
9,854,0.4193658104329277,0.1426065130537187,0.07472527472527468,0.9054945054945055,0.07894736842105265,43,39.002414292612265,8,4.307339449541284,8,6.3792853693867695,11.883631096088846,19,0.015173673629760742,0.9968538284301758,18,baseline_simple,1.0
10,800,0.4199405744470122,0.15094679172842768,0.07472527472527468,0.8835164835164835,0.07894736842105265,43,41.1931330472103,8,4.7308059132093465,8,6.558893657606104,12.707916070577015,19,0.01712632179260254,0.682788610458374,18,baseline_simple,1.0
11,777,0.41464332012634886,0.16080943766486433,0.07472527472527468,0.9032967032967033,0.07894736842105265,43,43.33539045810586,8,5.239734156183243,8,6.767861381438405,13.716116781390934,19,0.014606475830078125,0.7059788703918457,18,baseline_simple,1.0
12,733,0.4167317388493859,0.1744042936017525,0.07252747252747249,0.9098901098901099,0.07894736842105265,62,45.16305882352941,8,5.612235294117647,8,6.905647058823529,14.368,19,0.014794111251831055,0.7075760364532471,18,baseline_simple,1.0
13,704,0.41039480182738614,0.18421641545654327,0.07252747252747249,0.9142857142857143,0.07894736842105265,62,47.397705992509366,8,5.955758426966292,8,6.977996254681648,14.860720973782772,19,0.01605844497680664,0.7433102130889893,18,baseline_simple,1.0
14,616,0.4011190829372647,0.19499775209246087,0.07252747252747249,0.9032967032967033,0.07894736842105265,62,49.51010101010101,8,6.243112947658402,8,7.043847566574839,15.29040404040404,19,0.01621532440185547,0.7753691673278809,18,baseline_simple,1.0
15,544,0.39693132364922595,0.2048790947022458,0.07252747252747249,0.9120879120879121,0.07894736842105265,62,51.03141952983725,8,6.496383363471971,8,7.061030741410488,15.541591320072333,19,0.018897294998168945,0.8245677947998047,18,baseline_simple,1.0
16,493,0.38513663935350684,0.21787874332675683,0.07252747252747249,0.9142857142857143,0.07894736842105265,62,51.6537260151718,8,6.462070504239179,8,6.962293618920125,15.083891120035698,19,0.019551515579223633,0.741666316986084,18,baseline_simple,1.0
17,428,0.3801946126984665,0.22395035472288027,0.06593406593406592,0.9274725274725275,0.08771929824561409,62,53.0885267562211,14,6.406298172208764,11,6.866108786610878,14.740145342435587,32,0.018944978713989258,0.7992644309997559,18,baseline_simple,1.0
18,393,0.3736878506109276,0.2292457073869173,0.06593406593406592,0.9230769230769231,0.08771929824561409,62,54.20061188811189,14,6.411494755244755,11,6.7934877622377625,14.525568181818182,32,0.015039443969726562,0.7454278469085693,18,baseline_simple,1.0
19,340,0.3657872279564254,0.23146575065855152,0.06593406593406592,0.9274725274725275,0.08771929824561409,62,55.80086767895879,14,6.277223427331887,11,6.714533622559653,14.121475054229935,32,0.01880788803100586,0.714789867401123,18,baseline_simple,1.0
20,302,0.36387943458130195,0.23336991580059402,0.06593406593406592,0.9164835164835164,0.08771929824561409,62,57.59841167632539,14,6.19768190598841,11,6.619660871431638,13.802747370680404,32,0.016244173049926758,0.7165093421936035,18,baseline_simple,1.0
21,261,0.3597388796113557,0.23154614755663766,0.06593406593406592,0.9186813186813186,0.08771929824561409,62,58.98724760892667,14,6.278639744952178,11,6.6624867162592984,13.977683315621679,32,0.016844511032104492,0.7399795055389404,18,baseline_simple,1.0
22,247,0.3660686585755573,0.23333161052457219,0.06593406593406592,0.9208791208791209,0.08771929824561409,62,60.628953513054554,14,6.445340691997453,11,6.722351942262789,14.390150711101677,32,0.018825054168701172,0.9504539966583252,18,baseline_simple,1.0
23,259,0.362992148038877,0.23316609482290782,0.06593406593406592,0.9120879120879121,0.08771929824561409,62,62.971750212404416,14,6.664188615123194,11,6.779736618521666,14.828802039082413,32,0.02726268768310547,0.9425265789031982,18,baseline_simple,1.0
24,219,0.365565908531688,0.23447896324124864,0.06593406593406592,0.9208791208791209,0.08771929824561409,62,65.27566539923954,14,6.917194761301225,11,6.847697507393325,15.351288550908322,32,0.01709914207458496,0.7767651081085205,18,baseline_simple,1.0
25,255,0.3630056076860069,0.233550444237306,0.06593406593406592,0.9230769230769231,0.08771929824561409,62,67.20259078360586,14,7.0254831174347,11,6.8974304523253345,15.628371204077299,32,0.01790904998779297,0.910491943359375,18,baseline_simple,1.0
26,237,0.35996317574260306,0.23346178042213347,0.06593406593406592,0.9230769230769231,0.08771929824561409,62,69.69756097560976,14,7.3751855779427355,11,6.979003181336161,16.4254506892895,32,0.016339778900146484,0.7941789627075195,18,baseline_simple,1.0
27,221,0.36601492540771474,0.232499201264413,0.06593406593406592,0.9208791208791209,0.08771929824561409,62,72.9763862534261,14,7.722327640733713,11,7.112797807294961,17.271979759645795,32,0.017449378967285156,0.8522684574127197,18,baseline_simple,1.0
28,250,0.3647950436318086,0.23206171596917882,0.06593406593406592,0.9230769230769231,0.08771929824561409,62,75.06559116960305,14,8.160687752069624,11,7.2398641477393335,18.193377202292506,32,0.0185544490814209,0.892686128616333,18,baseline_simple,1.0
29,258,0.3696962355007723,0.23395086684735322,0.06593406593406592,0.9230769230769231,0.08771929824561409,62,77.39177443290227,14,8.439474242103032,11,7.339198643205427,18.84863260546958,32,0.020306110382080078,0.8957972526550293,18,baseline_simple,1.0
30,240,0.3631799668124906,0.2281628972653869,0.06593406593406592,0.9230769230769231,0.08771929824561409,62,80.47729672650475,14,8.75374868004224,11,7.4114044350580786,19.528616684266105,32,0.016818523406982422,0.9258642196655273,18,baseline_simple,1.0
31,250,0.37297527647177997,0.23254173176876974,0.06593406593406592,0.9208791208791209,0.08771929824561409,62,82.90315744861199,14,9.194532739987286,11,7.546726001271455,20.477855477855478,32,0.01928544044494629,1.0190093517303467,18,baseline_simple,1.0
32,227,0.3732398045884265,0.23031299108412168,0.06593406593406592,0.9230769230769231,0.08771929824561409,62,85.14980012623606,14,9.262991794656006,11,7.57353250578582,20.61876709446665,32,0.01925039291381836,1.2919492721557617,18,baseline_simple,1.0
33,200,0.3752518987516889,0.22965041445193976,0.06593406593406592,0.9230769230769231,0.08771929824561409,62,87.37830465799412,14,9.674779689467059,11,7.740243390684012,21.603441040704993,32,0.030504226684570312,1.6987051963806152,18,baseline_simple,1.0
34,249,0.3676647710991574,0.2314372564089536,0.06593406593406592,0.9230769230769231,0.08771929824561409,62,89.33538265846937,14,9.788000847996608,11,7.713801144795421,21.750688997244012,32,0.018585205078125,1.035749912261963,18,baseline_simple,1.0
35,233,0.3685252274108331,0.23148976539223753,0.06593406593406592,0.9230769230769231,0.08771929824561409,62,92.65428450823133,14,10.414309835373576,11,7.88159560996201,23.113338961587168,32,0.01842045783996582,1.0717833042144775,18,baseline_simple,1.0
36,220,0.3698051948051948,0.2354667565649466,0.06593406593406592,0.9230769230769231,0.08771929824561409,62,95.63089225589225,14,11.044191919191919,11,8.076599326599327,24.50631313131313,32,0.019892215728759766,1.0941033363342285,18,baseline_simple,1.0
37,238,0.36955321238626465,0.23241695898963033,0.06593406593406592,0.9230769230769231,0.08771929824561409,62,97.37247048903879,14,11.43423271500843,11,8.126264755480607,25.295531197301855,32,0.016420602798461914,1.1547386646270752,18,baseline_simple,1.0
38,239,0.3736829415310428,0.23392602428646603,0.06593406593406592,0.9230769230769231,0.08771929824561409,62,98.15611814345992,14,11.481223628691984,11,8.187974683544304,25.530590717299578,32,0.019741296768188477,1.194685697555542,18,baseline_simple,1.0
39,268,0.3759637558702979,0.23222477800310792,0.06593406593406592,0.9230769230769231,0.08771929824561409,62,99.7822854715378,14,11.641886151231946,11,8.207519116397622,25.82073067119796,32,0.017830371856689453,1.1834371089935303,18,baseline_simple,1.0
40,242,0.3679427225361756,0.23200405144449587,0.06593406593406592,0.9252747252747253,0.08771929824561409,62,102.15755015839493,14,11.899260823653643,11,8.243928194297782,26.343822597676873,32,0.02009105682373047,1.1965463161468506,18,baseline_simple,1.0
41,268,0.3716540826144388,0.23164486954799282,0.06593406593406592,0.9230769230769231,0.08771929824561409,62,103.25100699597202,14,12.429298282806869,11,8.425906296374814,27.571549713801144,32,0.01687788963317871,1.1912226676940918,18,baseline_simple,1.0
42,284,0.3714533868347247,0.23178268549153003,0.06593406593406592,0.9230769230769231,0.08771929824561409,62,106.73434171282489,14,12.853429910524074,11,8.491052407328505,28.526416702172988,32,0.01781487464904785,1.3028879165649414,18,baseline_simple,1.0
43,248,0.37245446047815917,0.23422944347408,0.06593406593406592,0.9230769230769231,0.08771929824561409,62,109.76872619551418,14,13.62082099026661,11,8.74016081252645,30.244181125687685,32,0.019389629364013672,1.4122154712677002,18,baseline_simple,1.0
44,271,0.36976692097711206,0.23355956344330978,0.06593406593406592,0.9230769230769231,0.08771929824561409,62,112.43885350318472,14,14.325053078556262,11,8.961995753715499,31.770912951167727,32,0.030870676040649414,1.72371244430542,18,baseline_simple,1.0
