gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,0.49657443082311736,0.03792408854184328,0.11908931698774083,0.8581436077057794,,27,22.483,6,4.84,7,5.741,15.127,18,0.0,0.13772964477539062,17,fec_simple_farthest_point,0.5
1,362,0.48578361670939724,0.033475365363201115,0.11908931698774083,0.6672504378283712,0.11908931698774083,27,19.329153605015673,6,2.873040752351097,7,4.684952978056426,8.36833855799373,18,0.004550457000732422,0.1573162078857422,17,fec_simple_farthest_point,0.5
2,213,0.48068103173949706,0.037481304317956744,0.09807355516637473,0.6672504378283712,0.09807355516637473,30,17.438373570520966,6,1.8119440914866582,8,3.837357052096569,4.754764930114359,18,0.00446319580078125,0.11500716209411621,17,fec_simple_farthest_point,0.5
3,115,0.4774318026655584,0.03022890961123167,0.09807355516637473,0.5253940455341506,0.09807355516637473,30,16.59774011299435,6,1.4440677966101696,8,3.448587570621469,3.466666666666667,18,0.004213571548461914,0.09925198554992676,17,fec_simple_farthest_point,0.5
4,100,0.4767347733021988,0.021701074194675117,0.09807355516637473,0.5253940455341506,0.09807355516637473,30,16.29222222222222,6,1.2544444444444445,8,3.2666666666666666,2.828888888888889,18,0.00433349609375,0.09061098098754883,17,fec_simple_farthest_point,0.5
5,94,0.4753810943196359,0.026845709705180004,0.09807355516637473,0.5253940455341506,0.09807355516637473,30,16.11479028697572,6,1.2030905077262692,8,3.184326710816777,2.6247240618101544,18,0.0040264129638671875,0.0884699821472168,17,fec_simple_farthest_point,0.5
6,71,0.47588220767297745,0.025714412540399374,0.09807355516637473,0.8021015761821366,0.09807355516637473,30,16.72766415500538,6,1.1700753498385361,8,3.155005382131324,2.52529601722282,18,0.003924131393432617,0.08642292022705078,17,fec_simple_farthest_point,0.5
7,68,0.4762294897138519,0.015969763668542934,0.09807355516637473,0.5253940455341506,0.09807355516637473,30,17.209227467811157,6,1.101931330472103,8,3.1137339055793993,2.332618025751073,18,0.0037450790405273438,0.08101344108581543,17,fec_simple_farthest_point,0.5
8,46,0.47583224105710303,0.01874769922964662,0.09807355516637473,0.5253940455341506,0.09807355516637473,30,17.5146750524109,6,1.110062893081761,8,3.09958071278826,2.340670859538784,18,0.0037751197814941406,0.08402395248413086,17,fec_simple_farthest_point,0.5
9,68,0.4755361048683507,0.021438540494494344,0.09807355516637473,0.5253940455341506,0.09807355516637473,30,17.564377682403432,6,1.1223175965665235,8,3.1148068669527897,2.3776824034334765,18,0.003918886184692383,0.08495140075683594,17,fec_simple_farthest_point,0.5
10,49,0.47571825030707826,0.020585372706389292,0.09807355516637473,0.5253940455341506,0.09807355516637473,30,17.590956887486858,6,1.099894847528917,8,3.095688748685594,2.3259726603575186,18,0.0039212703704833984,0.22367191314697266,17,fec_simple_farthest_point,0.5
11,59,0.47613207248688366,0.021356030182483283,0.09807355516637473,0.7915936952714536,0.09807355516637473,30,16.753453772582358,6,1.0988310308182785,8,3.088204038257173,2.3028692879914985,18,0.0038225650787353516,0.08352947235107422,17,fec_simple_farthest_point,0.5
12,51,0.4766137827817648,0.014446471483704652,0.09807355516637473,0.6129597197898424,0.09807355516637473,30,16.2349841938883,6,1.047418335089568,8,3.0579557428872497,2.161222339304531,18,0.004260063171386719,0.08896541595458984,17,fec_simple_farthest_point,0.5
13,43,0.4755557263558953,0.021804010427435197,0.09807355516637473,0.8581436077057794,0.09807355516637473,30,16.653082549634274,6,1.044932079414838,8,3.045977011494253,2.1410658307210033,18,0.0039310455322265625,0.0815887451171875,17,fec_simple_farthest_point,0.5
14,47,0.47544577635745155,0.01816033978985281,0.09807355516637473,0.5253940455341506,0.09807355516637473,30,18.02623294858342,6,1.0818467995802727,8,3.0776495278069254,2.2560335781741867,18,0.003932952880859375,0.08519887924194336,17,fec_simple_farthest_point,0.5
15,60,0.475764802325148,0.01378469954237211,0.09807355516637473,0.542907180385289,0.09807355516637473,30,18.83936170212766,6,1.1180851063829786,8,3.0882978723404255,2.3680851063829786,18,0.004425764083862305,0.09695935249328613,17,fec_simple_farthest_point,0.5
16,49,0.47614733131867815,0.018128304018422425,0.09807355516637473,0.8563922942206655,0.09807355516637473,30,19.065194532071505,6,1.0220820189274449,8,3.0199789695057833,2.0620399579390116,18,0.003926753997802734,0.08649444580078125,17,fec_simple_farthest_point,0.5
17,39,0.4755809312759803,0.013019278310277329,0.09807355516637473,0.5096322241681261,0.09807355516637473,30,19.05411030176899,6,1.0374609781477628,8,3.0301768990634756,2.1144640998959416,18,0.004521846771240234,0.08822250366210938,17,fec_simple_farthest_point,0.5
18,45,0.47457661308808813,0.0175749847171548,0.09807355516637473,0.49036777583187385,0.09807355516637473,30,19.306806282722512,6,1.0261780104712042,8,3.0219895287958116,2.0858638743455495,18,0.004076719284057617,0.08577823638916016,17,fec_simple_farthest_point,0.5
19,46,0.4756394864282382,0.013317433022513099,0.09807355516637473,0.5253940455341506,0.09807355516637473,30,19.352201257861637,6,1.0555555555555556,8,3.056603773584906,2.1771488469601676,18,0.004466533660888672,0.09275436401367188,17,fec_simple_farthest_point,0.5
20,52,0.47504563021422175,0.01786270286156408,0.09807355516637473,0.5096322241681261,0.09807355516637473,30,19.90084388185654,6,1.0506329113924051,8,3.0443037974683542,2.1645569620253164,18,0.0038661956787109375,0.08806061744689941,17,fec_simple_farthest_point,0.5
21,48,0.47569132731901853,0.013178237167545223,0.09807355516637473,0.5253940455341506,0.09807355516637473,30,20.021008403361346,6,1.0273109243697478,8,3.028361344537815,2.092436974789916,18,0.004063844680786133,0.0871281623840332,17,fec_simple_farthest_point,0.5
22,35,0.47520484923277934,0.01686477588011845,0.09807355516637473,0.5096322241681261,0.09807355516637473,30,20.190673575129534,6,1.0373056994818652,8,3.0414507772020727,2.1212435233160623,18,0.003929853439331055,0.08510065078735352,17,fec_simple_farthest_point,0.5
23,43,0.4748987550485224,0.022077435004215332,0.09807355516637473,0.6129597197898424,0.09807355516637473,30,20.898641588296762,6,1.0376175548589341,8,3.039707419017764,2.1243469174503655,18,0.0039691925048828125,0.0877676010131836,17,fec_simple_farthest_point,0.5
24,44,0.4743110156885445,0.02480768781275607,0.09807355516637473,0.5096322241681261,0.09807355516637473,30,20.198744769874477,6,1.0397489539748954,8,3.0418410041841004,2.1317991631799162,18,0.003973484039306641,0.0853722095489502,17,fec_simple_farthest_point,0.5
25,46,0.47347696306821296,0.030485380470538965,0.09807355516637473,0.5901926444833625,0.09807355516637473,30,20.28721174004193,6,1.0733752620545074,8,3.060796645702306,2.230607966457023,18,0.0038995742797851562,0.1344895362854004,17,fec_simple_farthest_point,0.5
26,67,0.47186917519329197,0.03919997701300566,0.09807355516637473,0.5253940455341506,0.09807355516637473,30,21.540192926045016,6,1.0814576634512325,8,3.0814576634512325,2.264737406216506,18,0.00385284423828125,0.08763241767883301,17,fec_simple_farthest_point,0.5
27,48,0.4736548735080721,0.02990460855367114,0.09807355516637473,0.5096322241681261,0.09807355516637473,30,21.345588235294116,6,1.0850840336134453,8,3.091386554621849,2.2794117647058822,18,0.003914833068847656,0.09095072746276855,17,fec_simple_farthest_point,0.5
28,64,0.475008232670229,0.021766947041540516,0.09807355516637473,0.7478108581436077,0.09807355516637473,30,21.54059829059829,6,1.0897435897435896,8,3.090811965811966,2.2927350427350426,18,0.003924369812011719,0.09174323081970215,17,fec_simple_farthest_point,0.5
29,63,0.47596476439506785,0.018163901658679562,0.09807355516637473,0.8388791593695272,0.09807355516637473,30,21.70224119530416,6,1.0693703308431164,8,3.064034151547492,2.2177161152614726,18,0.003920316696166992,0.0906069278717041,17,fec_simple_farthest_point,0.5
30,36,0.4748839118965779,0.02082922913051225,0.09807355516637473,0.5096322241681261,0.09807355516637473,30,21.596473029045644,6,1.08402489626556,8,3.070539419087137,2.2645228215767634,18,0.0044634342193603516,0.09729528427124023,17,fec_simple_farthest_point,0.5
31,43,0.475658206559831,0.020989173297986993,0.09807355516637473,0.8581436077057794,0.09807355516637473,30,21.694879832810866,6,1.0626959247648904,8,3.0595611285266457,2.200626959247649,18,0.004261016845703125,0.09051871299743652,17,fec_simple_farthest_point,0.5
32,54,0.4747688673481854,0.020978070922475767,0.09807355516637473,0.5253940455341506,0.09807355516637473,30,22.1046511627907,6,1.0486257928118394,8,3.044397463002114,2.1522198731501057,18,0.00394892692565918,0.08995413780212402,17,fec_simple_farthest_point,0.5
