gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,0.49809106830122596,0.033234554696693945,0.10858143607705784,0.8756567425569177,,36,22.257,8,4.794,7,5.702,14.965,24,0.0,0.5210442543029785,27,fec_simple_kmeans,0.4
1,361,0.48736395802329063,0.02784731271341281,0.10858143607705784,0.5796847635726795,0.10858143607705784,36,17.14397496087637,8,2.61189358372457,7,4.447574334898278,7.460093896713615,24,0.010840654373168945,0.5299098491668701,27,fec_simple_kmeans,0.4
2,220,0.4819771880192196,0.030818915913631246,0.0945709281961471,0.5271453590192645,0.0945709281961471,36,15.734615384615385,8,1.8884615384615384,7,3.8346153846153848,4.961538461538462,24,0.006410121917724609,0.20181965827941895,27,fec_simple_kmeans,0.4
3,147,0.4758850497779549,0.04057110413360411,0.0945709281961471,0.8581436077057794,0.0945709281961471,36,15.423212192262602,8,1.514654161781946,7,3.5357561547479484,3.704572098475967,24,0.012466192245483398,0.2864058017730713,27,fec_simple_kmeans,0.4
4,122,0.4720767226900815,0.04459662686544425,0.09281961471103328,0.5271453590192645,0.09281961471103328,19,15.219817767653758,5,1.3701594533029613,7,3.375854214123007,3.1981776765375853,15,0.00401759147644043,0.08920788764953613,27,fec_simple_kmeans,0.4
5,113,0.47018127180503766,0.04860285129468218,0.09281961471103328,0.8458844133099825,0.09281961471103328,19,14.627959413754228,5,1.2953776775648254,7,3.2965050732807217,2.918827508455468,15,0.004072427749633789,0.08693695068359375,27,fec_simple_kmeans,0.4
6,118,0.47203061025928184,0.041117202460409064,0.09281961471103328,0.5271453590192645,0.09281961471103328,19,14.668934240362812,5,1.2607709750566893,7,3.252834467120181,2.7823129251700682,15,0.003906726837158203,0.08616256713867188,27,fec_simple_kmeans,0.4
7,83,0.4707132969814699,0.04537313894132247,0.09281961471103328,0.861646234676007,0.09281961471103328,19,14.971615720524017,5,1.277292576419214,7,3.2729257641921397,2.849344978165939,15,0.0038352012634277344,0.08729004859924316,27,fec_simple_kmeans,0.4
8,90,0.47049710359692853,0.044966279566334595,0.09281961471103328,0.7863397548161121,0.09281961471103328,19,15.108791208791208,5,1.1934065934065934,7,3.1912087912087914,2.5714285714285716,15,0.003828287124633789,0.08461427688598633,27,fec_simple_kmeans,0.4
9,90,0.4691441658166703,0.04764275864374319,0.09281961471103328,0.5271453590192645,0.09281961471103328,19,15.325274725274726,5,1.2230769230769232,7,3.1846153846153844,2.596703296703297,15,0.004040241241455078,0.08483529090881348,27,fec_simple_kmeans,0.4
10,88,0.4709631456048178,0.04821503910255473,0.09281961471103328,0.8949211908931699,0.09281961471103328,19,16.19407894736842,5,1.2664473684210527,7,3.2357456140350878,2.726973684210526,15,0.004092216491699219,0.17886734008789062,27,fec_simple_kmeans,0.4
11,72,0.4660362189745759,0.05570469632447923,0.09281961471103328,0.5271453590192645,0.09281961471103328,19,16.748922413793103,5,1.322198275862069,7,3.271551724137931,2.9019396551724137,15,0.0042383670806884766,0.0910336971282959,27,fec_simple_kmeans,0.4
12,110,0.4650721186957635,0.06241623693560179,0.09281961471103328,0.7950963222416813,0.09281961471103328,19,18.676404494382023,5,1.4449438202247191,7,3.3629213483146065,3.2146067415730335,15,0.003916025161743164,0.09285354614257812,27,fec_simple_kmeans,0.4
13,116,0.4608193135802079,0.07363786848685121,0.09281961471103328,0.8931698774080561,0.09281961471103328,19,19.46153846153846,5,1.5497737556561086,7,3.4411764705882355,3.498868778280543,15,0.004092216491699219,0.09971451759338379,27,fec_simple_kmeans,0.4
14,143,0.45770792505113966,0.07999108819473891,0.09281961471103328,0.5674255691768826,0.09281961471103328,19,19.59276546091015,5,1.674445740956826,7,3.540256709451575,3.809801633605601,15,0.004065990447998047,0.10092377662658691,27,fec_simple_kmeans,0.4
15,137,0.45436945611874036,0.08679022469908032,0.09281961471103328,0.8896672504378283,0.09281961471103328,19,21.091541135573582,5,1.917728852838934,7,3.7103128621089225,4.429895712630359,15,0.0043027400970458984,0.11431741714477539,27,fec_simple_kmeans,0.4
16,176,0.4570120551578733,0.08659890561677273,0.09281961471103328,0.9071803852889667,0.09281961471103328,19,22.321601941747574,5,2.0716019417475726,7,3.8143203883495147,4.783980582524272,15,0.0039958953857421875,0.1141824722290039,27,fec_simple_kmeans,0.4
