gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,0.5004290718038529,0.029945410925239058,0.15586690017513138,0.7968476357267951,,43,22.529,9,4.858,7,5.756,15.153,29,0.0,0.0970621109008789,26,fec_simple_stratified,0.2
1,422,0.49304322532556866,0.03397532363882767,0.15586690017513138,0.5516637478108581,0.15586690017513138,43,25.352941176470587,9,4.024221453287197,7,5.690311418685121,12.252595155709342,29,0.003385305404663086,0.14580941200256348,26,fec_simple_stratified,0.2
2,289,0.49032836512053524,0.04060641797737487,0.12959719789842383,0.8441330998248686,0.12959719789842383,48,25.80028129395218,11,3.1462728551336148,11,5.165963431786216,9.343178621659634,29,0.0037534236907958984,0.13720297813415527,26,fec_simple_stratified,0.2
3,197,0.48823915570550896,0.04170610591584829,0.08756567425569173,0.5131348511383538,0.08756567425569173,37,24.7546699875467,10,2.4209215442092153,8,4.454545454545454,6.719800747198008,25,0.0037534236907958984,0.11754631996154785,26,fec_simple_stratified,0.2
4,150,0.4894653342948388,0.03168464438130829,0.08756567425569173,0.5131348511383538,0.08756567425569173,37,23.03529411764706,10,1.6494117647058824,8,3.728235294117647,4.16,25,0.0037870407104492188,0.10016775131225586,26,fec_simple_stratified,0.2
5,93,0.4885179871673326,0.029888021917818978,0.08756567425569173,0.5131348511383538,0.08756567425569173,37,22.576626240352812,10,1.4619625137816978,8,3.499448732083793,3.50606394707828,25,0.0039052963256835938,0.09340953826904297,26,fec_simple_stratified,0.2
6,68,0.48801703208737035,0.02858769313475873,0.08756567425569173,0.5131348511383538,0.08756567425569173,37,21.983905579399142,10,1.3562231759656653,8,3.359442060085837,3.124463519313305,25,0.003798961639404297,0.08855366706848145,26,fec_simple_stratified,0.2
7,65,0.48865579666032954,0.02652590712826784,0.08756567425569173,0.5131348511383538,0.08756567425569173,37,21.885561497326204,10,1.227807486631016,8,3.2278074866310162,2.740106951871658,25,0.003916501998901367,0.08584427833557129,26,fec_simple_stratified,0.2
8,70,0.48706852720185306,0.02905652252858449,0.08756567425569173,0.5131348511383538,0.08756567425569173,37,21.766666666666666,10,1.164516129032258,8,3.1698924731182796,2.5301075268817206,25,0.0038390159606933594,0.08320856094360352,26,fec_simple_stratified,0.2
9,48,0.48687986578168924,0.03495002356192421,0.08756567425569173,0.8704028021015762,0.08756567425569173,37,20.782563025210084,10,1.1523109243697478,8,3.148109243697479,2.4884453781512605,25,0.003931760787963867,0.08138561248779297,26,fec_simple_stratified,0.2
10,53,0.4874291938594919,0.025486980763067362,0.08756567425569173,0.5131348511383538,0.08756567425569173,37,20.786694825765576,10,1.1837381203801478,8,3.1446673706441395,2.545934530095037,25,0.003915548324584961,0.13863682746887207,26,fec_simple_stratified,0.2
