gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,0.5030547184662771,0.032087489899075096,0.159369527145359,0.882661996497373,,34,22.425425425425427,7,4.817817817817818,7,5.716716716716717,15.084084084084084,23,0.0,0.10561895370483398,25,baseline_simple,1.0
1,401,0.4960865891488734,0.028151075191515856,0.159369527145359,0.830122591943958,0.1748251748251748,34,22.84474123539232,7,3.5392320534223707,7,5.457429048414023,10.856427378964941,23,0.0035216808319091797,0.14499306678771973,25,baseline_simple,1.0
2,277,0.4940181623077613,0.024802730228539637,0.14185639229422065,0.7075306479859895,0.13286713286713292,23,22.636237897648687,6,2.4522821576763487,7,4.723374827109267,7.139695712309821,13,0.0037283897399902344,0.12584447860717773,25,baseline_simple,1.0
3,166,0.49309134128774035,0.03282731778352069,0.14185639229422065,0.8704028021015762,0.13286713286713292,23,20.774580335731414,6,1.79136690647482,7,4.028776978417266,4.830935251798561,13,0.003928661346435547,0.10948562622070312,25,baseline_simple,1.0
4,111,0.48917593707091345,0.040807213271735254,0.14185639229422065,0.5131348511383538,0.13286713286713292,23,20.570303712035994,6,1.4454443194600675,7,3.651293588301462,3.5871766029246346,13,0.0038285255432128906,0.09887194633483887,25,baseline_simple,1.0
5,117,0.4896240130267576,0.039435085084011154,0.14185639229422065,0.8388791593695272,0.13286713286713292,23,20.778029445073614,6,1.4303510758776896,7,3.5379388448471123,3.432616081540204,13,0.003892183303833008,0.09841585159301758,25,baseline_simple,1.0
6,122,0.4890931866325713,0.03982993257504132,0.14010507880910683,0.8581436077057794,0.14685314685314688,23,21.135535307517085,6,1.4954441913439636,7,3.569476082004556,3.5649202733485192,13,0.003916025161743164,0.0994563102722168,25,baseline_simple,1.0
7,125,0.4861946459844884,0.05131478275521514,0.1366024518388792,0.8581436077057794,0.1398601398601399,23,20.981714285714286,6,1.4377142857142857,7,3.5668571428571427,3.442285714285714,13,0.00418543815612793,0.09713482856750488,25,baseline_simple,1.0
8,154,0.4837268613398583,0.05984302323068612,0.1366024518388792,0.8248686514886164,0.1398601398601399,23,22.296690307328607,6,1.6548463356973995,7,3.7470449172576834,4.050827423167848,13,0.003985881805419922,0.1040804386138916,25,baseline_simple,1.0
9,193,0.48045451684798296,0.06746854195893512,0.12959719789842383,0.7600700525394045,0.1398601398601399,23,22.960346964064435,6,1.8475836431226766,7,3.9144981412639406,4.565055762081784,13,0.0040547847747802734,0.11173844337463379,25,baseline_simple,1.0
10,195,0.4774885511960057,0.08640141697763373,0.09632224168126091,0.8651488616462346,0.1048951048951049,43,25.049689440993788,9,2.2819875776397516,9,4.216149068322982,5.628571428571429,27,0.00396275520324707,0.18545889854431152,25,baseline_simple,1.0
