source,sampling_method,mode,sampling_fraction,sample_fraction,threshold,fake_hit_threshold,speedup,speedup_pvalue,delta_mae_vs_baseline,delta_accuracy_vs_baseline,final_test_mae_mean,final_test_mae_std,final_test_accuracy_mean,final_test_accuracy_std,total_time_sec_mean,total_time_sec_std,mae_pvalue
baseline,,baseline_simple,,1.0,,,1.0,,0.0,0.0,0.09836829836829833,0.019441174323536647,0.9016317016317017,0.019441174323536644,15.350864791870118,7.724566428076824,
FEC,farthest_point,fec_simple_farthest_point,0.1,0.1,0.0,0.0,1.733659075990404,0.00018130151828697766,-0.008234031001106312,0.008234031001106201,0.09013426736719202,0.010476049601132574,0.9098657326328079,0.010476049601132582,8.854604117075603,4.862563398952795,0.050749110761854406
FEC,farthest_point,fec_simple_farthest_point,0.2,0.2,0.0,0.0,1.5325683590751025,0.0029445771424250864,-0.01138639527431122,0.011386395274311178,0.08698190309398711,0.009837886483568424,0.9130180969060129,0.009837886483568438,10.016430719693501,6.4029570830806835,0.0073499084910066265
FEC,farthest_point,fec_simple_farthest_point,0.3,0.3,0.0,0.0,2.2250376330282147,2.328664842445728e-06,0.004083540510861003,-0.004083540510861128,0.10245183887915933,0.025289152690242567,0.8975481611208406,0.025289152690242563,6.8991483847300215,4.027640826963942,0.49350432153568613
FEC,farthest_point,fec_simple_farthest_point,0.4,0.4,0.0,0.0,1.8332229335770849,6.455548094228778e-05,-0.011386395274311206,0.011386395274311178,0.08698190309398712,0.007823404818564373,0.9130180969060129,0.007823404818564389,8.373703225453694,4.64914437596853,0.005756113308815601
FEC,farthest_point,fec_simple_farthest_point,0.5,0.5,0.0,0.0,1.7821068534781805,0.00015421852212768017,-0.0035054845912989574,0.0035054845912989574,0.09486281377699937,0.017496099907350522,0.9051371862230007,0.017496099907350567,8.613885728518168,5.312569340111424,0.47337058650531316
FEC,kmeans,fec_simple_kmeans,0.1,0.1,0.0,0.0,1.53643263460982,0.003653800452424877,0.0007560448891447136,-0.0007560448891448246,0.09912434325744304,0.023546755530207943,0.9008756567425569,0.023546755530207977,9.991238435109457,6.927648082732669,0.8944066921588998
FEC,kmeans,fec_simple_kmeans,0.2,0.2,0.0,0.0,1.6368707114753787,0.0006965096490851337,-0.0074167513747198655,0.0074167513747198655,0.09095154699357846,0.011075663653925814,0.9090484530064216,0.011075663653925823,9.378177936871847,5.584861452942479,0.08084088516109442
FEC,kmeans,fec_simple_kmeans,0.3,0.3,0.0,0.0,1.6420852072746888,0.000581084759532945,0.00040578219212195066,-0.0004057821921220617,0.09877408056042028,0.021660663561766578,0.9012259194395796,0.021660663561766588,9.348397223154704,5.354155673989819,0.9404138932261739
FEC,kmeans,fec_simple_kmeans,0.4,0.4,0.0,0.0,1.4555471185800217,0.0035823082573042567,-0.006949734445356168,0.0069497344453560705,0.09141856392294216,0.015081646333878094,0.9085814360770578,0.015081646333878092,10.546456789970398,5.044718515191623,0.13401793191892086
FEC,kmeans,fec_simple_kmeans,0.5,0.5,0.0,0.0,1.8961660221032426,3.407417932958639e-05,0.0015733245155311604,-0.0015733245155311604,0.09994162288382949,0.02736735145169151,0.9000583771161705,0.02736735145169151,8.095738776524861,4.484959434071298,0.8017299665034976
FEC,kmedoids,fec_simple_kmedoids,0.1,0.1,0.0,0.0,1.4937414068106882,0.0037014843095216163,0.0034997693491563703,-0.003499769349156412,0.1018680677174547,0.025523887844796103,0.8981319322825453,0.025523887844796107,10.276788687705993,6.070330399771524,0.5593696084994971
FEC,kmedoids,fec_simple_kmedoids,0.2,0.2,0.0,0.0,1.5466668245480573,0.0013257061576721926,-0.004089255753003562,0.004089255753003562,0.09427904261529477,0.01893840384468773,0.9057209573847053,0.018938403844687746,9.925127085049947,5.064130864189886,0.4204707738045337
FEC,kmedoids,fec_simple_kmedoids,0.3,0.3,0.0,0.0,1.450682167159791,0.0073844148898467065,-0.005957323470458339,0.005957323470458298,0.09241097489783999,0.019956181088052978,0.90758902510216,0.01995618108805298,10.581824978192648,6.680735650053552,0.2542577207432297
FEC,kmedoids,fec_simple_kmedoids,0.4,0.4,0.0,0.0,1.734654076345435,0.00016983065405254503,-0.006949734445356168,0.0069497344453560705,0.09141856392294216,0.015176253879063087,0.9085814360770578,0.01517625387906307,8.849525101979573,4.7670685185119686,0.13490253202231134
FEC,kmedoids,fec_simple_kmedoids,0.5,0.5,0.0,0.0,1.5152609055227264,0.0027843411310613155,-0.0022795651517192733,0.0022795651517192317,0.09608873321657906,0.026723970071189308,0.9039112667834209,0.02672397007118933,10.13083933989207,5.927270430251008,0.7117752605456535
FEC,stratified,fec_simple_stratified,0.1,0.1,0.0,0.0,1.401352781862598,0.009787541514179307,-0.002863336313423878,0.0028633363134238365,0.09550496205487445,0.015425704205406881,0.9044950379451255,0.015425704205406827,10.954318563143412,6.104877409778996,0.5369518514973581
FEC,stratified,fec_simple_stratified,0.2,0.2,0.0,0.0,2.2335512364588084,2.5435786202060895e-06,0.0026824897227699235,-0.002682489722769965,0.10105078809106825,0.02270479604265489,0.8989492119089317,0.02270479604265491,6.872850974400838,4.262814651492157,0.6307601707018089
FEC,stratified,fec_simple_stratified,0.3,0.3,0.0,0.0,1.7926045282122598,8.634111723729568e-05,-0.008817802162810931,0.008817802162810806,0.0895504962054874,0.012731565897419658,0.9104495037945125,0.01273156589741967,8.563441936175028,4.529187746937222,0.046304810395286805
FEC,stratified,fec_simple_stratified,0.4,0.4,0.0,0.0,1.7169492019068857,0.0001609019562268416,-0.008992933511322312,0.008992933511322243,0.08937536485697602,0.012897115583623817,0.9106246351430239,0.01289711558362381,8.940779829025269,4.365845637049841,0.0430362281565083
FEC,stratified,fec_simple_stratified,0.5,0.5,0.0,0.0,1.7117322617255306,0.00024403199808264696,-0.0074167513747198655,0.0074167513747198655,0.09095154699357846,0.01622169707690218,0.9090484530064216,0.016221697076902228,8.968029133478801,5.015066268966284,0.12031068291804652
