gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,0.5051889289531248,0.035811543533441854,0.3922710428798306,0.6177871889888831,,36,20.851153039832287,8,4.60377358490566,7,5.731656184486373,13.985324947589099,24,0.0,0.14779901504516602,12,fec_simple_farthest_point,0.4
1,412,0.48199071929592374,0.032916482971733586,0.3896241397564849,0.6008470089994706,0.3896241397564849,25,21.095703125,4,3.4921875,6,5.3046875,10.345703125,13,0.003640890121459961,0.16621971130371094,12,fec_simple_farthest_point,0.4
2,359,0.47549440369053914,0.04354449600510358,0.3832715722604553,0.6103758602435151,0.3832715722604553,52,25.210714285714285,7,3.5732142857142857,8,5.396428571428571,10.535714285714286,18,0.0038254261016845703,0.18307280540466309,12,fec_simple_farthest_point,0.4
3,265,0.46705885017857157,0.04468657007540626,0.3832715722604553,0.606140815246162,0.3832715722604553,52,27.793977812995244,7,3.61648177496038,8,5.513470681458003,10.467511885895403,18,0.004012584686279297,0.1882798671722412,12,fec_simple_farthest_point,0.4
4,269,0.4654775209301414,0.048458780451580266,0.3832715722604553,0.6167284277395447,0.3832715722604553,52,30.253086419753085,7,3.9382716049382718,8,5.776234567901234,11.425925925925926,18,0.003987550735473633,0.20305204391479492,12,fec_simple_farthest_point,0.4
5,249,0.47180947454339917,0.056543693188704475,0.3811540497617787,0.6193753308628904,0.3811540497617787,60,32.54794520547945,11,4.284627092846271,9,6.185692541856925,12.494672754946727,33,0.004266023635864258,0.22771930694580078,12,fec_simple_farthest_point,0.4
6,208,0.4646665739461721,0.05479338046912436,0.378507146638433,0.6167284277395447,0.378507146638433,33,34.85006877579092,8,4.63273727647868,10,6.485557083906465,13.500687757909215,24,0.004064083099365234,0.23511242866516113,12,fec_simple_farthest_point,0.4
7,201,0.46699311805187926,0.05809249025325489,0.378507146638433,0.6199047114875595,0.378507146638433,33,36.05,8,4.881081081081081,10,6.702702702702703,14.095945945945946,24,0.004066944122314453,0.24613356590270996,12,fec_simple_farthest_point,0.4
8,167,0.4647866500698687,0.05953511210827253,0.37691900476442564,0.6204340921122287,0.37691900476442564,54,38.293436293436294,5,4.94980694980695,7,6.908622908622909,14.454311454311455,15,0.004049062728881836,0.2597689628601074,12,fec_simple_farthest_point,0.4
9,145,0.46041682576129206,0.06236328747682449,0.37691900476442564,0.6193753308628904,0.37691900476442564,54,39.469437652811735,5,5.103911980440098,7,7.119804400977995,14.986552567237164,15,0.004137277603149414,0.2703104019165039,12,fec_simple_farthest_point,0.4
10,130,0.4637104769238174,0.0627801888939335,0.37691900476442564,0.6188459502382213,0.37691900476442564,54,40.75636363636364,5,5.304242424242425,7,7.213333333333333,15.35878787878788,15,0.004066944122314453,0.36055707931518555,12,fec_simple_farthest_point,0.4
11,134,0.46320934249889684,0.06440139460148211,0.37691900476442564,0.6167284277395447,0.37691900476442564,54,40.929008567931454,5,5.424724602203183,7,7.27906976744186,15.564259485924113,15,0.004184722900390625,0.2735421657562256,12,fec_simple_farthest_point,0.4
12,146,0.4594605546078989,0.06341074371484713,0.37691900476442564,0.6188459502382213,0.37691900476442564,54,43.44197530864197,5,5.8,7,7.606172839506173,16.738271604938273,15,0.004232883453369141,0.2894871234893799,12,fec_simple_farthest_point,0.4
