gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,0.5069059046390337,0.03996429830395998,0.38803599788247745,0.6114346214928534,,19,20.158940397350992,4,4.47682119205298,7,5.624724061810155,13.532008830022075,13,0.0,0.5950586795806885,28,fec_simple_kmeans,0.3
1,423,0.4807544357991806,0.038460741598647714,0.38803599788247745,0.6056114346214929,0.38803599788247745,19,22.542743538767397,4,3.874751491053678,7,5.524850894632206,11.473161033797217,13,0.011360645294189453,0.6144802570343018,28,fec_simple_kmeans,0.3
2,314,0.47086713259291335,0.04622929816994692,0.38750661725780833,0.6146109052408681,0.38750661725780833,28,24.116161616161616,7,3.5925925925925926,9,5.506734006734007,10.457912457912458,22,0.007071495056152344,0.4000742435455322,28,fec_simple_kmeans,0.3
3,249,0.46153259230533855,0.047377001450934556,0.38750661725780833,0.614081524616199,0.38750661725780833,28,24.787518573551264,7,3.274888558692422,9,5.482912332838039,9.579494799405646,22,0.005497932434082031,0.3466155529022217,28,fec_simple_kmeans,0.3
4,261,0.45646599484609013,0.04883466410597493,0.38274219163578616,0.614081524616199,0.38274219163578616,46,26.93243243243243,12,3.4054054054054053,10,5.54054054054054,9.771771771771771,31,0.008996725082397461,0.3951303958892822,28,fec_simple_kmeans,0.3
5,229,0.45702918210693483,0.05361282512261816,0.3816834303864478,0.6151402858655373,0.3816834303864478,68,30.0,11,3.6917613636363638,11,5.84375,10.757102272727273,33,0.004250049591064453,0.32363295555114746,28,fec_simple_kmeans,0.3
6,199,0.45805489019769435,0.058918210232749416,0.3816834303864478,0.6119640021175226,0.3816834303864478,68,33.546061415220294,11,4.296395193591455,11,6.488651535380507,12.611481975967957,33,0.005411863327026367,0.4276399612426758,28,fec_simple_kmeans,0.3
7,226,0.4537640412771851,0.05674552723117965,0.3816834303864478,0.6124933827421917,0.3816834303864478,68,36.83013698630137,11,4.465753424657534,11,6.69041095890411,13.245205479452055,33,0.005453586578369141,0.45987725257873535,28,fec_simple_kmeans,0.3
8,195,0.45483986943831867,0.05842896004355691,0.3816834303864478,0.6124933827421917,0.3816834303864478,68,39.7072192513369,11,4.947860962566845,11,7.109625668449198,14.709893048128341,33,0.00863790512084961,0.6360330581665039,28,fec_simple_kmeans,0.3
9,195,0.4587410956039321,0.06331910499698815,0.37744838538909475,0.6183165696135522,0.37744838538909475,36,41.016949152542374,8,4.774445893089961,9,7.217731421121251,14.33767926988266,24,0.005559444427490234,0.42539477348327637,28,fec_simple_kmeans,0.3
10,154,0.45954785048732244,0.06252687989729586,0.37744838538909475,0.6151402858655373,0.37744838538909475,36,42.69079754601227,8,4.961963190184049,9,7.294478527607362,14.81840490797546,24,0.0038678646087646484,0.35022568702697754,28,fec_simple_kmeans,0.3
11,158,0.45619127493491785,0.06453020353786731,0.37744838538909475,0.6156696664902064,0.37744838538909475,36,45.86392009987516,8,5.249687890137328,9,7.506866416978776,15.674157303370787,24,0.003777027130126953,0.26133131980895996,28,fec_simple_kmeans,0.3
12,142,0.4547608028569582,0.06211303190360385,0.37744838538909475,0.6146109052408681,0.37744838538909475,36,48.34155363748459,8,5.510480887792848,9,7.750924784217016,16.526510480887794,24,0.003656148910522461,0.2800889015197754,28,fec_simple_kmeans,0.3
13,135,0.45682134627546594,0.061815698712216434,0.37744838538909475,0.6146109052408681,0.37744838538909475,36,49.58150851581509,8,5.953771289537713,9,7.982968369829684,17.854014598540147,24,0.004044055938720703,0.29485249519348145,28,fec_simple_kmeans,0.3
14,121,0.456098312090239,0.0611099533936286,0.37744838538909475,0.6135521439915299,0.37744838538909475,36,51.42307692307692,8,6.4639423076923075,9,8.359375,19.435096153846153,24,0.0037834644317626953,0.337918758392334,28,fec_simple_kmeans,0.3
15,133,0.4558930276241022,0.060255309789797595,0.37744838538909475,0.6177871889888831,0.37744838538909475,36,55.315018315018314,8,7.267399267399267,9,8.746031746031745,21.66910866910867,24,0.0041501522064208984,0.3869173526763916,28,fec_simple_kmeans,0.3
16,141,0.4609181827286644,0.06346692363574702,0.37744838538909475,0.6151402858655373,0.37744838538909475,36,56.518427518427515,8,6.7936117936117935,9,8.567567567567568,20.343980343980345,24,0.003882169723510742,0.367570161819458,28,fec_simple_kmeans,0.3
17,108,0.45454322014671406,0.05968570581381491,0.37744838538909475,0.6193753308628904,0.37744838538909475,36,59.333333333333336,8,7.295238095238095,9,8.832142857142857,21.79642857142857,24,0.0041387081146240234,0.4003441333770752,28,fec_simple_kmeans,0.3
18,137,0.4528968019182263,0.06031132941656373,0.37744838538909475,0.6151402858655373,0.37744838538909475,36,62.6875,8,7.622549019607843,9,8.997549019607844,22.779411764705884,24,0.004175662994384766,0.3979685306549072,28,fec_simple_kmeans,0.3
19,116,0.45508079356676495,0.060442231449368326,0.37744838538909475,0.6135521439915299,0.37744838538909475,36,63.208333333333336,8,7.370238095238095,9,8.858333333333333,21.952380952380953,24,0.004130363464355469,0.39938950538635254,28,fec_simple_kmeans,0.3
20,99,0.4540337687809244,0.06291501339097003,0.37744838538909475,0.6188459502382213,0.37744838538909475,36,66.6592505854801,8,7.944964871194379,9,9.063231850117097,23.543325526932083,24,0.003983974456787109,0.4183063507080078,28,fec_simple_kmeans,0.3
21,111,0.45370541466484204,0.06311860043782734,0.37744838538909475,0.614081524616199,0.37744838538909475,36,70.09316037735849,8,8.44811320754717,9,9.268867924528301,24.92570754716981,24,0.00415349006652832,0.4439520835876465,28,fec_simple_kmeans,0.3
22,104,0.45298384340205405,0.06207901286155347,0.37744838538909475,0.6135521439915299,0.37744838538909475,36,71.94871794871794,8,8.721445221445222,9,9.417249417249417,25.65967365967366,24,0.0042841434478759766,0.4709148406982422,28,fec_simple_kmeans,0.3
23,99,0.45098957027295605,0.06090183363547095,0.37744838538909475,0.6156696664902064,0.37744838538909475,36,73.80116959064327,8,9.183625730994152,9,9.574269005847952,26.91111111111111,24,0.004439353942871094,0.48734569549560547,28,fec_simple_kmeans,0.3
24,124,0.45202982390121627,0.061581048903715414,0.37744838538909475,0.614081524616199,0.37744838538909475,36,79.10361445783133,8,9.662650602409638,9,9.74578313253012,28.26746987951807,24,0.004048824310302734,0.5029821395874023,28,fec_simple_kmeans,0.3
25,106,0.45228540649398236,0.061566418442996,0.37744838538909475,0.6130227633668608,0.37744838538909475,36,83.13869463869464,8,10.363636363636363,9,10.132867132867133,30.262237762237763,24,0.004285573959350586,0.6175534725189209,28,fec_simple_kmeans,0.3
26,102,0.4479981282391981,0.05989555795074668,0.37744838538909475,0.6167284277395447,0.37744838538909475,36,84.75615474794841,8,10.728018757327082,9,10.235638921453694,31.296600234466588,24,0.004297971725463867,0.5688378810882568,28,fec_simple_kmeans,0.3
27,124,0.44843877201489385,0.06238151787777753,0.37744838538909475,0.6161990471148756,0.37744838538909475,36,86.00240096038415,8,10.930372148859544,9,10.343337334933974,31.75030012004802,24,0.004595518112182617,0.5728037357330322,28,fec_simple_kmeans,0.3
28,118,0.4481089699901415,0.060101633527487965,0.370566437268396,0.6156696664902064,0.370566437268396,79,89.17964071856288,11,11.051497005988024,10,10.41317365269461,31.95928143712575,33,0.004118919372558594,0.6114258766174316,28,fec_simple_kmeans,0.3
29,114,0.44326176333357825,0.05857552547008399,0.370566437268396,0.6167284277395447,0.370566437268396,79,89.8208778173191,11,10.655990510083036,10,10.427046263345195,31.034400948991696,33,0.0044023990631103516,0.5721914768218994,28,fec_simple_kmeans,0.3
30,130,0.4488640775141569,0.06096661893735762,0.370566437268396,0.6130227633668608,0.370566437268396,79,94.14545454545454,11,11.55030303030303,10,10.652121212121212,33.338181818181816,33,0.004379987716674805,0.5906929969787598,28,fec_simple_kmeans,0.3
31,87,0.4483580387754593,0.06261759313559812,0.370566437268396,0.6119640021175226,0.370566437268396,79,95.45579793340987,11,11.315729047072331,10,10.665901262916188,32.82089552238806,33,0.004496574401855469,0.5968217849731445,28,fec_simple_kmeans,0.3
32,126,0.4523516228527592,0.06282344630357935,0.370566437268396,0.6130227633668608,0.370566437268396,79,96.80958083832336,11,11.573652694610779,10,10.746107784431137,33.35209580838323,33,0.004098176956176758,0.6290390491485596,28,fec_simple_kmeans,0.3
33,106,0.44637558939761407,0.06055797892676055,0.370566437268396,0.6151402858655373,0.370566437268396,79,100.29418604651163,11,12.504651162790697,10,11.103488372093024,35.81046511627907,33,0.0044248104095458984,0.6361813545227051,28,fec_simple_kmeans,0.3
34,91,0.44614316261521364,0.06103744288852889,0.370566437268396,0.6156696664902064,0.370566437268396,79,100.36258660508084,11,12.790993071593533,10,11.383371824480369,36.64087759815242,33,0.004321098327636719,0.6631004810333252,28,fec_simple_kmeans,0.3
35,104,0.44071802813138533,0.059288497899327906,0.370566437268396,0.6151402858655373,0.370566437268396,79,99.79672897196262,11,13.064252336448599,10,11.639018691588785,37.183411214953274,33,0.004424095153808594,0.6527807712554932,28,fec_simple_kmeans,0.3
36,100,0.4438769956907428,0.059519648608622404,0.370566437268396,0.6130227633668608,0.370566437268396,79,100.85747663551402,11,13.491822429906541,10,11.879672897196262,38.419392523364486,33,0.0042934417724609375,0.6953568458557129,28,fec_simple_kmeans,0.3
37,90,0.4413378958302634,0.060730231772571634,0.370566437268396,0.6119640021175226,0.370566437268396,79,100.35395189003437,11,13.29782359679267,10,11.81786941580756,38.08361970217641,33,0.004570484161376953,0.6963050365447998,28,fec_simple_kmeans,0.3
