gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,0.5028730730160058,0.03508038114589323,0.39650608787718367,0.6008470089994706,,19,20.31808731808732,4,4.492723492723493,7,5.742203742203742,13.652806652806653,13,0.0,0.13504838943481445,21,fec_simple_stratified,0.3
1,393,0.48555184563219544,0.034576470580565205,0.39650608787718367,0.5960825833774483,0.39650608787718367,19,22.117416829745597,4,3.7984344422700587,7,5.596868884540117,11.180039138943249,13,0.003330230712890625,0.1685936450958252,21,fec_simple_stratified,0.3
2,327,0.47466366830147566,0.039422822391293376,0.3869772366331392,0.6003176283748015,0.3869772366331392,27,24.0099173553719,7,3.6842975206611572,7,5.545454545454546,10.699173553719008,21,0.003487825393676758,0.17336440086364746,21,fec_simple_stratified,0.3
3,276,0.46465463846248883,0.04226542819770969,0.3869772366331392,0.5982001058761249,0.3869772366331392,27,25.075734157650697,7,3.6955177743431222,7,5.775888717156105,10.846986089644513,21,0.0039942264556884766,0.17535018920898438,21,fec_simple_stratified,0.3
4,256,0.46397960720268133,0.04824732659034446,0.3869772366331392,0.606140815246162,0.3869772366331392,27,27.287390029325515,7,3.7961876832844577,7,6.099706744868035,11.22140762463343,21,0.0037822723388671875,0.19195103645324707,21,fec_simple_stratified,0.3
5,222,0.45892680909596156,0.050608417976023064,0.3869772366331392,0.6071995764955003,0.3869772366331392,27,29.16481994459834,7,4.1565096952908585,7,6.527700831024931,12.34349030470914,21,0.0040607452392578125,0.20010900497436523,21,fec_simple_stratified,0.3
6,229,0.45957111395137307,0.050728577553256375,0.385918475383801,0.5992588671254633,0.385918475383801,31,31.233425414364643,7,4.370165745856354,7,6.846685082872928,13.023480662983426,21,0.003868579864501953,0.21503615379333496,21,fec_simple_stratified,0.3
7,190,0.4577516201469118,0.05430195757894059,0.385918475383801,0.6066701958708312,0.385918475383801,31,33.558169934640524,7,4.743790849673203,7,7.237908496732026,14.230065359477123,21,0.004379987716674805,0.23670387268066406,21,fec_simple_stratified,0.3
8,169,0.4612934085394201,0.0589294201537066,0.385918475383801,0.6082583377448385,0.385918475383801,31,33.46065989847716,7,4.780456852791878,7,7.315989847715736,14.266497461928934,21,0.003893136978149414,0.23429250717163086,21,fec_simple_stratified,0.3
9,133,0.4595683929997502,0.05659172198552069,0.385918475383801,0.6071995764955003,0.385918475383801,31,35.17237163814181,7,4.929095354523227,7,7.5440097799511,14.82762836185819,21,0.004091024398803711,0.2527048587799072,21,fec_simple_stratified,0.3
