gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,0.5032645138521263,0.03366127359207679,0.40338803599788253,0.5992588671254633,,9,20.83222958057395,2,4.624724061810155,5,5.737306843267108,13.980132450331126,6,0.0,0.2516660690307617,7,fec_simple_kmeans,0.1
1,435,0.48595274234539776,0.03530573076768768,0.4002117522498676,0.606140815246162,0.4002117522498676,36,24.466804979253112,8,4.172199170124482,7,5.719917012448133,12.45850622406639,24,0.004812717437744141,0.5921506881713867,7,fec_simple_kmeans,0.1
2,321,0.47460604654198424,0.039879348594005826,0.3917416622551615,0.5976707252514558,0.3917416622551615,29,25.006849315068493,7,3.607876712328767,7,5.386986301369863,10.50513698630137,21,0.004878997802734375,0.40447473526000977,7,fec_simple_kmeans,0.1
3,220,0.46425904565558584,0.03936179164400775,0.3917416622551615,0.5976707252514558,0.3917416622551615,29,24.277126099706745,7,2.8504398826979473,7,4.768328445747801,8.090909090909092,21,0.00539708137512207,0.4711124897003174,7,fec_simple_kmeans,0.1
4,245,0.45858489495326454,0.040045636101556405,0.3917416622551615,0.6103758602435151,0.3917416622551615,29,25.42278860569715,7,2.9100449775112445,7,4.7946026986506745,8.11544227886057,21,0.009428262710571289,0.4150834083557129,7,fec_simple_kmeans,0.1
5,212,0.4592917025141366,0.045108088697592794,0.3917416622551615,0.5997882477501324,0.3917416622551615,29,27.675832127351665,7,3.199710564399421,7,5.219971056439942,9.102749638205498,21,0.004058122634887695,0.2848806381225586,7,fec_simple_kmeans,0.1
6,234,0.4574357760967052,0.048293375462719695,0.37956590788777134,0.6103758602435151,0.37956590788777134,26,31.205091937765204,5,3.3323903818953324,8,5.538896746817539,9.69024045261669,16,0.005413532257080078,0.4181532859802246,7,fec_simple_kmeans,0.1
7,222,0.45841879483762615,0.05571961950060605,0.37956590788777134,0.606140815246162,0.37956590788777134,26,33.70206896551724,5,3.7848275862068967,8,6.102068965517241,11.296551724137931,16,0.009654045104980469,0.36037278175354004,7,fec_simple_kmeans,0.1
8,203,0.4627704901953283,0.05754765756811357,0.37956590788777134,0.6114346214928534,0.37956590788777134,26,36.32325886990802,5,4.067017082785808,8,6.491458607095926,12.132720105124836,16,0.005353689193725586,0.26831936836242676,7,fec_simple_kmeans,0.1
9,191,0.45903213083005634,0.058499748348313105,0.37956590788777134,0.6130227633668608,0.37956590788777134,26,37.206307490144546,5,4.274638633377135,8,6.646517739816032,12.709592641261498,16,0.003931999206542969,0.24487948417663574,7,fec_simple_kmeans,0.1
