gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,0.5041494770084518,0.03702217131467303,0.38750661725780833,0.6071995764955003,,36,20.049568965517242,8,4.428879310344827,7,5.700431034482759,13.47198275862069,24,0.0,0.30461573600769043,13,fec_simple_kmedoids,0.4
1,434,0.4866079561407081,0.0356841994606898,0.38750661725780833,0.6167284277395447,0.38750661725780833,36,21.39676113360324,8,3.7125506072874495,7,5.491902834008097,10.955465587044534,24,0.008279800415039062,0.26160669326782227,13,fec_simple_kmedoids,0.4
2,328,0.47580252509246457,0.04201047024414442,0.38750661725780833,0.6151402858655373,0.38750661725780833,36,23.225752508361204,8,3.5267558528428093,7,5.61371237458194,10.382943143812708,24,0.003502368927001953,0.20267271995544434,13,fec_simple_kmedoids,0.4
3,262,0.4733186609448055,0.04925972733002699,0.38221281101111704,0.6119640021175226,0.38221281101111704,24,25.38680659670165,4,3.449775112443778,6,5.743628185907046,10.12743628185907,12,0.003860950469970703,0.21494674682617188,13,fec_simple_kmedoids,0.4
4,249,0.46243547929277257,0.050334605236899914,0.38221281101111704,0.6124933827421917,0.38221281101111704,24,27.519940915805023,4,3.821270310192024,6,6.131462333825701,11.30576070901034,12,0.003843069076538086,0.2273082733154297,13,fec_simple_kmedoids,0.4
5,261,0.46045480499605856,0.055860977838602666,0.38221281101111704,0.6183165696135522,0.38221281101111704,24,29.46579330422125,4,4.2066957787481805,6,6.688500727802038,12.503639010189229,12,0.0038094520568847656,0.2535099983215332,13,fec_simple_kmedoids,0.4
6,213,0.46031742587948055,0.059350011717862375,0.37744838538909475,0.6130227633668608,0.37744838538909475,57,32.65846994535519,7,4.771857923497268,7,7.173497267759563,14.28551912568306,21,0.0038928985595703125,0.2852048873901367,13,fec_simple_kmedoids,0.4
7,190,0.45412622786894896,0.05933431646600655,0.37744838538909475,0.6119640021175226,0.37744838538909475,57,35.58562091503268,7,5.477124183006536,7,7.6457516339869285,16.37516339869281,21,0.0038728713989257812,0.3254995346069336,13,fec_simple_kmedoids,0.4
8,198,0.4543032563128294,0.057354949642901915,0.37480148226574905,0.6156696664902064,0.37480148226574905,54,39.78067885117493,7,6.169712793733681,7,8.037859007832898,18.245430809399476,21,0.003997087478637695,0.3532373905181885,13,fec_simple_kmedoids,0.4
9,192,0.4527930434357143,0.061493873514565,0.37480148226574905,0.6114346214928534,0.37480148226574905,54,41.30166880616174,7,6.023106546854942,7,8.077021822849808,17.98844672657253,21,0.004091024398803711,0.35498499870300293,13,fec_simple_kmedoids,0.4
10,179,0.4492570708915895,0.06005254256988603,0.37480148226574905,0.6193753308628904,0.37480148226574905,54,43.508322663252244,7,6.257362355953905,7,8.221510883482715,18.701664532650447,21,0.004042148590087891,0.4771091938018799,13,fec_simple_kmedoids,0.4
11,179,0.45393340621613193,0.061700656973398826,0.37480148226574905,0.6177871889888831,0.37480148226574905,54,46.0,7,6.444444444444445,7,8.40868454661558,19.183908045977013,21,0.0041463375091552734,0.39039158821105957,13,fec_simple_kmedoids,0.4
12,155,0.4512078723255387,0.060623463889927495,0.37480148226574905,0.6209634727368978,0.37480148226574905,54,47.38403990024938,7,6.553615960099751,7,8.522443890274314,19.51620947630923,21,0.004114866256713867,0.3887035846710205,13,fec_simple_kmedoids,0.4
13,148,0.44515093883366336,0.05890797860232768,0.37480148226574905,0.6177871889888831,0.37480148226574905,54,49.15925925925926,7,6.771604938271605,7,8.665432098765432,20.11111111111111,21,0.0040988922119140625,0.40333986282348633,13,fec_simple_kmedoids,0.4
14,135,0.4472652222784568,0.06087738627682963,0.37480148226574905,0.6130227633668608,0.37480148226574905,54,51.3003663003663,7,7.3076923076923075,7,8.893772893772894,21.626373626373628,21,0.004134178161621094,0.4350600242614746,13,fec_simple_kmedoids,0.4
15,141,0.44691244251560636,0.06220459931886497,0.37480148226574905,0.6209634727368978,0.37480148226574905,54,52.52322738386308,7,6.887530562347188,7,8.727383863080684,20.485330073349633,21,0.004128694534301758,0.42247653007507324,13,fec_simple_kmedoids,0.4
16,110,0.4432205026001931,0.05923185345254367,0.37480148226574905,0.6204340921122287,0.37480148226574905,54,54.576470588235296,7,7.258823529411765,7,8.967058823529412,21.687058823529412,21,0.004117250442504883,0.45475339889526367,13,fec_simple_kmedoids,0.4
17,138,0.44279149223629216,0.060885586346506024,0.37480148226574905,0.6177871889888831,0.37480148226574905,54,54.8638036809816,7,6.917791411042945,7,8.936196319018405,20.76319018404908,21,0.00422978401184082,0.4354441165924072,13,fec_simple_kmedoids,0.4
18,123,0.4402174396004636,0.05975960683250888,0.37480148226574905,0.6146109052408681,0.37480148226574905,54,55.10671462829736,7,6.9640287769784175,7,8.990407673860911,20.892086330935253,21,0.004179954528808594,0.4384021759033203,13,fec_simple_kmedoids,0.4
19,120,0.4418451205358961,0.06185168635680819,0.37480148226574905,0.6183165696135522,0.37480148226574905,54,56.46995192307692,7,6.969951923076923,7,9.014423076923077,20.84375,21,0.004165172576904297,0.4451100826263428,13,fec_simple_kmedoids,0.4
20,107,0.4448749932638693,0.06312483465479093,0.37427210164107994,0.6135521439915299,0.37427210164107994,54,60.00958083832335,7,7.207185628742515,7,9.144910179640718,21.566467065868263,21,0.0042302608489990234,0.4631168842315674,13,fec_simple_kmedoids,0.4
21,87,0.44122945240719413,0.06063922825342866,0.37427210164107994,0.6135521439915299,0.37427210164107994,54,62.066744730679154,7,7.644028103044496,7,9.350117096018735,22.813817330210775,21,0.004306316375732422,0.49384522438049316,13,fec_simple_kmedoids,0.4
22,101,0.4401452448606491,0.05962675544146619,0.37427210164107994,0.6177871889888831,0.37427210164107994,54,63.11694510739857,7,7.922434367541766,7,9.522673031026253,23.678997613365155,21,0.004230976104736328,0.49761486053466797,13,fec_simple_kmedoids,0.4
23,99,0.44224206790481174,0.062281394777046736,0.37427210164107994,0.6193753308628904,0.37427210164107994,54,64.15739644970414,7,7.955029585798816,7,9.502958579881657,23.6,21,0.004166126251220703,0.507535457611084,13,fec_simple_kmedoids,0.4
24,89,0.44130185969452773,0.06291667350499458,0.37427210164107994,0.6183165696135522,0.37427210164107994,54,64.37152777777777,7,7.8344907407407405,7,9.532407407407407,23.238425925925927,21,0.004321098327636719,0.5175092220306396,13,fec_simple_kmedoids,0.4
25,81,0.4391436489895058,0.06061829813407732,0.37427210164107994,0.6214928533615669,0.37427210164107994,54,65.90352941176471,7,8.12,7,9.78,24.216470588235293,21,0.004326343536376953,0.5848150253295898,13,fec_simple_kmedoids,0.4
26,109,0.4364698924268176,0.0586708644567131,0.37427210164107994,0.6177871889888831,0.37427210164107994,54,67.4055023923445,7,8.194976076555024,7,9.75598086124402,24.480861244019138,21,0.0043182373046875,0.5348107814788818,13,fec_simple_kmedoids,0.4
27,83,0.44013464894221915,0.06035941317709042,0.37427210164107994,0.6130227633668608,0.37427210164107994,54,69.86226851851852,7,8.277777777777779,7,9.717592592592593,24.70023148148148,21,0.004330158233642578,0.570026159286499,13,fec_simple_kmedoids,0.4
28,111,0.43705474176052345,0.05865950025844313,0.37427210164107994,0.6130227633668608,0.37427210164107994,54,70.72574850299401,7,8.397604790419162,7,9.754491017964073,24.92455089820359,21,0.004183292388916016,0.5505449771881104,13,fec_simple_kmedoids,0.4
29,83,0.43912092427061256,0.059939030792652614,0.37427210164107994,0.6209634727368978,0.37427210164107994,54,75.46498277841562,7,9.07118254879449,7,10.098737083811711,26.70838117106774,21,0.004231691360473633,0.5804123878479004,13,fec_simple_kmedoids,0.4
30,60,0.4396960184124078,0.060417789171928304,0.37427210164107994,0.6135521439915299,0.37427210164107994,54,76.07674943566592,7,9.110609480812641,7,10.10158013544018,26.945823927765236,21,0.004410266876220703,0.5988779067993164,13,fec_simple_kmedoids,0.4
31,94,0.43967801202005413,0.05827645047182834,0.37427210164107994,0.609846479618846,0.37427210164107994,54,76.32823529411765,7,9.275294117647059,7,10.044705882352941,27.26,21,0.0043294429779052734,0.5792460441589355,13,fec_simple_kmedoids,0.4
