gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,0.509236760278259,0.03684809143516776,0.3922710428798306,0.6183165696135522,,10,19.908902691511386,2,4.416149068322981,6,5.674948240165631,13.372670807453416,7,0.0,0.1459977626800537,7,fec_simple_stratified,0.1
1,367,0.4869884835475095,0.03385635189618392,0.3922710428798306,0.6077289571201694,0.3922710428798306,10,21.494505494505493,2,3.5476190476190474,6,5.564102564102564,10.476190476190476,7,0.0036454200744628906,0.17908310890197754,7,fec_simple_stratified,0.1
2,291,0.4778208517242004,0.04335735786483554,0.38274219163578616,0.6077289571201694,0.38274219163578616,25,24.347471451876018,3,3.6215334420880914,7,5.841761827079935,10.6884176182708,10,0.003882169723510742,0.19529962539672852,7,fec_simple_stratified,0.1
3,261,0.46785616888846115,0.0454885303974954,0.37956590788777134,0.6077289571201694,0.37956590788777134,32,26.525757575757577,3,3.4318181818181817,7,5.959090909090909,10.24090909090909,10,0.0038907527923583984,0.19723987579345703,7,fec_simple_stratified,0.1
4,228,0.45928693660974795,0.05006317758435517,0.37956590788777134,0.6151402858655373,0.37956590788777134,32,28.094476744186046,3,3.489825581395349,7,6.34593023255814,10.675872093023257,10,0.0038576126098632812,0.20176291465759277,7,fec_simple_stratified,0.1
5,208,0.4553031654621551,0.054655519968014724,0.37956590788777134,0.6019057702488089,0.37956590788777134,32,29.403314917127073,3,3.544198895027624,7,6.714088397790055,10.99585635359116,10,0.003906965255737305,0.21835613250732422,7,fec_simple_stratified,0.1
6,174,0.4520124463576039,0.0549341431760415,0.37956590788777134,0.6172578083642138,0.37956590788777134,32,30.554533508541393,3,3.6202365308804203,7,6.873850197109067,11.258869908015768,10,0.003935575485229492,0.23386836051940918,7,fec_simple_stratified,0.1
7,151,0.4511735050016765,0.05916328911870043,0.37956590788777134,0.6130227633668608,0.37956590788777134,32,31.384323640960808,3,3.7509481668773703,7,7.040455120101138,11.549936788874842,10,0.0041065216064453125,0.2415475845336914,7,fec_simple_stratified,0.1
8,125,0.44654002669637266,0.05990232162816685,0.37956590788777134,0.6204340921122287,0.37956590788777134,32,32.6920245398773,3,3.8736196319018403,7,7.198773006134969,11.992638036809815,10,0.0039064884185791016,0.2526285648345947,7,fec_simple_stratified,0.1
9,120,0.4400489417577513,0.05806862060111241,0.37956590788777134,0.6130227633668608,0.37956590788777134,32,33.20955882352941,3,3.7965686274509802,7,7.242647058823529,11.970588235294118,10,0.003958702087402344,0.2630727291107178,7,fec_simple_stratified,0.1
10,99,0.4383456091949342,0.05962335995288545,0.37956590788777134,0.6135521439915299,0.37956590788777134,32,35.32932692307692,3,3.9110576923076925,7,7.366586538461538,12.265625,10,0.0039370059967041016,0.3610820770263672,7,fec_simple_stratified,0.1
11,83,0.4379121528166237,0.05718828923730662,0.37797776601376387,0.6130227633668608,0.37797776601376387,60,36.11452184179457,9,4.210153482880756,13,7.595041322314049,13.080283353010627,28,0.004082202911376953,0.2919466495513916,7,fec_simple_stratified,0.1
12,73,0.43472341561073663,0.06002588041216051,0.37797776601376387,0.6177871889888831,0.37797776601376387,60,37.12718786464411,9,4.161026837806301,13,7.58343057176196,12.966161026837806,28,0.004093170166015625,0.28890180587768555,7,fec_simple_stratified,0.1
13,65,0.43460730199745556,0.05909076277875485,0.37797776601376387,0.6130227633668608,0.37797776601376387,60,37.6013986013986,9,4.198135198135198,13,7.705128205128205,13.238927738927739,28,0.003989458084106445,0.30478525161743164,7,fec_simple_stratified,0.1
14,58,0.43099145428420177,0.058675044682924254,0.37797776601376387,0.6130227633668608,0.37797776601376387,60,39.39861751152074,9,4.385944700460829,13,7.763824884792626,13.763824884792626,28,0.004219770431518555,0.3118126392364502,7,fec_simple_stratified,0.1
15,43,0.4312747305990974,0.05995132156814814,0.37797776601376387,0.6130227633668608,0.37797776601376387,60,41.6135593220339,9,4.489265536723164,13,7.88135593220339,14.056497175141242,28,0.00398707389831543,0.3160247802734375,7,fec_simple_stratified,0.1
16,54,0.4302441346405702,0.05883154222884783,0.37797776601376387,0.6161990471148756,0.37797776601376387,60,43.30938586326767,9,4.345307068366164,13,7.758980301274623,13.552723059096175,28,0.0038590431213378906,0.30557966232299805,7,fec_simple_stratified,0.1
17,37,0.4305231947357734,0.05738849167801033,0.37797776601376387,0.6172578083642138,0.37797776601376387,60,45.08314855875832,9,4.791574279379158,13,8.063192904656319,14.831485587583149,28,0.00405430793762207,0.33799290657043457,7,fec_simple_stratified,0.1
18,44,0.4313576832323969,0.05818283090526684,0.37797776601376387,0.6204340921122287,0.37797776601376387,60,45.92474344355758,9,4.793614595210946,13,8.03648802736602,14.884834663625998,28,0.0041179656982421875,0.33696842193603516,7,fec_simple_stratified,0.1
19,41,0.42924016558491096,0.056783756640245486,0.37797776601376387,0.6204340921122287,0.37797776601376387,60,47.911595866819745,9,4.78760045924225,13,8.090700344431689,14.963260619977039,28,0.004230022430419922,0.34003233909606934,7,fec_simple_stratified,0.1
20,38,0.43017875399198946,0.05876597121025786,0.37797776601376387,0.6151402858655373,0.37797776601376387,60,50.29086809470124,9,4.937993235625704,13,8.18489289740699,15.42728297632469,28,0.003935337066650391,0.34451961517333984,7,fec_simple_stratified,0.1
21,37,0.43146714312898926,0.05941283877493488,0.37744838538909475,0.6177871889888831,0.37744838538909475,31,51.53191489361702,5,5.325867861142218,9,8.322508398656215,16.374020156774915,16,0.0044400691986083984,0.37082791328430176,7,fec_simple_stratified,0.1
22,39,0.43264557668430875,0.059639627181027305,0.37744838538909475,0.6204340921122287,0.37744838538909475,31,52.136568848758465,5,5.305869074492099,9,8.330699774266366,16.367945823927766,16,0.004341602325439453,0.3756699562072754,7,fec_simple_stratified,0.1
23,35,0.4301558442020373,0.058937409569039236,0.37744838538909475,0.6087877183695076,0.37744838538909475,31,52.15901455767077,5,5.235162374020157,9,8.413213885778276,16.284434490481523,16,0.0042819976806640625,0.3707611560821533,7,fec_simple_stratified,0.1
