gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,0.5178399445420485,0.0749966434397485,0.36272040302267006,0.6486146095717884,,30,20.298319327731093,6,4.487394957983193,7,5.684873949579832,13.626050420168067,20,0.0,0.14845061302185059,20,fec_simple_kmeans,0.5
1,398,0.47375339316720055,0.07067372776381856,0.36272040302267006,0.6372795969773299,0.36272040302267006,30,22.120388349514563,6,3.8213592233009708,7,5.724271844660194,11.4,20,0.0037899017333984375,0.18866300582885742,20,fec_simple_kmeans,0.5
2,380,0.45123327554058035,0.07139183677558901,0.35453400503778343,0.6467254408060453,0.35453400503778343,22,25.474953617810762,4,3.985157699443414,8,6.153988868274583,11.936920222634509,13,0.0036759376525878906,0.1890859603881836,20,fec_simple_kmeans,0.5
3,313,0.4391242243656694,0.07103388646778554,0.35453400503778343,0.6366498740554156,0.35453400503778343,22,28.038327526132406,4,4.2491289198606275,8,6.653310104529616,12.709059233449477,13,0.0039501190185546875,0.2031843662261963,20,fec_simple_kmeans,0.5
4,289,0.431887048906402,0.06948560476203143,0.35453400503778343,0.6366498740554156,0.35453400503778343,22,30.41089108910891,4,4.353135313531353,8,6.867986798679868,13.029702970297029,13,0.003933906555175781,0.203507661819458,20,fec_simple_kmeans,0.5
5,256,0.4307739410610251,0.07294683414729729,0.3520151133501259,0.6454659949622166,0.3520151133501259,37,32.39110429447853,4,4.593558282208589,8,7.285276073619632,13.83435582822086,13,0.003941535949707031,0.22068262100219727,20,fec_simple_kmeans,0.5
6,258,0.42642525002840115,0.07252969977553397,0.3520151133501259,0.6454659949622166,0.3520151133501259,37,35.292379471228614,4,4.690513219284603,8,7.475894245723173,14.12597200622084,13,0.0038785934448242188,0.22941064834594727,20,fec_simple_kmeans,0.5
7,210,0.42009115151344584,0.07151595714843333,0.3520151133501259,0.6454659949622166,0.3520151133501259,37,37.74441340782123,4,5.0,8,7.832402234636872,15.192737430167599,13,0.004049777984619141,0.2478044033050537,20,fec_simple_kmeans,0.5
8,182,0.4160335852225021,0.07196036816856932,0.3513853904282116,0.646095717884131,0.3513853904282116,44,39.19866666666667,12,4.977333333333333,10,7.921333333333333,15.105333333333334,32,0.0037679672241210938,0.26154398918151855,20,fec_simple_kmeans,0.5
9,177,0.4205416109740919,0.082224426526283,0.3494962216624685,0.646095717884131,0.3494962216624685,81,41.371577574967404,19,5.1786179921773146,19,8.126466753585397,15.752281616688396,58,0.0040569305419921875,0.2759718894958496,20,fec_simple_kmeans,0.5
10,147,0.41232270817110805,0.07392545277566401,0.34823677581863977,0.6391687657430731,0.34823677581863977,59,43.70463078848561,10,5.350438047559449,12,8.336670838548185,16.26157697121402,31,0.004111051559448242,0.3728206157684326,20,fec_simple_kmeans,0.5
11,178,0.4145659817726178,0.07674577392745452,0.34571788413098237,0.6442065491183879,0.34571788413098237,53,45.02171136653895,8,5.752234993614304,12,8.593869731800766,17.45721583652618,25,0.0040738582611083984,0.30808496475219727,20,fec_simple_kmeans,0.5
12,155,0.4140521734793126,0.07998321122829281,0.34571788413098237,0.6492443324937027,0.34571788413098237,53,45.875,8,6.071782178217822,12,8.884900990099009,18.342821782178216,25,0.003990888595581055,0.31176328659057617,20,fec_simple_kmeans,0.5
13,123,0.41352825412954386,0.07897339722146676,0.34571788413098237,0.6467254408060453,0.34571788413098237,53,46.369380315917375,8,6.0899149453219925,12,8.877278250303767,18.507897934386392,25,0.004098653793334961,0.32600903511047363,20,fec_simple_kmeans,0.5
14,158,0.4138867392839195,0.0810017149448156,0.34571788413098237,0.6391687657430731,0.34571788413098237,53,49.454100367197064,8,6.25703794369645,12,8.915544675642595,18.893512851897185,25,0.004196882247924805,0.3257575035095215,20,fec_simple_kmeans,0.5
15,147,0.4122065180209597,0.07784918457106485,0.34571788413098237,0.6467254408060453,0.34571788413098237,53,50.046913580246915,8,6.696296296296296,12,9.21111111111111,20.219753086419754,25,0.004116535186767578,0.3512394428253174,20,fec_simple_kmeans,0.5
16,132,0.41381131652253517,0.08074499763611746,0.34571788413098237,0.646095717884131,0.34571788413098237,53,50.96149217809867,8,6.718411552346571,12,9.217809867629363,20.17569193742479,25,0.003906726837158203,0.35669922828674316,20,fec_simple_kmeans,0.5
17,128,0.410437563160832,0.07671909201305865,0.34571788413098237,0.6397984886649875,0.34571788413098237,53,53.85748502994012,8,7.0,12,9.298203592814371,20.98682634730539,25,0.004136562347412109,0.3635275363922119,20,fec_simple_kmeans,0.5
18,129,0.41395694985115644,0.0806797994291817,0.34571788413098237,0.6448362720403022,0.34571788413098237,53,55.92344497607655,8,7.051435406698564,12,9.467703349282298,21.273923444976077,25,0.004106760025024414,0.37477803230285645,20,fec_simple_kmeans,0.5
19,115,0.4057357262804366,0.07316896967712996,0.34571788413098237,0.635390428211587,0.34571788413098237,53,58.77857142857143,8,7.253571428571429,12,9.526190476190477,21.882142857142856,25,0.004313945770263672,0.37226414680480957,20,fec_simple_kmeans,0.5
20,102,0.4065714054936968,0.07649046071036204,0.34571788413098237,0.6486146095717884,0.34571788413098237,53,61.073634204275535,8,7.2862232779097384,12,9.60332541567696,21.93942992874109,25,0.004050254821777344,0.3804304599761963,20,fec_simple_kmeans,0.5
21,106,0.4082869198805426,0.07661541840001032,0.34571788413098237,0.6429471032745592,0.34571788413098237,53,62.890951276102086,8,7.452436194895592,12,9.6415313225058,22.445475638051043,25,0.004204273223876953,0.40207791328430176,20,fec_simple_kmeans,0.5
22,127,0.4115724864192285,0.07918329119742532,0.34571788413098237,0.6486146095717884,0.34571788413098237,53,64.8566265060241,8,7.983132530120482,12,9.898795180722892,23.796385542168675,25,0.004274845123291016,0.41286158561706543,20,fec_simple_kmeans,0.5
23,90,0.4103899221196864,0.07853248018365445,0.34571788413098237,0.6454659949622166,0.34571788413098237,53,64.18025258323766,8,7.588978185993112,12,9.723306544202067,22.765786452353616,25,0.0044536590576171875,0.40398192405700684,20,fec_simple_kmeans,0.5
24,110,0.4110883093791673,0.07986793394281501,0.34571788413098237,0.6454659949622166,0.34571788413098237,53,66.50823529411765,8,8.537647058823529,12,10.232941176470588,25.491764705882353,25,0.003985881805419922,0.4378938674926758,20,fec_simple_kmeans,0.5
25,104,0.4071621074139966,0.07600654560930847,0.34571788413098237,0.6454659949622166,0.34571788413098237,53,71.26689976689977,8,9.15967365967366,12,10.487179487179487,27.27972027972028,25,0.0041921138763427734,0.5239276885986328,20,fec_simple_kmeans,0.5
26,118,0.4088675207252484,0.07950037954595263,0.34571788413098237,0.6454659949622166,0.34571788413098237,53,74.22673031026252,8,9.531026252983294,12,10.553699284009546,28.149164677804297,25,0.004220247268676758,0.48050427436828613,20,fec_simple_kmeans,0.5
27,111,0.40861044587040557,0.07770106489451084,0.34571788413098237,0.649874055415617,0.34571788413098237,53,77.2989449003517,8,10.22039859320047,12,10.844079718640094,29.96717467760844,25,0.0043375492095947266,0.5068857669830322,20,fec_simple_kmeans,0.5
28,122,0.4046977181279906,0.07465076515900204,0.34571788413098237,0.6479848866498741,0.34571788413098237,53,79.99055489964582,8,10.622195985832349,12,11.125147579693035,31.025974025974026,25,0.004160165786743164,0.5343079566955566,20,fec_simple_kmeans,0.5
29,126,0.40727572175934895,0.07802864956391665,0.3438287153652393,0.6486146095717884,0.3438287153652393,84,85.62011834319527,12,11.835502958579882,11,11.705325443786982,34.62958579881657,32,0.004369974136352539,0.5750560760498047,20,fec_simple_kmeans,0.5
30,126,0.40355304164388306,0.07359552239230523,0.34256926952141054,0.6448362720403022,0.34256926952141054,76,87.77105575326216,12,12.336892052194543,11,11.807829181494663,35.761565836298935,32,0.004374504089355469,0.5926878452301025,20,fec_simple_kmeans,0.5
31,144,0.4090454046373442,0.07929450632832342,0.34256926952141054,0.6486146095717884,0.34256926952141054,76,93.32600732600733,12,13.534798534798535,11,12.15995115995116,39.13919413919414,32,0.004449605941772461,0.6610441207885742,20,fec_simple_kmeans,0.5
32,139,0.40675770935818406,0.07780545053196877,0.34256926952141054,0.6454659949622166,0.34256926952141054,76,97.27744270205066,12,14.402895054282268,11,12.723763570566948,41.683956574185764,32,0.004140377044677734,0.6726932525634766,20,fec_simple_kmeans,0.5
33,159,0.4035385402991263,0.07730861922940267,0.3419395465994962,0.6511335012594459,0.3419395465994962,76,101.41022443890274,12,15.190773067331671,11,13.102244389027431,43.68453865336658,32,0.004334926605224609,0.7407448291778564,20,fec_simple_kmeans,0.5
34,154,0.40091174607099256,0.07663727510110876,0.3419395465994962,0.6505037783375315,0.3419395465994962,76,101.0,12,16.235582822085888,11,13.639263803680981,46.52638036809816,32,0.004459857940673828,0.7897207736968994,20,fec_simple_kmeans,0.5
35,153,0.40411072576342266,0.07646105916207975,0.3419395465994962,0.6429471032745592,0.3419395465994962,76,102.45073891625616,12,15.289408866995075,11,13.013546798029557,43.79802955665025,32,0.004487514495849609,0.7369825839996338,20,fec_simple_kmeans,0.5
