gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,0.5206348521166816,0.0763349669837101,0.3532745591939547,0.6467254408060453,,21,19.840725806451612,4,4.397177419354839,7,5.637096774193548,13.320564516129032,14,0.0,0.7977211475372314,24,fec_simple_kmedoids,0.3
1,380,0.4742332474834668,0.07279551140494837,0.3488664987405542,0.6505037783375315,0.3488664987405542,36,22.00749063670412,8,3.8239700374531833,7,5.692883895131086,11.329588014981274,24,0.009315967559814453,0.4924814701080322,24,fec_simple_kmedoids,0.3
2,340,0.4491863718372221,0.07255761310130701,0.3488664987405542,0.6523929471032746,0.3488664987405542,36,26.363321799307958,8,4.14878892733564,7,6.079584775086505,12.044982698961938,24,0.005841970443725586,0.7470006942749023,24,fec_simple_kmedoids,0.3
3,328,0.43737013289910015,0.07224249001242188,0.3469773299748111,0.6467254408060453,0.3469773299748111,32,28.7996632996633,5,4.296296296296297,7,6.410774410774411,12.646464646464647,15,0.005431652069091797,0.9304239749908447,24,fec_simple_kmedoids,0.3
4,281,0.43496815515097403,0.07585490201693977,0.3469773299748111,0.6549118387909321,0.3469773299748111,32,30.199367088607595,5,4.575949367088608,7,6.811708860759493,13.609177215189874,15,0.017887353897094727,0.8919730186462402,24,fec_simple_kmedoids,0.3
5,259,0.4361076335993001,0.08169912430188192,0.34571788413098237,0.6523929471032746,0.34571788413098237,48,33.10329341317365,4,4.857784431137724,7,7.073353293413174,14.423652694610778,13,0.013430118560791016,0.7385625839233398,24,fec_simple_kmedoids,0.3
6,245,0.43124138586569083,0.08408421762943247,0.3438287153652393,0.6561712846347607,0.3438287153652393,52,35.341074020319304,15,5.13933236574746,12,7.3584905660377355,15.368650217706822,46,0.011331558227539062,0.8554291725158691,24,fec_simple_kmedoids,0.3
7,223,0.42842266231787074,0.08495206663534652,0.3438287153652393,0.6530226700251889,0.3438287153652393,52,37.63699582753825,15,5.801112656467316,12,7.819193324061196,17.29346314325452,46,0.016382455825805664,0.723156213760376,24,fec_simple_kmedoids,0.3
8,216,0.42462668252761754,0.08327633014338062,0.34319899244332497,0.6530226700251889,0.34319899244332497,36,39.62787550744249,5,5.959404600811908,8,7.952638700947226,17.76319350473613,16,0.007827520370483398,0.622185230255127,24,fec_simple_kmedoids,0.3
9,180,0.42437525932169606,0.08748415837720176,0.3387909319899244,0.6536523929471032,0.3387909319899244,77,42.74189364461738,10,6.380025940337225,12,8.221789883268482,19.07911802853437,31,0.009393692016601562,0.6504592895507812,24,fec_simple_kmedoids,0.3
10,165,0.4210161114015493,0.0842712601133328,0.3387909319899244,0.6536523929471032,0.3387909319899244,77,45.07295597484277,10,6.581132075471698,12,8.361006289308175,19.727044025157234,31,0.004206418991088867,0.4332914352416992,24,fec_simple_kmedoids,0.3
11,154,0.4206493601253735,0.08634085913193137,0.3387909319899244,0.6549118387909321,0.3387909319899244,77,47.867758186397985,10,6.895465994962216,12,8.513853904282115,20.6007556675063,31,0.0040531158447265625,0.34404563903808594,24,fec_simple_kmedoids,0.3
12,171,0.42158007032175765,0.08675789646579425,0.3387909319899244,0.6530226700251889,0.3387909319899244,77,50.354755784061695,10,7.147814910025707,12,8.73650385604113,21.330334190231362,31,0.004227638244628906,0.34991455078125,24,fec_simple_kmedoids,0.3
13,144,0.41808734218293647,0.08623779686618516,0.3387909319899244,0.6530226700251889,0.3387909319899244,77,50.87116564417178,10,7.177914110429448,12,8.791411042944786,21.4319018404908,31,0.004163980484008789,0.3676130771636963,24,fec_simple_kmedoids,0.3
14,150,0.41944150521725837,0.08697855939646507,0.3387909319899244,0.6530226700251889,0.3387909319899244,77,51.95539033457249,10,7.261462205700124,12,8.82280049566295,21.67534076827757,31,0.004059553146362305,0.3654346466064453,24,fec_simple_kmedoids,0.3
15,127,0.41686532925512776,0.08703697548423885,0.3387909319899244,0.6530226700251889,0.3387909319899244,77,54.635714285714286,10,7.544047619047619,12,9.054761904761905,22.570238095238096,31,0.004147052764892578,0.3927488327026367,24,fec_simple_kmedoids,0.3
16,115,0.4172511251447467,0.08581064118797309,0.33753148614609574,0.6599496221662469,0.33753148614609574,71,55.03317535545024,13,7.678909952606635,12,9.163507109004739,22.86137440758294,40,0.004250288009643555,0.3890047073364258,24,fec_simple_kmedoids,0.3
17,151,0.41131492995986585,0.08284757221434051,0.33753148614609574,0.6542821158690176,0.33753148614609574,71,57.60568603213844,13,8.19406674907293,12,9.30655129789864,24.07663782447466,40,0.00424504280090332,0.4008963108062744,24,fec_simple_kmedoids,0.3
18,115,0.416167480838752,0.08636935845806525,0.33753148614609574,0.6530226700251889,0.33753148614609574,71,60.40546967895363,13,8.260404280618312,12,9.510107015457788,24.209274673008323,40,0.004266023635864258,0.40637993812561035,24,fec_simple_kmedoids,0.3
19,112,0.41081076269904143,0.08203545593333775,0.33753148614609574,0.6536523929471032,0.33753148614609574,71,63.50765606595995,13,8.519434628975265,12,9.588928150765607,24.96937573616019,40,0.004325151443481445,0.41642308235168457,24,fec_simple_kmedoids,0.3
20,108,0.41462356563112235,0.08611609509102187,0.33753148614609574,0.6530226700251889,0.33753148614609574,71,62.78362573099415,13,8.796491228070176,12,9.783625730994151,25.750877192982458,40,0.00421452522277832,0.42508673667907715,24,fec_simple_kmedoids,0.3
21,149,0.4075057346975767,0.08186667997351997,0.33753148614609574,0.6555415617128464,0.33753148614609574,71,67.12903225806451,13,9.285359801488834,12,9.98014888337469,27.143920595533498,40,0.0043942928314208984,0.43827080726623535,24,fec_simple_kmedoids,0.3
22,99,0.41349352676574885,0.08657991835517902,0.33753148614609574,0.6530226700251889,0.33753148614609574,71,68.15463917525773,13,8.74799541809851,12,9.767468499427263,25.486827033218784,40,0.0042874813079833984,0.4481849670410156,24,fec_simple_kmedoids,0.3
23,99,0.40796881735249524,0.08172933841447348,0.33753148614609574,0.6530226700251889,0.33753148614609574,71,71.64144353899884,13,9.353899883585564,12,10.09895227008149,27.31431897555297,40,0.0044710636138916016,0.4648435115814209,24,fec_simple_kmedoids,0.3
