gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,0.5146275261526437,0.075035804202132,0.3589420654911839,0.6423173803526449,,22,20.77777777777778,4,4.614255765199162,7,5.744234800838575,13.949685534591195,15,0.0,0.13155412673950195,19,fec_simple_stratified,0.2
1,424,0.4685099181360201,0.06883194277108422,0.35831234256926947,0.6442065491183879,0.35831234256926947,30,23.525,2,3.90625,6,5.779166666666667,11.664583333333333,7,0.0034477710723876953,0.16688895225524902,19,fec_simple_stratified,0.2
2,362,0.4448925923297974,0.0718909884670198,0.35831234256926947,0.6416876574307304,0.35831234256926947,30,26.348591549295776,2,4.163732394366197,6,6.401408450704225,12.306338028169014,7,0.0034437179565429688,0.17050409317016602,19,fec_simple_stratified,0.2
3,335,0.43297516973326433,0.07334577519707661,0.35453400503778343,0.6442065491183879,0.35453400503778343,29,29.41390728476821,3,4.26158940397351,7,6.764900662251655,12.735099337748345,10,0.003914594650268555,0.17638111114501953,19,fec_simple_stratified,0.2
4,308,0.43183879093198996,0.0781546725645564,0.35453400503778343,0.6423173803526449,0.35453400503778343,29,32.07692307692308,3,4.24,7,6.912307692307692,12.88,10,0.003999948501586914,0.19071149826049805,19,fec_simple_stratified,0.2
5,252,0.42936531283899315,0.08094402491540145,0.35264483627204035,0.6416876574307304,0.35264483627204035,34,34.39124087591241,7,4.376642335766423,9,7.0788321167883215,13.324087591240875,22,0.00394439697265625,0.1942284107208252,19,fec_simple_stratified,0.2
6,222,0.43109962650916356,0.08384742782240492,0.35264483627204035,0.6454659949622166,0.35264483627204035,34,36.04827586206896,7,4.264827586206897,9,7.122758620689655,13.166896551724138,22,0.004070758819580078,0.2065906524658203,19,fec_simple_stratified,0.2
7,223,0.42448528529799834,0.07993318166149987,0.3488664987405542,0.6435768261964736,0.3488664987405542,51,37.24089635854342,7,4.352941176470588,9,7.266106442577031,13.42577030812325,22,0.0042955875396728516,0.20753216743469238,19,fec_simple_stratified,0.2
8,176,0.4186770728311095,0.07743135093402664,0.3469773299748111,0.6423173803526449,0.3469773299748111,50,37.680573663624514,8,4.367666232073011,10,7.338983050847458,13.505867014341591,25,0.003778219223022461,0.2065589427947998,19,fec_simple_stratified,0.2
9,178,0.413058464801803,0.07415607838008653,0.3469773299748111,0.6416876574307304,0.3469773299748111,50,38.31578947368421,8,4.123684210526315,10,7.230263157894737,12.773684210526316,25,0.003949403762817383,0.19176030158996582,19,fec_simple_stratified,0.2
