gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,0.5260193482994971,0.07726749030272287,0.3589420654911839,0.6523929471032746,,36,19.858565737051794,8,4.418326693227091,7,5.589641434262949,13.334661354581673,24,0.0,0.13907766342163086,18,fec_simple_stratified,0.4
1,403,0.4726574307304786,0.06729999327760654,0.34823677581863977,0.646095717884131,0.34823677581863977,26,20.928,3,3.418,7,5.358,10.18,10,0.0033826828002929688,0.16125917434692383,18,fec_simple_stratified,0.4
2,349,0.4438259320595071,0.06584118551006148,0.3463476070528967,0.6505037783375315,0.3463476070528967,35,24.58011049723757,7,3.7403314917127073,7,5.902394106813996,11.274401473296502,21,0.0033674240112304688,0.17341089248657227,18,fec_simple_stratified,0.4
3,313,0.4424242618961942,0.07690911642586705,0.3463476070528967,0.6536523929471032,0.3463476070528967,35,27.19047619047619,7,3.848639455782313,7,6.178571428571429,11.369047619047619,21,0.0038340091705322266,0.17962288856506348,18,fec_simple_stratified,0.4
4,265,0.4361646809469767,0.07910842067412248,0.3463476070528967,0.6492443324937027,0.3463476070528967,35,29.12087912087912,7,4.145996860282574,7,6.546310832025117,12.323390894819466,21,0.0039255619049072266,0.18919658660888672,18,fec_simple_stratified,0.4
5,263,0.4344670289517057,0.08479605531074537,0.3463476070528967,0.6517632241813602,0.3463476070528967,35,31.651234567901234,7,4.408950617283951,7,6.972222222222222,13.287037037037036,21,0.003953695297241211,0.20162057876586914,18,fec_simple_stratified,0.4
6,250,0.4284963069857511,0.08503560937462616,0.34256926952141054,0.6517632241813602,0.34256926952141054,37,32.89101620029455,8,4.508100147275405,8,7.132547864506628,13.525773195876289,25,0.00397181510925293,0.21659278869628906,18,fec_simple_stratified,0.4
7,236,0.4327663441722006,0.09159240330999309,0.34256926952141054,0.6542821158690176,0.34256926952141054,37,35.65909090909091,8,4.8678977272727275,8,7.396306818181818,14.382102272727273,25,0.004011631011962891,0.22039413452148438,18,fec_simple_stratified,0.4
8,202,0.4284260147607731,0.09383575097286924,0.34256926952141054,0.6555415617128464,0.34256926952141054,37,37.379542395693136,8,4.876177658142665,8,7.477792732166891,14.558546433378197,25,0.003918886184692383,0.22826218605041504,18,fec_simple_stratified,0.4
9,220,0.4232027059693178,0.09047598316171866,0.34256926952141054,0.6517632241813602,0.34256926952141054,37,38.55354659248957,8,5.044506258692628,8,7.560500695410292,14.838664812239221,25,0.004084110260009766,0.2350611686706543,18,fec_simple_stratified,0.4
10,150,0.4263018234241085,0.09173383361629132,0.34256926952141054,0.6555415617128464,0.34256926952141054,37,39.70314465408805,8,5.120754716981132,8,7.642767295597484,14.967295597484277,25,0.0040471553802490234,0.29354095458984375,18,fec_simple_stratified,0.4
11,150,0.420322934015228,0.08580900214269793,0.34256926952141054,0.6517632241813602,0.34256926952141054,37,41.32490518331226,8,5.336283185840708,8,7.742098609355247,15.371681415929203,25,0.0042858123779296875,0.23749828338623047,18,fec_simple_stratified,0.4
12,145,0.4340131274229263,0.09711506459689219,0.34256926952141054,0.6542821158690176,0.34256926952141054,37,43.35138539042821,8,5.6397984886649875,8,7.903022670025189,16.115869017632242,25,0.004224300384521484,0.2514669895172119,18,fec_simple_stratified,0.4
13,125,0.42840229409072367,0.09285874004705126,0.34256926952141054,0.6536523929471032,0.34256926952141054,37,45.142150803461064,8,5.793572311495674,8,7.978986402966625,16.49690976514215,25,0.004228115081787109,0.26088714599609375,18,fec_simple_stratified,0.4
14,116,0.4261824797089281,0.09194217122345368,0.34005037783375314,0.6517632241813602,0.34005037783375314,83,47.47670250896057,15,6.363201911589008,11,8.16726403823178,17.810035842293907,46,0.004187822341918945,0.27947139739990234,18,fec_simple_stratified,0.4
15,128,0.4360554903432106,0.09747229647413268,0.34005037783375314,0.6536523929471032,0.34005037783375314,83,48.31273176761434,15,6.355995055624227,11,8.087762669962917,17.588380716934488,46,0.00416111946105957,0.27436184883117676,18,fec_simple_stratified,0.4
16,93,0.432923119428385,0.09657026999910659,0.3369017632241813,0.6536523929471032,0.3369017632241813,76,46.844807467911316,17,5.85997666277713,11,7.79463243873979,16.033838973162194,47,0.004192829132080078,0.2598693370819092,18,fec_simple_stratified,0.4
17,104,0.42764799590863795,0.09570469200117095,0.3343828715365239,0.6536523929471032,0.3343828715365239,54,47.423570595099186,14,6.098016336056009,11,7.833138856476079,16.537922987164528,43,0.004134416580200195,0.2690553665161133,18,fec_simple_stratified,0.4
18,103,0.4264549528440044,0.09543209478848752,0.33312342569269526,0.6536523929471032,0.33312342569269526,66,49.56511627906977,14,6.654651162790698,11,8.005813953488373,17.727906976744187,43,0.00417780876159668,0.2766239643096924,18,fec_simple_stratified,0.4
19,74,0.4308897023806108,0.10099444856833961,0.33312342569269526,0.6536523929471032,0.33312342569269526,66,52.5250569476082,14,6.438496583143508,11,7.621867881548975,16.61845102505695,43,0.004174470901489258,0.27463221549987793,18,fec_simple_stratified,0.4
20,71,0.43496196133160864,0.10234497093470865,0.33312342569269526,0.6555415617128464,0.33312342569269526,66,53.60585585585586,14,6.501126126126126,11,7.537162162162162,16.49099099099099,43,0.004046916961669922,0.27049851417541504,18,fec_simple_stratified,0.4
21,91,0.43537190272540055,0.10450965486695621,0.33312342569269526,0.6561712846347607,0.33312342569269526,66,55.80501710376283,14,7.050171037628278,11,7.695553021664766,17.774230330672747,43,0.004171133041381836,0.28452348709106445,18,fec_simple_stratified,0.4
22,80,0.43042348866498736,0.10257272000554304,0.33312342569269526,0.6542821158690176,0.33312342569269526,66,58.66704545454545,14,7.219318181818182,11,7.728409090909091,17.948863636363637,43,0.004262208938598633,0.28865814208984375,18,fec_simple_stratified,0.4
23,60,0.4320777598014354,0.10385662222420712,0.33312342569269526,0.656801007556675,0.33312342569269526,66,60.96175478065242,14,7.167604049493813,11,7.5984251968503935,17.670416197975253,43,0.0042345523834228516,0.28323817253112793,18,fec_simple_stratified,0.4
24,68,0.43084014943537197,0.1008205911998889,0.33312342569269526,0.6542821158690176,0.33312342569269526,66,62.434831460674154,14,7.665168539325843,11,7.6842696629213485,18.679775280898877,43,0.004067659378051758,0.2978017330169678,18,fec_simple_stratified,0.4
25,74,0.4301127035354444,0.10275567617856025,0.33312342569269526,0.6542821158690176,0.33312342569269526,66,64.99665178571429,14,8.189732142857142,11,7.731026785714286,19.825892857142858,43,0.004408597946166992,0.3743119239807129,18,fec_simple_stratified,0.4
26,88,0.43553815702534177,0.10717818760650832,0.33312342569269526,0.6542821158690176,0.33312342569269526,66,64.84650630011454,14,7.697594501718213,11,7.4627720504009165,18.29667812142039,43,0.004386425018310547,0.2881133556365967,18,fec_simple_stratified,0.4
27,69,0.4347196671666714,0.1050098775714484,0.33312342569269526,0.6561712846347607,0.33312342569269526,66,65.87528089887641,14,7.466292134831461,11,7.356179775280899,17.665168539325844,43,0.00428009033203125,0.2906980514526367,18,fec_simple_stratified,0.4
28,77,0.4326542785820703,0.10316172694202458,0.33312342569269526,0.6561712846347607,0.33312342569269526,66,67.77890011223344,14,7.884399551066218,11,7.410774410774411,18.54769921436588,43,0.0043256282806396484,0.29415035247802734,18,fec_simple_stratified,0.4
29,95,0.430537510863641,0.10374166719066304,0.33312342569269526,0.6536523929471032,0.33312342569269526,66,68.32865497076024,14,7.643274853801169,11,7.221052631578948,17.603508771929825,43,0.004252910614013672,0.2858090400695801,18,fec_simple_stratified,0.4
30,72,0.432904453858484,0.105099742073031,0.33312342569269526,0.6549118387909321,0.33312342569269526,66,72.07727272727273,14,7.113636363636363,11,6.959090909090909,16.115909090909092,43,0.004576444625854492,0.2662622928619385,18,fec_simple_stratified,0.4
31,74,0.4303358428121223,0.10412325358601424,0.33312342569269526,0.6536523929471032,0.33312342569269526,66,74.45291479820628,14,7.449551569506727,11,7.040358744394619,16.743273542600896,43,0.004273414611816406,0.2662949562072754,18,fec_simple_stratified,0.4
32,59,0.4354694577401464,0.1064756472377158,0.33312342569269526,0.6536523929471032,0.33312342569269526,66,76.26829268292683,14,7.708425720620842,11,7.17960088691796,17.61640798226164,43,0.004256725311279297,0.2742643356323242,18,fec_simple_stratified,0.4
33,70,0.43355857130727643,0.10571173987500852,0.33312342569269526,0.6536523929471032,0.33312342569269526,66,77.90224719101124,14,8.039325842696629,11,7.222471910112359,17.996629213483146,43,0.004248619079589844,0.2784864902496338,18,fec_simple_stratified,0.4
34,38,0.42992181054219003,0.10437740651699359,0.33312342569269526,0.6649874055415617,0.33312342569269526,66,79.70824295010846,14,7.625813449023862,11,7.052060737527115,17.11713665943601,43,0.004426002502441406,0.27170634269714355,18,fec_simple_stratified,0.4
35,58,0.42809390786852447,0.10223760433932853,0.33312342569269526,0.6542821158690176,0.33312342569269526,66,82.9098998887653,14,8.234705228031146,11,7.224694104560623,18.303670745272527,43,0.004392147064208984,0.285968542098999,18,fec_simple_stratified,0.4
36,51,0.432143362984234,0.10290428468472974,0.33312342569269526,0.6580604534005038,0.33312342569269526,66,82.71775082690188,14,8.383682469680265,11,7.349503858875414,18.889746416758545,43,0.00434422492980957,0.2955198287963867,18,fec_simple_stratified,0.4
37,54,0.4360455902714064,0.10550361017727204,0.33249370277078083,0.6542821158690176,0.33249370277078083,66,82.09271523178808,14,8.67991169977925,11,7.349889624724062,19.458057395143488,43,0.004396200180053711,0.30173611640930176,18,fec_simple_stratified,0.4
38,70,0.43123482360674686,0.10248052136250609,0.33249370277078083,0.6536523929471032,0.33249370277078083,66,82.64566929133858,14,8.94488188976378,11,7.475815523059618,20.184476940382453,43,0.004513740539550781,0.310056209564209,18,fec_simple_stratified,0.4
39,60,0.43388746160991487,0.10250344888849516,0.33249370277078083,0.6536523929471032,0.33249370277078083,66,82.56146179401993,14,9.055370985603544,11,7.48062015503876,20.51937984496124,43,0.004343271255493164,0.3200068473815918,18,fec_simple_stratified,0.4
40,74,0.43141732083571915,0.10193686889976404,0.33249370277078083,0.6536523929471032,0.33249370277078083,66,83.91377379619261,14,8.509518477043674,11,7.2989921612541995,19.0515117581187,43,0.0044176578521728516,0.3053469657897949,18,fec_simple_stratified,0.4
41,61,0.43326403123202284,0.10671578925869099,0.33249370277078083,0.6542821158690176,0.33249370277078083,66,84.039911308204,14,8.437915742793791,11,7.261640798226164,18.878048780487806,43,0.004421234130859375,0.30960988998413086,18,fec_simple_stratified,0.4
42,57,0.4315026222165129,0.10245018710622887,0.33249370277078083,0.6536523929471032,0.33249370277078083,66,82.41906873614191,14,8.007760532150776,11,7.147450110864745,17.952328159645234,43,0.0044019222259521484,0.2807130813598633,18,fec_simple_stratified,0.4
43,67,0.4328737582586043,0.10488053969544073,0.33249370277078083,0.656801007556675,0.33249370277078083,66,82.82800441014334,14,8.21058434399118,11,7.15986769570011,18.303197353914,43,0.00439000129699707,0.2925577163696289,18,fec_simple_stratified,0.4
44,63,0.43259451428954404,0.10356277554872198,0.33249370277078083,0.6561712846347607,0.33249370277078083,66,84.34146341463415,14,8.484478935698448,11,7.270509977827051,19.125277161862527,43,0.004091739654541016,0.3235466480255127,18,fec_simple_stratified,0.4
45,72,0.438648504725035,0.10576903478648626,0.33249370277078083,0.6536523929471032,0.33249370277078083,66,84.92170022371364,14,8.258389261744966,11,7.212527964205816,18.536912751677853,43,0.004385232925415039,0.3000757694244385,18,fec_simple_stratified,0.4
46,70,0.43952298488664987,0.10654077911026645,0.33249370277078083,0.656801007556675,0.33249370277078083,66,85.02613636363637,14,8.854545454545455,11,7.353409090909091,19.82840909090909,43,0.00439906120300293,0.3164849281311035,18,fec_simple_stratified,0.4
47,77,0.4392759168148643,0.10768140184352715,0.33249370277078083,0.6549118387909321,0.33249370277078083,66,85.8173719376392,14,8.797327394209354,11,7.339643652561247,19.729398663697104,43,0.004450082778930664,0.3095974922180176,18,fec_simple_stratified,0.4
48,64,0.43328555325159684,0.10490274840658396,0.33249370277078083,0.6549118387909321,0.33249370277078083,66,85.88950276243094,14,8.678453038674034,11,7.288397790055249,19.354696132596686,43,0.004282474517822266,0.2965822219848633,18,fec_simple_stratified,0.4
49,79,0.43218434513104803,0.10385213548136667,0.33249370277078083,0.656801007556675,0.33249370277078083,66,87.45289443813849,14,8.498297389330306,11,7.2735527809307605,18.717366628830874,43,0.004404783248901367,0.2896099090576172,18,fec_simple_stratified,0.4
50,73,0.43760995716208584,0.10731544297791555,0.33249370277078083,0.6561712846347607,0.33249370277078083,66,86.66297117516629,14,8.51108647450111,11,7.264966740576496,19.035476718403547,43,0.004514455795288086,0.3096628189086914,18,fec_simple_stratified,0.4
