gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,0.5192262279596978,0.07479314877453577,0.35831234256926947,0.6542821158690176,,19,19.35,4,4.295833333333333,7,5.608333333333333,13.0,13,0.0,0.1664867401123047,11,fec_simple_farthest_point,0.5
1,380,0.4713922601328143,0.07035213043946136,0.3520151133501259,0.6505037783375315,0.3520151133501259,33,21.841818181818184,3,3.66,7,5.616363636363636,10.847272727272728,10,0.0041315555572509766,0.20733261108398438,11,fec_simple_farthest_point,0.5
2,320,0.44964409689587326,0.07495031861153845,0.3513853904282116,0.6511335012594459,0.3513853904282116,35,25.446102819237147,2,4.160862354892205,6,6.349917081260365,12.361525704809287,7,0.004147529602050781,0.22825360298156738,11,fec_simple_farthest_point,0.5
3,330,0.43890651928940744,0.07508281844725818,0.3463476070528967,0.6479848866498741,0.3463476070528967,32,28.68421052631579,3,4.511513157894737,7,6.8569078947368425,13.389802631578947,10,0.004014730453491211,0.2565786838531494,11,fec_simple_farthest_point,0.5
4,247,0.433105459798562,0.07760766304801245,0.3444584382871536,0.6479848866498741,0.3444584382871536,27,30.553129548762737,5,4.301310043668122,9,7.005822416302766,12.941775836972344,16,0.004013776779174805,0.2656440734863281,11,fec_simple_farthest_point,0.5
5,198,0.4198965175214651,0.0749251297116091,0.3444584382871536,0.6536523929471032,0.3444584382871536,27,32.036535859269286,5,4.378890392422192,9,7.2841677943166445,13.3680649526387,16,0.004111528396606445,0.26926708221435547,11,fec_simple_farthest_point,0.5
6,186,0.4159143379781215,0.076787555533183,0.3413098236775819,0.6530226700251889,0.3413098236775819,33,31.851368970013038,4,4.322033898305085,7,7.348109517601043,13.18122555410691,13,0.0038759708404541016,0.28099799156188965,11,fec_simple_farthest_point,0.5
7,181,0.4190089693868031,0.0796859030669125,0.3413098236775819,0.6505037783375315,0.3413098236775819,33,33.71825396825397,4,4.439153439153439,7,7.457671957671957,13.544973544973544,13,0.0039806365966796875,0.28453850746154785,11,fec_simple_farthest_point,0.5
8,133,0.41510812165724004,0.0808064065303721,0.3413098236775819,0.646095717884131,0.3413098236775819,33,34.843711843711844,4,4.6239316239316235,7,7.5677655677655675,14.03052503052503,13,0.003975868225097656,0.3022921085357666,11,fec_simple_farthest_point,0.5
9,132,0.4164944952310871,0.08382202588091384,0.3387909319899244,0.6536523929471032,0.3387909319899244,25,36.17852684144819,7,4.747815230961298,11,7.701622971285893,14.39076154806492,22,0.003952503204345703,0.30739736557006836,11,fec_simple_farthest_point,0.5
10,138,0.4193130209740133,0.08563821019515344,0.3387909319899244,0.6492443324937027,0.3387909319899244,25,39.12468827930174,7,4.980049875311721,11,7.778054862842893,14.987531172069826,22,0.003918647766113281,0.4282190799713135,11,fec_simple_farthest_point,0.5
11,101,0.4216873557670553,0.08728766571538303,0.3387909319899244,0.6511335012594459,0.3387909319899244,25,40.797604790419165,7,5.08502994011976,11,7.8,15.191616766467066,22,0.004215717315673828,0.32943153381347656,11,fec_simple_farthest_point,0.5
12,92,0.41974056005521504,0.08408735657939476,0.3387909319899244,0.6536523929471032,0.3387909319899244,25,41.87470725995316,7,5.318501170960188,11,7.975409836065574,15.96135831381733,22,0.004051685333251953,0.33864927291870117,11,fec_simple_farthest_point,0.5
13,102,0.41591193978423074,0.08202155921373525,0.3387909319899244,0.6492443324937027,0.3387909319899244,25,42.18514150943396,7,5.569575471698113,11,8.060141509433961,16.57429245283019,22,0.0044176578521728516,0.3506321907043457,11,fec_simple_farthest_point,0.5
14,95,0.40960839670736265,0.08301673577986554,0.3387909319899244,0.6530226700251889,0.3387909319899244,25,43.86244019138756,7,5.881578947368421,11,8.241626794258373,17.266746411483254,22,0.003981828689575195,0.3472323417663574,11,fec_simple_farthest_point,0.5
15,97,0.41531808540127507,0.08543109083634258,0.3387909319899244,0.6517632241813602,0.3387909319899244,25,44.71650717703349,7,6.157894736842105,11,8.389952153110048,18.050239234449762,22,0.004196643829345703,0.3692777156829834,11,fec_simple_farthest_point,0.5
16,99,0.4131240016125756,0.08415435048190824,0.33753148614609574,0.6593198992443325,0.33753148614609574,66,47.513838748495786,13,6.85439229843562,15,8.724428399518652,19.919374247894105,40,0.00394749641418457,0.39449214935302734,11,fec_simple_farthest_point,0.5
17,81,0.4083532258885757,0.0815086366040312,0.33753148614609574,0.6505037783375315,0.33753148614609574,66,49.282996432818074,13,7.128418549346017,15,8.93935790725327,20.731272294887038,40,0.004046916961669922,0.41619038581848145,11,fec_simple_farthest_point,0.5
18,64,0.41045325473458344,0.08425246605688237,0.33753148614609574,0.6624685138539043,0.33753148614609574,66,53.53703703703704,13,7.674768518518518,15,9.24537037037037,22.30324074074074,40,0.004175424575805664,0.44959092140197754,11,fec_simple_farthest_point,0.5
19,74,0.4071296851094525,0.08102427542346034,0.33753148614609574,0.6574307304785894,0.33753148614609574,66,55.930715935334874,13,8.112009237875288,15,9.383371824480369,23.330254041570438,40,0.0041141510009765625,0.47100329399108887,11,fec_simple_farthest_point,0.5
20,76,0.4070126418171539,0.08107211086409843,0.33753148614609574,0.6517632241813602,0.33753148614609574,66,59.73090481786134,13,8.72737955346651,15,9.676850763807286,24.854289071680377,40,0.004038333892822266,0.4847724437713623,11,fec_simple_farthest_point,0.5
21,88,0.41006778695695567,0.08423155676679285,0.33753148614609574,0.6505037783375315,0.33753148614609574,66,60.86946386946387,13,8.976689976689977,15,9.743589743589743,25.371794871794872,40,0.0043561458587646484,0.48778223991394043,11,fec_simple_farthest_point,0.5
22,110,0.40507504326458216,0.07973037962493244,0.3369017632241813,0.6561712846347607,0.3369017632241813,91,64.78606356968216,18,9.102689486552567,16,9.8239608801956,25.751833740831295,50,0.00429224967956543,0.4974381923675537,11,fec_simple_farthest_point,0.5
23,96,0.4062465532916996,0.08352700351040025,0.3369017632241813,0.6530226700251889,0.3369017632241813,91,70.63313609467455,18,10.594082840236686,16,10.513609467455622,29.67810650887574,50,0.004708290100097656,0.5524256229400635,11,fec_simple_farthest_point,0.5
24,124,0.4120138007762937,0.0851819195858628,0.3369017632241813,0.6555415617128464,0.3369017632241813,91,73.23697270471465,18,10.732009925558312,16,10.49379652605459,29.627791563275434,50,0.004079580307006836,0.5639932155609131,11,fec_simple_farthest_point,0.5
25,100,0.40225181553490397,0.07915735040031888,0.3369017632241813,0.6523929471032746,0.3369017632241813,91,74.87941534713764,18,10.7442143727162,16,10.521315468940317,29.823386114494518,50,0.004549503326416016,0.6263008117675781,11,fec_simple_farthest_point,0.5
26,74,0.40534371207266695,0.0825782330217639,0.3369017632241813,0.6549118387909321,0.3369017632241813,91,78.2672919109027,18,10.7010550996483,16,10.543962485345839,29.555685814771394,50,0.004408836364746094,0.5746378898620605,11,fec_simple_farthest_point,0.5
27,60,0.4080735121707739,0.08479721634803448,0.3369017632241813,0.6555415617128464,0.3369017632241813,91,81.38824884792626,18,11.36405529953917,16,10.839861751152073,31.20046082949309,50,0.00442194938659668,0.5993402004241943,11,fec_simple_farthest_point,0.5
28,84,0.403694276502003,0.08164787619905138,0.3369017632241813,0.656801007556675,0.3369017632241813,91,82.62660443407235,18,11.666277712952159,16,10.950991831971995,32.001166861143524,50,0.004296779632568359,0.6240582466125488,11,fec_simple_farthest_point,0.5
29,88,0.4039307810946163,0.08472173474805487,0.336272040302267,0.656801007556675,0.336272040302267,140,85.52482269503547,38,12.268321513002364,25,11.11465721040189,33.388888888888886,105,0.004576683044433594,0.6411144733428955,11,fec_simple_farthest_point,0.5
30,75,0.4031062421009727,0.08291936239694117,0.336272040302267,0.6523929471032746,0.336272040302267,140,91.86845168800932,38,12.990686845168801,25,11.311990686845169,35.08498253783469,105,0.004553079605102539,0.6889736652374268,11,fec_simple_farthest_point,0.5
31,75,0.40390977086689633,0.0846211904318353,0.336272040302267,0.6574307304785894,0.336272040302267,140,102.63133097762073,38,14.414605418138986,25,11.812720848056538,38.50765606595995,105,0.004448890686035156,0.7403924465179443,11,fec_simple_farthest_point,0.5
32,81,0.4013874945143469,0.08015061221138703,0.336272040302267,0.6486146095717884,0.336272040302267,140,107.9928400954654,38,15.605011933174225,25,12.18854415274463,41.468973747016705,105,0.004362821578979492,0.8107688426971436,11,fec_simple_farthest_point,0.5
33,79,0.4031740102350277,0.08271484808234851,0.336272040302267,0.6486146095717884,0.336272040302267,140,113.58030480656507,38,16.02227432590856,25,12.330597889800703,42.55099648300117,105,0.0050089359283447266,0.8702726364135742,11,fec_simple_farthest_point,0.5
34,60,0.4050123032570871,0.08464896095273888,0.336272040302267,0.6555415617128464,0.336272040302267,140,114.59653179190751,38,16.491329479768787,25,12.616184971098265,43.694797687861275,105,0.004719734191894531,0.8390107154846191,11,fec_simple_farthest_point,0.5
35,69,0.3982637950720368,0.0806524399148728,0.336272040302267,0.6517632241813602,0.336272040302267,140,118.39100346020761,38,16.666666666666668,25,12.795847750865052,44.16608996539792,105,0.004537105560302734,0.8375704288482666,11,fec_simple_farthest_point,0.5
36,68,0.4000737236591509,0.08179485847645365,0.336272040302267,0.6574307304785894,0.336272040302267,140,125.36469221835075,38,18.580720092915215,25,13.296167247386759,48.786295005807204,105,0.0043506622314453125,0.9219903945922852,11,fec_simple_farthest_point,0.5
37,72,0.4035320921058885,0.08695899181378762,0.336272040302267,0.6511335012594459,0.336272040302267,140,132.24882075471697,38,20.97995283018868,25,14.13443396226415,54.66155660377358,105,0.004743099212646484,1.0122220516204834,11,fec_simple_farthest_point,0.5
38,100,0.3956878973251769,0.07941661281734884,0.336272040302267,0.6530226700251889,0.336272040302267,140,134.89166666666668,38,20.66190476190476,25,14.152380952380952,53.93928571428572,105,0.004719972610473633,0.9984426498413086,11,fec_simple_farthest_point,0.5
39,66,0.3975867439672252,0.08091821557878275,0.336272040302267,0.6586901763224181,0.336272040302267,140,142.1972157772622,38,21.84570765661253,25,14.339907192575406,56.60092807424594,105,0.004703521728515625,1.1087431907653809,11,fec_simple_farthest_point,0.5
40,98,0.40127634084905084,0.08372079533002057,0.336272040302267,0.6612090680100755,0.336272040302267,140,152.26463414634145,38,23.0,25,14.457317073170731,59.482926829268294,105,0.0045926570892333984,1.2216362953186035,11,fec_simple_farthest_point,0.5
41,84,0.39583516819033193,0.07984747210439916,0.336272040302267,0.6605793450881612,0.336272040302267,140,157.5011655011655,38,23.996503496503497,25,14.912587412587413,61.96153846153846,105,0.00477147102355957,1.1854631900787354,11,fec_simple_farthest_point,0.5
42,66,0.39208476693730016,0.0763240834604397,0.336272040302267,0.6612090680100755,0.336272040302267,140,158.27272727272728,38,21.9873417721519,25,14.127733026467205,56.89643268124281,105,0.004833221435546875,1.1397817134857178,11,fec_simple_farthest_point,0.5
43,81,0.3952108613193801,0.07982631406014336,0.33501259445843834,0.6505037783375315,0.33501259445843834,112,155.33723653395785,34,21.357142857142858,22,14.009367681498828,55.222482435597186,93,0.004782676696777344,1.0634665489196777,11,fec_simple_farthest_point,0.5
44,80,0.39673783118761075,0.07942231018143589,0.33501259445843834,0.6561712846347607,0.33501259445843834,112,164.5462962962963,34,22.336805555555557,22,14.212962962962964,57.467592592592595,93,0.004623889923095703,1.1434381008148193,11,fec_simple_farthest_point,0.5
45,85,0.39802461916756626,0.08307879600240846,0.33501259445843834,0.6612090680100755,0.33501259445843834,112,172.26190476190476,34,22.48452380952381,22,14.427380952380952,58.16309523809524,93,0.004641532897949219,1.224555492401123,11,fec_simple_farthest_point,0.5
46,83,0.4019701115681762,0.08502920417821,0.33501259445843834,0.6523929471032746,0.33501259445843834,112,173.6558752997602,34,24.286570743405274,22,14.718225419664268,62.44124700239808,93,0.004735708236694336,1.263092279434204,11,fec_simple_farthest_point,0.5
47,86,0.4016181336269049,0.08282895323099566,0.3343828715365239,0.649874055415617,0.3343828715365239,190,177.85154394299286,34,21.93942992874109,21,14.24228028503563,56.764845605700714,88,0.004928112030029297,1.2047359943389893,11,fec_simple_farthest_point,0.5
48,81,0.3955615646762483,0.07760200450833035,0.3343828715365239,0.6517632241813602,0.3343828715365239,190,180.12470588235294,34,21.776470588235295,21,14.270588235294118,56.20823529411765,88,0.00434422492980957,1.0528130531311035,11,fec_simple_farthest_point,0.5
49,73,0.39355488463125005,0.07760396955388678,0.3343828715365239,0.6517632241813602,0.3343828715365239,190,185.1567944250871,34,22.21835075493612,21,14.325203252032521,57.31939605110337,88,0.0044765472412109375,1.10685133934021,11,fec_simple_farthest_point,0.5
50,59,0.39847001188592973,0.08261666562371647,0.3343828715365239,0.6549118387909321,0.3343828715365239,190,191.46039035591275,34,23.40183696900115,21,14.583237657864524,60.2939150401837,88,0.004431724548339844,1.1754350662231445,11,fec_simple_farthest_point,0.5
