gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,0.5207527198670883,0.07401783633855537,0.3564231738035264,0.6391687657430731,,19,20.651063829787233,4,4.576595744680851,7,5.702127659574468,13.872340425531915,13,0.0,0.1441957950592041,3,fec_simple_kmeans,0.1
1,413,0.4633573727559873,0.0650291744445338,0.3564231738035264,0.6209068010075567,0.3564231738035264,19,20.682539682539684,4,3.623015873015873,7,5.494047619047619,10.83531746031746,13,0.003504514694213867,0.17123866081237793,3,fec_simple_kmeans,0.1
2,360,0.43982660129543,0.07178611613099699,0.35579345088161207,0.6404282115869018,0.35579345088161207,44,23.01607142857143,5,3.6392857142857142,8,6.148214285714285,11.1,16,0.003587961196899414,0.18360519409179688,3,fec_simple_kmeans,0.1
3,319,0.42643930650446915,0.06859906722758581,0.35579345088161207,0.6435768261964736,0.35579345088161207,44,25.794314381270905,5,4.001672240802676,8,6.8193979933110365,12.222408026755852,16,0.003865957260131836,0.1990973949432373,3,fec_simple_kmeans,0.1
4,279,0.4285712950989992,0.07668331022514156,0.35264483627204035,0.6416876574307304,0.35264483627204035,33,27.335311572700295,7,4.234421364985163,10,7.114243323442136,12.882789317507418,22,0.003945112228393555,0.2191154956817627,3,fec_simple_kmeans,0.1
5,209,0.4195059887935023,0.07284636795666051,0.35264483627204035,0.6404282115869018,0.35264483627204035,33,29.548299319727892,7,4.402721088435374,10,7.364625850340136,13.495238095238095,22,0.003993034362792969,0.24112629890441895,3,fec_simple_kmeans,0.1
6,182,0.4196989076101852,0.07504132657259831,0.3513853904282116,0.6442065491183879,0.3513853904282116,28,32.41580310880829,7,4.680051813471502,10,7.494818652849741,14.251295336787564,22,0.0037910938262939453,0.2621603012084961,3,fec_simple_kmeans,0.1
7,155,0.41545244376409624,0.07113826329143028,0.3513853904282116,0.6442065491183879,0.3513853904282116,28,34.50684931506849,7,4.8816936488169365,10,7.689912826899128,14.858032378580324,22,0.003975629806518555,0.2836148738861084,3,fec_simple_kmeans,0.1
8,156,0.4145379408060454,0.07365402218352912,0.3513853904282116,0.6429471032745592,0.3513853904282116,28,35.94375,7,5.09875,10,7.84375,15.56,22,0.0038993358612060547,0.2890033721923828,3,fec_simple_kmeans,0.1
9,109,0.4107413790563731,0.0699882744399523,0.3513853904282116,0.6435768261964736,0.3513853904282116,28,37.14502923976608,7,5.3087719298245615,10,8.012865497076023,16.184795321637427,22,0.0040400028228759766,0.3116147518157959,3,fec_simple_kmeans,0.1
10,92,0.4108449524387716,0.06946931597811098,0.3513853904282116,0.6391687657430731,0.3513853904282116,28,38.982618771726536,7,5.369640787949015,10,8.114716106604867,16.32560834298957,22,0.004076957702636719,0.4292764663696289,3,fec_simple_kmeans,0.1
11,111,0.4102070000860399,0.06938655806735415,0.3513853904282116,0.6372795969773299,0.3513853904282116,28,40.48056537102474,7,5.316843345111896,10,8.045936395759718,16.157832744405184,22,0.004235267639160156,0.31780409812927246,3,fec_simple_kmeans,0.1
12,98,0.41031799187548235,0.07211714583673177,0.3513853904282116,0.6442065491183879,0.3513853904282116,28,43.04971098265896,7,5.650867052023122,10,8.204624277456647,17.033526011560692,22,0.004082918167114258,0.3286740779876709,3,fec_simple_kmeans,0.1
13,90,0.40629737583682046,0.06878442958844866,0.3513853904282116,0.6442065491183879,0.3513853904282116,28,43.67986030267753,7,5.60535506402794,10,8.260768335273575,16.954598370197903,22,0.0041048526763916016,0.3249359130859375,3,fec_simple_kmeans,0.1
14,86,0.40794714685400024,0.0707970741132826,0.3513853904282116,0.6221662468513853,0.3513853904282116,28,46.17993079584775,7,5.619377162629758,10,8.228373702422145,16.881199538638985,22,0.004118680953979492,0.33321213722229004,3,fec_simple_kmeans,0.1
15,66,0.4060638571553769,0.0673012980264975,0.3513853904282116,0.6442065491183879,0.3513853904282116,28,46.89337822671156,7,5.701459034792368,10,8.320987654320987,17.15712682379349,22,0.0040378570556640625,0.3397667407989502,3,fec_simple_kmeans,0.1
16,53,0.40763115991078464,0.06931113637098352,0.3507556675062973,0.6442065491183879,0.3507556675062973,34,48.859030837004404,9,5.991189427312776,11,8.455947136563877,17.96696035242291,28,0.004012584686279297,0.34415221214294434,3,fec_simple_kmeans,0.1
17,47,0.40371289034571517,0.06457229754500542,0.3507556675062973,0.6372795969773299,0.3507556675062973,34,52.1353711790393,9,6.129912663755459,11,8.543668122270743,18.44868995633188,28,0.004166364669799805,0.36521339416503906,3,fec_simple_kmeans,0.1
18,35,0.4094406586778957,0.06897893126632595,0.3507556675062973,0.6442065491183879,0.3507556675062973,34,54.393282773564465,9,6.440953412784399,11,8.733477789815819,19.384615384615383,28,0.004125118255615234,0.38340306282043457,3,fec_simple_kmeans,0.1
19,56,0.4082129862860342,0.06780903544219953,0.3507556675062973,0.6385390428211587,0.3507556675062973,34,54.50666666666667,9,6.385555555555555,11,8.705555555555556,19.13888888888889,28,0.004292011260986328,0.36813974380493164,3,fec_simple_kmeans,0.1
20,63,0.4028887311854499,0.06339434329900652,0.3507556675062973,0.6442065491183879,0.3507556675062973,34,56.424276169265035,9,6.778396436525613,11,8.929844097995545,20.270601336302896,28,0.003981351852416992,0.39167213439941406,3,fec_simple_kmeans,0.1
21,49,0.41175307672527495,0.07162495138365137,0.3507556675062973,0.6435768261964736,0.3507556675062973,34,60.34796926454446,9,6.905598243688255,11,8.949506037321624,20.636663007683865,28,0.004236698150634766,0.40688014030456543,3,fec_simple_kmeans,0.1
22,55,0.41013181922726283,0.07016917560194312,0.3507556675062973,0.6416876574307304,0.3507556675062973,34,62.15071507150715,9,7.421342134213421,11,9.192519251925193,22.1001100110011,28,0.004221439361572266,0.4243450164794922,3,fec_simple_kmeans,0.1
23,55,0.40697906240031684,0.06674178855120685,0.3507556675062973,0.6429471032745592,0.3507556675062973,34,62.97598253275109,9,7.615720524017467,11,9.300218340611353,22.566593886462883,28,0.004530429840087891,0.4402165412902832,3,fec_simple_kmeans,0.1
24,56,0.4038381436190423,0.06495509229192457,0.3507556675062973,0.6442065491183879,0.3507556675062973,34,62.77988826815643,9,7.863687150837989,11,9.470391061452514,23.2,28,0.004172325134277344,0.43915247917175293,3,fec_simple_kmeans,0.1
25,47,0.4107400809941968,0.0721302025338822,0.3507556675062973,0.6454659949622166,0.3507556675062973,34,63.81878453038674,9,7.651933701657459,11,9.297237569060773,22.702762430939227,28,0.004319190979003906,0.49310994148254395,3,fec_simple_kmeans,0.1
