gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,0.5138801427371956,0.0796864386251555,0.3589420654911839,0.6505037783375315,,19,20.03125,4,4.385416666666667,7,5.704166666666667,13.45,13,0.0,0.1393451690673828,24,fec_simple_kmedoids,0.1
1,389,0.46085264483627203,0.06998868277842715,0.3589420654911839,0.6328715365239295,0.3589420654911839,19,21.412,4,3.556,7,5.748,10.942,13,0.003415346145629883,0.1731700897216797,24,fec_simple_kmedoids,0.1
2,374,0.4411641928398962,0.07031272567770891,0.3494962216624685,0.6486146095717884,0.3494962216624685,18,23.883239171374765,4,3.6139359698681734,8,6.212806026365349,11.250470809792844,13,0.003497600555419922,0.1788630485534668,24,fec_simple_kmedoids,0.1
3,334,0.43293618064688705,0.07072755218013252,0.3494962216624685,0.6435768261964736,0.3494962216624685,18,27.408849557522124,4,3.9557522123893807,8,6.578761061946903,12.176991150442477,13,0.003872394561767578,0.19780182838439941,24,fec_simple_kmedoids,0.1
4,307,0.43237813713788437,0.07533692146504146,0.3494962216624685,0.6555415617128464,0.3494962216624685,18,28.97147385103011,4,4.141045958795563,8,6.903328050713154,12.771790808240887,13,0.0038704872131347656,0.21908211708068848,24,fec_simple_kmedoids,0.1
5,281,0.43110311279550756,0.07995842527921097,0.3494962216624685,0.6542821158690176,0.3494962216624685,18,30.15749235474006,4,4.292048929663609,8,7.165137614678899,13.229357798165138,13,0.003899097442626953,0.23094773292541504,24,fec_simple_kmedoids,0.1
6,271,0.4238423639853971,0.07629333162848628,0.3444584382871536,0.6454659949622166,0.3444584382871536,21,31.37151248164464,4,4.296622613803231,7,7.236417033773862,13.30396475770925,13,0.003895282745361328,0.23640823364257812,24,fec_simple_kmedoids,0.1
7,227,0.42425132941505744,0.07846361193447636,0.3394206549118388,0.649874055415617,0.3394206549118388,55,33.894444444444446,14,4.538888888888889,11,7.411111111111111,13.934722222222222,43,0.003949165344238281,0.2544877529144287,24,fec_simple_kmedoids,0.1
8,203,0.4252377077410337,0.08222912801774464,0.3394206549118388,0.6454659949622166,0.3394206549118388,55,35.2828418230563,14,4.694369973190349,11,7.508042895442359,14.453083109919572,43,0.003831624984741211,0.26835107803344727,24,fec_simple_kmedoids,0.1
9,180,0.42826459929059785,0.08414673203448948,0.3394206549118388,0.6467254408060453,0.3394206549118388,55,36.35204081632653,14,4.849489795918367,11,7.658163265306122,14.767857142857142,43,0.00394439697265625,0.28339385986328125,24,fec_simple_kmedoids,0.1
10,168,0.4242286491288965,0.08238084688314791,0.3394206549118388,0.6511335012594459,0.3394206549118388,55,38.989886219974714,14,5.379266750948167,11,7.992414664981037,16.193426042983564,43,0.0040264129638671875,0.37941431999206543,24,fec_simple_kmedoids,0.1
11,155,0.4152166090398485,0.0778491550053804,0.3394206549118388,0.649874055415617,0.3394206549118388,55,40.785093167701866,14,5.541614906832298,11,8.207453416149068,16.87329192546584,43,0.003984928131103516,0.32440876960754395,24,fec_simple_kmedoids,0.1
12,191,0.4189494122586062,0.0835615560285759,0.3394206549118388,0.6486146095717884,0.3394206549118388,55,41.588541666666664,14,5.787760416666667,11,8.302083333333334,17.416666666666668,43,0.0039691925048828125,0.3213202953338623,24,fec_simple_kmedoids,0.1
13,154,0.4138062795083731,0.07961355049137052,0.3394206549118388,0.6549118387909321,0.3394206549118388,55,44.9070351758794,14,6.056532663316583,11,8.493718592964823,18.232412060301506,43,0.004066944122314453,0.3431215286254883,24,fec_simple_kmedoids,0.1
14,174,0.416215565787996,0.08230606992500908,0.3394206549118388,0.6486146095717884,0.3394206549118388,55,48.011464968152865,14,6.436942675159235,11,8.784713375796178,19.318471337579616,43,0.004308938980102539,0.3600893020629883,24,fec_simple_kmedoids,0.1
15,151,0.41242658409091615,0.07906638696093495,0.3394206549118388,0.6555415617128464,0.3394206549118388,55,49.9790382244143,14,6.683107274969174,11,8.84956843403206,19.806411837237977,43,0.004178285598754883,0.3809487819671631,24,fec_simple_kmedoids,0.1
16,112,0.408980817670994,0.08060654261913887,0.3394206549118388,0.6486146095717884,0.3394206549118388,55,51.990532544378695,14,7.1289940828402365,11,9.189349112426035,21.044970414201185,43,0.0039408206939697266,0.3985159397125244,24,fec_simple_kmedoids,0.1
17,119,0.4081490314474397,0.07981425719703336,0.3394206549118388,0.6586901763224181,0.3394206549118388,55,52.21867612293144,14,7.087470449172577,11,9.199763593380615,21.1016548463357,43,0.0040590763092041016,0.3985157012939453,24,fec_simple_kmedoids,0.1
18,119,0.4064708325489809,0.07801807037374467,0.3369017632241813,0.6605793450881612,0.3369017632241813,59,53.11387900355872,7,7.00355871886121,10,9.169632265717675,20.94661921708185,22,0.0041255950927734375,0.4054524898529053,24,fec_simple_kmedoids,0.1
19,114,0.4147209554375336,0.08570294475331161,0.3369017632241813,0.6542821158690176,0.3369017632241813,59,55.2896305125149,7,7.467222884386174,10,9.34088200238379,22.0715137067938,22,0.004104137420654297,0.4210965633392334,24,fec_simple_kmedoids,0.1
20,118,0.4121432314462487,0.08231809071366912,0.3369017632241813,0.6586901763224181,0.3369017632241813,59,56.81323877068558,7,7.215130023640662,10,9.19739952718676,21.225768321513,22,0.004068136215209961,0.4194316864013672,24,fec_simple_kmedoids,0.1
21,98,0.41005445380516853,0.08058475879498968,0.3369017632241813,0.656801007556675,0.3369017632241813,59,58.75902211874273,7,7.694994179278231,10,9.370197904540163,22.474970896391152,22,0.004096508026123047,0.4425041675567627,24,fec_simple_kmedoids,0.1
22,124,0.4103719513114828,0.0810482033469203,0.3369017632241813,0.6517632241813602,0.3369017632241813,59,60.91377245508982,7,8.32814371257485,10,9.730538922155688,24.20239520958084,22,0.004264354705810547,0.4569544792175293,24,fec_simple_kmedoids,0.1
23,132,0.4095214410007423,0.08234178736889217,0.3369017632241813,0.6549118387909321,0.3369017632241813,59,64.13888888888889,7,9.206521739130435,10,10.095410628019323,26.555555555555557,22,0.004265308380126953,0.4911820888519287,24,fec_simple_kmedoids,0.1
24,149,0.40583089386615834,0.08088180366254044,0.33564231738035266,0.6549118387909321,0.33564231738035266,126,67.78009828009829,35,9.368550368550368,20,10.285012285012286,27.380835380835382,101,0.004307985305786133,0.5216906070709229,24,fec_simple_kmedoids,0.1
25,118,0.4045936316946164,0.07994103945544889,0.33564231738035266,0.6580604534005038,0.33564231738035266,126,68.65289256198348,35,9.219598583234946,20,10.155844155844155,26.78630460448642,101,0.004343748092651367,0.5781717300415039,24,fec_simple_kmedoids,0.1
26,131,0.41684335151526136,0.0868357403417142,0.33564231738035266,0.6523929471032746,0.33564231738035266,126,72.89448441247002,35,9.850119904076738,20,10.339328537170264,28.491606714628297,101,0.004208564758300781,0.5314245223999023,24,fec_simple_kmedoids,0.1
27,134,0.40703580644565285,0.08021939919366478,0.33564231738035266,0.6593198992443325,0.33564231738035266,126,73.61858190709046,35,10.767726161369193,20,10.812958435207824,31.121026894865526,101,0.004489421844482422,0.5504050254821777,24,fec_simple_kmedoids,0.1
28,153,0.4136982336467606,0.08419010982175053,0.33564231738035266,0.6555415617128464,0.33564231738035266,126,77.83975155279504,35,10.849689440993789,20,10.850931677018634,31.345341614906832,101,0.004395723342895508,0.5812385082244873,24,fec_simple_kmedoids,0.1
29,138,0.4071811312113579,0.08195838499565553,0.33564231738035266,0.6542821158690176,0.33564231738035266,126,84.38060606060606,35,11.646060606060606,20,11.065454545454546,33.52,101,0.004287242889404297,0.6172072887420654,24,fec_simple_kmedoids,0.1
30,133,0.40725419407693625,0.08226582414538233,0.33564231738035266,0.6542821158690176,0.33564231738035266,126,88.13592233009709,35,12.935679611650485,20,11.822815533980583,37.36043689320388,101,0.004305839538574219,0.6489889621734619,24,fec_simple_kmedoids,0.1
31,143,0.4059830563980767,0.0812041239925538,0.33564231738035266,0.6586901763224181,0.33564231738035266,126,93.53219927095991,35,13.659781287970839,20,12.081409477521264,39.33292831105711,101,0.004449605941772461,0.7080478668212891,24,fec_simple_kmedoids,0.1
32,159,0.40546098846942125,0.08167689458191475,0.3343828715365239,0.6523929471032746,0.3343828715365239,80,99.58509316770186,11,15.13167701863354,12,12.699378881987577,43.48695652173913,34,0.004723787307739258,0.7419438362121582,24,fec_simple_kmedoids,0.1
33,159,0.4049063149056521,0.0850903928547921,0.3343828715365239,0.656801007556675,0.3343828715365239,80,106.29197994987469,11,16.359649122807017,12,13.027568922305765,46.976190476190474,34,0.0044705867767333984,0.7988483905792236,24,fec_simple_kmedoids,0.1
34,159,0.40428447438183385,0.08217996404692059,0.3337531486146096,0.6549118387909321,0.3337531486146096,141,109.5230961298377,13,16.549313358302122,14,13.157303370786517,47.29962546816479,40,0.00436711311340332,0.8725807666778564,24,fec_simple_kmedoids,0.1
35,172,0.4055647957646727,0.0838966104091996,0.3337531486146096,0.6586901763224181,0.3337531486146096,141,115.70610687022901,13,16.980916030534353,14,13.330788804071247,48.19211195928753,40,0.004355430603027344,0.9000048637390137,24,fec_simple_kmedoids,0.1
36,158,0.4084201826196474,0.08791452967229371,0.3337531486146096,0.6593198992443325,0.3337531486146096,141,123.9125,13,18.59125,14,14.15625,52.7525,40,0.004445075988769531,0.9701454639434814,24,fec_simple_kmedoids,0.1
37,153,0.406034286817385,0.08394397409102727,0.3337531486146096,0.649874055415617,0.3337531486146096,141,129.81087762669964,13,19.79975278121137,14,14.432632880098888,55.91841779975278,40,0.004368782043457031,1.0315203666687012,24,fec_simple_kmedoids,0.1
38,135,0.40497981599839844,0.08544493949070202,0.3337531486146096,0.6599496221662469,0.3337531486146096,141,131.79596678529063,13,19.262158956109133,14,14.211150652431792,54.52669039145908,40,0.004744768142700195,1.0236279964447021,24,fec_simple_kmedoids,0.1
39,133,0.401438844538391,0.0822809755792752,0.3337531486146096,0.6561712846347607,0.3337531486146096,141,140.43772672309552,13,20.827085852478838,14,14.642079806529624,58.78113663845224,40,0.0045278072357177734,1.2141656875610352,24,fec_simple_kmedoids,0.1
40,156,0.40405604142872786,0.08337826439313642,0.3337531486146096,0.6612090680100755,0.3337531486146096,141,147.88819875776397,13,21.27080745341615,14,14.719254658385093,60.009937888198756,40,0.004564762115478516,1.164670705795288,24,fec_simple_kmedoids,0.1
41,120,0.4002121566510735,0.07986248490460203,0.3337531486146096,0.6549118387909321,0.3337531486146096,141,158.10833333333332,13,22.086904761904762,14,15.05,62.28452380952381,40,0.004639387130737305,1.2949769496917725,24,fec_simple_kmedoids,0.1
42,146,0.40101760133516706,0.08370217022618906,0.3337531486146096,0.6517632241813602,0.3337531486146096,141,162.08466257668712,13,23.03435582822086,14,15.3079754601227,64.69815950920245,40,0.004675626754760742,1.3975262641906738,24,fec_simple_kmedoids,0.1
43,134,0.4041848229114956,0.08642158655225275,0.3337531486146096,0.6549118387909321,0.3337531486146096,141,163.40389294403892,13,23.8345498783455,14,15.671532846715328,66.90024330900243,40,0.005182743072509766,1.4148876667022705,24,fec_simple_kmedoids,0.1
44,137,0.4090108327795893,0.09035250941221311,0.3337531486146096,0.656801007556675,0.3337531486146096,141,160.92269938650307,13,21.66871165644172,14,14.922699386503067,60.89938650306748,40,0.004865169525146484,1.3800714015960693,24,fec_simple_kmedoids,0.1
45,142,0.4046175033538748,0.08382252045992182,0.33249370277078083,0.6523929471032746,0.33249370277078083,226,159.75153751537516,29,20.43050430504305,23,14.35670356703567,57.53751537515375,88,0.0042629241943359375,1.3068749904632568,24,fec_simple_kmedoids,0.1
46,134,0.40437329047611686,0.08522436721042205,0.33249370277078083,0.6517632241813602,0.33249370277078083,226,162.20122699386502,29,21.0,23,14.433128834355829,58.92760736196319,88,0.004260063171386719,1.264397382736206,24,fec_simple_kmedoids,0.1
47,123,0.401538970335067,0.08254819699233874,0.33249370277078083,0.6612090680100755,0.33249370277078083,226,169.70383693045562,29,20.7757793764988,23,14.546762589928058,58.460431654676256,88,0.0050432682037353516,1.2810657024383545,24,fec_simple_kmedoids,0.1
48,127,0.40983025791859357,0.08925101862551994,0.33249370277078083,0.6580604534005038,0.33249370277078083,226,179.85419198055894,29,20.8955042527339,23,14.345078979343864,58.68894289185905,88,0.004235982894897461,1.3042631149291992,24,fec_simple_kmedoids,0.1
49,97,0.406044171191126,0.08129098364313234,0.33249370277078083,0.6505037783375315,0.33249370277078083,226,182.7169373549884,29,20.993039443155453,23,14.395591647331786,58.52784222737819,88,0.004065990447998047,1.2087242603302002,24,fec_simple_kmedoids,0.1
50,101,0.40563901883171405,0.08428350938180307,0.33249370277078083,0.6555415617128464,0.33249370277078083,226,196.62857142857143,29,22.525,23,14.995238095238095,62.88452380952381,88,0.003932952880859375,1.2264130115509033,24,fec_simple_kmedoids,0.1
