gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,0.5207683753067657,0.07278942692931534,0.35453400503778343,0.6429471032745592,,19,20.01874866080994,4,4.432290550674952,7,5.683201199914292,13.445146775230342,13,0.0,3.806638479232788,1,fec_simple_farthest_point,0.3
1,8154,0.47109245320586446,0.06714598556224707,0.35453400503778343,0.6410579345088161,0.35453400503778343,19,22.060220776660753,4,3.752414744726986,7,5.650108417110191,11.194953676325646,13,0.08814311027526855,4.523617506027222,1,fec_simple_farthest_point,0.3
2,6851,0.4476738722275434,0.06534477137299674,0.35453400503778343,0.6442065491183879,0.35453400503778343,19,25.55132172221731,4,4.0326231102466625,7,6.241800017681903,12.059322783131465,13,0.10957789421081543,4.992079019546509,1,fec_simple_farthest_point,0.3
3,6142,0.43843373065555685,0.06709781791085544,0.35453400503778343,0.6423173803526449,0.35453400503778343,19,28.416119500984898,4,4.416119500984898,7,6.788000656598818,13.198374917925149,13,0.10357499122619629,5.49263072013855,1,fec_simple_farthest_point,0.3
4,5596,0.4351165859285246,0.06886791112676231,0.353904282115869,0.6416876574307304,0.353904282115869,25,31.105881455488596,5,4.7066900602639405,8,7.152719505683119,14.078648256922724,16,0.11455559730529785,6.089588403701782,1,fec_simple_farthest_point,0.3
5,4927,0.43189925740161544,0.06998116192503119,0.3520151133501259,0.6429471032745592,0.3520151133501259,43,33.485695755566766,5,4.940693233407797,9,7.444980903653527,14.816603012178424,16,0.11804533004760742,6.346556663513184,1,fec_simple_farthest_point,0.3
6,4401,0.43159888856006395,0.07271684215100227,0.3520151133501259,0.6404282115869018,0.3520151133501259,43,35.499414963177095,5,5.158579392938261,9,7.647463693303049,15.424048454814509,16,0.11467385292053223,6.774128675460815,1,fec_simple_farthest_point,0.3
7,3925,0.42855188157226765,0.07302610198202406,0.3520151133501259,0.6448362720403022,0.3520151133501259,43,37.09419423409061,5,5.24883751826757,9,7.7656436827421285,15.700013285505513,16,0.10136198997497559,6.878955841064453,1,fec_simple_farthest_point,0.3
8,3539,0.4266474048099334,0.07314854682350373,0.3520151133501259,0.6423173803526449,0.3520151133501259,43,38.73009595435685,5,5.36041234439834,9,7.871045124481328,16.015235995850624,16,0.10867881774902344,7.134502649307251,1,fec_simple_farthest_point,0.3
9,3242,0.4262024518578287,0.07426974671819081,0.3507556675062973,0.6454659949622166,0.3507556675062973,66,40.67287284742962,14,5.521763995678973,14,7.998347842663786,16.452309843045054,38,0.12227272987365723,7.279177665710449,1,fec_simple_farthest_point,0.3
10,2910,0.4248912724710229,0.07442504126800344,0.3507556675062973,0.6423173803526449,0.3507556675062973,66,42.251604061546125,14,5.640565626362673,14,8.080794867003052,16.776988724848938,38,0.1036531925201416,7.326575756072998,1,fec_simple_farthest_point,0.3
11,2829,0.4253148303673677,0.07630789157051372,0.3507556675062973,0.646095717884131,0.3507556675062973,66,43.90365386989261,14,5.863041599802494,14,8.199419824712999,17.334896926305394,38,0.0992882251739502,7.531839370727539,1,fec_simple_farthest_point,0.3
12,2510,0.42325568735692276,0.07529514370314426,0.3507556675062973,0.6454659949622166,0.3507556675062973,66,45.69144034917556,14,6.030249757516974,14,8.313409311348206,17.78855480116392,38,0.10907793045043945,7.765982627868652,1,fec_simple_farthest_point,0.3
13,2260,0.4238896260645316,0.0765675712191603,0.3507556675062973,0.646095717884131,0.3507556675062973,66,47.375416666666666,14,6.198869047619048,14,8.422619047619047,18.28011904761905,38,0.12434554100036621,7.964222192764282,1,fec_simple_farthest_point,0.3
14,2227,0.42275392560113473,0.07626011380150621,0.3494962216624685,0.6429471032745592,0.3494962216624685,106,49.3181329831682,18,6.395726393697028,15,8.524531455174884,18.801718992479408,55,0.12061357498168945,8.069752931594849,1,fec_simple_farthest_point,0.3
15,2151,0.4233248443554525,0.07700692459561526,0.3494962216624685,0.6454659949622166,0.3494962216624685,106,51.05358414431522,18,6.629954901495371,15,8.65636126275813,19.479824353192498,55,0.11301732063293457,8.336310863494873,1,fec_simple_farthest_point,0.3
16,2090,0.4220658918860649,0.07660586081941222,0.3494962216624685,0.6454659949622166,0.3494962216624685,106,53.44720128212738,18,6.930076571496409,15,8.828278031697039,20.299519202231853,55,0.12242698669433594,8.592581033706665,1,fec_simple_farthest_point,0.3
17,1959,0.42061545699955494,0.07659757986534227,0.3494962216624685,0.6473551637279598,0.3494962216624685,106,55.697308099212414,18,7.120018808040437,15,8.926295991536382,20.808334312918774,55,0.11580944061279297,8.764738321304321,1,fec_simple_farthest_point,0.3
18,1964,0.42009295515236456,0.07655139230944003,0.3494962216624685,0.6473551637279598,0.3494962216624685,106,58.35338345864662,18,7.5078125,15,9.121416823308271,21.873237781954888,55,0.12758874893188477,9.087177753448486,1,fec_simple_farthest_point,0.3
19,1899,0.4212704349097964,0.07803903556230256,0.3494962216624685,0.6442065491183879,0.3494962216624685,106,61.04778595630331,18,7.78981189391284,15,9.264867391050357,22.646045098726486,55,0.12586760520935059,9.400717496871948,1,fec_simple_farthest_point,0.3
20,1884,0.41953982413113217,0.07717388292969095,0.3494962216624685,0.646095717884131,0.3494962216624685,106,63.961482431093756,18,8.216479226152321,15,9.492628634694947,23.836955888351493,55,0.13039374351501465,9.769820928573608,1,fec_simple_farthest_point,0.3
21,1884,0.4186226943588993,0.07655498992661092,0.3488664987405542,0.6479848866498741,0.3488664987405542,66,66.75562944813908,20,8.591354567728386,13,9.720511025551277,24.936705168591764,56,0.11819696426391602,10.222055435180664,1,fec_simple_farthest_point,0.3
22,1921,0.4179559681098114,0.07696957289933445,0.3488664987405542,0.6479848866498741,0.3488664987405542,66,69.78128463916924,20,9.053264103611225,13,9.968321568169886,26.26077825097719,56,0.13070416450500488,10.556079864501953,1,fec_simple_farthest_point,0.3
23,1812,0.41710820788252023,0.07683378007572406,0.34823677581863977,0.646095717884131,0.34823677581863977,80,73.15902886681768,10,9.678457338676889,12,10.29273392577104,27.979787419411046,31,0.13851308822631836,11.077853441238403,1,fec_simple_farthest_point,0.3
24,1977,0.4172863858035907,0.07790389484236332,0.34823677581863977,0.646095717884131,0.34823677581863977,80,77.26916554587451,10,10.305830068417052,12,10.579556751067189,29.68457984913163,31,0.1292569637298584,11.465236186981201,1,fec_simple_farthest_point,0.3
25,2029,0.4150097516225697,0.07651111932183502,0.34823677581863977,0.646095717884131,0.34823677581863977,80,80.79307913753598,10,11.040244403971565,12,10.92885259385465,31.719346689383702,31,0.13094377517700195,12.001345872879028,1,fec_simple_farthest_point,0.3
26,1983,0.41424131957460614,0.07699986683786043,0.34823677581863977,0.646095717884131,0.34823677581863977,80,84.06414829542132,10,11.64276942868838,12,11.236535875095024,33.39389509385416,31,0.12230396270751953,12.678069829940796,1,fec_simple_farthest_point,0.3
27,2098,0.4137155372987905,0.07671296196019592,0.34823677581863977,0.6486146095717884,0.34823677581863977,80,87.71246025203156,10,12.400482864209163,12,11.591096455070074,35.500176657637496,31,0.11665773391723633,13.24118971824646,1,fec_simple_farthest_point,0.3
28,2131,0.41279753348984366,0.07626428289640248,0.34823677581863977,0.6467254408060453,0.34823677581863977,80,91.83069750973681,10,13.050395373539478,12,11.86427475510445,37.27758763129942,31,0.11934280395507812,13.784015417098999,1,fec_simple_farthest_point,0.3
29,2131,0.41259290034558344,0.07679912029320378,0.3469773299748111,0.6448362720403022,0.3469773299748111,74,96.58156742038594,11,13.722919379661418,12,12.129158281046525,39.094057061678704,29,0.13383746147155762,14.572046041488647,1,fec_simple_farthest_point,0.3
30,2273,0.4108324516936875,0.07507955474815954,0.3469773299748111,0.6479848866498741,0.3469773299748111,74,100.77242078882988,11,14.63357002207769,12,12.520735127394236,41.53529446864371,29,0.1256425380706787,15.100400686264038,1,fec_simple_farthest_point,0.3
31,2238,0.40973011017243566,0.07494345898594303,0.34508816120906805,0.6479848866498741,0.34508816120906805,104,105.34453380994935,18,15.252487339886803,18,12.728626750074472,43.219243372058386,50,0.12012362480163574,16.022955656051636,1,fec_simple_farthest_point,0.3
32,2270,0.41015354817744504,0.07556612069941171,0.34508816120906805,0.6467254408060453,0.34508816120906805,104,109.86598306903541,18,15.646059377608204,18,12.831584595206868,44.24973172767378,50,0.1254873275756836,16.69160270690918,1,fec_simple_farthest_point,0.3
33,2185,0.40982039734591463,0.07513897604978963,0.34508816120906805,0.6492443324937027,0.34508816120906805,104,114.46161622168044,18,16.28257120770649,18,13.089195456978057,45.95564012606291,50,0.13927102088928223,17.27879571914673,1,fec_simple_farthest_point,0.3
34,2243,0.41009328933402617,0.0755194180878042,0.3444584382871536,0.6473551637279598,0.3444584382871536,125,117.918780211255,28,16.935131586799546,23,13.344870800262576,47.8075431163096,85,0.12051677703857422,17.831108570098877,1,fec_simple_farthest_point,0.3
35,2209,0.410648974828434,0.07609278336272118,0.3444584382871536,0.6486146095717884,0.3444584382871536,125,122.44264749925128,28,17.349985025456725,23,13.503204552261156,48.87822701407607,85,0.12052655220031738,18.448182821273804,1,fec_simple_farthest_point,0.3
36,2170,0.41017679239970944,0.07589645362966077,0.3444584382871536,0.6486146095717884,0.3444584382871536,125,127.01556836413334,28,17.7176897022996,23,13.605680670271555,49.87812704260503,85,0.12917399406433105,19.168788194656372,1,fec_simple_farthest_point,0.3
37,2104,0.40987755649686425,0.07593084100145776,0.3444584382871536,0.6479848866498741,0.3444584382871536,125,130.90719933416563,28,18.424469413233457,23,13.83169847214791,51.788300338862136,85,0.12148046493530273,20.002091646194458,1,fec_simple_farthest_point,0.3
38,2123,0.4104985874136772,0.07671983557997736,0.3444584382871536,0.649874055415617,0.3444584382871536,125,134.6159829009084,28,18.51944427952265,23,13.868075758475332,51.948346494092505,85,0.12725305557250977,20.482490301132202,1,fec_simple_farthest_point,0.3
39,1999,0.4098401358686634,0.07654718035775765,0.3444584382871536,0.6467254408060453,0.3444584382871536,125,139.50150646895491,28,18.758610503928633,23,13.912211260116973,52.5637147752112,85,0.1366415023803711,21.12262201309204,1,fec_simple_farthest_point,0.3
40,1986,0.409837380316918,0.07601442675577713,0.3444584382871536,0.6467254408060453,0.3444584382871536,125,143.69871756988357,28,19.210034867915606,23,14.02269369422611,53.75131493410555,85,0.1382749080657959,21.914320945739746,1,fec_simple_farthest_point,0.3
41,2095,0.41001555525568156,0.07673546498835403,0.3444584382871536,0.6492443324937027,0.3444584382871536,125,148.10577438770036,28,19.288302246588405,23,14.029914784577796,53.92729873070735,85,0.13834643363952637,22.458537817001343,1,fec_simple_farthest_point,0.3
42,1991,0.4100187208065707,0.07610755394138392,0.3444584382871536,0.6486146095717884,0.3444584382871536,125,150.49425287356323,28,19.159734565706838,23,13.983410356677332,53.596930915985304,85,0.12918663024902344,22.745046138763428,1,fec_simple_farthest_point,0.3
43,1975,0.41072579314437113,0.07652118877987543,0.3444584382871536,0.646095717884131,0.3444584382871536,125,152.4895741036092,28,19.132199184830764,23,13.975603993147853,53.564002599090315,85,0.14366865158081055,23.17954158782959,1,fec_simple_farthest_point,0.3
44,1889,0.4101725237358244,0.07603853761321333,0.3444584382871536,0.6486146095717884,0.3444584382871536,125,155.26594741186182,28,19.347305742247375,23,14.009904492394766,54.025822426600634,85,0.12492704391479492,23.051625967025757,1,fec_simple_farthest_point,0.3
45,1768,0.40982054738020535,0.07642374403505714,0.3444584382871536,0.6479848866498741,0.3444584382871536,125,158.26912280701754,28,19.47362573099415,23,14.070350877192983,54.34818713450292,85,0.12555527687072754,23.361788272857666,1,fec_simple_farthest_point,0.3
46,1856,0.41082557981357803,0.07690281643537661,0.3444584382871536,0.6473551637279598,0.3444584382871536,125,162.19592172533348,28,19.99471117118176,23,14.217840982546864,55.79444085326438,85,0.13930487632751465,24.244641304016113,1,fec_simple_farthest_point,0.3
47,1868,0.4110646235524388,0.077096010815462,0.3444584382871536,0.6486146095717884,0.3444584382871536,125,166.01879566344567,28,20.09450860240396,23,14.239217534763139,56.00818995993401,85,0.13067102432250977,24.662503719329834,1,fec_simple_farthest_point,0.3
48,1785,0.4110708478236249,0.07714211686504406,0.3444584382871536,0.6486146095717884,0.3444584382871536,125,167.16178448225457,28,19.97105770917383,23,14.204291644740689,55.642226509969014,85,0.12467265129089355,25.160033464431763,1,fec_simple_farthest_point,0.3
49,1841,0.4114243880674566,0.07777376330102255,0.3444584382871536,0.6479848866498741,0.3444584382871536,125,170.83396270946423,28,20.023660608921407,23,14.208756195421289,55.80499173943828,85,0.12069058418273926,24.690187215805054,1,fec_simple_farthest_point,0.3
50,1708,0.41156573435878957,0.07801886711905423,0.3444584382871536,0.649874055415617,0.3444584382871536,125,175.67443899018232,28,19.871669004207572,23,14.162166900420758,55.41508882655447,85,0.12241077423095703,23.68119764328003,1,fec_simple_farthest_point,0.3
