gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,0.5222393899261644,0.0752598150812672,0.3469773299748111,0.6517632241813602,,19,19.880584192439862,4,4.393900343642612,7,5.67053264604811,13.35180412371134,13,0.0,0.3960683345794678,26,fec_simple_farthest_point,0.4
1,1993,0.4724047482100002,0.06942759538932029,0.3463476070528967,0.6486146095717884,0.3463476070528967,28,21.27244094488189,5,3.54251968503937,8,5.503149606299212,10.575590551181103,16,0.009821414947509766,0.6250965595245361,26,fec_simple_farthest_point,0.4
2,1779,0.4449240162737082,0.06907581329535052,0.3463476070528967,0.6486146095717884,0.3463476070528967,28,25.08259166963332,5,3.896048415806337,8,6.214667141331435,11.798860804556782,16,0.021444320678710938,0.9338340759277344,26,fec_simple_farthest_point,0.4
3,1571,0.436390527641522,0.07412862126836219,0.34571788413098237,0.6505037783375315,0.34571788413098237,24,28.242763157894736,4,4.335855263157895,8,6.746052631578947,13.093092105263159,13,0.02467203140258789,0.7663798332214355,26,fec_simple_farthest_point,0.4
4,1422,0.4321290019656807,0.07831565767628622,0.34571788413098237,0.6517632241813602,0.34571788413098237,24,30.68594278683482,4,4.624115656721009,8,7.0522916025838205,14.005844355582898,13,0.01613593101501465,0.9357690811157227,26,fec_simple_farthest_point,0.4
5,1273,0.42596027247429064,0.07873435259767934,0.3444584382871536,0.6549118387909321,0.3444584382871536,30,33.465075669383005,7,4.883585564610011,8,7.383003492433062,14.862630966239815,22,0.014884710311889648,0.8796074390411377,26,fec_simple_farthest_point,0.4
6,1164,0.42550858430371447,0.08202984147928673,0.34005037783375314,0.6523929471032746,0.34005037783375314,35,34.96661054994388,10,4.873737373737374,10,7.548540965207632,14.920314253647588,30,0.01996922492980957,0.9701454639434814,26,fec_simple_farthest_point,0.4
7,978,0.4194383054408467,0.08040154095091327,0.34005037783375314,0.6511335012594459,0.34005037783375314,35,36.91503092229094,10,4.928206507125571,10,7.6663081473514385,15.102984673299273,30,0.0164947509765625,0.9004232883453369,26,fec_simple_farthest_point,0.4
8,832,0.4205421956403897,0.08306875268210061,0.34005037783375314,0.6517632241813602,0.34005037783375314,35,38.95814072932717,10,5.233436055469954,10,7.876476630713919,15.91191576784797,30,0.025999069213867188,1.0543510913848877,26,fec_simple_farthest_point,0.4
9,799,0.4188321648029007,0.08288274353225518,0.34005037783375314,0.6530226700251889,0.34005037783375314,35,40.63566878980892,10,5.368662420382166,10,8.01171974522293,16.325859872611463,30,0.024799108505249023,1.0136098861694336,26,fec_simple_farthest_point,0.4
10,782,0.41561856764740124,0.08281839441113001,0.34005037783375314,0.6536523929471032,0.34005037783375314,35,42.69680040629761,10,5.521076688674454,10,8.126968004062975,16.852209243270696,30,0.017990827560424805,1.096996784210205,26,fec_simple_farthest_point,0.4
11,729,0.4133420720864693,0.08082542413551054,0.34005037783375314,0.6536523929471032,0.34005037783375314,35,45.195871097683785,10,5.93429003021148,10,8.388469284994965,17.996978851963746,30,0.023428916931152344,1.232189655303955,26,fec_simple_farthest_point,0.4
12,706,0.4139796603267018,0.08254190167419195,0.34005037783375314,0.6542821158690176,0.34005037783375314,35,47.70908183632734,10,6.366516966067865,10,8.643213572854291,19.163922155688624,30,0.012981414794921875,1.2573018074035645,26,fec_simple_farthest_point,0.4
13,698,0.4124536434393922,0.08354942965905508,0.34005037783375314,0.6580604534005038,0.34005037783375314,35,50.877703206562266,10,7.007208550832712,10,8.986080039771315,20.970668655232412,30,0.02581787109375,1.536755084991455,26,fec_simple_farthest_point,0.4
14,718,0.4103101613779182,0.0825917623567377,0.34005037783375314,0.6549118387909321,0.34005037783375314,35,53.9752376188094,10,7.434217108554277,10,9.208854427213607,22.16933466733367,30,0.014828681945800781,1.0943233966827393,26,fec_simple_farthest_point,0.4
15,661,0.4078343277302358,0.08168235761344614,0.34005037783375314,0.6536523929471032,0.34005037783375314,35,56.58498896247241,10,7.786117243070885,10,9.372577875889133,23.09197939661516,30,0.013112068176269531,1.5643916130065918,26,fec_simple_farthest_point,0.4
16,664,0.40728756243889075,0.08177877649601085,0.3387909319899244,0.6574307304785894,0.3387909319899244,56,58.74957034127179,9,8.295605205008593,10,9.657500613798183,24.65553645961208,28,0.025017976760864258,1.289458990097046,26,fec_simple_farthest_point,0.4
17,709,0.4042428361224032,0.08223370683221691,0.33753148614609574,0.6574307304785894,0.33753148614609574,47,61.798019801980196,9,8.818316831683168,11,9.91930693069307,26.112128712871286,28,0.0118865966796875,1.3256809711456299,26,fec_simple_farthest_point,0.4
18,709,0.405885075255315,0.08350910555802055,0.33753148614609574,0.6536523929471032,0.33753148614609574,47,64.57838773491592,9,9.41864490603363,11,10.171859545004946,27.820722057368943,28,0.018670082092285156,1.26336669921875,26,fec_simple_farthest_point,0.4
19,747,0.4025900722454138,0.07969152094620997,0.33753148614609574,0.6549118387909321,0.33753148614609574,47,68.08203321590337,9,9.680674383492702,11,10.262204328132864,28.537745344740816,28,0.011491775512695312,1.606461763381958,26,fec_simple_farthest_point,0.4
20,677,0.4043340645313705,0.08122788131711677,0.3369017632241813,0.6542821158690176,0.3369017632241813,107,70.37859071937147,15,10.13970046648662,15,10.461085195187822,29.77854161551682,46,0.020954608917236328,1.70233154296875,26,fec_simple_farthest_point,0.4
21,618,0.4015199946522926,0.0802682993446261,0.3343828715365239,0.6542821158690176,0.3343828715365239,51,73.54234016887817,9,10.616405307599518,11,10.690952955367914,31.074788902291917,28,0.01809859275817871,2.1946544647216797,26,fec_simple_farthest_point,0.4
22,701,0.4016892030296221,0.0795887607129473,0.3343828715365239,0.6593198992443325,0.3343828715365239,51,76.38442582552982,9,10.90857565303105,11,10.785115820601282,31.93050763923115,28,0.019765138626098633,1.8862783908843994,26,fec_simple_farthest_point,0.4
23,681,0.400307823198856,0.08050470008637778,0.3343828715365239,0.6549118387909321,0.3343828715365239,51,79.40989660265879,9,11.7232890201871,11,11.150418513047759,34.06745445593304,28,0.022894859313964844,3.0372519493103027,26,fec_simple_farthest_point,0.4
24,699,0.4026692226008791,0.08274891830067899,0.3343828715365239,0.6549118387909321,0.3343828715365239,51,82.80269607843137,9,12.105882352941176,11,11.290196078431373,35.09681372549019,28,0.022615432739257812,3.217247724533081,26,fec_simple_farthest_point,0.4
25,733,0.40044554623283796,0.08012986236726037,0.3343828715365239,0.6561712846347607,0.3343828715365239,51,86.43320039880359,9,12.528913260219342,11,11.504985044865403,36.23554336989033,28,0.021304845809936523,3.4729843139648438,26,fec_simple_farthest_point,0.4
26,614,0.4023054561025655,0.0812715459339621,0.3337531486146096,0.6580604534005038,0.3337531486146096,79,89.70021671081146,10,13.145677823260293,11,11.797977365759692,37.888273537202025,31,0.021857261657714844,3.5271928310394287,26,fec_simple_farthest_point,0.4
27,617,0.40050423754238457,0.08112040647234063,0.3337531486146096,0.6599496221662469,0.3337531486146096,79,92.81769567331065,10,13.617890131259115,11,12.037190082644628,39.243801652892564,31,0.026364564895629883,3.5735526084899902,26,fec_simple_farthest_point,0.4
28,618,0.4010479063765299,0.0811279267796856,0.3337531486146096,0.6536523929471032,0.3337531486146096,79,96.07363592467406,10,14.127957508450024,11,12.264123611781748,40.726943505552875,31,0.023000717163085938,3.6856954097747803,26,fec_simple_farthest_point,0.4
29,645,0.39883951061532924,0.07895268707383266,0.3337531486146096,0.6574307304785894,0.3337531486146096,79,100.9497805948318,10,15.070209653827401,11,12.6511457825451,43.30497318381278,31,0.026286602020263672,3.8388757705688477,26,fec_simple_farthest_point,0.4
30,699,0.3989487482650491,0.08083520792507404,0.33312342569269526,0.6574307304785894,0.33312342569269526,93,106.50846192135391,14,15.78720756595321,15,12.897710303633648,45.19985067197611,43,0.029326200485229492,3.7700695991516113,26,fec_simple_farthest_point,0.4
31,706,0.39801679134769863,0.08045472043995636,0.33312342569269526,0.6542821158690176,0.33312342569269526,93,112.48507649862051,14,16.873338349636317,15,13.385753699523452,48.10985703536494,43,0.023576974868774414,4.471626281738281,26,fec_simple_farthest_point,0.4
32,712,0.3964461041873829,0.0800898236431228,0.33312342569269526,0.6549118387909321,0.33312342569269526,93,115.61145703611457,14,17.624408468244084,15,13.63412204234122,50.15267745952678,43,0.025645017623901367,4.473022222518921,26,fec_simple_farthest_point,0.4
33,685,0.39596121702439896,0.07847664311442938,0.33312342569269526,0.6549118387909321,0.33312342569269526,93,121.59989972424167,14,18.19603910754575,15,13.735021308598647,51.71496615693156,43,0.024168968200683594,4.739081144332886,26,fec_simple_farthest_point,0.4
34,669,0.3960821788413098,0.07895233734823093,0.33312342569269526,0.6536523929471032,0.33312342569269526,93,125.97375,14,18.54075,15,13.87175,52.548,43,0.023015737533569336,5.027993440628052,26,fec_simple_farthest_point,0.4
35,664,0.3948989466282012,0.07744470160838891,0.33312342569269526,0.6549118387909321,0.33312342569269526,93,130.7397362527992,14,18.718089076884798,15,13.947250559840757,53.09728788255785,43,0.024607181549072266,5.023706674575806,26,fec_simple_farthest_point,0.4
36,667,0.39354311344044474,0.07738404804298812,0.33312342569269526,0.656801007556675,0.33312342569269526,93,137.95094621513945,14,19.90089641434263,15,14.35831673306773,56.21538844621514,43,0.025653839111328125,5.196422576904297,26,fec_simple_farthest_point,0.4
37,748,0.3997209444307919,0.08392064062736691,0.33312342569269526,0.6612090680100755,0.33312342569269526,93,143.5665650406504,14,20.665142276422763,15,14.518546747967479,58.19639227642276,43,0.022894859313964844,5.683958530426025,26,fec_simple_farthest_point,0.4
38,712,0.3951402928235677,0.07940831815460858,0.33312342569269526,0.6580604534005038,0.33312342569269526,93,148.11272634532008,14,21.04641673042591,15,14.647283856159143,59.30476919153277,43,0.024865150451660156,5.613737106323242,26,fec_simple_farthest_point,0.4
39,654,0.3963104104935311,0.08096162912359033,0.33312342569269526,0.656801007556675,0.33312342569269526,93,152.94038076152304,14,21.23321643286573,15,14.72620240480962,59.53932865731463,43,0.02992844581604004,5.629118919372559,26,fec_simple_farthest_point,0.4
