gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,0.5213570422953294,0.07866715740740995,0.3513853904282116,0.6511335012594459,,36,20.165824915824917,8,4.462962962962963,7,5.667087542087542,13.542508417508417,24,0.0,0.4610874652862549,17,fec_simple_kmeans,0.2
1,2036,0.4696959783976042,0.07207219175060492,0.3513853904282116,0.6473551637279598,0.3513853904282116,36,21.865800865800868,8,3.7052341597796143,7,5.54388036206218,10.96064541519087,24,0.012909889221191406,0.7492034435272217,17,fec_simple_kmeans,0.2
2,1813,0.4448184453252334,0.07199925118128196,0.34823677581863977,0.6442065491183879,0.34823677581863977,37,24.941176470588236,8,3.947058823529412,7,6.0613970588235295,11.667279411764707,24,0.015312433242797852,0.6897215843200684,17,fec_simple_kmeans,0.2
3,1486,0.435270842392865,0.07380309125262108,0.34823677581863977,0.6492443324937027,0.34823677581863977,37,27.293811074918565,8,4.187296416938111,7,6.4830618892508145,12.36384364820847,24,0.012377500534057617,0.6556797027587891,17,fec_simple_kmeans,0.2
4,1357,0.4298656978026442,0.0744687773059293,0.3419395465994962,0.6467254408060453,0.3419395465994962,30,30.008909370199692,5,4.624270353302611,8,6.901382488479262,13.602764976958525,16,0.01448202133178711,0.8733935356140137,17,fec_simple_kmeans,0.2
5,1290,0.42836147687142256,0.07818270692844863,0.3419395465994962,0.6492443324937027,0.3419395465994962,30,32.4122832794593,5,4.9800176315016165,8,7.309138995004408,14.688216279753158,16,0.010782003402709961,1.0395011901855469,17,fec_simple_kmeans,0.2
6,1179,0.4254765532753709,0.07895874313565142,0.3419395465994962,0.6486146095717884,0.3419395465994962,30,35.80050434295321,5,5.5289997198094705,8,7.753432333987111,16.283272625385262,16,0.01773667335510254,1.2217187881469727,17,fec_simple_kmeans,0.2
7,1047,0.4224263234289272,0.07963925154128917,0.3419395465994962,0.649874055415617,0.3419395465994962,30,37.64178705189941,5,5.601926163723917,8,7.872926698769396,16.47084002140182,16,0.017611265182495117,1.1684467792510986,17,fec_simple_kmeans,0.2
8,964,0.42001284463586674,0.08153626091196196,0.3419395465994962,0.6523929471032746,0.3419395465994962,30,39.11421850496602,5,5.655776267642446,8,7.9594877156299,16.659435441714585,16,0.017116308212280273,1.077030897140503,17,fec_simple_kmeans,0.2
9,887,0.4170688191192797,0.07999789462695846,0.3419395465994962,0.6517632241813602,0.3419395465994962,30,41.19779374037968,5,5.8945613134940995,8,8.107234479220113,17.280913288866085,16,0.014040708541870117,1.1913392543792725,17,fec_simple_kmeans,0.2
10,828,0.4168096365055295,0.08186118267860476,0.3419395465994962,0.649874055415617,0.3419395465994962,30,43.483123425692696,5,6.052392947103274,8,8.21889168765743,17.792695214105795,16,0.01694774627685547,1.2055151462554932,17,fec_simple_kmeans,0.2
11,728,0.41560122324990145,0.08192526645717449,0.3419395465994962,0.6505037783375315,0.3419395465994962,30,45.68391368317803,5,6.198871996076508,8,8.316821971554683,18.25944090240314,16,0.013679027557373047,1.2159523963928223,17,fec_simple_kmeans,0.2
