gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,0.5214807270515258,0.08053653384931823,0.3463476070528967,0.6542821158690176,,19,20.37202380952381,4,4.512755102040816,7,5.722363945578231,13.680272108843537,13,0.0,0.566439151763916,29,fec_simple_kmeans,0.3
1,1956,0.46646488291385857,0.07368346413615824,0.3419395465994962,0.6467254408060453,0.3419395465994962,19,21.35496330629587,4,3.6512166859791426,7,5.581305523368096,10.853611432985709,13,0.012820959091186523,0.7473335266113281,29,fec_simple_kmeans,0.3
2,1679,0.44073641779688794,0.07403056130404252,0.3419395465994962,0.6511335012594459,0.3419395465994962,19,25.275898151377746,4,3.9909312870596443,7,6.201953261248692,11.899895361004534,13,0.014036417007446289,0.9863121509552002,29,fec_simple_kmeans,0.3
3,1455,0.4344579049318396,0.07889025100813725,0.3413098236775819,0.6574307304785894,0.3413098236775819,44,28.106191851138917,6,4.266281681103625,9,6.643246711581649,12.678857876162978,19,0.022391796112060547,1.2964544296264648,29,fec_simple_kmeans,0.3
4,1307,0.42900908410426,0.07997472028265264,0.34068010075566746,0.6580604534005038,0.34068010075566746,26,30.33212778782399,8,4.523809523809524,9,6.962929475587703,13.46383363471971,20,0.02415776252746582,1.3314273357391357,29,fec_simple_kmeans,0.3
5,1143,0.4244045445598501,0.08284308081183665,0.33816120906801006,0.6561712846347607,0.33816120906801006,20,33.20894677236693,5,4.851075877689694,8,7.360985277463194,14.42836919592299,16,0.017757415771484375,1.1679177284240723,29,fec_simple_kmeans,0.3
6,1101,0.42325935994103187,0.08596596348572108,0.33816120906801006,0.6555415617128464,0.33816120906801006,20,34.56930693069307,5,4.97992299229923,8,7.536578657865786,14.815181518151816,16,0.017834901809692383,1.126265287399292,29,fec_simple_kmeans,0.3
7,1003,0.4187442694361977,0.08489477561929915,0.33816120906801006,0.6618387909319899,0.33816120906801006,20,36.60135317997294,5,5.276319350473613,8,7.7442489851150205,15.58403247631935,16,0.014783620834350586,1.161714792251587,29,fec_simple_kmeans,0.3
8,921,0.41834471794946243,0.08744404229856549,0.33816120906801006,0.6586901763224181,0.33816120906801006,20,38.81896777574011,5,5.487031700288185,8,7.872412889703956,16.144092219020173,16,0.01708841323852539,1.186340093612671,29,fec_simple_kmeans,0.3
9,897,0.4158415597398241,0.08782518340332035,0.33816120906801006,0.6586901763224181,0.33816120906801006,20,40.690861618798955,5,5.8177545691906,8,8.07154046997389,17.098433420365534,16,0.02051067352294922,1.233252763748169,29,fec_simple_kmeans,0.3
