gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,0.4571111111111111,0.2873910341007205,0.11805555555555558,0.8819444444444444,,12,22.492,3,4.854,5,5.752,15.13,8,0.0,0.04086780548095703,9,fec_simple_farthest_point,0.2
1,182,0.27135744234800835,0.2122528272984456,0.11805555555555558,0.8680555555555556,0.11805555555555558,12,23.61006289308176,3,3.720125786163522,5,5.311320754716981,11.056603773584905,8,0.0010967254638671875,0.04862570762634277,9,fec_simple_farthest_point,0.2
2,184,0.2406162095639944,0.21779877734877554,0.11805555555555558,0.875,0.11805555555555558,12,27.306962025316455,3,4.174050632911392,5,5.7594936708860756,12.205696202531646,8,0.0009946823120117188,0.053189754486083984,9,fec_simple_farthest_point,0.2
3,135,0.22606544901065448,0.2077313118715724,0.11111111111111116,0.8680555555555556,0.11111111111111116,15,31.561643835616437,4,4.495890410958904,5,6.046575342465753,13.169863013698631,11,0.0011932849884033203,0.06157541275024414,9,fec_simple_farthest_point,0.2
4,125,0.21142592592592593,0.1906780155763707,0.11111111111111116,0.8680555555555556,0.11111111111111116,15,34.664,4,4.330666666666667,5,5.848,12.381333333333334,11,0.0011749267578125,0.0605466365814209,9,fec_simple_farthest_point,0.2
5,100,0.22008680555555557,0.20253361724535232,0.11111111111111116,0.8680555555555556,0.11111111111111116,15,34.34,4,4.0875,5,5.8075,11.6325,11,0.0012540817260742188,0.057576894760131836,9,fec_simple_farthest_point,0.2
6,86,0.1900161030595813,0.16409708577758184,0.10416666666666663,0.8680555555555556,0.10416666666666663,27,36.06038647342995,3,4.253623188405797,7,5.823671497584541,11.92512077294686,11,0.0012269020080566406,0.0606536865234375,9,fec_simple_farthest_point,0.2
7,73,0.19599308815858116,0.18049090677620624,0.10416666666666663,0.8680555555555556,0.10416666666666663,27,37.96478873239437,3,4.328638497652582,7,6.072769953051643,12.326291079812206,11,0.001346588134765625,0.06416487693786621,9,fec_simple_farthest_point,0.2
8,60,0.18819444444444444,0.16168697154587555,0.10416666666666663,0.8958333333333334,0.10416666666666663,27,38.85,3,4.3954545454545455,7,6.138636363636364,12.327272727272728,11,0.0013332366943359375,0.06633925437927246,9,fec_simple_farthest_point,0.2
9,63,0.19636727688787187,0.17938482705736244,0.10416666666666663,0.8819444444444444,0.10416666666666663,27,38.09153318077803,3,4.501144164759725,7,6.302059496567506,12.757437070938215,11,0.001337289810180664,0.06423211097717285,9,fec_simple_farthest_point,0.2
10,65,0.17840038314176243,0.15511073719474922,0.10416666666666663,0.8680555555555556,0.10416666666666663,27,37.94712643678161,3,4.5264367816091955,7,6.2,12.901149425287356,11,0.0013647079467773438,0.0644073486328125,9,fec_simple_farthest_point,0.2
11,58,0.17103443941679236,0.14290523784457024,0.10416666666666663,0.8680555555555556,0.10416666666666663,27,37.77149321266968,3,4.3710407239819,7,6.167420814479638,12.5,11,0.0013616085052490234,0.06212925910949707,9,fec_simple_farthest_point,0.2
12,56,0.16125500500500503,0.11607295728692689,0.10416666666666663,0.8680555555555556,0.10416666666666663,27,39.828828828828826,3,4.574324324324325,7,6.324324324324325,13.018018018018019,11,0.0013422966003417969,0.06492924690246582,9,fec_simple_farthest_point,0.2
13,60,0.1693181818181818,0.14192771495220347,0.10416666666666663,0.8819444444444444,0.10416666666666663,27,40.80681818181818,3,4.484090909090909,7,6.277272727272727,12.688636363636364,11,0.001344442367553711,0.06365013122558594,9,fec_simple_farthest_point,0.2
14,56,0.16571258758758758,0.1377875737088383,0.10416666666666663,0.8680555555555556,0.10416666666666663,27,43.45495495495496,3,4.8108108108108105,7,6.533783783783784,13.772522522522523,11,0.0013613700866699219,0.06555652618408203,9,fec_simple_farthest_point,0.2
15,37,0.1632619390448764,0.1262320402019363,0.10416666666666663,0.8819444444444444,0.10416666666666663,27,43.874730021598275,3,4.898488120950324,7,6.760259179265659,14.311015118790497,11,0.0015583038330078125,0.06886935234069824,9,fec_simple_farthest_point,0.2
