gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,0.4756787794274464,0.13351785673678196,0.2694610778443114,0.7245508982035929,,36,23.34246575342466,8,5.123287671232877,7,6.191780821917808,15.67123287671233,24,0.0,0.051728248596191406,6,fec_simple_farthest_point,0.4
1,202,0.419388114527248,0.1170854697878687,0.26347305389221554,0.6826347305389222,0.26347305389221554,35,26.03361344537815,6,4.701680672268908,7,6.100840336134453,13.659663865546218,18,0.0008897781372070312,0.0985870361328125,6,fec_simple_farthest_point,0.4
2,145,0.40570832020170183,0.11498746654598005,0.2574850299401198,0.7245508982035929,0.2574850299401198,36,30.67105263157895,8,5.141447368421052,7,6.516447368421052,14.789473684210526,24,0.0008096694946289062,0.11429071426391602,6,fec_simple_farthest_point,0.4
3,152,0.40227037781115293,0.11898123014551254,0.23952095808383234,0.718562874251497,0.23952095808383234,28,33.8957654723127,6,5.394136807817589,7,6.798045602605863,15.527687296416937,18,0.0010318756103515625,0.12723016738891602,6,fec_simple_farthest_point,0.4
4,145,0.40559387554005905,0.11872690835966511,0.23952095808383234,0.7245508982035929,0.23952095808383234,28,35.53164556962025,6,5.348101265822785,7,6.8386075949367084,15.408227848101266,18,0.001094818115234375,0.1306004524230957,6,fec_simple_farthest_point,0.4
5,106,0.40804346363452865,0.1246825823503779,0.23952095808383234,0.7604790419161677,0.23952095808383234,28,36.92696629213483,6,5.553370786516854,7,7.073033707865169,15.915730337078651,18,0.0010879039764404297,0.13869380950927734,6,fec_simple_farthest_point,0.4
6,109,0.4106446507529899,0.12692804206157177,0.23952095808383234,0.7485029940119761,0.23952095808383234,28,35.83106267029973,6,5.460490463215259,7,7.141689373297003,15.790190735694823,18,0.004108428955078125,0.14397597312927246,6,fec_simple_farthest_point,0.4
7,103,0.4056271019604626,0.12933823140464198,0.21556886227544914,0.7365269461077844,0.21556886227544914,32,35.45479452054794,5,5.30958904109589,7,7.1945205479452055,15.6,15,0.004224061965942383,0.1439673900604248,6,fec_simple_farthest_point,0.4
8,102,0.3963130649270564,0.12953081314684928,0.20359281437125754,0.7485029940119761,0.20359281437125754,44,38.25474254742547,8,5.596205962059621,8,7.387533875338754,16.40379403794038,24,0.0011363029479980469,0.14528512954711914,6,fec_simple_farthest_point,0.4
9,107,0.4189725811534825,0.147802534138686,0.17365269461077848,0.7784431137724551,0.17365269461077848,28,42.56842105263158,6,6.426315789473684,7,7.860526315789474,18.768421052631577,18,0.004173755645751953,0.17160820960998535,6,fec_simple_farthest_point,0.4
