gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,0.486869398457986,0.12545328596566932,0.281437125748503,0.6946107784431137,,36,25.823529411764707,8,5.673202614379085,7,6.42483660130719,17.30718954248366,24,0.0,0.03804135322570801,6,fec_simple_stratified,0.2
1,226,0.4167613049762544,0.11147087298478535,0.27544910179640714,0.7784431137724551,0.27544910179640714,18,28.685344827586206,4,5.060344827586207,6,6.379310344827586,14.974137931034482,12,0.0010631084442138672,0.07589292526245117,6,fec_simple_stratified,0.2
2,188,0.4160521063136884,0.11612138004627393,0.27544910179640714,0.7305389221556886,0.27544910179640714,18,32.6140350877193,4,5.564912280701755,6,6.88421052631579,16.340350877192982,12,0.0009806156158447266,0.08585238456726074,6,fec_simple_stratified,0.2
3,187,0.412440852560613,0.1177145692192247,0.26347305389221554,0.7365269461077844,0.26347305389221554,31,32.57342657342657,4,5.531468531468532,6,7.024475524475524,15.961538461538462,12,0.0012369155883789062,0.09065532684326172,6,fec_simple_stratified,0.2
4,160,0.4100750879193993,0.11812332847300833,0.23353293413173648,0.7604790419161677,0.23353293413173648,31,33.27619047619048,10,5.511111111111111,10,7.057142857142857,16.003174603174603,25,0.0012655258178710938,0.09409952163696289,6,fec_simple_stratified,0.2
5,121,0.40595475715236196,0.1239184985728826,0.23353293413173648,0.7544910179640718,0.23353293413173648,31,34.63611111111111,10,5.419444444444444,10,7.116666666666666,15.777777777777779,25,0.0012929439544677734,0.09385418891906738,6,fec_simple_stratified,0.2
6,114,0.4106402579456471,0.1313061811330342,0.23353293413173648,0.7664670658682635,0.23353293413173648,31,36.39010989010989,10,5.623626373626373,10,7.217032967032967,16.21153846153846,25,0.001275777816772461,0.09703302383422852,6,fec_simple_stratified,0.2
7,95,0.40653238976592265,0.1323710648175601,0.19161676646706582,0.7544910179640718,0.19161676646706582,24,36.11948051948052,4,5.587012987012987,6,7.251948051948052,16.0987012987013,12,0.00124359130859375,0.10309910774230957,6,fec_simple_stratified,0.2
8,101,0.40061147546177484,0.1325682279368615,0.19161676646706582,0.7005988023952097,0.19161676646706582,24,37.62169312169312,4,5.6534391534391535,6,7.296296296296297,16.071428571428573,12,0.0012669563293457031,0.10018324851989746,6,fec_simple_stratified,0.2
9,91,0.37576377856531834,0.12599231114864914,0.19161676646706582,0.7125748502994012,0.19161676646706582,24,39.07397959183673,4,5.948979591836735,6,7.466836734693878,17.096938775510203,12,0.0013821125030517578,0.11054849624633789,6,fec_simple_stratified,0.2
10,93,0.3897503693910879,0.13788134631776972,0.19161676646706582,0.7784431137724551,0.19161676646706582,24,40.31948051948052,4,6.181818181818182,6,7.644155844155844,17.735064935064933,12,0.0014116764068603516,0.11351323127746582,6,fec_simple_stratified,0.2
11,83,0.3908546543277082,0.14076538130907054,0.19161676646706582,0.7844311377245509,0.19161676646706582,24,41.843434343434346,4,6.262626262626263,6,7.66919191919192,18.012626262626263,12,0.00138092041015625,0.11779546737670898,6,fec_simple_stratified,0.2
12,75,0.39193792865397026,0.13980400576207735,0.19161676646706582,0.7604790419161677,0.19161676646706582,24,42.93984962406015,4,6.674185463659148,6,7.927318295739348,19.165413533834588,12,0.0014221668243408203,0.12111926078796387,6,fec_simple_stratified,0.2
13,101,0.3946976513294655,0.14416825140773806,0.19161676646706582,0.8083832335329342,0.19161676646706582,24,41.60880829015544,4,6.404145077720207,6,7.761658031088083,18.34715025906736,12,0.00141143798828125,0.11744260787963867,6,fec_simple_stratified,0.2
14,87,0.3847229399069881,0.13677757167923849,0.19161676646706582,0.718562874251497,0.19161676646706582,24,43.31472081218274,4,6.647208121827411,6,7.865482233502538,19.002538071065988,12,0.0013971328735351562,0.11613893508911133,6,fec_simple_stratified,0.2
15,65,0.38520040211547707,0.1375774027141324,0.19161676646706582,0.8083832335329342,0.19161676646706582,24,42.7323600973236,4,6.416058394160584,6,7.742092457420925,18.37956204379562,12,0.0013365745544433594,0.11920547485351562,6,fec_simple_stratified,0.2
16,74,0.385700063892067,0.13884941357033603,0.19161676646706582,0.7664670658682635,0.19161676646706582,24,43.93796526054591,4,6.518610421836228,6,7.739454094292804,18.635235732009924,12,0.0014119148254394531,0.1685483455657959,6,fec_simple_stratified,0.2
17,69,0.3836444757543736,0.13800824267735667,0.19161676646706582,0.7544910179640718,0.19161676646706582,24,45.629901960784316,4,6.75,6,7.845588235294118,19.225490196078432,12,0.0016028881072998047,0.11997365951538086,6,fec_simple_stratified,0.2
18,65,0.381679498146564,0.14141806976686433,0.19161676646706582,0.7784431137724551,0.19161676646706582,24,46.18571428571428,4,6.630952380952381,6,7.8,19.145238095238096,12,0.0014576911926269531,0.1219480037689209,6,fec_simple_stratified,0.2
19,84,0.3875364848193061,0.14523613486451792,0.19161676646706582,0.8083832335329342,0.19161676646706582,24,48.28140703517588,4,6.849246231155779,6,7.907035175879397,19.668341708542712,12,0.001424551010131836,0.12531566619873047,6,fec_simple_stratified,0.2
20,68,0.39633142474175737,0.1456974779954343,0.19161676646706582,0.7664670658682635,0.19161676646706582,24,47.8345498783455,4,6.571776155717761,6,7.819951338199513,19.021897810218977,12,0.0014841556549072266,0.1292572021484375,6,fec_simple_stratified,0.2
21,86,0.3902344564602139,0.14640654365895603,0.19161676646706582,0.8083832335329342,0.19161676646706582,24,47.308457711442784,4,6.412935323383085,6,7.7611940298507465,18.562189054726367,12,0.0015621185302734375,0.1250462532043457,6,fec_simple_stratified,0.2
22,63,0.3833473196125563,0.14529739744797743,0.19161676646706582,0.8083832335329342,0.19161676646706582,24,47.06413301662708,4,6.344418052256532,6,7.745843230403801,18.358669833729216,12,0.0014557838439941406,0.12448406219482422,6,fec_simple_stratified,0.2
23,61,0.4020007044734061,0.1466493854581494,0.19161676646706582,0.8083832335329342,0.19161676646706582,24,47.10823529411765,4,6.381176470588235,6,7.802352941176471,18.49411764705882,12,0.0014472007751464844,0.12869787216186523,6,fec_simple_stratified,0.2
24,79,0.38029794070395795,0.1399920217091851,0.19161676646706582,0.7544910179640718,0.19161676646706582,24,46.26829268292683,4,6.073170731707317,6,7.590243902439024,17.59268292682927,12,0.0015137195587158203,0.1218414306640625,6,fec_simple_stratified,0.2
25,46,0.3952367991290147,0.14757720818001804,0.19161676646706582,0.8083832335329342,0.19161676646706582,24,48.05227272727273,4,6.0181818181818185,6,7.497727272727273,17.21590909090909,12,0.0014560222625732422,0.12280058860778809,6,fec_simple_stratified,0.2
26,43,0.3997918384450061,0.14746401975480272,0.19161676646706582,0.7664670658682635,0.19161676646706582,24,46.932279909706544,4,5.909706546275395,6,7.534988713318285,17.045146726862303,12,0.001477956771850586,0.12475442886352539,6,fec_simple_stratified,0.2
27,57,0.3941286073932895,0.14665695068465748,0.19161676646706582,0.8083832335329342,0.19161676646706582,24,45.605700712589076,4,5.997624703087886,6,7.6270783847981,17.268408551068884,12,0.001394510269165039,0.1226201057434082,6,fec_simple_stratified,0.2
28,38,0.38771427396922403,0.14590491044070078,0.19161676646706582,0.8023952095808383,0.19161676646706582,24,46.505720823798626,4,5.940503432494279,6,7.62929061784897,17.08466819221968,12,0.001416921615600586,0.12379169464111328,6,fec_simple_stratified,0.2
29,33,0.39548964431937905,0.14510834193861996,0.19161676646706582,0.7485029940119761,0.19161676646706582,24,46.648106904231625,4,6.00445434298441,6,7.76837416481069,17.351893095768375,12,0.0014712810516357422,0.1251051425933838,6,fec_simple_stratified,0.2
30,56,0.4012543633112921,0.1491678126057278,0.19161676646706582,0.8083832335329342,0.19161676646706582,24,48.86255924170616,4,6.286729857819905,6,7.988151658767772,18.348341232227487,12,0.0014986991882324219,0.12587404251098633,6,fec_simple_stratified,0.2
