gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,0.497953216374269,0.16801827039975822,0.27192982456140347,0.7149122807017544,,36,25.433333333333334,8,5.633333333333334,7,6.433333333333334,17.066666666666666,24,0.0,0.00721287727355957,2,fec_simple_stratified,0.1
1,39,0.3777192982456141,0.1344472170426521,0.2543859649122807,0.7149122807017544,0.2543859649122807,24,33.2,5,6.82,7,6.8,18.74,15,0.00020074844360351562,0.013046503067016602,2,fec_simple_stratified,0.1
2,33,0.4209807305148116,0.18375028410428323,0.2543859649122807,0.7324561403508771,0.2543859649122807,24,40.60655737704918,5,8.229508196721312,7,7.524590163934426,22.475409836065573,15,0.000186920166015625,0.015573978424072266,2,fec_simple_stratified,0.1
3,28,0.351364522417154,0.14008517497674883,0.23684210526315785,0.7280701754385965,0.23684210526315785,62,44.083333333333336,9,8.694444444444445,8,7.777777777777778,24.61111111111111,27,0.00021123886108398438,0.017384767532348633,2,fec_simple_stratified,0.1
4,31,0.44185273790536944,0.1851028213898896,0.23245614035087714,0.736842105263158,0.23245614035087714,65,45.86363636363637,10,7.984848484848484,8,7.878787878787879,22.96969696969697,30,0.00024127960205078125,0.018192529678344727,2,fec_simple_stratified,0.1
5,28,0.40675057208237986,0.15656781366530564,0.23245614035087714,0.7280701754385965,0.23245614035087714,65,47.89855072463768,10,8.492753623188406,8,8.173913043478262,24.681159420289855,30,0.0002791881561279297,0.019024133682250977,2,fec_simple_stratified,0.1
6,25,0.35526315789473684,0.13605637368968104,0.23245614035087714,0.7543859649122807,0.23245614035087714,65,52.32,10,9.253333333333334,8,8.586666666666666,26.84,30,0.0002682209014892578,0.020038127899169922,2,fec_simple_stratified,0.1
7,24,0.38620857699805067,0.15776420193208612,0.23245614035087714,0.7324561403508771,0.23245614035087714,65,56.833333333333336,10,10.194444444444445,8,8.944444444444445,29.47222222222222,30,0.00024819374084472656,0.021389484405517578,2,fec_simple_stratified,0.1
8,24,0.39154135338345863,0.16996298624513068,0.23245614035087714,0.7324561403508771,0.23245614035087714,65,60.8,10,10.685714285714285,8,9.057142857142857,30.757142857142856,30,0.00024819374084472656,0.02177882194519043,2,fec_simple_stratified,0.1
9,27,0.383801970680125,0.16413045704204057,0.23245614035087714,0.7412280701754386,0.23245614035087714,65,59.61643835616438,10,10.643835616438356,8,8.95890410958904,30.616438356164384,30,0.0003046989440917969,0.023421525955200195,2,fec_simple_stratified,0.1
10,23,0.3680747922437673,0.137084279084373,0.23245614035087714,0.7149122807017544,0.23245614035087714,65,60.526315789473685,10,10.723684210526315,8,9.052631578947368,30.973684210526315,30,0.0002465248107910156,0.02321147918701172,2,fec_simple_stratified,0.1
