gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,0.5153508771929824,0.16519578328275944,0.2763157894736842,0.7324561403508771,,36,26.1875,8,5.8125,7,6.4375,17.5,24,0.0,0.004440784454345703,4,fec_simple_farthest_point,0.1
1,21,0.3890977443609022,0.15194117165305154,0.27192982456140347,0.7412280701754386,0.27192982456140347,55,24.142857142857142,8,4.476190476190476,7,6.761904761904762,13.761904761904763,24,0.0001251697540283203,0.006555080413818359,4,fec_simple_farthest_point,0.1
2,16,0.3845942982456141,0.16003302621055646,0.26754385964912286,0.7324561403508771,0.26754385964912286,29,36.15625,6,5.6875,8,7.1875,16.75,14,0.00010538101196289062,0.0072743892669677734,4,fec_simple_farthest_point,0.1
3,14,0.3408152734778122,0.1261994998641455,0.26754385964912286,0.7324561403508771,0.26754385964912286,29,42.3235294117647,6,6.029411764705882,8,7.4411764705882355,16.941176470588236,14,0.00013899803161621094,0.007183551788330078,4,fec_simple_farthest_point,0.1
4,10,0.43278805120910385,0.18974956551476777,0.26754385964912286,0.7587719298245614,0.26754385964912286,29,44.432432432432435,6,6.72972972972973,8,7.918918918918919,18.35135135135135,14,0.00012993812561035156,0.008159637451171875,4,fec_simple_farthest_point,0.1
5,9,0.33748845798707294,0.129237975715159,0.24561403508771928,0.7324561403508771,0.24561403508771928,56,49.81578947368421,8,5.947368421052632,10,7.894736842105263,16.263157894736842,25,0.00014591217041015625,0.008008718490600586,4,fec_simple_farthest_point,0.1
6,9,0.394275161588181,0.17993372549014333,0.24561403508771928,0.7675438596491229,0.24561403508771928,56,51.6578947368421,8,5.815789473684211,10,7.947368421052632,15.0,25,0.00013399124145507812,0.007100820541381836,4,fec_simple_farthest_point,0.1
7,4,0.30903271692745377,0.12258495551159737,0.24561403508771928,0.7324561403508771,0.24561403508771928,56,55.972972972972975,8,7.4324324324324325,10,8.864864864864865,19.64864864864865,25,0.0001404285430908203,0.007457733154296875,4,fec_simple_farthest_point,0.1
8,4,0.3755883611467694,0.17974693863451574,0.24561403508771928,0.7807017543859649,0.24561403508771928,56,58.97560975609756,8,7.951219512195122,10,8.926829268292684,22.390243902439025,25,0.00014281272888183594,0.008331060409545898,4,fec_simple_farthest_point,0.1
9,12,0.3397243107769424,0.13884033171078972,0.24561403508771928,0.7105263157894737,0.24561403508771928,56,62.628571428571426,8,8.885714285714286,10,9.514285714285714,24.2,25,0.00013184547424316406,0.009975671768188477,4,fec_simple_farthest_point,0.1
10,5,0.34469185784975265,0.156431333678142,0.24561403508771928,0.7324561403508771,0.24561403508771928,56,64.12820512820512,8,9.102564102564102,10,9.461538461538462,25.435897435897434,25,0.0001354217529296875,0.00940704345703125,4,fec_simple_farthest_point,0.1
