gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,0.5139876718824088,0.15430174460784266,0.2543859649122807,0.7631578947368421,,36,25.0,8,5.545945945945946,7,6.324324324324325,16.767567567567568,24,0.0,0.04981112480163574,14,baseline_simple,1.0
1,214,0.3920869883040936,0.12451023493739191,0.22368421052631582,0.736842105263158,0.2931034482758621,21,28.5375,5,5.075,7,6.35,15.145833333333334,15,0.0011410713195800781,0.1199502944946289,14,baseline_simple,1.0
2,178,0.37700297675596933,0.13577745381478437,0.22368421052631582,0.7280701754385965,0.2931034482758621,21,31.819494584837546,5,5.342960288808665,7,6.729241877256317,15.678700361010831,15,0.0010836124420166016,0.13260674476623535,14,baseline_simple,1.0
3,157,0.38149122807017544,0.14815299539366777,0.22368421052631582,0.7456140350877193,0.2931034482758621,21,36.11333333333334,5,5.493333333333333,7,7.206666666666667,16.503333333333334,15,0.004259347915649414,0.147536039352417,14,baseline_simple,1.0
4,132,0.3800213149696671,0.15154794218307563,0.22368421052631582,0.7412280701754386,0.2931034482758621,21,38.95638629283489,5,5.831775700934579,7,7.40809968847352,17.289719626168225,15,0.0011858940124511719,0.13861846923828125,14,baseline_simple,1.0
5,110,0.37425711976418014,0.15284317943088718,0.22368421052631582,0.7456140350877193,0.2931034482758621,21,43.27371273712737,5,6.170731707317073,7,7.617886178861789,18.146341463414632,15,0.004278898239135742,0.14921331405639648,14,baseline_simple,1.0
6,86,0.3963672269679434,0.16580501480691134,0.22368421052631582,0.7675438596491229,0.2931034482758621,21,46.56544502617801,5,6.494764397905759,7,7.798429319371728,18.94240837696335,15,0.00442814826965332,0.15453362464904785,14,baseline_simple,1.0
7,98,0.3862665924069432,0.16625580988649605,0.22368421052631582,0.7675438596491229,0.2931034482758621,21,48.44444444444444,5,6.341269841269841,7,7.7407407407407405,18.365079365079364,15,0.001293182373046875,0.1556105613708496,14,baseline_simple,1.0
8,83,0.3823702296979562,0.16587758750739715,0.22368421052631582,0.7675438596491229,0.2931034482758621,21,50.9639175257732,5,6.943298969072165,7,8.105670103092784,20.36082474226804,15,0.0013728141784667969,0.16848301887512207,14,baseline_simple,1.0
9,82,0.37125,0.15905905842854354,0.22368421052631582,0.7675438596491229,0.2931034482758621,21,52.1025,5,7.135,7,8.2225,20.8025,15,0.004522800445556641,0.16797304153442383,14,baseline_simple,1.0
10,75,0.3603213435599048,0.15025159479255312,0.22368421052631582,0.7719298245614035,0.2931034482758621,21,51.06532663316583,5,6.8542713567839195,7,8.133165829145728,20.012562814070353,15,0.0012810230255126953,0.158402681350708,14,baseline_simple,1.0
11,81,0.36823511396946235,0.16073338629398878,0.22368421052631582,0.7719298245614035,0.2931034482758621,21,51.062344139650875,5,6.8802992518703245,7,8.231920199501246,20.129675810473817,15,0.0013434886932373047,0.16906332969665527,14,baseline_simple,1.0
12,85,0.35598106519495665,0.15389392744630412,0.22368421052631582,0.7763157894736842,0.2931034482758621,21,52.65728900255755,5,6.928388746803069,7,8.35549872122762,20.263427109974426,15,0.00436711311340332,0.17868590354919434,14,baseline_simple,1.0
13,82,0.3752942482789252,0.168346689389202,0.22368421052631582,0.7675438596491229,0.2931034482758621,21,55.382278481012655,5,7.144303797468354,7,8.407594936708861,20.744303797468355,15,0.004662513732910156,0.1837303638458252,14,baseline_simple,1.0
14,83,0.37550093507881377,0.1711883526070897,0.22368421052631582,0.7719298245614035,0.2931034482758621,21,58.32233502538071,5,7.5126903553299496,7,8.626903553299492,21.84010152284264,15,0.004381656646728516,0.1889638900756836,14,baseline_simple,1.0
15,83,0.35756216240346417,0.15528902921160015,0.2149122807017544,0.7675438596491229,0.27586206896551724,114,62.73027989821883,28,8.39440203562341,17,9.134860050890586,24.26972010178117,74,0.004836559295654297,0.20778417587280273,14,baseline_simple,1.0
16,49,0.36407636738906096,0.1595855976475448,0.2149122807017544,0.7719298245614035,0.27586206896551724,114,67.02352941176471,28,9.355294117647059,17,9.44235294117647,26.985882352941175,74,0.0015575885772705078,0.3770732879638672,14,baseline_simple,1.0
17,70,0.34928525016244316,0.15073275792520072,0.2149122807017544,0.7456140350877193,0.27586206896551724,114,71.52098765432099,28,9.866666666666667,17,9.85679012345679,28.511111111111113,74,0.0013887882232666016,0.24758195877075195,14,baseline_simple,1.0
18,62,0.3562414000687995,0.1531207784442474,0.2149122807017544,0.7719298245614035,0.27586206896551724,114,74.4656862745098,28,10.370098039215685,17,10.200980392156863,30.07107843137255,74,0.0016138553619384766,0.23977923393249512,14,baseline_simple,1.0
19,41,0.3473764686946725,0.15224703911451726,0.2149122807017544,0.7719298245614035,0.27586206896551724,114,76.97935779816514,28,10.350917431192661,17,10.123853211009175,30.0,74,0.001514434814453125,0.2586543560028076,14,baseline_simple,1.0
20,42,0.3440222409570838,0.14579660963108051,0.2149122807017544,0.7719298245614035,0.27586206896551724,114,76.5903890160183,28,10.11441647597254,17,10.009153318077804,29.389016018306638,74,0.004704713821411133,0.2573661804199219,14,baseline_simple,1.0
21,38,0.3597676623992414,0.16200302757467241,0.2149122807017544,0.7675438596491229,0.27586206896551724,114,77.13738738738739,28,10.754504504504505,17,10.387387387387387,30.88963963963964,74,0.0015075206756591797,0.2571585178375244,14,baseline_simple,1.0
22,56,0.3484522604588394,0.15366305213210135,0.2149122807017544,0.7675438596491229,0.27586206896551724,114,79.10817307692308,28,11.853365384615385,17,10.896634615384615,34.07692307692308,74,0.0016379356384277344,0.271822452545166,14,baseline_simple,1.0
23,55,0.34397140688259115,0.1497734664392309,0.2149122807017544,0.7675438596491229,0.27586206896551724,114,82.04326923076923,28,12.305288461538462,17,11.120192307692308,35.16346153846154,74,0.0016124248504638672,0.28946566581726074,14,baseline_simple,1.0
24,66,0.3373493975903614,0.14424039559209875,0.2149122807017544,0.7719298245614035,0.27586206896551724,114,84.69156626506025,28,12.874698795180723,17,11.303614457831324,36.840963855421684,74,0.0016040802001953125,0.3314523696899414,14,baseline_simple,1.0
25,60,0.3367319364762617,0.14403716549731632,0.2149122807017544,0.7675438596491229,0.27586206896551724,114,88.08293838862559,28,13.322274881516588,17,11.530805687203792,38.24407582938389,74,0.00465703010559082,0.3050718307495117,14,baseline_simple,1.0
26,79,0.33234153222251606,0.14460581967934721,0.2149122807017544,0.7763157894736842,0.27586206896551724,114,93.33668341708542,28,13.467336683417086,17,11.540201005025125,38.44221105527638,74,0.004628896713256836,0.3049604892730713,14,baseline_simple,1.0
27,70,0.3442762055893503,0.151389236792172,0.2149122807017544,0.7675438596491229,0.27586206896551724,114,92.91206030150754,28,12.459798994974875,17,11.00502512562814,35.46482412060301,74,0.004755496978759766,0.32172107696533203,14,baseline_simple,1.0
