gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,0.5307664627563872,0.07605999455667155,0.4080604534005038,0.6479848866498741,,4,19.428571428571427,1,4.190476190476191,4,5.666666666666667,13.047619047619047,3,0.0,0.016110658645629883,1,fec_simple_farthest_point,0.2
1,21,0.4643390241627018,0.06682938623139725,0.35516372795969775,0.6013853904282116,0.35516372795969775,24,20.037037037037038,4,3.259259259259259,7,5.925925925925926,10.333333333333334,13,0.00012540817260742188,0.01750326156616211,1,fec_simple_farthest_point,0.2
2,18,0.4335525702024443,0.06725727542032907,0.35516372795969775,0.6013853904282116,0.35516372795969775,24,21.85185185185185,4,3.0,7,5.925925925925926,9.518518518518519,13,0.00011539459228515625,0.014202117919921875,1,fec_simple_farthest_point,0.2
3,12,0.42532354729436284,0.07093851673057136,0.35516372795969775,0.5919395465994962,0.35516372795969775,24,23.75862068965517,4,3.206896551724138,7,6.068965517241379,9.862068965517242,13,0.00012350082397460938,0.018021345138549805,1,fec_simple_farthest_point,0.2
4,12,0.4704620591939547,0.1074342600820658,0.3532745591939547,0.6448362720403022,0.3532745591939547,27,25.6875,5,4.15625,8,7.03125,12.65625,16,0.00011301040649414062,0.02158808708190918,1,fec_simple_farthest_point,0.2
5,10,0.44222292191435764,0.08538847965511663,0.3520151133501259,0.6448362720403022,0.3520151133501259,30,27.13888888888889,6,4.333333333333333,8,7.138888888888889,13.583333333333334,19,0.00013899803161621094,0.02409505844116211,1,fec_simple_farthest_point,0.2
6,9,0.4455092884130982,0.09110533978999949,0.3494962216624685,0.6448362720403022,0.3494962216624685,19,30.5625,4,4.875,8,7.5,14.84375,13,0.00012969970703125,0.02324700355529785,1,fec_simple_farthest_point,0.2
7,5,0.43642870307796294,0.08933862472508323,0.3488664987405542,0.6511335012594459,0.3488664987405542,29,28.24390243902439,4,4.804878048780488,7,7.463414634146342,14.609756097560975,13,0.0001418590545654297,0.023717403411865234,1,fec_simple_farthest_point,0.2
8,13,0.45427399041196065,0.10187742401865589,0.3488664987405542,0.646095717884131,0.3488664987405542,29,29.677419354838708,4,5.387096774193548,7,7.870967741935484,16.258064516129032,13,0.0001342296600341797,0.024163007736206055,1,fec_simple_farthest_point,0.2
9,13,0.39804213418822987,0.06701785553760366,0.3419395465994962,0.5906801007556675,0.3419395465994962,21,29.727272727272727,4,5.848484848484849,7,8.424242424242424,17.90909090909091,13,0.00014162063598632812,0.024607181549072266,1,fec_simple_farthest_point,0.2
10,12,0.4028524746408878,0.08267800280969463,0.3419395465994962,0.6152392947103275,0.3419395465994962,21,29.513513513513512,4,5.918918918918919,7,8.027027027027026,17.243243243243242,13,0.00015616416931152344,0.02457904815673828,1,fec_simple_farthest_point,0.2
