gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,0.5147126173574537,0.07316510883671644,0.4055415617128464,0.6108312342569269,,18,18.40909090909091,3,3.909090909090909,7,5.909090909090909,12.363636363636363,12,0.0,0.005379199981689453,3,fec_simple_stratified,0.1
1,22,0.4642257406741034,0.06831692000564579,0.39420654911838793,0.6007556675062973,0.39420654911838793,18,21.714285714285715,3,4.0,7,6.666666666666667,12.761904761904763,12,0.00011515617370605469,0.007183551788330078,3,fec_simple_stratified,0.1
2,19,0.41148614609571793,0.023988446482772506,0.3759445843828715,0.4779596977329975,0.3759445843828715,18,18.32,3,2.88,7,6.56,10.6,12,0.00010395050048828125,0.005391836166381836,3,fec_simple_stratified,0.1
3,24,0.4164788545671484,0.0478747307343045,0.3759445843828715,0.5799748110831234,0.3759445843828715,18,20.736842105263158,3,2.8421052631578947,7,6.7368421052631575,10.789473684210526,12,0.00012373924255371094,0.0055425167083740234,3,fec_simple_stratified,0.1
4,19,0.39811607892527295,0.02395154201033506,0.37468513853904284,0.46410579345088165,0.37468513853904284,21,21.916666666666668,2,3.0833333333333335,6,7.208333333333333,11.75,7,0.00012135505676269531,0.0054776668548583984,3,fec_simple_stratified,0.1
5,14,0.41003175993867047,0.06279662947151303,0.37468513853904284,0.5610831234256928,0.37468513853904284,21,20.26086956521739,2,2.739130434782609,6,6.739130434782608,10.652173913043478,7,0.00011229515075683594,0.0055696964263916016,3,fec_simple_stratified,0.1
6,10,0.3966554715924993,0.05183056570475745,0.37468513853904284,0.5610831234256928,0.37468513853904284,21,20.72222222222222,2,2.4166666666666665,6,6.5,9.11111111111111,7,0.00011801719665527344,0.0055999755859375,3,fec_simple_stratified,0.1
7,24,0.41782115869017633,0.07333495131986423,0.37468513853904284,0.5944584382871536,0.37468513853904284,21,22.772727272727273,2,2.272727272727273,6,6.0,7.454545454545454,7,0.00012159347534179688,0.004602670669555664,3,fec_simple_stratified,0.1
8,21,0.4380352644836272,0.0943581331411107,0.37468513853904284,0.6309823677581864,0.37468513853904284,21,22.6,2,2.64,6,6.12,7.88,7,0.00011205673217773438,0.005698680877685547,3,fec_simple_stratified,0.1
9,14,0.43331234256926954,0.08477519952974558,0.37468513853904284,0.5944584382871536,0.37468513853904284,21,23.566666666666666,2,2.5,6,6.133333333333334,7.666666666666667,7,0.00011372566223144531,0.0053255558013916016,3,fec_simple_stratified,0.1
10,14,0.42194934228939274,0.06731426544696847,0.37468513853904284,0.5944584382871536,0.37468513853904284,21,24.666666666666668,2,2.0833333333333335,6,5.805555555555555,6.833333333333333,7,0.00010943412780761719,0.006180286407470703,3,fec_simple_stratified,0.1
