gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,0.5190291060069163,0.0761458608302548,0.3488664987405542,0.6435768261964736,,36,19.440677966101696,8,4.281779661016949,7,5.635593220338983,13.059322033898304,24,0.0,0.09174299240112305,30,fec_simple_kmeans,0.2
1,393,0.47120327017427616,0.0680976053184053,0.3488664987405542,0.6322418136020151,0.3488664987405542,36,20.684719535783366,8,3.506769825918762,7,5.439071566731141,10.413926499032883,24,0.0024852752685546875,0.13118195533752441,30,fec_simple_kmeans,0.2
2,367,0.44250699433946483,0.06901954491862751,0.34823677581863977,0.6429471032745592,0.34823677581863977,44,23.793357933579337,9,3.859778597785978,8,6.234317343173432,11.65129151291513,27,0.002770662307739258,0.13915157318115234,30,fec_simple_kmeans,0.2
3,299,0.43476109948242486,0.07695275669838031,0.34823677581863977,0.6397984886649875,0.34823677581863977,44,26.4679186228482,9,4.205007824726135,8,6.807511737089202,12.629107981220658,27,0.002943754196166992,0.1524965763092041,30,fec_simple_kmeans,0.2
4,304,0.42577287732528124,0.07698288856445512,0.34823677581863977,0.6517632241813602,0.34823677581863977,44,29.976708074534162,9,4.545031055900621,8,7.150621118012422,13.841614906832298,27,0.0028259754180908203,0.1573643684387207,30,fec_simple_kmeans,0.2
5,268,0.41818786859530316,0.07457424214589176,0.34823677581863977,0.6479848866498741,0.34823677581863977,44,30.917664670658684,9,4.311377245508982,8,7.1467065868263475,13.23502994011976,27,0.003108978271484375,0.1560502052307129,30,fec_simple_kmeans,0.2
6,265,0.4208153390546227,0.0794306620001586,0.3469773299748111,0.6467254408060453,0.3469773299748111,28,32.89019033674963,5,4.497803806734993,8,7.276720351390923,13.717423133235725,16,0.0028390884399414062,0.24749398231506348,30,fec_simple_kmeans,0.2
7,198,0.42210740527180085,0.08227724266785197,0.3469773299748111,0.6486146095717884,0.3469773299748111,28,34.01204819277108,5,4.704149933065596,8,7.447121820615797,14.326639892904954,16,0.00426793098449707,0.39690232276916504,30,fec_simple_kmeans,0.2
8,193,0.4173274459369978,0.0781516000435429,0.3469773299748111,0.6435768261964736,0.3469773299748111,28,36.746367239101716,5,4.853368560105681,8,7.569352708058124,14.768824306472919,16,0.0048525333404541016,0.2377030849456787,30,fec_simple_kmeans,0.2
9,169,0.42030910069294286,0.08338961976598201,0.3469773299748111,0.6442065491183879,0.3469773299748111,28,38.89384010484928,5,5.095674967234601,8,7.663171690694626,15.298820445609437,16,0.0032470226287841797,0.25909876823425293,30,fec_simple_kmeans,0.2
10,189,0.418092590984105,0.0794052789358009,0.34571788413098237,0.6435768261964736,0.34571788413098237,64,41.722811671087534,12,5.725464190981432,11,7.978779840848806,16.958885941644564,36,0.004527091979980469,0.25275301933288574,30,fec_simple_kmeans,0.2
11,148,0.42516153761909986,0.08371752529550348,0.34571788413098237,0.6505037783375315,0.34571788413098237,64,43.72795031055901,12,5.942857142857143,11,8.085714285714285,17.551552795031057,36,0.003307819366455078,0.29801416397094727,30,fec_simple_kmeans,0.2
12,168,0.4251583120220996,0.08379845686665405,0.34571788413098237,0.6423173803526449,0.34571788413098237,64,44.589058524173026,12,6.076335877862595,11,8.169211195928753,17.826972010178118,36,0.003900766372680664,0.3231532573699951,30,fec_simple_kmeans,0.2
13,174,0.4281523475031811,0.08643159844176246,0.34571788413098237,0.6511335012594459,0.34571788413098237,64,46.90592783505155,12,6.460051546391752,11,8.36340206185567,18.90463917525773,36,0.004340410232543945,0.33736181259155273,30,fec_simple_kmeans,0.2
14,153,0.4229945565524203,0.08215708725275729,0.34571788413098237,0.6435768261964736,0.34571788413098237,64,48.931335830212234,12,7.022471910112359,11,8.64294631710362,20.395755305867667,36,0.004183053970336914,0.3468344211578369,30,fec_simple_kmeans,0.2
15,153,0.4240971347607054,0.0819714982780486,0.34508816120906805,0.6467254408060453,0.34508816120906805,82,49.38125,12,6.88125,10,8.6875,19.995,32,0.00404810905456543,0.3511044979095459,30,fec_simple_kmeans,0.2
16,146,0.42416909593486735,0.08447399193101804,0.3419395465994962,0.6486146095717884,0.3419395465994962,68,54.177278401997505,18,7.536828963795256,12,9.023720349563046,21.790262172284645,55,0.004343748092651367,0.37995362281799316,30,fec_simple_kmeans,0.2
17,112,0.41958800717612305,0.08135045076801593,0.3419395465994962,0.6523929471032746,0.3419395465994962,68,58.666666666666664,18,8.335731414868105,12,9.267386091127099,23.78896882494005,55,0.00491023063659668,0.4010639190673828,30,fec_simple_kmeans,0.2
18,135,0.42081782523152506,0.08517125270299372,0.3419395465994962,0.6486146095717884,0.3419395465994962,68,63.245024875621894,18,8.996268656716419,12,9.529850746268657,25.40547263681592,55,0.004227638244628906,0.4296739101409912,30,fec_simple_kmeans,0.2
19,105,0.42608090087420364,0.08565333401589269,0.3419395465994962,0.646095717884131,0.3419395465994962,68,67.11529411764705,18,9.390588235294118,12,9.697647058823529,26.603529411764708,55,0.0046482086181640625,0.48231959342956543,30,fec_simple_kmeans,0.2
20,109,0.42524969685607245,0.0830159849360131,0.3419395465994962,0.6542821158690176,0.3419395465994962,68,72.59183673469387,18,10.274909963985595,12,10.21968787515006,28.987995198079233,55,0.004673957824707031,0.5138287544250488,30,fec_simple_kmeans,0.2
21,102,0.4234118149151814,0.08412035452487074,0.3419395465994962,0.6542821158690176,0.3419395465994962,68,74.39810426540285,18,10.5,12,10.29739336492891,29.592417061611375,55,0.00448918342590332,0.5158085823059082,30,fec_simple_kmeans,0.2
22,124,0.4213757990279897,0.08390673703260701,0.3419395465994962,0.6492443324937027,0.3419395465994962,68,77.27128953771289,18,11.312652068126521,12,10.52919708029197,31.961070559610704,55,0.005319833755493164,0.5444612503051758,30,fec_simple_kmeans,0.2
23,100,0.42620257724898913,0.08580502394014702,0.3419395465994962,0.6486146095717884,0.3419395465994962,68,79.04964539007092,18,11.289598108747045,12,10.574468085106384,32.09101654846336,55,0.0046901702880859375,0.5686640739440918,30,fec_simple_kmeans,0.2
24,149,0.42044448462478495,0.08271488069155293,0.3419395465994962,0.6492443324937027,0.3419395465994962,68,82.94059405940594,18,12.475247524752476,12,10.985148514851485,35.50247524752475,55,0.004812955856323242,0.5998978614807129,30,fec_simple_kmeans,0.2
25,153,0.4227021069115466,0.08380856237249656,0.3419395465994962,0.6479848866498741,0.3419395465994962,68,84.57881462799496,18,12.495586380832282,12,11.117276166456495,35.576292559899116,55,0.005784749984741211,0.612593412399292,30,fec_simple_kmeans,0.2
26,140,0.4239529786127726,0.08344157157829156,0.3419395465994962,0.6442065491183879,0.3419395465994962,68,88.10383189122373,18,13.778739184177997,12,11.482076637824475,38.83683559950556,55,0.004942178726196289,0.6582322120666504,30,fec_simple_kmeans,0.2
27,128,0.4220658584584872,0.08361536876330816,0.3419395465994962,0.6517632241813602,0.3419395465994962,68,91.37910085054678,18,13.778857837181045,12,11.623329283110571,38.797083839611176,55,0.0046308040618896484,0.6667566299438477,30,fec_simple_kmeans,0.2
28,143,0.4195828469619709,0.08320893128151768,0.3419395465994962,0.6523929471032746,0.3419395465994962,68,92.70853658536585,18,13.747560975609757,12,11.458536585365854,38.71707317073171,55,0.005770444869995117,0.6513307094573975,30,fec_simple_kmeans,0.2
