gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,0.5169831428017826,0.07150601548935358,0.3532745591939547,0.6505037783375315,,19,20.087912087912088,4,4.446153846153846,7,5.5868131868131865,13.47912087912088,13,0.0,0.1472156047821045,1,fec_simple_kmedoids,0.1
1,404,0.47102526373544157,0.06745394772373962,0.3532745591939547,0.6454659949622166,0.3532745591939547,19,22.65148514851485,4,3.774257425742574,7,5.542574257425742,11.148514851485148,13,0.0032095909118652344,0.144683837890625,1,fec_simple_kmedoids,0.1
2,367,0.45184086743768226,0.06812415633653111,0.3532745591939547,0.6517632241813602,0.3532745591939547,19,26.587813620071685,4,4.181003584229391,7,6.114695340501792,12.25089605734767,13,0.0033254623413085938,0.16647028923034668,1,fec_simple_kmedoids,0.1
3,365,0.44453757161008445,0.07419258189699045,0.3469773299748111,0.6429471032745592,0.3469773299748111,25,29.886725663716813,4,4.730973451327434,7,6.631858407079646,13.835398230088495,13,0.0038115978240966797,0.1868584156036377,1,fec_simple_kmedoids,0.1
4,351,0.44305382132719234,0.08003828438015198,0.34571788413098237,0.6479848866498741,0.34571788413098237,22,34.74957118353345,5,5.37221269296741,8,7.150943396226415,15.771869639794168,16,0.003968715667724609,0.2201244831085205,1,fec_simple_kmedoids,0.1
5,306,0.43041409114400003,0.07610133122202056,0.34571788413098237,0.6454659949622166,0.34571788413098237,22,37.11147011308562,5,5.605815831987076,8,7.50080775444265,16.620355411954765,16,0.005403041839599609,0.26158642768859863,1,fec_simple_kmedoids,0.1
6,278,0.43714936988775943,0.08487552977345529,0.34571788413098237,0.6467254408060453,0.34571788413098237,22,39.321483771251934,5,5.7727975270479135,8,7.653786707882535,17.0741885625966,16,0.004016399383544922,0.24846839904785156,1,fec_simple_kmedoids,0.1
7,246,0.43092229612135585,0.08154208883030466,0.34571788413098237,0.6473551637279598,0.34571788413098237,22,43.053491827637444,5,5.891530460624072,8,7.893016344725112,17.423476968796432,16,0.004033088684082031,0.26364731788635254,1,fec_simple_kmedoids,0.1
8,196,0.4223844814066935,0.07724667183721266,0.34571788413098237,0.6454659949622166,0.34571788413098237,22,44.92699724517907,5,5.988980716253444,8,8.045454545454545,17.852617079889807,16,0.00397491455078125,0.2716383934020996,1,fec_simple_kmedoids,0.1
9,215,0.4152046731976499,0.07565899306382026,0.34571788413098237,0.6467254408060453,0.34571788413098237,22,47.464235624123425,5,6.450210378681627,8,8.315568022440393,19.401122019635345,16,0.004796266555786133,0.3155055046081543,1,fec_simple_kmedoids,0.1
