gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,0.5183490805547535,0.0777731076866861,0.3507556675062973,0.6523929471032746,,21,20.43083003952569,4,4.517786561264822,7,5.725296442687747,13.729249011857707,14,0.0,0.15587615966796875,10,fec_simple_stratified,0.5
1,414,0.469822786814666,0.0754680876560429,0.35012594458438284,0.6505037783375315,0.35012594458438284,36,22.597249508840864,8,3.8526522593320234,7,5.777996070726916,11.56777996070727,24,0.0034875869750976562,0.17519879341125488,10,fec_simple_stratified,0.5
2,383,0.4433238084920055,0.07151125317188524,0.35012594458438284,0.6473551637279598,0.35012594458438284,36,26.317204301075268,8,4.344086021505376,7,6.424731182795699,12.99641577060932,24,0.0035140514373779297,0.19795441627502441,10,fec_simple_stratified,0.5
3,337,0.43389619942437546,0.07663022205517864,0.3469773299748111,0.6523929471032746,0.3469773299748111,42,28.826825127334466,8,4.616298811544992,7,6.853989813242785,13.935483870967742,24,0.003908872604370117,0.20936155319213867,10,fec_simple_stratified,0.5
4,273,0.42723159256735543,0.08006259984863955,0.34571788413098237,0.6505037783375315,0.34571788413098237,53,32.48632218844985,7,5.253799392097265,9,7.3373860182370825,15.72340425531915,22,0.003938913345336914,0.23976755142211914,10,fec_simple_stratified,0.5
5,264,0.42307427567911476,0.08165027086903885,0.34571788413098237,0.649874055415617,0.34571788413098237,53,33.58197932053176,7,5.0901033973412115,9,7.480059084194978,15.29837518463811,22,0.004012107849121094,0.24255657196044922,10,fec_simple_stratified,0.5
6,230,0.4216718173415462,0.08378612987050815,0.34571788413098237,0.6486146095717884,0.34571788413098237,53,34.90756302521008,7,5.170868347338936,9,7.6120448179271705,15.442577030812325,22,0.003937959671020508,0.24524497985839844,10,fec_simple_stratified,0.5
7,186,0.4191929960266301,0.08281501727505944,0.34571788413098237,0.6492443324937027,0.34571788413098237,53,35.89501312335958,7,5.148293963254593,9,7.683727034120735,15.456692913385826,22,0.004090070724487305,0.2445676326751709,10,fec_simple_stratified,0.5
8,192,0.42492964879740536,0.08543269577844426,0.34508816120906805,0.6442065491183879,0.34508816120906805,43,37.14780292942743,5,5.182423435419441,8,7.723035952063915,15.59121171770972,16,0.004085063934326172,0.2516779899597168,10,fec_simple_stratified,0.5
9,142,0.4166920140044041,0.08124979576567731,0.3444584382871536,0.6505037783375315,0.3444584382871536,43,38.86289308176101,8,5.677987421383648,9,8.10314465408805,16.971069182389936,25,0.004063844680786133,0.26624250411987305,10,fec_simple_stratified,0.5
10,151,0.4194885554703756,0.08196274257084804,0.3419395465994962,0.6492443324937027,0.3419395465994962,47,39.749068322981365,13,5.530434782608696,14,8.006211180124224,16.411180124223602,35,0.004117488861083984,0.3292868137359619,10,fec_simple_stratified,0.5
11,137,0.4233873891482741,0.08514915413262426,0.3419395465994962,0.6492443324937027,0.3419395465994962,47,42.876095118898625,13,5.593241551939925,14,8.011264080100124,16.683354192740925,35,0.004090309143066406,0.2636864185333252,10,fec_simple_stratified,0.5
12,121,0.4142841770559582,0.08305374783622588,0.3419395465994962,0.6492443324937027,0.3419395465994962,47,45.21179302045728,13,6.081829121540313,14,8.43080625752106,18.10228640192539,35,0.004260540008544922,0.2777745723724365,10,fec_simple_stratified,0.5
13,121,0.41826470597193577,0.08599078146719004,0.3419395465994962,0.6523929471032746,0.3419395465994962,47,47.0906892382104,13,6.07496977025393,14,8.448609431680774,18.130592503022974,35,0.00414276123046875,0.28789544105529785,10,fec_simple_stratified,0.5
14,108,0.4156745114989641,0.08270712966132579,0.3419395465994962,0.6492443324937027,0.3419395465994962,47,49.738461538461536,13,6.244970414201183,14,8.570414201183432,18.6698224852071,35,0.004225969314575195,0.29885077476501465,10,fec_simple_stratified,0.5
15,104,0.4114232339202732,0.08000246850343919,0.3419395465994962,0.6479848866498741,0.3419395465994962,47,50.414081145584724,13,6.676610978520286,14,8.884248210023866,19.92601431980907,35,0.004355430603027344,0.3133714199066162,10,fec_simple_stratified,0.5
16,95,0.4137426556819083,0.08315694563227946,0.3419395465994962,0.6530226700251889,0.3419395465994962,47,49.718786464410734,13,6.334889148191365,14,8.710618436406067,19.004667444574096,35,0.00414586067199707,0.29784154891967773,10,fec_simple_stratified,0.5
17,86,0.41252682153185927,0.08028310006396254,0.3419395465994962,0.6492443324937027,0.3419395465994962,47,51.24652777777778,13,6.5092592592592595,14,8.856481481481481,19.70601851851852,35,0.004163265228271484,0.3157060146331787,10,fec_simple_stratified,0.5
18,112,0.4108856363555065,0.08221198425386557,0.3419395465994962,0.6561712846347607,0.3419395465994962,47,53.558579881656804,13,6.8248520710059175,14,9.05207100591716,20.71715976331361,35,0.004206657409667969,0.32518720626831055,10,fec_simple_stratified,0.5
19,96,0.41377230638237483,0.08440675076320671,0.3413098236775819,0.6523929471032746,0.3413098236775819,91,55.401408450704224,21,7.252347417840376,21,9.333333333333334,21.787558685446008,64,0.0042765140533447266,0.3364534378051758,10,fec_simple_stratified,0.5
20,122,0.41138575285867024,0.08078339280243779,0.3413098236775819,0.649874055415617,0.3413098236775819,91,57.3705035971223,21,7.413669064748201,21,9.580335731414868,22.268585131894483,64,0.004127979278564453,0.3516509532928467,10,fec_simple_stratified,0.5
21,108,0.41254815966081304,0.08538267941323485,0.33816120906801006,0.6574307304785894,0.33816120906801006,81,59.287234042553195,18,8.31678486997636,17,10.113475177304965,24.825059101654848,55,0.0045299530029296875,0.3910026550292969,10,fec_simple_stratified,0.5
22,135,0.40723203149837367,0.0831868669364293,0.33816120906801006,0.6561712846347607,0.33816120906801006,81,63.008495145631066,18,9.476941747572816,17,10.896844660194175,28.04854368932039,55,0.0043222904205322266,0.41721415519714355,10,fec_simple_stratified,0.5
23,137,0.4067289954463832,0.08528024445404365,0.336272040302267,0.6561712846347607,0.336272040302267,81,68.94160583941606,18,10.873479318734793,17,11.648418491484184,31.97566909975669,55,0.004308223724365234,0.45424723625183105,10,fec_simple_stratified,0.5
24,129,0.4094157266454934,0.0878443626323117,0.336272040302267,0.6542821158690176,0.336272040302267,81,74.16425120772946,18,11.559178743961352,17,12.083333333333334,33.93357487922705,55,0.0041522979736328125,0.4947776794433594,10,fec_simple_stratified,0.5
25,127,0.40351679567559623,0.08437613338676765,0.336272040302267,0.6542821158690176,0.336272040302267,81,77.50486618004867,18,12.079075425790755,17,12.420924574209245,35.250608272506085,55,0.004457712173461914,0.6636495590209961,10,fec_simple_stratified,0.5
26,127,0.4018024404591321,0.08518364935576016,0.336272040302267,0.6523929471032746,0.336272040302267,81,83.77005988023951,18,14.08622754491018,17,13.590419161676646,41.08862275449102,55,0.0045680999755859375,0.5996334552764893,10,fec_simple_stratified,0.5
27,153,0.3956561588148739,0.07853670248663155,0.336272040302267,0.6561712846347607,0.336272040302267,81,91.63985148514851,18,15.422029702970297,17,14.117574257425742,44.59405940594059,55,0.004591464996337891,0.6453197002410889,10,fec_simple_stratified,0.5
28,142,0.39262729235895577,0.07767171000681185,0.336272040302267,0.6555415617128464,0.336272040302267,81,95.73035066505442,18,16.71825876662636,17,14.853688029020557,48.00604594921403,55,0.004623889923095703,0.7471966743469238,10,fec_simple_stratified,0.5
29,165,0.3999001948576588,0.08380189538743694,0.33312342569269526,0.649874055415617,0.33312342569269526,80,96.15974842767295,15,15.582389937106917,16,14.174842767295598,44.735849056603776,46,0.004439115524291992,0.6960256099700928,10,fec_simple_stratified,0.5
30,133,0.40101782223121096,0.0853698819201992,0.33312342569269526,0.6542821158690176,0.33312342569269526,80,99.65328467153284,15,16.532846715328468,16,14.591240875912408,47.338199513381994,46,0.0045757293701171875,0.7977778911590576,10,fec_simple_stratified,0.5
31,143,0.4012174643157011,0.08394269157829423,0.33312342569269526,0.6530226700251889,0.33312342569269526,80,101.76543209876543,15,16.451851851851853,16,14.5,47.01481481481481,46,0.004932403564453125,0.7641501426696777,10,fec_simple_stratified,0.5
32,141,0.4018526292875579,0.08570599391112602,0.33312342569269526,0.6561712846347607,0.33312342569269526,80,108.36666666666666,15,17.535802469135803,16,14.90246913580247,49.76913580246914,46,0.0047032833099365234,0.8191671371459961,10,fec_simple_stratified,0.5
33,159,0.4007289042821159,0.08696694634410577,0.33312342569269526,0.656801007556675,0.33312342569269526,80,111.6475,15,18.07,16,15.125,51.215,46,0.00465083122253418,0.8354270458221436,10,fec_simple_stratified,0.5
34,160,0.4056564218886547,0.0872440368383931,0.33312342569269526,0.6561712846347607,0.33312342569269526,80,113.62244897959184,15,17.520408163265305,16,14.682397959183673,49.62244897959184,46,0.0046961307525634766,0.9069054126739502,10,fec_simple_stratified,0.5
35,129,0.3989418849254715,0.0819011347482584,0.33312342569269526,0.6505037783375315,0.33312342569269526,80,113.28434886499403,15,17.06810035842294,16,14.57347670250896,48.30227001194743,46,0.0046269893646240234,0.8277528285980225,10,fec_simple_stratified,0.5
36,117,0.4003406846311364,0.08244511095521267,0.33312342569269526,0.6505037783375315,0.33312342569269526,80,116.46642685851319,15,16.78537170263789,16,14.375299760191847,47.18585131894484,46,0.004540205001831055,0.8859724998474121,10,fec_simple_stratified,0.5
37,114,0.401283435288473,0.08312312577000731,0.33312342569269526,0.6530226700251889,0.33312342569269526,80,124.25119047619047,15,18.36904761904762,16,14.871428571428572,51.03452380952381,46,0.004791975021362305,0.9371576309204102,10,fec_simple_stratified,0.5
38,112,0.4000309232233407,0.08371722089744206,0.33312342569269526,0.656801007556675,0.33312342569269526,80,126.43146603098927,15,18.28486293206198,16,14.867699642431466,50.92014302741359,46,0.004656553268432617,1.011683702468872,10,fec_simple_stratified,0.5
39,129,0.4043925267803569,0.08483819074614023,0.33312342569269526,0.6580604534005038,0.33312342569269526,80,132.28295042321645,15,17.54292623941959,16,14.249093107617895,48.833131801692865,46,0.004846811294555664,1.0245022773742676,10,fec_simple_stratified,0.5
40,97,0.4063311090488606,0.08710750968293841,0.33312342569269526,0.6517632241813602,0.33312342569269526,80,134.4362573099415,15,18.581286549707603,16,14.962573099415204,51.890058479532165,46,0.00483393669128418,1.056058645248413,10,fec_simple_stratified,0.5
41,122,0.3999533316979484,0.08259214465960119,0.33312342569269526,0.6523929471032746,0.33312342569269526,80,135.15083135391924,15,18.807600950118765,16,15.039192399049881,52.796912114014255,46,0.004715442657470703,1.156496286392212,10,fec_simple_stratified,0.5
42,128,0.4022537692111123,0.08491468414320638,0.33312342569269526,0.6523929471032746,0.33312342569269526,80,136.4746376811594,15,18.659420289855074,16,15.067632850241546,52.05555555555556,46,0.004736661911010742,1.1369719505310059,10,fec_simple_stratified,0.5
43,126,0.40875542472155624,0.08893655092621522,0.33312342569269526,0.6523929471032746,0.33312342569269526,80,140.03975903614457,15,18.959036144578313,16,14.997590361445782,52.9277108433735,46,0.0045812129974365234,1.2549829483032227,10,fec_simple_stratified,0.5
44,152,0.4062867865777249,0.08755156669359548,0.33312342569269526,0.6561712846347607,0.33312342569269526,80,140.23492462311557,15,17.957286432160803,16,14.616834170854272,50.22738693467337,46,0.004283905029296875,1.1482415199279785,10,fec_simple_stratified,0.5
45,126,0.40799520500136566,0.08712313529147651,0.33312342569269526,0.6542821158690176,0.33312342569269526,80,138.0879518072289,15,16.886746987951806,16,14.142168674698794,47.32168674698795,46,0.004592418670654297,0.9951303005218506,10,fec_simple_stratified,0.5
46,114,0.4052649686123665,0.08657173067998826,0.33312342569269526,0.6561712846347607,0.33312342569269526,80,124.03850782190132,15,17.55956678700361,16,14.653429602888087,49.69434416365824,46,0.0045070648193359375,0.7749035358428955,10,fec_simple_stratified,0.5
47,130,0.40365010858342043,0.08442503362184871,0.33312342569269526,0.6536523929471032,0.33312342569269526,80,115.63240628778718,15,16.927448609431682,16,14.413542926239419,47.84280532043531,46,0.004235506057739258,0.7417130470275879,10,fec_simple_stratified,0.5
48,131,0.3940675391127059,0.07601390142908908,0.33312342569269526,0.6517632241813602,0.33312342569269526,80,115.51869722557298,15,17.303980699638117,16,14.62605548854041,48.90108564535585,46,0.0039370059967041016,0.8029844760894775,10,fec_simple_stratified,0.5
