gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,0.5204356841339516,0.07678842323553078,0.3520151133501259,0.6517632241813602,,10,20.106090373280942,2,4.442043222003929,6,5.68369351669941,13.49901768172888,7,0.0,0.16077613830566406,24,fec_simple_farthest_point,0.4
1,398,0.47175802957982527,0.07143363251002473,0.3520151133501259,0.6479848866498741,0.3520151133501259,10,22.737354085603112,2,3.7937743190661477,6,5.655642023346304,11.303501945525293,7,0.003599405288696289,0.1924448013305664,24,fec_simple_farthest_point,0.4
2,339,0.44974277419630276,0.0718756905993913,0.3513853904282116,0.6530226700251889,0.3513853904282116,41,26.56949152542373,4,4.040677966101695,7,6.177966101694915,12.05084745762712,13,0.00388336181640625,0.21341967582702637,24,fec_simple_farthest_point,0.4
3,300,0.44297743442646,0.07628625565436215,0.34760705289672544,0.630352644836272,0.34760705289672544,33,29.59968102073365,5,4.333333333333333,8,6.666666666666667,12.885167464114833,16,0.0042498111724853516,0.22815394401550293,24,fec_simple_farthest_point,0.4
4,257,0.42776258327992484,0.07383004714732005,0.34760705289672544,0.6341309823677581,0.34760705289672544,33,31.014792899408285,5,4.136094674556213,8,6.826923076923077,12.418639053254438,16,0.0037527084350585938,0.23517584800720215,24,fec_simple_farthest_point,0.4
5,233,0.4272910173760833,0.07976473247222092,0.3438287153652393,0.6530226700251889,0.3438287153652393,34,31.850282485875706,4,4.182203389830509,8,6.984463276836158,12.61864406779661,13,0.0038864612579345703,0.253523588180542,24,fec_simple_farthest_point,0.4
6,180,0.4219456789797829,0.08158229499727158,0.3438287153652393,0.6511335012594459,0.3438287153652393,34,32.02094240837696,4,4.119109947643979,8,7.109947643979058,12.598167539267015,13,0.003972291946411133,0.26014113426208496,24,fec_simple_farthest_point,0.4
7,189,0.42275703842224877,0.08418971152593785,0.3438287153652393,0.6479848866498741,0.3438287153652393,34,32.02906208718626,4,4.027741083223249,8,7.142668428005284,12.323645970937912,13,0.0039675235748291016,0.26382899284362793,24,fec_simple_farthest_point,0.4
8,157,0.4180035721310332,0.08277469630301343,0.34068010075566746,0.6555415617128464,0.34068010075566746,38,33.11712846347607,7,4.062972292191436,8,7.261964735516373,12.546599496221662,17,0.003871440887451172,0.27216267585754395,24,fec_simple_farthest_point,0.4
9,149,0.42203085642317384,0.08644669957855342,0.34068010075566746,0.6523929471032746,0.34068010075566746,38,34.4975,7,4.32375,8,7.38125,13.27,17,0.0038890838623046875,0.28972840309143066,24,fec_simple_farthest_point,0.4
10,145,0.4190459620749755,0.08603629565441512,0.34068010075566746,0.6523929471032746,0.34068010075566746,38,36.01711491442543,7,4.223716381418093,8,7.408312958435208,12.99877750611247,17,0.0039103031158447266,0.3748023509979248,24,fec_simple_farthest_point,0.4
11,155,0.41801528380144315,0.08442732082074395,0.34068010075566746,0.6523929471032746,0.34068010075566746,38,37.24310776942356,7,4.527568922305765,8,7.5927318295739346,13.819548872180452,17,0.004045724868774414,0.2964284420013428,24,fec_simple_farthest_point,0.4
12,120,0.41682801735910896,0.08196017658035872,0.34068010075566746,0.6505037783375315,0.34068010075566746,38,38.16024096385542,7,4.6168674698795185,8,7.695180722891566,14.03855421686747,17,0.004034519195556641,0.3078436851501465,24,fec_simple_farthest_point,0.4
13,138,0.41974930302511554,0.0832996792502161,0.34068010075566746,0.6593198992443325,0.34068010075566746,38,39.53883495145631,7,4.890776699029126,8,7.790048543689321,14.741504854368932,17,0.0039789676666259766,0.3213961124420166,24,fec_simple_farthest_point,0.4
