gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,0.5164211329104746,0.07497979119758962,0.34760705289672544,0.6555415617128464,,21,20.095948827292112,4,4.447761194029851,7,5.735607675906183,13.50319829424307,14,0.0,0.5507621765136719,17,fec_simple_kmeans,0.1
1,407,0.4669988146392058,0.07099037367968705,0.34508816120906805,0.6555415617128464,0.34508816120906805,18,22.54901960784314,4,3.83921568627451,7,5.7745098039215685,11.598039215686274,13,0.006686210632324219,0.7203378677368164,17,fec_simple_kmeans,0.1
2,354,0.4410489384670745,0.07079100568428133,0.34508816120906805,0.6517632241813602,0.34508816120906805,18,25.951785714285716,4,4.053571428571429,7,6.366071428571429,12.308928571428572,13,0.027439117431640625,0.7303853034973145,17,fec_simple_kmeans,0.1
3,311,0.43382316386053293,0.07605024074743821,0.34319899244332497,0.6442065491183879,0.34319899244332497,56,29.27467105263158,7,4.467105263157895,7,6.786184210526316,13.516447368421053,22,0.0053369998931884766,0.6435558795928955,17,fec_simple_kmeans,0.1
4,285,0.43028328405066996,0.0788696283306533,0.34319899244332497,0.6574307304785894,0.34319899244332497,56,33.19967793880837,7,4.877616747181965,7,7.1352657004830915,14.698872785829307,22,0.007600069046020508,0.5955181121826172,17,fec_simple_kmeans,0.1
5,230,0.4302783465922476,0.08283838349668511,0.34256926952141054,0.6397984886649875,0.34256926952141054,36,35.06043165467626,9,5.302158273381295,11,7.454676258992806,15.903597122302159,28,0.024128437042236328,0.599492073059082,17,fec_simple_kmeans,0.1
6,207,0.4247910464850012,0.08283099060931935,0.3419395465994962,0.6530226700251889,0.3419395465994962,58,37.18465909090909,5,5.565340909090909,7,7.724431818181818,16.663352272727273,15,0.005378246307373047,0.589545726776123,17,fec_simple_kmeans,0.1
7,197,0.41824097397145255,0.08011351547810389,0.3413098236775819,0.6555415617128464,0.3413098236775819,63,38.5948275862069,16,5.357758620689655,11,7.649425287356322,16.19971264367816,44,0.005491971969604492,0.45911645889282227,17,fec_simple_kmeans,0.1
8,192,0.42510419370908553,0.08882483171516234,0.3413098236775819,0.6561712846347607,0.3413098236775819,63,39.59610027855153,16,5.392757660167131,11,7.672701949860724,16.0974930362117,44,0.017310619354248047,0.3171117305755615,17,fec_simple_kmeans,0.1
9,154,0.42662768779088195,0.09039018188582637,0.3413098236775819,0.6555415617128464,0.3413098236775819,63,40.69668874172186,16,5.519205298013245,11,7.878145695364238,16.552317880794703,44,0.00392913818359375,0.29172611236572266,17,fec_simple_kmeans,0.1
